
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0250,‎-0.0018,0.5565,0.8290,0.2862,1.1805,0.8105,1009.9470,‎-5.1880,23.9792,‎-29.5303,6.0000,
0.0450,‎-0.0018,0.5565,0.8290,0.2862,1.1805,0.8105,1009.9470,‎-5.1880,23.9792,‎-29.5303,7.0000,
0.0470,‎-0.0018,0.5565,0.8290,0.2862,1.1805,0.8105,1009.9470,‎-3.2379,32.6782,‎-28.0304,7.0000,
0.0520,‎-0.0018,0.5565,0.8290,0.2862,1.1805,0.8105,1009.9468,‎-3.2379,32.6782,‎-28.0304,7.0000,
0.1010,‎-0.0018,0.5565,0.8290,‎-0.0578,0.3730,0.5648,1009.9468,‎-3.2379,32.6782,‎-28.0304,7.0000,
0.1050,‎-0.0018,0.5565,0.8290,‎-0.0578,0.3730,0.5648,1009.9468,‎-3.2379,32.6782,‎-28.0304,7.0000,
0.2070,‎-0.0018,0.5565,0.8290,‎-0.0578,0.3730,0.5648,1009.9468,‎-3.2379,32.6782,‎-28.0304,8.0000,
0.2100,‎-0.0100,0.4062,1.1099,‎-0.0578,0.3730,0.5648,1009.9468,‎-3.2379,32.6782,‎-28.0304,8.0000,
0.2420,‎-0.0100,0.4062,1.1099,‎-0.0578,0.3730,0.5648,1009.9468,‎-3.3875,25.6287,‎-25.0305,8.0000,
0.2520,‎-0.0100,0.4062,1.1099,‎-0.0578,0.3730,0.5648,1009.9466,‎-3.3875,25.6287,‎-25.0305,8.0000,
0.2910,‎-0.0100,0.4062,1.1099,‎-0.0578,0.3730,0.5648,1009.9466,‎-3.3875,25.6287,‎-25.0305,10.0000,
0.3000,‎-0.0100,0.4062,1.1099,0.1729,0.6678,0.6215,1009.9466,‎-3.3875,25.6287,‎-25.0305,10.0000,
0.3020,‎-0.0100,0.4062,1.1099,0.1729,0.6678,0.6215,1009.9466,‎-3.3875,25.6287,‎-25.0305,10.0000,
0.3740,‎-0.0100,0.4062,1.1099,0.1729,0.6678,0.6215,1009.9466,‎-3.3875,25.6287,‎-25.0305,18.0000,
0.4090,‎-0.0568,0.4018,0.7412,0.1729,0.6678,0.6215,1009.9466,‎-3.3875,25.6287,‎-25.0305,18.0000,
0.4430,‎-0.0568,0.4018,0.7412,0.1729,0.6678,0.6215,1009.9466,‎-2.6382,17.8284,‎-21.4294,18.0000,
0.4530,‎-0.0568,0.4018,0.7412,0.1729,0.6678,0.6215,1009.9202,‎-2.6382,17.8284,‎-21.4294,18.0000,
0.4590,‎-0.0568,0.4018,0.7412,0.1729,0.6678,0.6215,1009.9202,‎-2.6382,17.8284,‎-21.4294,23.0000,
0.4990,‎-0.0568,0.4018,0.7412,‎-0.0524,0.4755,1.0241,1009.9202,‎-2.6382,17.8284,‎-21.4294,23.0000,
0.5000,‎-0.0568,0.4018,0.7412,‎-0.0524,0.4755,1.0241,1009.9202,‎-2.6382,17.8284,‎-21.4294,23.0000,
0.5450,‎-0.0568,0.4018,0.7412,‎-0.0524,0.4755,1.0241,1009.9202,‎-2.6382,17.8284,‎-21.4294,20.0000,
0.6100,‎-0.0283,0.4272,0.9032,‎-0.0524,0.4755,1.0241,1009.9202,‎-2.6382,17.8284,‎-21.4294,20.0000,
0.6280,‎-0.0283,0.4272,0.9032,‎-0.0524,0.4755,1.0241,1009.9202,‎-2.6382,17.8284,‎-21.4294,18.0000,
0.6500,‎-0.0283,0.4272,0.9032,‎-0.0524,0.4755,1.0241,1009.9202,‎-3.3875,12.5793,‎-18.1305,18.0000,
0.6580,‎-0.0283,0.4272,0.9032,‎-0.0524,0.4755,1.0241,1009.9462,‎-3.3875,12.5793,‎-18.1305,18.0000,
0.7000,‎-0.0283,0.4272,0.9032,0.0661,1.0256,1.3820,1009.9462,‎-3.3875,12.5793,‎-18.1305,18.0000,
0.7080,‎-0.0283,0.4272,0.9032,0.0661,1.0256,1.3820,1009.9462,‎-3.3875,12.5793,‎-18.1305,18.0000,
0.7130,‎-0.0283,0.4272,0.9032,0.0661,1.0256,1.3820,1009.9462,‎-3.3875,12.5793,‎-18.1305,17.0000,
0.7950,‎-0.0283,0.4272,0.9032,0.0661,1.0256,1.3820,1009.9462,‎-3.3875,12.5793,‎-18.1305,19.0000,
0.8090,‎-0.1251,0.4417,0.9993,0.0661,1.0256,1.3820,1009.9462,‎-3.3875,12.5793,‎-18.1305,19.0000,
0.8500,‎-0.1251,0.4417,0.9993,0.0661,1.0256,1.3820,1009.9462,‎-4.2877,8.2291,‎-17.8299,19.0000,
0.8600,‎-0.1251,0.4417,0.9993,0.0661,1.0256,1.3820,1009.8936,‎-4.2877,8.2291,‎-17.8299,19.0000,
0.8980,‎-0.1251,0.4417,0.9993,0.3428,0.7820,0.9301,1009.8936,‎-4.2877,8.2291,‎-17.8299,19.0000,
0.9030,‎-0.1251,0.4417,0.9993,0.3428,0.7820,0.9301,1009.8936,‎-4.2877,8.2291,‎-17.8299,19.0000,
0.9580,‎-0.1251,0.4417,0.9993,0.3428,0.7820,0.9301,1009.8936,‎-4.2877,8.2291,‎-17.8299,22.0000,
1.0120,‎-0.0818,0.4228,0.7433,0.3428,0.7820,0.9301,1009.8936,‎-4.2877,8.2291,‎-17.8299,22.0000,
1.0470,‎-0.0818,0.4228,0.7433,0.3428,0.7820,0.9301,1009.8936,‎-4.2877,8.2291,‎-17.8299,27.0000,
1.0490,‎-0.0818,0.4228,0.7433,0.3428,0.7820,0.9301,1009.8936,‎-3.9886,9.2789,‎-21.5805,27.0000,
1.0570,‎-0.0818,0.4228,0.7433,0.3428,0.7820,0.9301,1009.8933,‎-3.9886,9.2789,‎-21.5805,27.0000,
1.0920,‎-0.0818,0.4228,0.7433,‎-0.2949,0.4947,0.4271,1009.8933,‎-3.9886,9.2789,‎-21.5805,27.0000,
1.0930,‎-0.0818,0.4228,0.7433,‎-0.2949,0.4947,0.4271,1009.8933,‎-3.9886,9.2789,‎-21.5805,27.0000,
1.1210,‎-0.0818,0.4228,0.7433,‎-0.2949,0.4947,0.4271,1009.8933,‎-3.9886,9.2789,‎-21.5805,30.0000,
1.2240,‎-0.0818,0.4228,0.7433,‎-0.2949,0.4947,0.4271,1009.8933,‎-3.9886,9.2789,‎-21.5805,34.0000,
1.2270,‎-0.1401,0.4838,0.9404,‎-0.2949,0.4947,0.4271,1009.8933,‎-3.9886,9.2789,‎-21.5805,34.0000,
1.2490,‎-0.1401,0.4838,0.9404,‎-0.2949,0.4947,0.4271,1009.8933,1.8616,5.8289,‎-26.8295,34.0000,
1.2580,‎-0.1401,0.4838,0.9404,‎-0.2949,0.4947,0.4271,1009.9194,1.8616,5.8289,‎-26.8295,34.0000,
1.2980,‎-0.1401,0.4838,0.9404,‎-0.2949,0.4947,0.4271,1009.9194,1.8616,5.8289,‎-26.8295,43.0000,
1.2990,‎-0.1401,0.4838,0.9404,‎-0.1614,‎-0.0094,0.4078,1009.9194,1.8616,5.8289,‎-26.8295,43.0000,
1.3010,‎-0.1401,0.4838,0.9404,‎-0.1614,‎-0.0094,0.4078,1009.9194,1.8616,5.8289,‎-26.8295,43.0000,
1.4240,‎-0.0545,0.3352,1.0187,‎-0.1614,‎-0.0094,0.4078,1009.9194,1.8616,5.8289,‎-26.8295,43.0000,
1.4550,‎-0.0545,0.3352,1.0187,‎-0.1614,‎-0.0094,0.4078,1009.9194,1.8616,5.8289,‎-26.8295,46.0000,
1.4610,‎-0.0545,0.3352,1.0187,‎-0.1614,‎-0.0094,0.4078,1009.9194,6.2119,6.7291,‎-21.8796,46.0000,
1.4660,‎-0.0545,0.3352,1.0187,‎-0.1614,‎-0.0094,0.4078,1009.9717,6.2119,6.7291,‎-21.8796,46.0000,
1.4930,‎-0.0545,0.3352,1.0187,0.2146,0.4488,0.5243,1009.9717,6.2119,6.7291,‎-21.8796,46.0000,
1.4970,‎-0.0545,0.3352,1.0187,0.2146,0.4488,0.5243,1009.9717,6.2119,6.7291,‎-21.8796,46.0000,
1.5390,‎-0.0545,0.3352,1.0187,0.2146,0.4488,0.5243,1009.9717,6.2119,6.7291,‎-21.8796,48.0000,
1.6290,‎-0.0545,0.3352,1.0187,0.2146,0.4488,0.5243,1009.9717,6.2119,6.7291,‎-21.8796,58.0000,
1.6320,‎-0.0212,0.4294,0.7830,0.2146,0.4488,0.5243,1009.9717,6.2119,6.7291,‎-21.8796,58.0000,
1.6520,‎-0.0212,0.4294,0.7830,0.2146,0.4488,0.5243,1009.9717,9.5123,0.7294,‎-22.4792,58.0000,
1.6610,‎-0.0212,0.4294,0.7830,0.2146,0.4488,0.5243,1009.9453,9.5123,0.7294,‎-22.4792,58.0000,
1.6860,‎-0.0212,0.4294,0.7830,‎-0.1891,0.3868,0.5681,1009.9453,9.5123,0.7294,‎-22.4792,58.0000,
1.6880,‎-0.0212,0.4294,0.7830,‎-0.1891,0.3868,0.5681,1009.9453,9.5123,0.7294,‎-22.4792,58.0000,
1.7010,‎-0.0212,0.4294,0.7830,‎-0.1891,0.3868,0.5681,1009.9453,9.5123,0.7294,‎-22.4792,79.0000,
1.7880,‎-0.0212,0.4294,0.7830,‎-0.1891,0.3868,0.5681,1009.9453,9.5123,0.7294,‎-22.4792,189.0000,
1.8210,‎-0.0997,0.4453,0.8333,‎-0.1891,0.3868,0.5681,1009.9453,9.5123,0.7294,‎-22.4792,189.0000,
1.8530,‎-0.0997,0.4453,0.8333,‎-0.1891,0.3868,0.5681,1009.9453,14.4623,5.8289,‎-24.2798,189.0000,
1.8650,‎-0.0997,0.4453,0.8333,‎-0.1891,0.3868,0.5681,1009.9186,14.4623,5.8289,‎-24.2798,189.0000,
1.8850,‎-0.0997,0.4453,0.8333,0.2445,0.7372,1.0807,1009.9186,14.4623,5.8289,‎-24.2798,189.0000,
1.8870,‎-0.0997,0.4453,0.8333,0.2445,0.7372,1.0807,1009.9186,14.4623,5.8289,‎-24.2798,189.0000,
1.9490,‎-0.0997,0.4453,0.8333,0.2445,0.7372,1.0807,1009.9186,14.4623,5.8289,‎-24.2798,270.0000,
2.0140,‎-0.2489,0.4282,0.9201,0.2445,0.7372,1.0807,1009.9186,14.4623,5.8289,‎-24.2798,270.0000,
2.0340,‎-0.2489,0.4282,0.9201,0.2445,0.7372,1.0807,1009.9186,14.4623,5.8289,‎-24.2798,541.0000,
2.0550,‎-0.2489,0.4282,0.9201,0.2445,0.7372,1.0807,1009.9186,12.0621,‎-6.1707,‎-22.6303,541.0000,
2.0650,‎-0.2489,0.4282,0.9201,0.2445,0.7372,1.0807,1009.9185,12.0621,‎-6.1707,‎-22.6303,541.0000,
2.0840,‎-0.2489,0.4282,0.9201,‎-1.0287,0.1198,1.0807,1009.9185,12.0621,‎-6.1707,‎-22.6303,541.0000,
2.0910,‎-0.2489,0.4282,0.9201,‎-1.0287,0.1198,1.0807,1009.9185,12.0621,‎-6.1707,‎-22.6303,541.0000,
2.1160,‎-0.2489,0.4282,0.9201,‎-1.0287,0.1198,1.0807,1009.9185,12.0621,‎-6.1707,‎-22.6303,751.0000,
2.2150,‎-0.0893,0.1894,0.9867,‎-1.0287,0.1198,1.0807,1009.9185,12.0621,‎-6.1707,‎-22.6303,751.0000,
2.2660,‎-0.0893,0.1894,0.9867,‎-1.0287,0.1198,1.0807,1009.9185,11.1618,‎-24.0204,‎-23.8297,751.0000,
2.2810,‎-0.0893,0.1894,0.9867,‎-1.0287,0.1198,1.0807,1009.9185,11.1618,‎-24.0204,‎-23.8297,751.0000,
2.2820,‎-0.0893,0.1894,0.9867,0.0533,0.1732,0.5755,1009.9185,11.1618,‎-24.0204,‎-23.8297,751.0000,
2.2840,‎-0.0893,0.1894,0.9867,0.0533,0.1732,0.5755,1009.9185,11.1618,‎-24.0204,‎-23.8297,751.0000,
2.3180,‎-0.0893,0.1894,0.9867,0.0533,0.1732,0.5755,1009.9185,11.1618,‎-24.0204,‎-23.8297,777.0000,
2.4060,‎-0.0893,0.1894,0.9867,0.0533,0.1732,0.5755,1009.9185,11.1618,‎-24.0204,‎-23.8297,740.0000,
2.4330,‎-0.0339,0.3885,0.8523,0.0533,0.1732,0.5755,1009.9185,11.1618,‎-24.0204,‎-23.8297,740.0000,
2.4620,‎-0.0339,0.3885,0.8523,0.0533,0.1732,0.5755,1009.9185,11.0123,‎-24.9207,‎-21.5805,740.0000,
2.5560,‎-0.0339,0.3885,0.8523,0.0533,0.1732,0.5755,1009.9705,11.0123,‎-24.9207,‎-21.5805,740.0000,
2.5590,‎-0.0339,0.3885,0.8523,0.0533,0.1732,0.5755,1009.9705,11.0123,‎-24.9207,‎-21.5805,740.0000,
2.5610,‎-0.0339,0.3885,0.8523,0.2616,‎-0.0564,‎-0.2619,1009.9705,11.0123,‎-24.9207,‎-21.5805,740.0000,
2.5650,‎-0.0339,0.3885,0.8523,0.2616,‎-0.0564,‎-0.2619,1009.9705,11.0123,‎-24.9207,‎-21.5805,749.0000,
2.5700,‎-0.0339,0.3885,0.8523,0.2616,‎-0.0564,‎-0.2619,1009.9705,11.0123,‎-24.9207,‎-21.5805,763.0000,
2.6290,‎-0.0712,0.4470,0.9743,0.2616,‎-0.0564,‎-0.2619,1009.9705,11.0123,‎-24.9207,‎-21.5805,763.0000,
2.6520,‎-0.0712,0.4470,0.9743,0.2616,‎-0.0564,‎-0.2619,1009.9705,11.0123,‎-24.9207,‎-21.5805,584.0000,
2.6590,‎-0.0712,0.4470,0.9743,0.2616,‎-0.0564,‎-0.2619,1009.9705,10.8627,‎-24.9207,‎-8.8303,584.0000,
2.6690,‎-0.0712,0.4470,0.9743,0.2616,‎-0.0564,‎-0.2619,1009.9703,10.8627,‎-24.9207,‎-8.8303,584.0000,
2.6770,‎-0.0712,0.4470,0.9743,‎-0.1357,0.1764,‎-0.2928,1009.9703,10.8627,‎-24.9207,‎-8.8303,584.0000,
2.6790,‎-0.0712,0.4470,0.9743,‎-0.1357,0.1764,‎-0.2928,1009.9703,10.8627,‎-24.9207,‎-8.8303,584.0000,
2.7390,‎-0.0712,0.4470,0.9743,‎-0.1357,0.1764,‎-0.2928,1009.9703,10.8627,‎-24.9207,‎-8.8303,442.0000,
2.8270,‎-0.0712,0.4470,0.9743,‎-0.1357,0.1764,‎-0.2928,1009.9703,10.8627,‎-24.9207,‎-8.8303,376.0000,
2.8330,‎-0.0635,0.2611,1.0303,‎-0.1357,0.1764,‎-0.2928,1009.9703,10.8627,‎-24.9207,‎-8.8303,376.0000,
2.8600,‎-0.0635,0.2611,1.0303,‎-0.1357,0.1764,‎-0.2928,1009.9703,15.5121,‎-30.7709,‎-17.2302,376.0000,
2.8700,‎-0.0635,0.2611,1.0303,‎-0.1357,0.1764,‎-0.2928,1009.9177,15.5121,‎-30.7709,‎-17.2302,376.0000,
2.8740,‎-0.0635,0.2611,1.0303,0.2071,‎-0.2038,‎-0.3238,1009.9177,15.5121,‎-30.7709,‎-17.2302,376.0000,
2.8760,‎-0.0635,0.2611,1.0303,0.2071,‎-0.2038,‎-0.3238,1009.9177,15.5121,‎-30.7709,‎-17.2302,376.0000,
2.9010,‎-0.0635,0.2611,1.0303,0.2071,‎-0.2038,‎-0.3238,1009.9177,15.5121,‎-30.7709,‎-17.2302,306.0000,
2.9870,‎-0.0635,0.2611,1.0303,0.2071,‎-0.2038,‎-0.3238,1009.9177,15.5121,‎-30.7709,‎-17.2302,265.0000,
3.0290,0.0220,0.2995,0.8127,0.2071,‎-0.2038,‎-0.3238,1009.9177,15.5121,‎-30.7709,‎-17.2302,265.0000,
3.0660,0.0220,0.2995,0.8127,0.2071,‎-0.2038,‎-0.3238,1009.9177,19.7113,‎-24.7711,‎-12.7304,265.0000,
3.0770,0.0220,0.2995,0.8127,0.2071,‎-0.2038,‎-0.3238,1009.9177,19.7113,‎-24.7711,‎-12.7304,251.0000,
3.0820,0.0220,0.2995,0.8127,0.2071,‎-0.2038,‎-0.3238,1009.9435,19.7113,‎-24.7711,‎-12.7304,251.0000,
3.0860,0.0220,0.2995,0.8127,‎-0.1197,0.0301,‎-0.4189,1009.9435,19.7113,‎-24.7711,‎-12.7304,251.0000,
3.0910,0.0220,0.2995,0.8127,‎-0.1197,0.0301,‎-0.4189,1009.9435,19.7113,‎-24.7711,‎-12.7304,251.0000,
3.1570,0.0220,0.2995,0.8127,‎-0.1197,0.0301,‎-0.4189,1009.9435,19.7113,‎-24.7711,‎-12.7304,241.0000,
3.2260,‎-0.0340,0.3527,0.9578,‎-0.1197,0.0301,‎-0.4189,1009.9435,19.7113,‎-24.7711,‎-12.7304,241.0000,
3.2400,‎-0.0340,0.3527,0.9578,‎-0.1197,0.0301,‎-0.4189,1009.9435,19.7113,‎-24.7711,‎-12.7304,243.0000,
3.2630,‎-0.0340,0.3527,0.9578,‎-0.1197,0.0301,‎-0.4189,1009.9435,20.9122,‎-22.5204,‎-7.4799,243.0000,
3.2710,‎-0.0340,0.3527,0.9578,0.0117,0.5225,‎-0.1305,1009.9435,20.9122,‎-22.5204,‎-7.4799,243.0000,
3.2720,‎-0.0340,0.3527,0.9578,0.0117,0.5225,‎-0.1305,1009.9435,20.9122,‎-22.5204,‎-7.4799,243.0000,
3.2740,‎-0.0340,0.3527,0.9578,0.0117,0.5225,‎-0.1305,1009.9694,20.9122,‎-22.5204,‎-7.4799,243.0000,
3.4000,‎-0.0340,0.3527,0.9578,0.0117,0.5225,‎-0.1305,1009.9694,20.9122,‎-22.5204,‎-7.4799,88.0000,
3.4190,‎-0.2159,0.3015,0.9536,0.0117,0.5225,‎-0.1305,1009.9694,20.9122,‎-22.5204,‎-7.4799,88.0000,
3.4640,‎-0.2159,0.3015,0.9536,0.0117,0.5225,‎-0.1305,1009.9694,23.3124,‎-18.1717,‎-7.0297,88.0000,
3.4680,‎-0.2159,0.3015,0.9536,‎-0.3814,‎-0.1109,‎-0.3206,1009.9694,23.3124,‎-18.1717,‎-7.0297,88.0000,
3.4700,‎-0.2159,0.3015,0.9536,‎-0.3814,‎-0.1109,‎-0.3206,1009.9694,23.3124,‎-18.1717,‎-7.0297,88.0000,
3.4740,‎-0.2159,0.3015,0.9536,‎-0.3814,‎-0.1109,‎-0.3206,1009.8907,23.3124,‎-18.1717,‎-7.0297,88.0000,
3.4850,‎-0.2159,0.3015,0.9536,‎-0.3814,‎-0.1109,‎-0.3206,1009.8907,23.3124,‎-18.1717,‎-7.0297,62.0000,
3.5670,‎-0.2159,0.3015,0.9536,‎-0.3814,‎-0.1109,‎-0.3206,1009.8907,23.3124,‎-18.1717,‎-7.0297,65.0000,
