
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0050,‎-0.1317,0.4590,0.8826,‎-0.1344,‎-0.0308,0.0264,970.0571,34.2468,‎-17.5339,‎-5.0140,124.0000,
0.0060,‎-0.1317,0.4590,0.8826,‎-0.1344,‎-0.0308,0.0264,970.0569,34.2468,‎-17.5339,‎-5.0140,124.0000,
0.0760,‎-0.1317,0.4590,0.8826,‎-0.1344,‎-0.0308,0.0264,970.0569,34.2468,‎-17.5339,‎-5.0140,160.0000,
0.0800,‎-0.1317,0.4590,0.8826,‎-0.1344,‎-0.0308,0.0264,970.0569,33.3786,‎-17.6361,‎-5.7144,160.0000,
0.1010,‎-0.2244,0.4803,0.8324,‎-0.1344,‎-0.0308,0.0264,970.0569,33.3786,‎-17.6361,‎-5.7144,160.0000,
0.1600,‎-0.2244,0.4803,0.8324,‎-0.1344,‎-0.0308,0.0264,970.0569,33.3786,‎-17.6361,‎-5.7144,212.0000,
0.1810,‎-0.2244,0.4803,0.8324,‎-0.5958,‎-0.5820,0.2432,970.0569,33.3786,‎-17.6361,‎-5.7144,212.0000,
0.1830,‎-0.2244,0.4803,0.8324,‎-0.5958,‎-0.5820,0.2432,970.0569,33.3786,‎-17.6361,‎-5.7144,212.0000,
0.1970,‎-0.2244,0.4803,0.8324,‎-0.5958,‎-0.5820,0.2432,970.0040,33.3786,‎-17.6361,‎-5.7144,212.0000,
0.2420,‎-0.2244,0.4803,0.8324,‎-0.5958,‎-0.5820,0.2432,970.0040,33.3786,‎-17.6361,‎-5.7144,237.0000,
0.2970,‎-0.2244,0.4803,0.8324,‎-0.5958,‎-0.5820,0.2432,970.0040,33.0475,‎-18.7363,‎-6.8817,237.0000,
0.2990,‎-0.0837,0.3882,0.9276,‎-0.5958,‎-0.5820,0.2432,970.0040,33.0475,‎-18.7363,‎-6.8817,237.0000,
0.3250,‎-0.0837,0.3882,0.9276,‎-0.5958,‎-0.5820,0.2432,970.0040,33.0475,‎-18.7363,‎-6.8817,231.0000,
0.3820,‎-0.0837,0.3882,0.9276,‎-0.3224,‎-0.1334,‎-0.1669,970.0040,33.0475,‎-18.7363,‎-6.8817,231.0000,
0.3830,‎-0.0837,0.3882,0.9276,‎-0.3224,‎-0.1334,‎-0.1669,970.0040,33.0475,‎-18.7363,‎-6.8817,231.0000,
0.3930,‎-0.0837,0.3882,0.9276,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.0475,‎-18.7363,‎-6.8817,231.0000,
0.4080,‎-0.0837,0.3882,0.9276,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.0475,‎-18.7363,‎-6.8817,253.0000,
0.4860,‎-0.0837,0.3882,0.9276,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.8120,‎-17.0685,‎-6.7642,253.0000,
0.4960,‎-0.0837,0.3882,0.9276,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.8120,‎-17.0685,‎-6.7642,235.0000,
0.5010,‎-0.0709,0.3701,0.9135,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.8120,‎-17.0685,‎-6.7642,235.0000,
0.5780,‎-0.0709,0.3701,0.9135,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.8120,‎-17.0685,‎-6.7642,211.0000,
0.5820,‎-0.0709,0.3701,0.9135,‎-0.3224,‎-0.1334,‎-0.1669,970.0562,33.8120,‎-17.0685,‎-6.7642,211.0000,
0.5860,‎-0.0709,0.3701,0.9135,0.0291,0.3921,‎-0.0270,970.0562,33.8120,‎-17.0685,‎-6.7642,211.0000,
0.5930,‎-0.0709,0.3701,0.9135,0.0291,0.3921,‎-0.0270,970.0558,33.8120,‎-17.0685,‎-6.7642,211.0000,
0.6630,‎-0.0709,0.3701,0.9135,0.0291,0.3921,‎-0.0270,970.0558,33.8120,‎-17.0685,‎-6.7642,192.0000,
0.6880,‎-0.0709,0.3701,0.9135,0.0291,0.3921,‎-0.0270,970.0558,34.8465,‎-16.8381,‎-3.4653,192.0000,
0.7000,‎-0.2056,0.2981,0.7299,0.0291,0.3921,‎-0.0270,970.0558,34.8465,‎-16.8381,‎-3.4653,192.0000,
0.7420,‎-0.2056,0.2981,0.7299,0.0291,0.3921,‎-0.0270,970.0558,34.8465,‎-16.8381,‎-3.4653,123.0000,
0.7870,‎-0.2056,0.2981,0.7299,‎-0.2316,2.9492,‎-0.6700,970.0558,34.8465,‎-16.8381,‎-3.4653,123.0000,
0.8170,‎-0.2056,0.2981,0.7299,‎-0.2316,2.9492,‎-0.6700,970.0558,34.8465,‎-16.8381,‎-3.4653,123.0000,
0.8180,‎-0.2056,0.2981,0.7299,‎-0.2316,2.9492,‎-0.6700,970.0686,34.8465,‎-16.8381,‎-3.4653,123.0000,
0.8240,‎-0.2056,0.2981,0.7299,‎-0.2316,2.9492,‎-0.6700,970.0686,34.8465,‎-16.8381,‎-3.4653,21.0000,
0.8850,‎-0.2056,0.2981,0.7299,‎-0.2316,2.9492,‎-0.6700,970.0686,35.3638,‎-9.0881,17.4835,21.0000,
0.8940,‎-0.4074,‎-0.2490,0.2201,‎-0.2316,2.9492,‎-0.6700,970.0686,35.3638,‎-9.0881,17.4835,21.0000,
0.9060,‎-0.4074,‎-0.2490,0.2201,‎-0.2316,2.9492,‎-0.6700,970.0686,35.3638,‎-9.0881,17.4835,29.0000,
0.9770,‎-0.4074,‎-0.2490,0.2201,‎-1.8252,2.6587,‎-5.8643,970.0686,35.3638,‎-9.0881,17.4835,29.0000,
0.9800,‎-0.4074,‎-0.2490,0.2201,‎-1.8252,2.6587,‎-5.8643,970.0686,35.3638,‎-9.0881,17.4835,29.0000,
0.9910,‎-0.4074,‎-0.2490,0.2201,‎-1.8252,2.6587,‎-5.8643,970.0686,35.3638,‎-9.0881,17.4835,22.0000,
0.9980,‎-0.4074,‎-0.2490,0.2201,‎-1.8252,2.6587,‎-5.8643,970.0684,35.3638,‎-9.0881,17.4835,22.0000,
1.0780,‎-0.4074,‎-0.2490,0.2201,‎-1.8252,2.6587,‎-5.8643,970.0684,35.3638,‎-9.0881,17.4835,2.0000,
1.0910,‎-0.4074,‎-0.2490,0.2201,‎-1.8252,2.6587,‎-5.8643,970.0684,25.4608,12.6434,24.7391,2.0000,
1.0970,‎-1.5167,‎-1.0254,0.9519,‎-1.8252,2.6587,‎-5.8643,970.0684,25.4608,12.6434,24.7391,2.0000,
1.1610,‎-1.5167,‎-1.0254,0.9519,‎-1.8252,2.6587,‎-5.8643,970.0684,25.4608,12.6434,24.7391,0.0000,
1.1780,‎-1.5167,‎-1.0254,0.9519,‎-1.8252,2.6587,‎-5.8643,970.0684,25.4608,12.6434,24.7391,0.0000,
1.1830,‎-1.5167,‎-1.0254,0.9519,‎-0.3694,‎-2.2034,‎-0.4585,970.0684,25.4608,12.6434,24.7391,0.0000,
1.2020,‎-1.5167,‎-1.0254,0.9519,‎-0.3694,‎-2.2034,‎-0.4585,970.0682,25.4608,12.6434,24.7391,0.0000,
1.2940,‎-1.5167,‎-1.0254,0.9519,‎-0.3694,‎-2.2034,‎-0.4585,970.0682,30.8929,14.7476,14.7720,0.0000,
1.2990,‎-0.7049,‎-0.5731,0.4552,‎-0.3694,‎-2.2034,‎-0.4585,970.0682,30.8929,14.7476,14.7720,0.0000,
1.3820,‎-0.7049,‎-0.5731,0.4552,‎-0.3694,‎-2.2034,‎-0.4585,970.0682,30.8929,14.7476,14.7720,0.0000,
