
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0070,0.0824,0.2833,0.8337,0.8518,0.2335,‎-0.1839,987.1563,‎-29.4586,‎-6.7444,‎-37.4084,0.0000,
0.0090,0.0824,0.2833,0.8337,0.8518,0.2335,‎-0.1839,987.1693,‎-29.4586,‎-6.7444,‎-37.4084,0.0000,
0.0360,0.0008,0.3717,0.8777,0.8518,0.2335,‎-0.1839,987.1693,‎-29.4586,‎-6.7444,‎-37.4084,0.0000,
0.1200,0.0008,0.3717,0.8777,‎-0.8315,0.4151,0.3929,987.1693,‎-29.4586,‎-6.7444,‎-37.4084,0.0000,
0.1230,0.0008,0.3717,0.8777,‎-0.8315,0.4151,0.3929,987.1693,‎-29.4586,‎-6.7444,‎-37.4084,0.0000,
0.1930,0.0008,0.3717,0.8777,‎-0.8315,0.4151,0.3929,987.1693,‎-30.2078,0.0046,‎-38.0096,0.0000,
0.2020,0.0008,0.3717,0.8777,‎-0.8315,0.4151,0.3929,987.1559,‎-30.2078,0.0046,‎-38.0096,0.0000,
0.2360,‎-0.0178,0.2921,1.0657,‎-0.8315,0.4151,0.3929,987.1559,‎-30.2078,0.0046,‎-38.0096,0.0000,
0.3150,‎-0.0178,0.2921,1.0657,0.9052,‎-0.4885,‎-1.4945,987.1559,‎-30.2078,0.0046,‎-38.0096,0.0000,
0.3160,‎-0.0178,0.2921,1.0657,0.9052,‎-0.4885,‎-1.4945,987.1559,‎-30.2078,0.0046,‎-38.0096,0.0000,
0.3920,‎-0.0178,0.2921,1.0657,0.9052,‎-0.4885,‎-1.4945,987.1559,‎-32.1579,‎-4.1946,‎-36.2091,0.0000,
0.4030,‎-0.0178,0.2921,1.0657,0.9052,‎-0.4885,‎-1.4945,987.1948,‎-32.1579,‎-4.1946,‎-36.2091,0.0000,
0.4350,‎-0.0815,0.2632,0.7202,0.9052,‎-0.4885,‎-1.4945,987.1948,‎-32.1579,‎-4.1946,‎-36.2091,0.0000,
0.5150,‎-0.0815,0.2632,0.7202,0.9052,‎-0.4885,‎-1.4945,987.1948,‎-32.1579,‎-4.1946,‎-36.2091,0.0000,
0.5160,‎-0.0815,0.2632,0.7202,‎-0.2889,‎-0.4736,‎-0.1604,987.1948,‎-32.1579,‎-4.1946,‎-36.2091,0.0000,
