
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0870,‎-0.0355,0.4872,0.6668,0.1418,0.1849,‎-0.2419,987.1179,16.5924,4.8050,‎-45.0592,0.0000,
0.0880,‎-0.0355,0.4872,0.6668,‎-0.8900,0.1240,0.3252,987.1179,16.5924,4.8050,‎-45.0592,0.0000,
0.1100,‎-0.0355,0.4872,0.6668,‎-0.8900,0.1240,0.3252,987.1179,18.8416,7.0557,‎-44.0094,0.0000,
0.1250,‎-0.0355,0.4872,0.6668,‎-0.8900,0.1240,0.3252,987.1442,18.8416,7.0557,‎-44.0094,0.0000,
0.1340,‎-0.1135,0.6048,1.0704,‎-0.8900,0.1240,0.3252,987.1442,18.8416,7.0557,‎-44.0094,0.0000,
0.2880,‎-0.1135,0.6048,1.0704,0.0681,‎-0.4133,0.3712,987.1442,18.8416,7.0557,‎-44.0094,0.0000,
0.2900,‎-0.1135,0.6048,1.0704,0.0681,‎-0.4133,0.3712,987.1442,18.8416,7.0557,‎-44.0094,0.0000,
0.3110,‎-0.1135,0.6048,1.0704,0.0681,‎-0.4133,0.3712,987.1442,17.6422,4.8050,‎-45.3598,0.0000,
0.3200,‎-0.1135,0.6048,1.0704,0.0681,‎-0.4133,0.3712,987.0786,17.6422,4.8050,‎-45.3598,0.0000,
0.3320,‎-0.0485,0.4366,0.7742,0.0681,‎-0.4133,0.3712,987.0786,17.6422,4.8050,‎-45.3598,0.0000,
0.4890,‎-0.0485,0.4366,0.7742,‎-0.9391,0.6474,‎-0.7429,987.0786,17.6422,4.8050,‎-45.3598,0.0000,
0.4920,‎-0.0485,0.4366,0.7742,‎-0.9391,0.6474,‎-0.7429,987.0786,17.6422,4.8050,‎-45.3598,0.0000,
0.5150,‎-0.0485,0.4366,0.7742,‎-0.9391,0.6474,‎-0.7429,987.0786,18.3914,10.0555,‎-44.0094,0.0000,
0.5220,‎-0.0485,0.4366,0.7742,‎-0.9391,0.6474,‎-0.7429,987.1180,18.3914,10.0555,‎-44.0094,0.0000,
0.5330,‎-0.0280,0.4696,0.7208,‎-0.9391,0.6474,‎-0.7429,987.1180,18.3914,10.0555,‎-44.0094,0.0000,
0.6920,‎-0.0280,0.4696,0.7208,0.0745,0.2287,‎-0.4321,987.1180,18.3914,10.0555,‎-44.0094,0.0000,
0.7010,‎-0.0280,0.4696,0.7208,0.0745,0.2287,‎-0.4321,987.1180,18.3914,10.0555,‎-44.0094,0.0000,
0.7190,‎-0.0280,0.4696,0.7208,0.0745,0.2287,‎-0.4321,987.1180,18.5410,11.5555,‎-43.8599,0.0000,
0.7270,‎-0.0280,0.4696,0.7208,0.0745,0.2287,‎-0.4321,987.0522,18.5410,11.5555,‎-43.8599,0.0000,
0.7580,‎-0.0306,0.4492,1.0363,0.0745,0.2287,‎-0.4321,987.0522,18.5410,11.5555,‎-43.8599,0.0000,
0.8870,‎-0.0306,0.4492,1.0363,‎-0.0163,‎-0.0084,‎-0.0689,987.0522,18.5410,11.5555,‎-43.8599,0.0000,
0.8890,‎-0.0306,0.4492,1.0363,‎-0.0163,‎-0.0084,‎-0.0689,987.0522,18.5410,11.5555,‎-43.8599,0.0000,
0.9150,‎-0.0306,0.4492,1.0363,‎-0.0163,‎-0.0084,‎-0.0689,987.0522,16.2918,14.5554,‎-44.1589,0.0000,
0.9240,‎-0.0306,0.4492,1.0363,‎-0.0163,‎-0.0084,‎-0.0689,987.1180,16.2918,14.5554,‎-44.1589,0.0000,
0.9520,‎-0.0333,0.2522,0.8903,‎-0.0163,‎-0.0084,‎-0.0689,987.1180,16.2918,14.5554,‎-44.1589,0.0000,
1.0910,‎-0.0333,0.2522,0.8903,0.3234,0.6036,0.0475,987.1180,16.2918,14.5554,‎-44.1589,0.0000,
1.0960,‎-0.0333,0.2522,0.8903,0.3234,0.6036,0.0475,987.1180,16.2918,14.5554,‎-44.1589,0.0000,
1.1230,‎-0.0333,0.2522,0.8903,0.3234,0.6036,0.0475,987.1180,19.4412,12.4557,‎-42.3599,0.0000,
1.1290,‎-0.0333,0.2522,0.8903,0.3234,0.6036,0.0475,987.0918,19.4412,12.4557,‎-42.3599,0.0000,
1.1580,‎-0.0980,0.3531,0.7871,0.3234,0.6036,0.0475,987.0918,19.4412,12.4557,‎-42.3599,0.0000,
1.2410,‎-0.0980,0.3531,0.7871,0.3234,0.6036,0.0475,987.0918,19.4412,12.4557,‎-42.3599,1.0000,
1.2870,‎-0.0980,0.3531,0.7871,1.9672,4.8771,‎-1.7223,987.0918,19.4412,12.4557,‎-42.3599,1.0000,
1.2890,‎-0.0980,0.3531,0.7871,1.9672,4.8771,‎-1.7223,987.0918,19.4412,12.4557,‎-42.3599,1.0000,
