
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0090,‎-0.1367,0.3471,0.9132,‎-0.3832,‎-0.0928,0.3906,969.1079,‎-19.1528,‎-16.7358,‎-22.2321,29.0000,
0.0170,‎-0.1367,0.3471,0.9132,‎-0.3832,‎-0.0928,0.3906,969.1079,‎-20.2026,‎-11.0352,‎-20.8817,29.0000,
0.0540,‎-0.1367,0.3471,0.9132,‎-0.3832,‎-0.0928,0.3906,969.0685,‎-20.2026,‎-11.0352,‎-20.8817,29.0000,
0.0820,‎-0.1367,0.3471,0.9132,‎-0.3832,‎-0.0928,0.3906,969.0685,‎-20.2026,‎-11.0352,‎-20.8817,28.0000,
0.1010,‎-0.1110,0.3420,0.9487,‎-0.3832,‎-0.0928,0.3906,969.0685,‎-20.2026,‎-11.0352,‎-20.8817,28.0000,
0.1130,‎-0.1110,0.3420,0.9487,0.1882,‎-0.2541,0.7260,969.0685,‎-20.2026,‎-11.0352,‎-20.8817,28.0000,
0.1140,‎-0.1110,0.3420,0.9487,0.1882,‎-0.2541,0.7260,969.0685,‎-20.2026,‎-11.0352,‎-20.8817,28.0000,
0.1610,‎-0.1110,0.3420,0.9487,0.1882,‎-0.2541,0.7260,969.0685,‎-20.2026,‎-11.0352,‎-20.8817,25.0000,
0.2150,‎-0.1110,0.3420,0.9487,0.1882,‎-0.2541,0.7260,969.0685,‎-23.2025,‎-7.7362,‎-20.2820,25.0000,
0.2240,‎-0.1110,0.3420,0.9487,0.1882,‎-0.2541,0.7260,969.0685,‎-23.2025,‎-7.7362,‎-20.2820,25.0000,
0.2440,‎-0.1110,0.3420,0.9487,0.1882,‎-0.2541,0.7260,969.0685,‎-23.2025,‎-7.7362,‎-20.2820,23.0000,
0.2980,0.0405,0.2386,0.9758,0.1882,‎-0.2541,0.7260,969.0685,‎-23.2025,‎-7.7362,‎-20.2820,23.0000,
0.3080,0.0405,0.2386,0.9758,0.4104,0.4007,0.2998,969.0685,‎-23.2025,‎-7.7362,‎-20.2820,23.0000,
0.3100,0.0405,0.2386,0.9758,0.4104,0.4007,0.2998,969.0685,‎-23.2025,‎-7.7362,‎-20.2820,23.0000,
0.4160,0.0405,0.2386,0.9758,0.4104,0.4007,0.2998,969.0685,‎-21.8536,‎-13.1363,‎-21.1807,23.0000,
0.4250,0.0405,0.2386,0.9758,0.4104,0.4007,0.2998,969.1078,‎-21.8536,‎-13.1363,‎-21.1807,23.0000,
0.4970,0.0405,0.2386,0.9758,0.4104,0.4007,0.2998,969.1078,‎-21.8536,‎-13.1363,‎-21.1807,20.0000,
0.5110,0.0405,0.2386,0.9758,1.2702,1.4271,1.3979,969.1078,‎-21.8536,‎-13.1363,‎-21.1807,20.0000,
0.5170,0.0405,0.2386,0.9758,1.2702,1.4271,1.3979,969.1078,‎-21.8536,‎-13.1363,‎-21.1807,20.0000,
0.5210,‎-0.0149,0.2283,1.0180,1.2702,1.4271,1.3979,969.1078,‎-21.8536,‎-13.1363,‎-21.1807,20.0000,
0.5800,‎-0.0149,0.2283,1.0180,1.2702,1.4271,1.3979,969.1078,‎-21.8536,‎-13.1363,‎-21.1807,18.0000,
0.6260,‎-0.0149,0.2283,1.0180,1.2702,1.4271,1.3979,969.1078,‎-24.2538,‎-3.8361,‎-21.3318,18.0000,
0.6300,‎-0.0149,0.2283,1.0180,1.2702,1.4271,1.3979,969.0816,‎-24.2538,‎-3.8361,‎-21.3318,18.0000,
0.6610,‎-0.0149,0.2283,1.0180,1.2702,1.4271,1.3979,969.0816,‎-24.2538,‎-3.8361,‎-21.3318,10.0000,
0.7110,‎-0.0149,0.2283,1.0180,0.9231,3.1842,0.2144,969.0816,‎-24.2538,‎-3.8361,‎-21.3318,10.0000,
0.7170,‎-0.0149,0.2283,1.0180,0.9231,3.1842,0.2144,969.0816,‎-24.2538,‎-3.8361,‎-21.3318,10.0000,
0.7200,0.0591,0.2875,0.9089,0.9231,3.1842,0.2144,969.0816,‎-24.2538,‎-3.8361,‎-21.3318,10.0000,
0.8260,0.0591,0.2875,0.9089,0.9231,3.1842,0.2144,969.0816,‎-10.1532,‎-2.7863,‎-31.6818,10.0000,
0.8350,0.0591,0.2875,0.9089,0.9231,3.1842,0.2144,969.0816,‎-10.1532,‎-2.7863,‎-31.6818,8.0000,
0.8400,0.0591,0.2875,0.9089,0.9231,3.1842,0.2144,969.0814,‎-10.1532,‎-2.7863,‎-31.6818,8.0000,
0.9180,0.0591,0.2875,0.9089,‎-2.3902,5.8705,0.0638,969.0814,‎-10.1532,‎-2.7863,‎-31.6818,8.0000,
0.9210,0.0591,0.2875,0.9089,‎-2.3902,5.8705,0.0638,969.0814,‎-10.1532,‎-2.7863,‎-31.6818,8.0000,
0.9230,0.0591,0.2875,0.9089,‎-2.3902,5.8705,0.0638,969.0814,‎-10.1532,‎-2.7863,‎-31.6818,5.0000,
0.9240,‎-0.4009,‎-0.0063,0.3942,‎-2.3902,5.8705,0.0638,969.0814,‎-10.1532,‎-2.7863,‎-31.6818,5.0000,
0.9960,‎-0.4009,‎-0.0063,0.3942,‎-2.3902,5.8705,0.0638,969.0814,‎-10.1532,‎-2.7863,‎-31.6818,4.0000,
1.0270,‎-0.4009,‎-0.0063,0.3942,‎-2.3902,5.8705,0.0638,969.0814,17.8970,21.6644,‎-27.0309,4.0000,
1.0360,‎-0.4009,‎-0.0063,0.3942,‎-2.3902,5.8705,0.0638,969.0814,17.8970,21.6644,‎-27.0309,4.0000,
1.1150,‎-0.4009,‎-0.0063,0.3942,‎-2.8623,1.5190,‎-3.7675,969.0814,17.8970,21.6644,‎-27.0309,4.0000,
1.1210,‎-0.4009,‎-0.0063,0.3942,‎-2.8623,1.5190,‎-3.7675,969.0814,17.8970,21.6644,‎-27.0309,4.0000,
1.1220,‎-0.9158,‎-0.5657,0.6235,‎-2.8623,1.5190,‎-3.7675,969.0814,17.8970,21.6644,‎-27.0309,4.0000,
