
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0050,‎-0.1774,0.3383,0.9305,0.6550,0.0877,‎-0.0420,970.9761,‎-10.9039,‎-25.8850,‎-14.4318,164.0000,
0.0910,‎-0.1774,0.3383,0.9305,0.6550,0.0877,‎-0.0420,970.9761,‎-10.9039,‎-25.8850,‎-14.4318,170.0000,
0.1290,‎-0.1774,0.3383,0.9305,0.6550,0.0877,‎-0.0420,970.9761,‎-10.9039,‎-25.8850,‎-14.4318,170.0000,
0.1300,‎-0.1774,0.3383,0.9305,‎-0.1461,‎-0.1013,‎-0.0388,970.9761,‎-10.9039,‎-25.8850,‎-14.4318,170.0000,
0.1320,‎-0.1774,0.3383,0.9305,‎-0.1461,‎-0.1013,‎-0.0388,970.9761,‎-10.9039,‎-24.9863,‎-15.4816,170.0000,
0.1410,‎-0.1774,0.3383,0.9305,‎-0.1461,‎-0.1013,‎-0.0388,970.9760,‎-10.9039,‎-24.9863,‎-15.4816,170.0000,
0.1490,‎-0.1695,0.3257,0.9246,‎-0.1461,‎-0.1013,‎-0.0388,970.9760,‎-10.9039,‎-24.9863,‎-15.4816,170.0000,
0.2110,‎-0.1695,0.3257,0.9246,‎-0.1461,‎-0.1013,‎-0.0388,970.9760,‎-10.9039,‎-24.9863,‎-15.4816,173.0000,
0.3280,‎-0.1695,0.3257,0.9246,‎-0.0884,‎-0.0170,‎-0.0356,970.9760,‎-10.9039,‎-24.9863,‎-15.4816,173.0000,
0.3290,‎-0.1695,0.3257,0.9246,‎-0.0884,‎-0.0170,‎-0.0356,970.9760,‎-10.9039,‎-24.9863,‎-15.4816,173.0000,
0.3300,‎-0.1695,0.3257,0.9246,‎-0.0884,‎-0.0170,‎-0.0356,970.9760,‎-10.4538,‎-24.6857,‎-16.0812,173.0000,
0.3390,‎-0.1695,0.3257,0.9246,‎-0.0884,‎-0.0170,‎-0.0356,970.9760,‎-10.4538,‎-24.6857,‎-16.0812,173.0000,
0.3470,‎-0.1489,0.3078,0.9409,‎-0.0884,‎-0.0170,‎-0.0356,970.9760,‎-10.4538,‎-24.6857,‎-16.0812,173.0000,
