
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0180,0.1474,0.3553,0.8998,0.1294,‎-0.0957,0.0898,979.6968,‎-39.0823,‎-6.6071,‎-24.3347,10.0000,
0.0560,0.1474,0.3553,0.8998,0.1294,‎-0.0957,0.0898,979.6968,‎-39.5325,‎-6.0074,‎-23.2849,10.0000,
0.0880,0.1474,0.3553,0.8998,0.1294,‎-0.0957,0.0898,979.7885,‎-39.5325,‎-6.0074,‎-23.2849,10.0000,
0.0890,0.1474,0.3553,0.8998,0.1294,‎-0.0957,0.0898,979.7885,‎-39.5325,‎-6.0074,‎-23.2849,10.0000,
0.0900,0.1474,0.3553,0.8998,‎-0.0052,0.0154,‎-0.0277,979.7885,‎-39.5325,‎-6.0074,‎-23.2849,10.0000,
0.0950,0.1474,0.3553,0.8998,‎-0.0052,0.0154,‎-0.0277,979.7885,‎-39.5325,‎-6.0074,‎-23.2849,9.0000,
0.1270,0.1750,0.3665,0.9198,‎-0.0052,0.0154,‎-0.0277,979.7885,‎-39.5325,‎-6.0074,‎-23.2849,9.0000,
0.1800,0.1750,0.3665,0.9198,‎-0.0052,0.0154,‎-0.0277,979.7885,‎-39.5325,‎-6.0074,‎-23.2849,10.0000,
0.2540,0.1750,0.3665,0.9198,‎-0.0052,0.0154,‎-0.0277,979.7885,‎-40.8829,‎-6.9077,‎-24.1852,10.0000,
0.2630,0.1750,0.3665,0.9198,‎-0.0052,0.0154,‎-0.0277,979.7488,‎-40.8829,‎-6.9077,‎-24.1852,10.0000,
0.2670,0.1750,0.3665,0.9198,‎-0.0052,0.0154,‎-0.0277,979.7488,‎-40.8829,‎-6.9077,‎-24.1852,10.0000,
0.2700,0.1750,0.3665,0.9198,0.0044,‎-0.0060,‎-0.0608,979.7488,‎-40.8829,‎-6.9077,‎-24.1852,10.0000,
0.3260,0.1478,0.3660,0.8943,0.0044,‎-0.0060,‎-0.0608,979.7488,‎-40.8829,‎-6.9077,‎-24.1852,10.0000,
0.3420,0.1478,0.3660,0.8943,0.0044,‎-0.0060,‎-0.0608,979.7488,‎-40.8829,‎-6.9077,‎-24.1852,9.0000,
0.4550,0.1478,0.3660,0.8943,0.0044,‎-0.0060,‎-0.0608,979.7488,‎-39.8315,‎-6.3065,‎-24.4858,9.0000,
0.4660,0.1478,0.3660,0.8943,0.0044,‎-0.0060,‎-0.0608,979.7620,‎-39.8315,‎-6.3065,‎-24.4858,9.0000,
0.4670,0.1478,0.3660,0.8943,‎-0.0223,0.0688,‎-0.0768,979.7620,‎-39.8315,‎-6.3065,‎-24.4858,9.0000,
0.4680,0.1478,0.3660,0.8943,‎-0.0223,0.0688,‎-0.0768,979.7620,‎-39.8315,‎-6.3065,‎-24.4858,9.0000,
0.5260,0.1438,0.3613,0.9109,‎-0.0223,0.0688,‎-0.0768,979.7620,‎-39.8315,‎-6.3065,‎-24.4858,9.0000,
0.6570,0.1438,0.3613,0.9109,‎-0.0223,0.0688,‎-0.0768,979.7620,‎-38.7817,‎-9.1568,‎-25.2350,9.0000,
0.6650,0.1438,0.3613,0.9109,0.2010,0.0506,‎-0.4667,979.7620,‎-38.7817,‎-9.1568,‎-25.2350,9.0000,
0.6660,0.1438,0.3613,0.9109,0.2010,0.0506,‎-0.4667,979.7620,‎-38.7817,‎-9.1568,‎-25.2350,9.0000,
0.6680,0.1438,0.3613,0.9109,0.2010,0.0506,‎-0.4667,979.7620,‎-38.7817,‎-9.1568,‎-25.2350,9.0000,
0.7270,0.1749,0.3728,0.8716,0.2010,0.0506,‎-0.4667,979.7620,‎-38.7817,‎-9.1568,‎-25.2350,9.0000,
0.8580,0.1749,0.3728,0.8716,0.2010,0.0506,‎-0.4667,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,9.0000,
0.8650,0.1749,0.3728,0.8716,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,9.0000,
0.8660,0.1749,0.3728,0.8716,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,9.0000,
0.8670,0.1749,0.3728,0.8716,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,9.0000,
0.9240,0.1749,0.3728,0.8716,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,2.0000,
0.9280,0.3817,0.2552,0.6780,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,2.0000,
1.0070,0.3817,0.2552,0.6780,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-44.0323,‎-12.3077,‎-14.7354,0.0000,
1.0750,0.3817,0.2552,0.6780,‎-1.4717,‎-2.4424,‎-1.1236,979.7620,‎-47.9324,‎-7.6569,10.7651,0.0000,
1.0770,0.3817,0.2552,0.6780,0.3655,‎-2.7297,1.7667,979.7620,‎-47.9324,‎-7.6569,10.7651,0.0000,
1.0800,0.3817,0.2552,0.6780,0.3655,‎-2.7297,1.7667,979.7620,‎-47.9324,‎-7.6569,10.7651,0.0000,
1.0820,0.3817,0.2552,0.6780,0.3655,‎-2.7297,1.7667,979.7620,‎-47.9324,‎-7.6569,10.7651,0.0000,
1.1240,0.4189,‎-0.3148,0.3306,0.3655,‎-2.7297,1.7667,979.7620,‎-47.9324,‎-7.6569,10.7651,0.0000,
1.2690,0.4189,‎-0.3148,0.3306,0.3655,‎-2.7297,1.7667,979.7620,‎-37.2818,25.0427,21.4142,0.0000,
