
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0290,‎-0.2317,0.2617,1.0003,0.2817,‎-0.2124,‎-0.0208,987.0803,27.8412,‎-19.1940,‎-30.9586,0.0000,
0.0310,‎-0.2317,0.2617,1.0003,0.2817,‎-0.2124,‎-0.0208,987.1197,27.8412,‎-19.1940,‎-30.9586,0.0000,
0.0530,‎-0.1052,0.2744,0.7339,0.2817,‎-0.2124,‎-0.0208,987.1197,27.8412,‎-19.1940,‎-30.9586,0.0000,
0.1030,‎-0.1052,0.2744,0.7339,‎-0.0729,‎-0.2787,0.1266,987.1197,27.8412,‎-19.1940,‎-30.9586,0.0000,
0.1050,‎-0.1052,0.2744,0.7339,‎-0.0729,‎-0.2787,0.1266,987.1197,27.8412,‎-19.1940,‎-30.9586,0.0000,
0.2150,‎-0.1052,0.2744,0.7339,‎-0.0729,‎-0.2787,0.1266,987.1197,26.6418,‎-24.4446,‎-26.7593,0.0000,
0.2240,‎-0.1052,0.2744,0.7339,‎-0.0729,‎-0.2787,0.1266,987.0803,26.6418,‎-24.4446,‎-26.7593,0.0000,
0.2470,‎-0.1066,0.3752,1.1007,‎-0.0729,‎-0.2787,0.1266,987.0803,26.6418,‎-24.4446,‎-26.7593,0.0000,
0.3020,‎-0.1066,0.3752,1.1007,‎-0.4222,0.0589,0.2718,987.0803,26.6418,‎-24.4446,‎-26.7593,0.0000,
0.3040,‎-0.1066,0.3752,1.1007,‎-0.4222,0.0589,0.2718,987.0803,26.6418,‎-24.4446,‎-26.7593,0.0000,
0.4180,‎-0.1066,0.3752,1.1007,‎-0.4222,0.0589,0.2718,987.0803,24.9924,‎-25.1953,‎-27.8091,0.0000,
0.4250,‎-0.1066,0.3752,1.1007,‎-0.4222,0.0589,0.2718,987.1198,24.9924,‎-25.1953,‎-27.8091,0.0000,
0.4460,‎-0.0834,0.3637,0.7891,‎-0.4222,0.0589,0.2718,987.1198,24.9924,‎-25.1953,‎-27.8091,0.0000,
0.5010,‎-0.0834,0.3637,0.7891,0.8329,‎-0.4036,‎-0.3327,987.1198,24.9924,‎-25.1953,‎-27.8091,0.0000,
0.5020,‎-0.0834,0.3637,0.7891,0.8329,‎-0.4036,‎-0.3327,987.1198,24.9924,‎-25.1953,‎-27.8091,0.0000,
0.6220,‎-0.0834,0.3637,0.7891,0.8329,‎-0.4036,‎-0.3327,987.1198,25.5920,‎-29.8447,‎-22.7097,0.0000,
0.6310,‎-0.0834,0.3637,0.7891,0.8329,‎-0.4036,‎-0.3327,987.0804,25.5920,‎-29.8447,‎-22.7097,0.0000,
0.6510,‎-0.1463,0.4050,0.8917,0.8329,‎-0.4036,‎-0.3327,987.0804,25.5920,‎-29.8447,‎-22.7097,0.0000,
0.7110,‎-0.1463,0.4050,0.8917,‎-1.0235,0.3440,0.2579,987.0804,25.5920,‎-29.8447,‎-22.7097,0.0000,
0.7150,‎-0.1463,0.4050,0.8917,‎-1.0235,0.3440,0.2579,987.0804,25.5920,‎-29.8447,‎-22.7097,0.0000,
0.8190,‎-0.1463,0.4050,0.8917,‎-1.0235,0.3440,0.2579,987.0804,28.5919,‎-27.1454,‎-18.0588,0.0000,
0.8280,‎-0.1463,0.4050,0.8917,‎-1.0235,0.3440,0.2579,987.0804,28.5919,‎-27.1454,‎-18.0588,0.0000,
0.8530,‎-0.3355,0.3346,0.7425,‎-1.0235,0.3440,0.2579,987.0804,28.5919,‎-27.1454,‎-18.0588,0.0000,
0.9100,‎-0.3355,0.3346,0.7425,‎-0.4510,0.3900,‎-0.1554,987.0804,28.5919,‎-27.1454,‎-18.0588,0.0000,
0.9150,‎-0.3355,0.3346,0.7425,‎-0.4510,0.3900,‎-0.1554,987.0804,28.5919,‎-27.1454,‎-18.0588,0.0000,
1.0200,‎-0.3355,0.3346,0.7425,‎-0.4510,0.3900,‎-0.1554,987.0804,29.7913,‎-23.3948,‎-23.7595,0.0000,
