
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0190,‎-0.0026,0.2235,0.9533,‎-0.1810,‎-0.2031,‎-0.0453,1014.6858,19.8914,5.4047,‎-29.1595,166.0000,
0.0200,‎-0.0026,0.2235,0.9533,‎-0.0688,0.0874,0.0113,1014.6858,19.8914,5.4047,‎-29.1595,166.0000,
0.0210,‎-0.0026,0.2235,0.9533,‎-0.0688,0.0874,0.0113,1014.6858,19.8914,5.4047,‎-29.1595,166.0000,
0.0230,‎-0.0026,0.2235,0.9533,‎-0.0688,0.0874,0.0113,1014.6858,19.8914,5.4047,‎-29.1595,169.0000,
0.1270,‎-0.0026,0.2235,0.9533,‎-0.0688,0.0874,0.0113,1014.6858,21.2418,5.2551,‎-29.7592,169.0000,
0.1370,‎-0.0026,0.2235,0.9533,‎-0.0688,0.0874,0.0113,1014.7118,21.2418,5.2551,‎-29.7592,169.0000,
0.1790,0.0002,0.2055,0.9821,‎-0.0688,0.0874,0.0113,1014.7118,21.2418,5.2551,‎-29.7592,169.0000,
0.2020,0.0002,0.2055,0.9821,0.1149,0.0009,‎-0.0079,1014.7118,21.2418,5.2551,‎-29.7592,169.0000,
0.2030,0.0002,0.2055,0.9821,0.1149,0.0009,‎-0.0079,1014.7118,21.2418,5.2551,‎-29.7592,169.0000,
0.3300,0.0002,0.2055,0.9821,0.1149,0.0009,‎-0.0079,1014.7118,20.6421,4.9545,‎-29.3091,169.0000,
0.3390,0.0002,0.2055,0.9821,0.1149,0.0009,‎-0.0079,1014.7115,20.6421,4.9545,‎-29.3091,169.0000,
0.3760,0.0057,0.2180,0.9550,0.1149,0.0009,‎-0.0079,1014.7115,20.6421,4.9545,‎-29.3091,169.0000,
0.3830,0.0057,0.2180,0.9550,0.1149,0.0009,‎-0.0079,1014.7115,20.6421,4.9545,‎-29.3091,173.0000,
0.4030,0.0057,0.2180,0.9550,0.1149,0.0009,‎-0.0079,1014.7115,20.6421,4.9545,‎-29.3091,173.0000,
0.4050,0.0057,0.2180,0.9550,0.0102,0.0116,0.0241,1014.7115,20.6421,4.9545,‎-29.3091,173.0000,
0.4660,0.0057,0.2180,0.9550,0.0102,0.0116,0.0241,1014.7115,20.6421,4.9545,‎-29.3091,169.0000,
0.5400,0.0057,0.2180,0.9550,0.0102,0.0116,0.0241,1014.7115,20.7916,4.6555,‎-29.4586,169.0000,
0.5440,0.0057,0.2180,0.9550,0.0102,0.0116,0.0241,1014.6459,20.7916,4.6555,‎-29.4586,169.0000,
0.5510,0.0057,0.2180,0.9550,0.0102,0.0116,0.0241,1014.6459,20.7916,4.6555,‎-29.4586,170.0000,
0.5800,0.0035,0.2203,0.9646,0.0102,0.0116,0.0241,1014.6459,20.7916,4.6555,‎-29.4586,170.0000,
0.6030,0.0035,0.2203,0.9646,0.0871,0.0949,‎-0.0207,1014.6459,20.7916,4.6555,‎-29.4586,170.0000,
0.6070,0.0035,0.2203,0.9646,0.0871,0.0949,‎-0.0207,1014.6459,20.7916,4.6555,‎-29.4586,170.0000,
0.6740,0.0035,0.2203,0.9646,0.0871,0.0949,‎-0.0207,1014.6459,20.7916,4.6555,‎-29.4586,166.0000,
0.7320,0.0035,0.2203,0.9646,0.0871,0.0949,‎-0.0207,1014.6459,20.7916,4.2053,‎-29.3091,166.0000,
0.7410,0.0035,0.2203,0.9646,0.0871,0.0949,‎-0.0207,1014.7375,20.7916,4.2053,‎-29.3091,166.0000,
0.7550,0.0035,0.2203,0.9646,0.0871,0.0949,‎-0.0207,1014.7375,20.7916,4.2053,‎-29.3091,160.0000,
0.7740,‎-0.0109,0.2307,0.9529,0.0871,0.0949,‎-0.0207,1014.7375,20.7916,4.2053,‎-29.3091,160.0000,
0.8010,‎-0.0109,0.2307,0.9529,‎-0.0934,0.0874,0.0327,1014.7375,20.7916,4.2053,‎-29.3091,160.0000,
0.8040,‎-0.0109,0.2307,0.9529,‎-0.0934,0.0874,0.0327,1014.7375,20.7916,4.2053,‎-29.3091,160.0000,
0.8390,‎-0.0109,0.2307,0.9529,‎-0.0934,0.0874,0.0327,1014.7375,20.7916,4.2053,‎-29.3091,154.0000,
0.9200,‎-0.0109,0.2307,0.9529,‎-0.0934,0.0874,0.0327,1014.7375,20.7916,4.2053,‎-29.3091,164.0000,
0.9340,‎-0.0109,0.2307,0.9529,‎-0.0934,0.0874,0.0327,1014.7375,20.4910,3.9047,‎-28.8589,164.0000,
0.9430,‎-0.0109,0.2307,0.9529,‎-0.0934,0.0874,0.0327,1014.7111,20.4910,3.9047,‎-28.8589,164.0000,
1.0070,‎-0.0099,0.2475,0.9922,‎-0.0934,0.0874,0.0327,1014.7111,20.4910,3.9047,‎-28.8589,164.0000,
