
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0410,‎-0.0120,0.0352,0.9834,0.0726,‎-0.0299,‎-0.0005,1010.8881,27.2766,‎-17.5995,‎-39.8224,11.0000,
0.0410,‎-0.0120,0.0352,0.9834,0.0726,‎-0.0299,‎-0.0005,1010.8881,27.2766,‎-17.5995,‎-39.8224,11.0000,
0.0900,‎-0.0120,0.0352,0.9834,0.0726,‎-0.0299,‎-0.0005,1010.9142,27.2766,‎-17.5995,‎-39.8224,11.0000,
0.1660,‎-0.0160,0.0326,0.9913,0.0726,‎-0.0299,‎-0.0005,1010.9142,27.2766,‎-17.5995,‎-39.8224,11.0000,
0.1800,‎-0.0160,0.0326,0.9913,0.0726,‎-0.0299,‎-0.0005,1010.9142,27.3682,‎-17.4789,‎-39.6072,11.0000,
0.2390,‎-0.0160,0.0326,0.9913,‎-0.0268,0.0053,‎-0.0005,1010.9142,27.3682,‎-17.4789,‎-39.6072,11.0000,
0.2410,‎-0.0160,0.0326,0.9913,‎-0.0268,0.0053,‎-0.0005,1010.9142,27.3682,‎-17.4789,‎-39.6072,11.0000,
0.2910,‎-0.0160,0.0326,0.9913,‎-0.0268,0.0053,‎-0.0005,1010.9799,27.3682,‎-17.4789,‎-39.6072,11.0000,
0.3660,‎-0.0168,0.0338,0.9817,‎-0.0268,0.0053,‎-0.0005,1010.9799,27.3682,‎-17.4789,‎-39.6072,11.0000,
0.3820,‎-0.0168,0.0338,0.9817,‎-0.0268,0.0053,‎-0.0005,1010.9799,27.2125,‎-17.9855,‎-39.3631,11.0000,
0.4400,‎-0.0168,0.0338,0.9817,‎-0.0268,0.0053,‎-0.0005,1010.9799,27.2125,‎-17.9855,‎-39.3631,11.0000,
0.4420,‎-0.0168,0.0338,0.9817,‎-0.0075,0.0032,‎-0.0005,1010.9799,27.2125,‎-17.9855,‎-39.3631,11.0000,
0.5010,‎-0.0168,0.0338,0.9817,‎-0.0075,0.0032,‎-0.0005,1010.9274,27.2125,‎-17.9855,‎-39.3631,11.0000,
0.5690,‎-0.0161,0.0344,0.9779,‎-0.0075,0.0032,‎-0.0005,1010.9274,27.2125,‎-17.9855,‎-39.3631,11.0000,
0.5870,‎-0.0161,0.0344,0.9779,‎-0.0075,0.0032,‎-0.0005,1010.9274,27.3621,‎-17.9855,‎-39.4867,11.0000,
0.6440,‎-0.0161,0.0344,0.9779,0.0042,0.0000,‎-0.0005,1010.9274,27.3621,‎-17.9855,‎-39.4867,11.0000,
0.6480,‎-0.0161,0.0344,0.9779,0.0042,0.0000,‎-0.0005,1010.9274,27.3621,‎-17.9855,‎-39.4867,11.0000,
0.7010,‎-0.0161,0.0344,0.9779,0.0042,0.0000,‎-0.0005,1010.9538,27.3621,‎-17.9855,‎-39.4867,11.0000,
0.7690,‎-0.0169,0.0344,0.9822,0.0042,0.0000,‎-0.0005,1010.9538,27.3621,‎-17.9855,‎-39.4867,11.0000,
0.7910,‎-0.0169,0.0344,0.9822,0.0042,0.0000,‎-0.0005,1010.9538,27.3621,‎-17.9352,‎-39.3860,11.0000,
0.8440,‎-0.0169,0.0344,0.9822,0.0010,0.0000,0.0005,1010.9538,27.3621,‎-17.9352,‎-39.3860,11.0000,
0.8480,‎-0.0169,0.0344,0.9822,0.0010,0.0000,0.0005,1010.9538,27.3621,‎-17.9352,‎-39.3860,11.0000,
0.8960,‎-0.0169,0.0344,0.9822,0.0010,0.0000,0.0005,1010.9800,27.3621,‎-17.9352,‎-39.3860,11.0000,
0.9700,‎-0.0165,0.0344,0.9817,0.0010,0.0000,0.0005,1010.9800,27.3621,‎-17.9352,‎-39.3860,11.0000,
0.9900,‎-0.0165,0.0344,0.9817,0.0010,0.0000,0.0005,1010.9800,27.2766,‎-18.0878,‎-39.2502,11.0000,
1.0450,‎-0.0165,0.0344,0.9817,‎-0.0022,0.0000,‎-0.0005,1010.9800,27.2766,‎-18.0878,‎-39.2502,11.0000,
1.0490,‎-0.0165,0.0344,0.9817,‎-0.0022,0.0000,‎-0.0005,1010.9800,27.2766,‎-18.0878,‎-39.2502,11.0000,
1.1010,‎-0.0165,0.0344,0.9817,‎-0.0022,0.0000,‎-0.0005,1010.9539,27.2766,‎-18.0878,‎-39.2502,11.0000,
1.1690,‎-0.0160,0.0337,0.9818,‎-0.0022,0.0000,‎-0.0005,1010.9539,27.2766,‎-18.0878,‎-39.2502,11.0000,
1.1910,‎-0.0160,0.0337,0.9818,‎-0.0022,0.0000,‎-0.0005,1010.9539,27.6337,‎-18.3578,‎-39.3066,11.0000,
1.2400,‎-0.0160,0.0337,0.9818,‎-0.0001,‎-0.0011,‎-0.0005,1010.9539,27.6337,‎-18.3578,‎-39.3066,11.0000,
1.2410,‎-0.0160,0.0337,0.9818,‎-0.0001,‎-0.0011,‎-0.0005,1010.9539,27.6337,‎-18.3578,‎-39.3066,11.0000,
1.2990,‎-0.0160,0.0337,0.9818,‎-0.0001,‎-0.0011,‎-0.0005,1010.9146,27.6337,‎-18.3578,‎-39.3066,11.0000,
1.3900,‎-0.0161,0.0341,0.9813,‎-0.0001,‎-0.0011,‎-0.0005,1010.9146,27.6337,‎-18.3578,‎-39.3066,11.0000,
1.3980,‎-0.0161,0.0341,0.9813,‎-0.0001,‎-0.0011,‎-0.0005,1010.9146,27.1271,‎-18.0206,‎-39.5218,11.0000,
1.4450,‎-0.0161,0.0341,0.9813,‎-0.0001,0.0000,0.0005,1010.9146,27.1271,‎-18.0206,‎-39.5218,11.0000,
1.4500,‎-0.0161,0.0341,0.9813,‎-0.0001,0.0000,0.0005,1010.9146,27.1271,‎-18.0206,‎-39.5218,11.0000,
1.5020,‎-0.0161,0.0341,0.9813,‎-0.0001,0.0000,0.0005,1010.9540,27.1271,‎-18.0206,‎-39.5218,11.0000,
1.5870,‎-0.0161,0.0341,0.9809,‎-0.0001,0.0000,0.0005,1010.9540,27.1271,‎-18.0206,‎-39.5218,11.0000,
1.5960,‎-0.0161,0.0341,0.9809,‎-0.0001,0.0000,0.0005,1010.9540,27.7832,‎-18.4067,‎-39.3066,11.0000,
1.6420,‎-0.0161,0.0341,0.9809,‎-0.0001,‎-0.0011,‎-0.0005,1010.9540,27.7832,‎-18.4067,‎-39.3066,11.0000,
1.6450,‎-0.0161,0.0341,0.9809,‎-0.0001,‎-0.0011,‎-0.0005,1010.9540,27.7832,‎-18.4067,‎-39.3066,11.0000,
1.7050,‎-0.0161,0.0341,0.9809,‎-0.0001,‎-0.0011,‎-0.0005,1010.9147,27.7832,‎-18.4067,‎-39.3066,11.0000,
1.7890,‎-0.0163,0.0333,0.9819,‎-0.0001,‎-0.0011,‎-0.0005,1010.9147,27.7832,‎-18.4067,‎-39.3066,11.0000,
