
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0310,‎-0.0636,0.6134,0.7903,‎-0.0125,‎-0.0203,‎-0.0006,1010.8693,‎-6.3873,‎-51.0208,‎-15.4297,13.0000,
0.0410,‎-0.0636,0.6134,0.7903,‎-0.0125,‎-0.0203,‎-0.0006,1010.8955,‎-6.3873,‎-51.0208,‎-15.4297,13.0000,
0.0800,‎-0.0636,0.6134,0.7903,‎-0.0435,0.0224,0.0026,1010.8955,‎-6.3873,‎-51.0208,‎-15.4297,13.0000,
0.0830,‎-0.0636,0.6134,0.7903,‎-0.0435,0.0224,0.0026,1010.8955,‎-6.3873,‎-51.0208,‎-15.4297,13.0000,
0.0890,‎-0.0637,0.6134,0.7866,‎-0.0435,0.0224,0.0026,1010.8955,‎-6.3873,‎-51.0208,‎-15.4297,13.0000,
0.2280,‎-0.0637,0.6134,0.7866,‎-0.0435,0.0224,0.0026,1010.8955,‎-6.5384,‎-51.3214,‎-15.1306,13.0000,
0.2380,‎-0.0637,0.6134,0.7866,‎-0.0435,0.0224,0.0026,1010.9349,‎-6.5384,‎-51.3214,‎-15.1306,13.0000,
0.3410,‎-0.0637,0.6134,0.7866,‎-0.0435,0.0224,0.0026,1010.9349,‎-6.5384,‎-51.3214,‎-15.1306,13.0000,
0.4300,‎-0.0637,0.6134,0.7866,‎-0.0435,0.0224,0.0026,1010.9349,‎-5.4886,‎-51.3214,‎-15.5792,13.0000,
0.4410,‎-0.0637,0.6134,0.7866,0.0026,0.0056,‎-0.0117,1010.9349,‎-5.4886,‎-51.3214,‎-15.5792,13.0000,
0.4430,‎-0.0637,0.6134,0.7866,0.0026,0.0056,‎-0.0117,1010.8693,‎-5.4886,‎-51.3214,‎-15.5792,13.0000,
0.5410,‎-0.0637,0.6134,0.7866,0.0026,0.0056,‎-0.0117,1010.8693,‎-5.4886,‎-51.3214,‎-15.5792,13.0000,
0.5430,‎-0.0697,0.6120,0.7937,0.0026,0.0056,‎-0.0117,1010.8693,‎-5.4886,‎-51.3214,‎-15.5792,13.0000,
