
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0700,‎-0.0189,0.4480,0.7307,‎-0.3214,‎-0.2993,0.0664,981.7006,15.8768,7.4265,‎-42.9611,2137.0000,
0.0960,‎-0.0189,0.4480,0.7307,‎-0.3214,‎-0.2993,0.0664,981.7006,14.2258,5.7770,‎-44.0109,2137.0000,
0.1230,‎-0.0189,0.4480,0.7307,‎-0.3214,‎-0.2993,0.0664,981.7003,14.2258,5.7770,‎-44.0109,2137.0000,
0.1530,‎-0.0189,0.4480,0.7307,‎-0.3214,‎-0.2993,0.0664,981.7003,14.2258,5.7770,‎-44.0109,2153.0000,
0.1540,‎-0.0189,0.4480,0.7307,0.4679,‎-0.7469,‎-1.0572,981.7003,14.2258,5.7770,‎-44.0109,2153.0000,
0.1550,‎-0.0189,0.4480,0.7307,0.4679,‎-0.7469,‎-1.0572,981.7003,14.2258,5.7770,‎-44.0109,2153.0000,
0.1610,0.1332,0.4693,0.8535,0.4679,‎-0.7469,‎-1.0572,981.7003,14.2258,5.7770,‎-44.0109,2153.0000,
0.2360,0.1332,0.4693,0.8535,0.4679,‎-0.7469,‎-1.0572,981.7003,14.2258,5.7770,‎-44.0109,2068.0000,
0.3010,0.1332,0.4693,0.8535,0.4679,‎-0.7469,‎-1.0572,981.7003,15.4266,8.3267,‎-44.3115,2068.0000,
0.3080,0.1332,0.4693,0.8535,0.4679,‎-0.7469,‎-1.0572,981.7266,15.4266,8.3267,‎-44.3115,2068.0000,
0.3210,0.1332,0.4693,0.8535,0.4679,‎-0.7469,‎-1.0572,981.7266,15.4266,8.3267,‎-44.3115,2078.0000,
0.3510,0.1332,0.4693,0.8535,‎-1.0456,0.6929,‎-0.3202,981.7266,15.4266,8.3267,‎-44.3115,2078.0000,
0.3520,0.1332,0.4693,0.8535,‎-1.0456,0.6929,‎-0.3202,981.7266,15.4266,8.3267,‎-44.3115,2078.0000,
0.3610,‎-0.0010,0.5163,0.9905,‎-1.0456,0.6929,‎-0.3202,981.7266,15.4266,8.3267,‎-44.3115,2078.0000,
0.4040,‎-0.0010,0.5163,0.9905,‎-1.0456,0.6929,‎-0.3202,981.7266,15.4266,8.3267,‎-44.3115,2188.0000,
0.5000,‎-0.0010,0.5163,0.9905,‎-1.0456,0.6929,‎-0.3202,981.7266,12.4268,13.1271,‎-44.3115,2188.0000,
0.5100,‎-0.0010,0.5163,0.9905,‎-1.0456,0.6929,‎-0.3202,981.7921,12.4268,13.1271,‎-44.3115,2188.0000,
0.5530,‎-0.0010,0.5163,0.9905,1.0575,0.3362,0.1059,981.7921,12.4268,13.1271,‎-44.3115,2188.0000,
0.5590,‎-0.0010,0.5163,0.9905,1.0575,0.3362,0.1059,981.7921,12.4268,13.1271,‎-44.3115,2188.0000,
0.5640,0.0140,0.3233,0.7876,1.0575,0.3362,0.1059,981.7921,12.4268,13.1271,‎-44.3115,2188.0000,
0.5690,0.0140,0.3233,0.7876,1.0575,0.3362,0.1059,981.7921,12.4268,13.1271,‎-44.3115,2264.0000,
0.6530,0.0140,0.3233,0.7876,1.0575,0.3362,0.1059,981.7921,12.4268,13.1271,‎-44.3115,2171.0000,
0.7110,0.0140,0.3233,0.7876,1.0575,0.3362,0.1059,981.7921,16.4764,6.8268,‎-43.4113,2171.0000,
