
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,Latitude,Longitude,Speed (m/s),
0.0670,‎-0.1358,0.2818,0.7670,0.3491,‎-0.1578,‎-0.0656,981.8723,30.7266,‎-17.4728,‎-24.3607,0.0000,32.879750,35.271063,2.463331,
0.1480,‎-0.1358,0.2818,0.7670,0.1451,‎-0.3746,0.1053,981.8723,30.7266,‎-17.4728,‎-24.3607,0.0000,32.879750,35.271063,2.463331,
0.1490,‎-0.1358,0.2818,0.7670,0.1451,‎-0.3746,0.1053,981.8723,30.7266,‎-17.4728,‎-24.3607,0.0000,32.879750,35.271063,2.463331,
0.1530,‎-0.1358,0.2818,0.7670,0.1451,‎-0.3746,0.1053,981.8723,29.0756,‎-19.5740,‎-25.4120,0.0000,32.879750,35.271063,2.463331,
0.1630,‎-0.1358,0.2818,0.7670,0.1451,‎-0.3746,0.1053,981.8462,29.0756,‎-19.5740,‎-25.4120,0.0000,32.879750,35.271063,2.463331,
0.2680,‎-0.0368,0.4310,1.0336,0.1451,‎-0.3746,0.1053,981.8462,29.0756,‎-19.5740,‎-25.4120,0.0000,32.879750,35.271063,2.463331,
0.3480,‎-0.0368,0.4310,1.0336,‎-0.2223,0.2919,‎-0.0357,981.8462,29.0756,‎-19.5740,‎-25.4120,0.0000,32.879750,35.271063,2.463331,
0.3490,‎-0.0368,0.4310,1.0336,‎-0.2223,0.2919,‎-0.0357,981.8462,29.0756,‎-19.5740,‎-25.4120,0.0000,32.879750,35.271063,2.463331,
0.3550,‎-0.0368,0.4310,1.0336,‎-0.2223,0.2919,‎-0.0357,981.8462,28.6255,‎-18.2236,‎-26.0117,0.0000,32.879750,35.271063,2.463331,
0.3650,‎-0.0368,0.4310,1.0336,‎-0.2223,0.2919,‎-0.0357,981.8724,28.6255,‎-18.2236,‎-26.0117,0.0000,32.879750,35.271063,2.463331,
0.4680,0.0306,0.3217,0.9158,‎-0.2223,0.2919,‎-0.0357,981.8724,28.6255,‎-18.2236,‎-26.0117,0.0000,32.879750,35.271063,2.463331,
0.5480,0.0306,0.3217,0.9158,‎-0.2223,0.2919,‎-0.0357,981.8724,28.6255,‎-18.2236,‎-26.0117,0.0000,32.879750,35.271063,2.463331,
0.5490,0.0306,0.3217,0.9158,1.2442,‎-1.0860,‎-0.1478,981.8724,28.6255,‎-18.2236,‎-26.0117,0.0000,32.879750,35.271063,2.463331,
0.5570,0.0306,0.3217,0.9158,1.2442,‎-1.0860,‎-0.1478,981.8724,28.3264,‎-23.0240,‎-23.7610,0.0000,32.879750,35.271063,2.463331,
0.5660,0.0306,0.3217,0.9158,1.2442,‎-1.0860,‎-0.1478,981.8461,28.3264,‎-23.0240,‎-23.7610,0.0000,32.879750,35.271063,2.463331,
0.6710,0.0396,0.4129,0.6978,1.2442,‎-1.0860,‎-0.1478,981.8461,28.3264,‎-23.0240,‎-23.7610,0.0000,32.879750,35.271063,2.463331,
