
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0320,0.0049,0.3498,0.8493,0.2227,‎-0.4274,‎-0.1030,984.4571,‎-12.8082,‎-33.1451,‎-25.1099,0.0000,
0.0340,0.0049,0.3498,0.8493,0.2227,‎-0.4274,‎-0.1030,984.4833,‎-12.8082,‎-33.1451,‎-25.1099,0.0000,
0.0450,0.0049,0.3498,0.8493,0.2227,‎-0.4274,‎-0.1030,984.4833,‎-12.8082,‎-33.1451,‎-25.1099,0.0000,
0.0460,0.0049,0.3498,0.8493,‎-0.0261,0.2861,0.2110,984.4833,‎-12.8082,‎-33.1451,‎-25.1099,0.0000,
0.1450,0.0482,0.3196,1.0769,‎-0.0261,0.2861,0.2110,984.4833,‎-12.8082,‎-33.1451,‎-25.1099,0.0000,
0.2260,0.0482,0.3196,1.0769,‎-0.0261,0.2861,0.2110,984.4833,‎-10.8582,‎-33.8943,‎-25.8591,0.0000,
0.2380,0.0482,0.3196,1.0769,‎-0.0261,0.2861,0.2110,984.4307,‎-10.8582,‎-33.8943,‎-25.8591,0.0000,
0.2500,0.0482,0.3196,1.0769,0.8615,0.1707,‎-0.4939,984.4307,‎-10.8582,‎-33.8943,‎-25.8591,0.0000,
0.2510,0.0482,0.3196,1.0769,0.8615,0.1707,‎-0.4939,984.4307,‎-10.8582,‎-33.8943,‎-25.8591,0.0000,
0.3470,‎-0.0286,0.2725,0.7756,0.8615,0.1707,‎-0.4939,984.4307,‎-10.8582,‎-33.8943,‎-25.8591,0.0000,
0.4270,‎-0.0286,0.2725,0.7756,0.8615,0.1707,‎-0.4939,984.4307,‎-8.0078,‎-37.0453,‎-21.9589,0.0000,
0.4380,‎-0.0286,0.2725,0.7756,0.8615,0.1707,‎-0.4939,984.4569,‎-8.0078,‎-37.0453,‎-21.9589,0.0000,
0.4440,‎-0.0286,0.2725,0.7756,0.8615,0.1707,‎-0.4939,984.4569,‎-8.0078,‎-37.0453,‎-21.9589,0.0000,
0.4450,‎-0.0286,0.2725,0.7756,0.5902,‎-0.2971,0.2548,984.4569,‎-8.0078,‎-37.0453,‎-21.9589,0.0000,
0.5660,‎-0.1073,0.3888,1.0499,0.5902,‎-0.2971,0.2548,984.4569,‎-8.0078,‎-37.0453,‎-21.9589,0.0000,
0.6280,‎-0.1073,0.3888,1.0499,0.5902,‎-0.2971,0.2548,984.4569,‎-12.9578,‎-35.9955,‎-21.3593,0.0000,
0.6380,‎-0.1073,0.3888,1.0499,0.5902,‎-0.2971,0.2548,984.4568,‎-12.9578,‎-35.9955,‎-21.3593,0.0000,
0.6430,‎-0.1073,0.3888,1.0499,0.2292,0.3512,0.5261,984.4568,‎-12.9578,‎-35.9955,‎-21.3593,0.0000,
0.6450,‎-0.1073,0.3888,1.0499,0.2292,0.3512,0.5261,984.4568,‎-12.9578,‎-35.9955,‎-21.3593,0.0000,
0.7630,‎-0.0696,0.4461,0.8842,0.2292,0.3512,0.5261,984.4568,‎-12.9578,‎-35.9955,‎-21.3593,0.0000,
0.8310,‎-0.0696,0.4461,0.8842,0.2292,0.3512,0.5261,984.4568,‎-11.6089,‎-40.0452,‎-15.3595,0.0000,
0.8410,‎-0.0696,0.4461,0.8842,0.2292,0.3512,0.5261,984.4566,‎-11.6089,‎-40.0452,‎-15.3595,0.0000,
0.8450,‎-0.0696,0.4461,0.8842,2.2340,2.0228,‎-0.6467,984.4566,‎-11.6089,‎-40.0452,‎-15.3595,0.0000,
0.8470,‎-0.0696,0.4461,0.8842,2.2340,2.0228,‎-0.6467,984.4566,‎-11.6089,‎-40.0452,‎-15.3595,0.0000,
0.9630,‎-0.0030,0.6259,0.6255,2.2340,2.0228,‎-0.6467,984.4566,‎-11.6089,‎-40.0452,‎-15.3595,0.0000,
1.0340,‎-0.0030,0.6259,0.6255,2.2340,2.0228,‎-0.6467,984.4566,‎-6.8085,‎-42.2943,‎-10.8597,0.0000,
1.0480,‎-0.0030,0.6259,0.6255,2.2340,2.0228,‎-0.6467,984.4829,‎-6.8085,‎-42.2943,‎-10.8597,0.0000,
1.0520,‎-0.0030,0.6259,0.6255,2.2340,2.0228,‎-0.6467,984.4829,‎-6.8085,‎-42.2943,‎-10.8597,0.0000,
1.0530,‎-0.0030,0.6259,0.6255,0.0241,1.6137,‎-0.2568,984.4829,‎-6.8085,‎-42.2943,‎-10.8597,0.0000,
1.1680,‎-0.1584,0.6390,0.6897,0.0241,1.6137,‎-0.2568,984.4829,‎-6.8085,‎-42.2943,‎-10.8597,0.0000,
1.2380,‎-0.1584,0.6390,0.6897,0.0241,1.6137,‎-0.2568,984.4829,5.3421,‎-42.5949,‎-12.2086,0.0000,
1.2480,‎-0.1584,0.6390,0.6897,‎-0.7717,2.7331,‎-0.4309,984.4829,5.3421,‎-42.5949,‎-12.2086,0.0000,
1.2530,‎-0.1584,0.6390,0.6897,‎-0.7717,2.7331,‎-0.4309,984.4828,5.3421,‎-42.5949,‎-12.2086,0.0000,
1.2610,‎-0.1584,0.6390,0.6897,‎-0.7717,2.7331,‎-0.4309,984.4828,5.3421,‎-42.5949,‎-12.2086,0.0000,
1.3650,‎-0.4866,0.2843,0.3007,‎-0.7717,2.7331,‎-0.4309,984.4828,5.3421,‎-42.5949,‎-12.2086,0.0000,
1.4350,‎-0.4866,0.2843,0.3007,‎-0.7717,2.7331,‎-0.4309,984.4828,17.3416,‎-39.7446,‎-10.4095,0.0000,
1.4430,‎-0.4866,0.2843,0.3007,‎-0.7279,2.7502,‎-2.3599,984.4828,17.3416,‎-39.7446,‎-10.4095,0.0000,
1.4450,‎-0.4866,0.2843,0.3007,‎-0.7279,2.7502,‎-2.3599,984.4828,17.3416,‎-39.7446,‎-10.4095,0.0000,
1.4460,‎-0.4866,0.2843,0.3007,‎-0.7279,2.7502,‎-2.3599,984.4957,17.3416,‎-39.7446,‎-10.4095,0.0000,
1.5620,‎-1.0175,‎-0.3296,0.0274,‎-0.7279,2.7502,‎-2.3599,984.4957,17.3416,‎-39.7446,‎-10.4095,0.0000,
1.6380,‎-1.0175,‎-0.3296,0.0274,‎-0.7279,2.7502,‎-2.3599,984.4957,39.2410,‎-11.2442,‎-14.7598,0.0000,
1.6430,‎-1.0175,‎-0.3296,0.0274,‎-0.7279,2.7502,‎-2.3599,984.4957,39.2410,‎-11.2442,‎-14.7598,0.0000,
1.6450,‎-1.0175,‎-0.3296,0.0274,‎-1.8975,1.4343,‎-3.7282,984.4957,39.2410,‎-11.2442,‎-14.7598,0.0000,
1.6460,‎-1.0175,‎-0.3296,0.0274,‎-1.8975,1.4343,‎-3.7282,984.5219,39.2410,‎-11.2442,‎-14.7598,0.0000,
1.7670,‎-1.4160,‎-0.6872,0.3777,‎-1.8975,1.4343,‎-3.7282,984.5219,39.2410,‎-11.2442,‎-14.7598,0.0000,
1.8500,‎-1.4160,‎-0.6872,0.3777,‎-1.8975,1.4343,‎-3.7282,984.5219,40.8920,9.9060,‎-12.8098,0.0000,
1.8520,‎-1.4160,‎-0.6872,0.3777,0.3819,‎-0.1145,‎-0.6221,984.5219,40.8920,9.9060,‎-12.8098,0.0000,
1.8540,‎-1.4160,‎-0.6872,0.3777,0.3819,‎-0.1145,‎-0.6221,984.5219,40.8920,9.9060,‎-12.8098,0.0000,
1.8550,‎-1.4160,‎-0.6872,0.3777,0.3819,‎-0.1145,‎-0.6221,984.4824,40.8920,9.9060,‎-12.8098,0.0000,
1.9620,‎-1.2110,‎-0.2452,0.2277,0.3819,‎-0.1145,‎-0.6221,984.4824,40.8920,9.9060,‎-12.8098,0.0000,
2.0380,‎-1.2110,‎-0.2452,0.2277,0.3819,‎-0.1145,‎-0.6221,984.4824,41.0416,10.6552,‎-10.4095,0.0000,
2.0430,‎-1.2110,‎-0.2452,0.2277,0.6361,0.7005,1.5387,984.4824,41.0416,10.6552,‎-10.4095,0.0000,
2.0480,‎-1.2110,‎-0.2452,0.2277,0.6361,0.7005,1.5387,984.4824,41.0416,10.6552,‎-10.4095,0.0000,
2.0490,‎-1.2110,‎-0.2452,0.2277,0.6361,0.7005,1.5387,984.5216,41.0416,10.6552,‎-10.4095,0.0000,
2.1660,‎-1.4924,‎-0.7173,0.1029,0.6361,0.7005,1.5387,984.5216,41.0416,10.6552,‎-10.4095,0.0000,
