
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0130,‎-0.0651,0.4002,0.7612,0.1376,0.1362,‎-0.0033,987.9363,‎-25.7080,‎-22.4945,‎-33.9584,0.0000,
0.0140,‎-0.0651,0.4002,0.7612,0.1376,0.1362,‎-0.0033,988.0283,‎-25.7080,‎-22.4945,‎-33.9584,0.0000,
0.0160,‎-0.0651,0.4002,0.7612,‎-0.2533,0.1181,0.6814,988.0283,‎-25.7080,‎-22.4945,‎-33.9584,0.0000,
0.0170,‎-0.0651,0.4002,0.7612,‎-0.2533,0.1181,0.6814,988.0283,‎-25.7080,‎-22.4945,‎-33.9584,0.0000,
0.0950,‎-0.1180,0.4459,1.0778,‎-0.2533,0.1181,0.6814,988.0283,‎-25.7080,‎-22.4945,‎-33.9584,0.0000,
0.1910,‎-0.1180,0.4459,1.0778,‎-0.2533,0.1181,0.6814,988.0283,‎-26.1581,‎-18.2953,‎-36.6592,0.0000,
0.2000,‎-0.1180,0.4459,1.0778,‎-0.2533,0.1181,0.6814,988.0153,‎-26.1581,‎-18.2953,‎-36.6592,0.0000,
0.2050,‎-0.1180,0.4459,1.0778,0.1878,0.2697,0.4656,988.0153,‎-26.1581,‎-18.2953,‎-36.6592,0.0000,
0.2070,‎-0.1180,0.4459,1.0778,0.1878,0.2697,0.4656,988.0153,‎-26.1581,‎-18.2953,‎-36.6592,0.0000,
0.3160,‎-0.1649,0.3891,0.8206,0.1878,0.2697,0.4656,988.0153,‎-26.1581,‎-18.2953,‎-36.6592,0.0000,
0.3920,‎-0.1649,0.3891,0.8206,0.1878,0.2697,0.4656,988.0153,‎-20.6085,‎-12.5946,‎-42.5095,0.0000,
0.4040,‎-0.1649,0.3891,0.8206,0.1878,0.2697,0.4656,987.9629,‎-20.6085,‎-12.5946,‎-42.5095,0.0000,
0.4060,‎-0.1649,0.3891,0.8206,‎-0.7083,0.9170,‎-0.7435,987.9629,‎-20.6085,‎-12.5946,‎-42.5095,0.0000,
0.4070,‎-0.1649,0.3891,0.8206,‎-0.7083,0.9170,‎-0.7435,987.9629,‎-20.6085,‎-12.5946,‎-42.5095,0.0000,
0.5170,‎-0.1969,0.3816,0.8008,‎-0.7083,0.9170,‎-0.7435,987.9629,‎-20.6085,‎-12.5946,‎-42.5095,0.0000,
0.5960,‎-0.1969,0.3816,0.8008,‎-0.7083,0.9170,‎-0.7435,987.9629,‎-24.2081,‎-20.6955,‎-35.9085,0.0000,
0.6050,‎-0.1969,0.3816,0.8008,‎-0.2351,‎-0.0827,0.7828,987.9629,‎-24.2081,‎-20.6955,‎-35.9085,0.0000,
0.6080,‎-0.1969,0.3816,0.8008,‎-0.2351,‎-0.0827,0.7828,988.0286,‎-24.2081,‎-20.6955,‎-35.9085,0.0000,
0.6140,‎-0.1969,0.3816,0.8008,‎-0.2351,‎-0.0827,0.7828,988.0286,‎-24.2081,‎-20.6955,‎-35.9085,0.0000,
0.7130,‎-0.1723,0.5089,0.9915,‎-0.2351,‎-0.0827,0.7828,988.0286,‎-24.2081,‎-20.6955,‎-35.9085,0.0000,
0.7970,‎-0.1723,0.5089,0.9915,‎-0.2351,‎-0.0827,0.7828,988.0286,‎-24.5087,‎-17.5446,‎-37.4084,0.0000,
0.8100,‎-0.1723,0.5089,0.9915,0.0874,0.4492,‎-0.2693,988.0286,‎-24.5087,‎-17.5446,‎-37.4084,0.0000,
0.8130,‎-0.1723,0.5089,0.9915,0.0874,0.4492,‎-0.2693,988.0286,‎-24.5087,‎-17.5446,‎-37.4084,0.0000,
0.8160,‎-0.1723,0.5089,0.9915,0.0874,0.4492,‎-0.2693,988.0158,‎-24.5087,‎-17.5446,‎-37.4084,0.0000,
0.9170,‎-0.0944,0.3240,0.6689,0.0874,0.4492,‎-0.2693,988.0158,‎-24.5087,‎-17.5446,‎-37.4084,0.0000,
1.0020,‎-0.0944,0.3240,0.6689,0.0874,0.4492,‎-0.2693,988.0158,‎-7.5577,‎-22.0444,‎-42.0593,0.0000,
1.0120,‎-0.0944,0.3240,0.6689,0.3171,3.2562,‎-0.0535,988.0158,‎-7.5577,‎-22.0444,‎-42.0593,0.0000,
1.0130,‎-0.0944,0.3240,0.6689,0.3171,3.2562,‎-0.0535,988.0158,‎-7.5577,‎-22.0444,‎-42.0593,0.0000,
1.0140,‎-0.0944,0.3240,0.6689,0.3171,3.2562,‎-0.0535,988.0159,‎-7.5577,‎-22.0444,‎-42.0593,0.0000,
1.1150,‎-0.4346,0.1837,0.3075,0.3171,3.2562,‎-0.0535,988.0159,‎-7.5577,‎-22.0444,‎-42.0593,0.0000,
1.2110,‎-0.4346,0.1837,0.3075,0.3171,3.2562,‎-0.0535,988.0159,20.3415,‎-13.0447,‎-40.5594,0.0000,
1.2120,‎-0.4346,0.1837,0.3075,0.3171,3.2562,‎-0.0535,988.0159,20.3415,‎-13.0447,‎-40.5594,0.0000,
1.2140,‎-0.4346,0.1837,0.3075,‎-1.6087,4.4290,‎-2.4375,988.0159,20.3415,‎-13.0447,‎-40.5594,0.0000,
1.2160,‎-0.4346,0.1837,0.3075,‎-1.6087,4.4290,‎-2.4375,988.0293,20.3415,‎-13.0447,‎-40.5594,0.0000,
1.3110,‎-1.1946,‎-0.4758,0.0589,‎-1.6087,4.4290,‎-2.4375,988.0293,20.3415,‎-13.0447,‎-40.5594,0.0000,
1.4040,‎-1.1946,‎-0.4758,0.0589,‎-1.6087,4.4290,‎-2.4375,988.0293,28.5919,18.1549,‎-31.8588,0.0000,
1.4090,‎-1.1946,‎-0.4758,0.0589,‎-1.6087,4.4290,‎-2.4375,988.0293,28.5919,18.1549,‎-31.8588,0.0000,
1.4130,‎-1.1946,‎-0.4758,0.0589,‎-1.6376,1.0292,‎-2.6544,988.0293,28.5919,18.1549,‎-31.8588,0.0000,
1.4180,‎-1.1946,‎-0.4758,0.0589,‎-1.6376,1.0292,‎-2.6544,988.0557,28.5919,18.1549,‎-31.8588,0.0000,
1.5120,‎-1.3584,‎-0.4599,0.1555,‎-1.6376,1.0292,‎-2.6544,988.0557,28.5919,18.1549,‎-31.8588,0.0000,
1.6000,‎-1.3584,‎-0.4599,0.1555,‎-1.1227,‎-1.3260,‎-0.8845,988.0557,28.5919,18.1549,‎-31.8588,0.0000,
1.6010,‎-1.3584,‎-0.4599,0.1555,‎-1.1227,‎-1.3260,‎-0.8845,988.0557,28.5919,18.1549,‎-31.8588,0.0000,
1.6030,‎-1.3584,‎-0.4599,0.1555,‎-1.1227,‎-1.3260,‎-0.8845,988.0557,21.8414,30.1559,‎-29.1595,0.0000,
1.6100,‎-1.3584,‎-0.4599,0.1555,‎-1.1227,‎-1.3260,‎-0.8845,988.0558,21.8414,30.1559,‎-29.1595,0.0000,
1.7110,‎-1.3054,‎-0.2856,0.1915,‎-1.1227,‎-1.3260,‎-0.8845,988.0558,21.8414,30.1559,‎-29.1595,0.0000,
1.8060,‎-1.3054,‎-0.2856,0.1915,0.1280,‎-0.7802,1.4109,988.0558,21.8414,30.1559,‎-29.1595,0.0000,
1.8160,‎-1.3054,‎-0.2856,0.1915,0.1280,‎-0.7802,1.4109,988.0558,21.8414,30.1559,‎-29.1595,0.0000,
1.8220,‎-1.3054,‎-0.2856,0.1915,0.1280,‎-0.7802,1.4109,988.0558,23.4909,24.4553,‎-33.3588,0.0000,
1.8230,‎-1.3054,‎-0.2856,0.1915,0.1280,‎-0.7802,1.4109,988.0165,23.4909,24.4553,‎-33.3588,0.0000,
1.9100,‎-1.2641,‎-0.3691,‎-0.0242,0.1280,‎-0.7802,1.4109,988.0165,23.4909,24.4553,‎-33.3588,0.0000,
2.0000,‎-1.2641,‎-0.3691,‎-0.0242,0.8832,‎-0.1329,2.1116,988.0165,23.4909,24.4553,‎-33.3588,0.0000,
2.0040,‎-1.2641,‎-0.3691,‎-0.0242,0.8832,‎-0.1329,2.1116,988.0165,23.4909,24.4553,‎-33.3588,0.0000,
2.0060,‎-1.2641,‎-0.3691,‎-0.0242,0.8832,‎-0.1329,2.1116,988.0165,27.8412,7.3547,‎-38.1592,0.0000,
2.0170,‎-1.2641,‎-0.3691,‎-0.0242,0.8832,‎-0.1329,2.1116,988.0560,27.8412,7.3547,‎-38.1592,0.0000,
2.1320,‎-0.7350,‎-0.3809,‎-0.0033,0.8832,‎-0.1329,2.1116,988.0560,27.8412,7.3547,‎-38.1592,0.0000,
2.2010,‎-0.7350,‎-0.3809,‎-0.0033,‎-0.0888,0.4673,0.7988,988.0560,27.8412,7.3547,‎-38.1592,0.0000,
2.2080,‎-0.7350,‎-0.3809,‎-0.0033,‎-0.0888,0.4673,0.7988,988.0560,27.8412,7.3547,‎-38.1592,0.0000,
2.2140,‎-0.7350,‎-0.3809,‎-0.0033,‎-0.0888,0.4673,0.7988,988.0560,29.9423,‎-3.2944,‎-35.9085,0.0000,
2.2180,‎-0.7350,‎-0.3809,‎-0.0033,‎-0.0888,0.4673,0.7988,988.0302,29.9423,‎-3.2944,‎-35.9085,0.0000,
2.3300,‎-0.8110,‎-0.4509,‎-0.0749,‎-0.0888,0.4673,0.7988,988.0302,29.9423,‎-3.2944,‎-35.9085,0.0000,
2.4100,‎-0.8110,‎-0.4509,‎-0.0749,0.3416,0.7750,‎-1.9451,988.0302,29.9423,‎-3.2944,‎-35.9085,0.0000,
2.4210,‎-0.8110,‎-0.4509,‎-0.0749,0.3416,0.7750,‎-1.9451,988.0302,29.9423,‎-3.2944,‎-35.9085,0.0000,
2.4280,‎-0.8110,‎-0.4509,‎-0.0749,0.3416,0.7750,‎-1.9451,988.0302,31.5918,7.0557,‎-34.8587,0.0000,
2.4310,‎-0.8110,‎-0.4509,‎-0.0749,0.3416,0.7750,‎-1.9451,988.0303,31.5918,7.0557,‎-34.8587,0.0000,
2.5270,‎-0.9796,‎-0.3093,‎-0.1540,0.3416,0.7750,‎-1.9451,988.0303,31.5918,7.0557,‎-34.8587,0.0000,
2.5950,‎-0.9796,‎-0.3093,‎-0.1540,‎-0.4530,‎-0.2173,‎-1.7230,988.0303,31.5918,7.0557,‎-34.8587,0.0000,
2.5970,‎-0.9796,‎-0.3093,‎-0.1540,‎-0.4530,‎-0.2173,‎-1.7230,988.0303,31.5918,7.0557,‎-34.8587,0.0000,
2.6070,‎-0.9796,‎-0.3093,‎-0.1540,‎-0.4530,‎-0.2173,‎-1.7230,988.0303,27.3911,19.9554,‎-35.0098,0.0000,
2.6180,‎-0.9796,‎-0.3093,‎-0.1540,‎-0.4530,‎-0.2173,‎-1.7230,988.0829,27.3911,19.9554,‎-35.0098,0.0000,
2.7260,‎-1.0269,‎-0.2503,‎-0.0218,‎-0.4530,‎-0.2173,‎-1.7230,988.0829,27.3911,19.9554,‎-35.0098,0.0000,
2.7950,‎-1.0269,‎-0.2503,‎-0.0218,0.3363,‎-0.3604,‎-0.2191,988.0829,27.3911,19.9554,‎-35.0098,0.0000,
2.7960,‎-1.0269,‎-0.2503,‎-0.0218,0.3363,‎-0.3604,‎-0.2191,988.0829,27.3911,19.9554,‎-35.0098,0.0000,
2.8120,‎-1.0269,‎-0.2503,‎-0.0218,0.3363,‎-0.3604,‎-0.2191,988.0829,20.4910,26.2558,‎-36.8088,0.0000,
2.8210,‎-1.0269,‎-0.2503,‎-0.0218,0.3363,‎-0.3604,‎-0.2191,988.0830,20.4910,26.2558,‎-36.8088,0.0000,
2.9290,‎-1.3876,‎-0.5023,‎-0.0924,0.3363,‎-0.3604,‎-0.2191,988.0830,20.4910,26.2558,‎-36.8088,0.0000,
3.0020,‎-1.3876,‎-0.5023,‎-0.0924,0.3363,‎-0.3604,‎-0.2191,988.0830,20.4910,26.2558,‎-36.8088,0.0000,
3.0110,‎-1.3876,‎-0.5023,‎-0.0924,0.3983,0.6703,1.1887,988.0830,20.4910,26.2558,‎-36.8088,0.0000,
3.0140,‎-1.3876,‎-0.5023,‎-0.0924,0.3983,0.6703,1.1887,988.0830,25.8911,20.8557,‎-36.3586,0.0000,
3.0230,‎-1.3876,‎-0.5023,‎-0.0924,0.3983,0.6703,1.1887,988.1094,25.8911,20.8557,‎-36.3586,0.0000,
3.1280,‎-0.9234,‎-0.3929,0.0029,0.3983,0.6703,1.1887,988.1094,25.8911,20.8557,‎-36.3586,0.0000,
3.1970,‎-0.9234,‎-0.3929,0.0029,0.3983,0.6703,1.1887,988.1094,25.8911,20.8557,‎-36.3586,0.0000,
3.2020,‎-0.9234,‎-0.3929,0.0029,0.1462,0.0273,1.5123,988.1094,25.8911,20.8557,‎-36.3586,0.0000,
3.2160,‎-0.9234,‎-0.3929,0.0029,0.1462,0.0273,1.5123,988.1094,29.7913,9.0057,‎-37.4084,0.0000,
3.2300,‎-0.9234,‎-0.3929,0.0029,0.1462,0.0273,1.5123,988.0571,29.7913,9.0057,‎-37.4084,0.0000,
3.3300,‎-0.7138,‎-0.5054,‎-0.0788,0.1462,0.0273,1.5123,988.0571,29.7913,9.0057,‎-37.4084,0.0000,
3.3960,‎-0.7138,‎-0.5054,‎-0.0788,‎-1.0640,‎-0.2643,‎-0.8311,988.0571,29.7913,9.0057,‎-37.4084,0.0000,
3.4000,‎-0.7138,‎-0.5054,‎-0.0788,‎-1.0640,‎-0.2643,‎-0.8311,988.0571,29.7913,9.0057,‎-37.4084,0.0000,
3.4170,‎-0.7138,‎-0.5054,‎-0.0788,‎-1.0640,‎-0.2643,‎-0.8311,988.0571,29.3411,13.6551,‎-36.3586,0.0000,
3.4270,‎-0.7138,‎-0.5054,‎-0.0788,‎-1.0640,‎-0.2643,‎-0.8311,988.0574,29.3411,13.6551,‎-36.3586,0.0000,
3.5270,‎-0.9732,‎-0.5417,‎-0.0232,‎-1.0640,‎-0.2643,‎-0.8311,988.0574,29.3411,13.6551,‎-36.3586,0.0000,
3.5910,‎-0.9732,‎-0.5417,‎-0.0232,0.1793,‎-0.3476,‎-0.8012,988.0574,29.3411,13.6551,‎-36.3586,0.0000,
3.5930,‎-0.9732,‎-0.5417,‎-0.0232,0.1793,‎-0.3476,‎-0.8012,988.0574,29.3411,13.6551,‎-36.3586,0.0000,
3.6150,‎-0.9732,‎-0.5417,‎-0.0232,0.1793,‎-0.3476,‎-0.8012,988.0574,26.0422,21.1548,‎-36.9598,0.0000,
3.6240,‎-0.9732,‎-0.5417,‎-0.0232,0.1793,‎-0.3476,‎-0.8012,988.0574,26.0422,21.1548,‎-36.9598,0.0000,
3.7200,‎-0.7414,‎-0.2340,‎-0.1032,0.1793,‎-0.3476,‎-0.8012,988.0574,26.0422,21.1548,‎-36.9598,0.0000,
3.7910,‎-0.7414,‎-0.2340,‎-0.1032,0.1793,‎-0.3476,‎-0.8012,988.0574,26.0422,21.1548,‎-36.9598,0.0000,
3.7920,‎-0.7414,‎-0.2340,‎-0.1032,‎-0.3409,‎-0.5057,‎-1.3107,988.0574,26.0422,21.1548,‎-36.9598,0.0000,
3.8160,‎-0.7414,‎-0.2340,‎-0.1032,‎-0.3409,‎-0.5057,‎-1.3107,988.0574,17.6422,28.8055,‎-37.1094,0.0000,
3.8260,‎-0.7414,‎-0.2340,‎-0.1032,‎-0.3409,‎-0.5057,‎-1.3107,988.0575,17.6422,28.8055,‎-37.1094,0.0000,
3.9400,‎-1.3855,‎-0.3655,0.0044,‎-0.3409,‎-0.5057,‎-1.3107,988.0575,17.6422,28.8055,‎-37.1094,0.0000,
4.0140,‎-1.3855,‎-0.3655,0.0044,‎-0.3409,‎-0.5057,‎-1.3107,988.0575,17.6422,28.8055,‎-37.1094,0.0000,
4.0150,‎-1.3855,‎-0.3655,0.0044,‎-0.3014,‎-0.1789,0.9185,988.0575,17.6422,28.8055,‎-37.1094,0.0000,
4.0180,‎-1.3855,‎-0.3655,0.0044,‎-0.3014,‎-0.1789,0.9185,988.0575,19.2917,28.2059,‎-35.6094,0.0000,
4.0280,‎-1.3855,‎-0.3655,0.0044,‎-0.3014,‎-0.1789,0.9185,988.1101,19.2917,28.2059,‎-35.6094,0.0000,
4.1510,‎-1.1156,‎-0.4606,0.0914,‎-0.3014,‎-0.1789,0.9185,988.1101,19.2917,28.2059,‎-35.6094,0.0000,
4.1890,‎-1.1156,‎-0.4606,0.0914,0.8778,0.4001,1.6416,988.1101,19.2917,28.2059,‎-35.6094,0.0000,
4.1900,‎-1.1156,‎-0.4606,0.0914,0.8778,0.4001,1.6416,988.1101,19.2917,28.2059,‎-35.6094,0.0000,
4.2190,‎-1.1156,‎-0.4606,0.0914,0.8778,0.4001,1.6416,988.1101,29.0421,15.4556,‎-34.4086,0.0000,
4.2290,‎-1.1156,‎-0.4606,0.0914,0.8778,0.4001,1.6416,988.0840,29.0421,15.4556,‎-34.4086,0.0000,
4.3470,‎-0.7050,‎-0.4088,‎-0.0493,0.8778,0.4001,1.6416,988.0840,29.0421,15.4556,‎-34.4086,0.0000,
4.3940,‎-0.7050,‎-0.4088,‎-0.0493,‎-0.4445,‎-0.0432,0.7636,988.0840,29.0421,15.4556,‎-34.4086,0.0000,
4.3980,‎-0.7050,‎-0.4088,‎-0.0493,‎-0.4445,‎-0.0432,0.7636,988.0840,29.0421,15.4556,‎-34.4086,0.0000,
4.4250,‎-0.7050,‎-0.4088,‎-0.0493,‎-0.4445,‎-0.0432,0.7636,988.0840,32.3410,9.4559,‎-33.0597,0.0000,
4.4320,‎-0.7050,‎-0.4088,‎-0.0493,‎-0.4445,‎-0.0432,0.7636,988.0186,32.3410,9.4559,‎-33.0597,0.0000,
4.5500,‎-0.7677,‎-0.6402,0.0152,‎-0.4445,‎-0.0432,0.7636,988.0186,32.3410,9.4559,‎-33.0597,0.0000,
4.5870,‎-0.7677,‎-0.6402,0.0152,‎-0.1871,‎-0.0678,‎-1.2413,988.0186,32.3410,9.4559,‎-33.0597,0.0000,
4.5880,‎-0.7677,‎-0.6402,0.0152,‎-0.1871,‎-0.0678,‎-1.2413,988.0186,32.3410,9.4559,‎-33.0597,0.0000,
4.6220,‎-0.7677,‎-0.6402,0.0152,‎-0.1871,‎-0.0678,‎-1.2413,988.0186,29.7913,17.5552,‎-32.9086,0.0000,
4.6320,‎-0.7677,‎-0.6402,0.0152,‎-0.1871,‎-0.0678,‎-1.2413,988.0581,29.7913,17.5552,‎-32.9086,0.0000,
4.7360,‎-0.9755,‎-0.3334,‎-0.0595,‎-0.1871,‎-0.0678,‎-1.2413,988.0581,29.7913,17.5552,‎-32.9086,0.0000,
4.7860,‎-0.9755,‎-0.3334,‎-0.0595,‎-0.3441,‎-0.4224,‎-1.0896,988.0581,29.7913,17.5552,‎-32.9086,0.0000,
4.7880,‎-0.9755,‎-0.3334,‎-0.0595,‎-0.3441,‎-0.4224,‎-1.0896,988.0581,29.7913,17.5552,‎-32.9086,0.0000,
4.8310,‎-0.9755,‎-0.3334,‎-0.0595,‎-0.3441,‎-0.4224,‎-1.0896,988.0581,24.5422,25.8057,‎-32.9086,0.0000,
4.8410,‎-0.9755,‎-0.3334,‎-0.0595,‎-0.3441,‎-0.4224,‎-1.0896,988.0320,24.5422,25.8057,‎-32.9086,0.0000,
4.9390,‎-0.9620,‎-0.2700,‎-0.0023,‎-0.3441,‎-0.4224,‎-1.0896,988.0320,24.5422,25.8057,‎-32.9086,0.0000,
4.9890,‎-0.9620,‎-0.2700,‎-0.0023,‎-0.3441,‎-0.4224,‎-1.0896,988.0320,24.5422,25.8057,‎-32.9086,0.0000,
