
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.1210,‎-0.0094,0.3207,0.9677,0.6308,0.2444,0.2474,983.3286,‎-0.9628,15.0391,‎-40.4480,6.0000,
0.1230,‎-0.0094,0.3207,0.9677,0.3296,0.7688,0.3114,983.3286,‎-0.9628,15.0391,‎-40.4480,6.0000,
0.1250,‎-0.0094,0.3207,0.9677,0.3296,0.7688,0.3114,983.3286,‎-0.9628,15.0391,‎-40.4480,6.0000,
0.1380,‎-0.1268,0.2993,0.9305,0.3296,0.7688,0.3114,983.3286,‎-0.9628,15.0391,‎-40.4480,6.0000,
0.1470,‎-0.1268,0.2993,0.9305,0.3296,0.7688,0.3114,983.3286,3.0869,14.7385,‎-41.3483,6.0000,
0.1580,‎-0.1268,0.2993,0.9305,0.3296,0.7688,0.3114,983.3021,3.0869,14.7385,‎-41.3483,6.0000,
0.3240,‎-0.1268,0.2993,0.9305,0.3296,0.7688,0.3114,983.3021,3.0869,14.7385,‎-41.3483,7.0000,
0.3270,‎-0.1268,0.2993,0.9305,‎-0.2750,0.4505,0.2709,983.3021,3.0869,14.7385,‎-41.3483,7.0000,
0.3300,‎-0.1268,0.2993,0.9305,‎-0.2750,0.4505,0.2709,983.3021,3.0869,14.7385,‎-41.3483,7.0000,
0.3390,‎-0.1252,0.3992,0.7973,‎-0.2750,0.4505,0.2709,983.3021,3.0869,14.7385,‎-41.3483,7.0000,
0.3500,‎-0.1252,0.3992,0.7973,‎-0.2750,0.4505,0.2709,983.3021,7.4371,16.6885,‎-40.2985,7.0000,
0.3590,‎-0.1252,0.3992,0.7973,‎-0.2750,0.4505,0.2709,983.3805,7.4371,16.6885,‎-40.2985,7.0000,
0.5200,‎-0.1252,0.3992,0.7973,0.8166,‎-0.4317,0.2484,983.3805,7.4371,16.6885,‎-40.2985,7.0000,
0.5220,‎-0.1252,0.3992,0.7973,0.8166,‎-0.4317,0.2484,983.3805,7.4371,16.6885,‎-40.2985,7.0000,
0.5360,‎-0.1578,0.3777,0.9514,0.8166,‎-0.4317,0.2484,983.3805,7.4371,16.6885,‎-40.2985,7.0000,
0.5510,‎-0.1578,0.3777,0.9514,0.8166,‎-0.4317,0.2484,983.3805,2.9358,18.4891,‎-39.8483,7.0000,
0.5600,‎-0.1578,0.3777,0.9514,0.8166,‎-0.4317,0.2484,983.3539,2.9358,18.4891,‎-39.8483,7.0000,
0.7250,‎-0.1578,0.3777,0.9514,0.1149,1.2121,‎-0.2728,983.3539,2.9358,18.4891,‎-39.8483,7.0000,
0.7300,‎-0.1578,0.3777,0.9514,0.1149,1.2121,‎-0.2728,983.3539,2.9358,18.4891,‎-39.8483,7.0000,
0.7380,‎-0.0593,0.3239,0.9764,0.1149,1.2121,‎-0.2728,983.3539,2.9358,18.4891,‎-39.8483,7.0000,
0.7420,‎-0.0593,0.3239,0.9764,0.1149,1.2121,‎-0.2728,983.3539,2.9358,18.4891,‎-39.8483,9.0000,
0.7560,‎-0.0593,0.3239,0.9764,0.1149,1.2121,‎-0.2728,983.3539,13.8870,13.9877,‎-38.9481,9.0000,
0.7640,‎-0.0593,0.3239,0.9764,0.1149,1.2121,‎-0.2728,983.3273,13.8870,13.9877,‎-38.9481,9.0000,
0.8270,‎-0.0593,0.3239,0.9764,0.1149,1.2121,‎-0.2728,983.3273,13.8870,13.9877,‎-38.9481,11.0000,
0.9060,‎-0.0593,0.3239,0.9764,0.1149,1.2121,‎-0.2728,983.3273,13.8870,13.9877,‎-38.9481,12.0000,
0.9250,‎-0.0593,0.3239,0.9764,0.1779,‎-0.8504,‎-0.8539,983.3273,13.8870,13.9877,‎-38.9481,12.0000,
0.9300,‎-0.0593,0.3239,0.9764,0.1779,‎-0.8504,‎-0.8539,983.3273,13.8870,13.9877,‎-38.9481,12.0000,
0.9440,‎-0.2911,0.3246,0.7765,0.1779,‎-0.8504,‎-0.8539,983.3273,13.8870,13.9877,‎-38.9481,12.0000,
0.9650,‎-0.2911,0.3246,0.7765,0.1779,‎-0.8504,‎-0.8539,983.3273,13.4369,15.4877,‎-38.9481,12.0000,
0.9690,‎-0.2911,0.3246,0.7765,0.1779,‎-0.8504,‎-0.8539,983.3270,13.4369,15.4877,‎-38.9481,12.0000,
0.9870,‎-0.2911,0.3246,0.7765,0.1779,‎-0.8504,‎-0.8539,983.3270,13.4369,15.4877,‎-38.9481,13.0000,
1.0770,‎-0.2911,0.3246,0.7765,0.1779,‎-0.8504,‎-0.8539,983.3270,13.4369,15.4877,‎-38.9481,14.0000,
1.1230,‎-0.2911,0.3246,0.7765,0.0529,1.9149,0.5026,983.3270,13.4369,15.4877,‎-38.9481,14.0000,
1.1280,‎-0.2911,0.3246,0.7765,0.0529,1.9149,0.5026,983.3270,13.4369,15.4877,‎-38.9481,14.0000,
1.1340,‎-0.5314,0.3323,0.6558,0.0529,1.9149,0.5026,983.3270,13.4369,15.4877,‎-38.9481,14.0000,
1.1540,‎-0.5314,0.3323,0.6558,0.0529,1.9149,0.5026,983.3270,13.4369,15.4877,‎-38.9481,16.0000,
1.1550,‎-0.5314,0.3323,0.6558,0.0529,1.9149,0.5026,983.3270,17.9367,18.3380,‎-35.4980,16.0000,
1.1650,‎-0.5314,0.3323,0.6558,0.0529,1.9149,0.5026,983.3525,17.9367,18.3380,‎-35.4980,16.0000,
1.2390,‎-0.5314,0.3323,0.6558,0.0529,1.9149,0.5026,983.3525,17.9367,18.3380,‎-35.4980,19.0000,
1.3260,‎-0.5314,0.3323,0.6558,‎-0.0838,4.1889,‎-0.7449,983.3525,17.9367,18.3380,‎-35.4980,19.0000,
