
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0610,‎-0.0333,0.4328,0.7778,0.4356,0.0515,‎-0.2664,981.8907,31.1768,‎-19.4229,‎-23.7610,0.0000,
0.0970,‎-0.0333,0.4328,0.7778,‎-0.1486,‎-0.1108,0.4151,981.8907,31.1768,‎-19.4229,‎-23.7610,0.0000,
0.0980,‎-0.0333,0.4328,0.7778,‎-0.1486,‎-0.1108,0.4151,981.8907,31.1768,‎-19.4229,‎-23.7610,0.0000,
0.1220,‎-0.0333,0.4328,0.7778,‎-0.1486,‎-0.1108,0.4151,981.8907,29.8264,‎-21.2234,‎-23.1613,0.0000,
0.1290,‎-0.0333,0.4328,0.7778,‎-0.1486,‎-0.1108,0.4151,981.9169,29.8264,‎-21.2234,‎-23.1613,0.0000,
0.2620,‎-0.0802,0.4059,1.1158,‎-0.1486,‎-0.1108,0.4151,981.9169,29.8264,‎-21.2234,‎-23.1613,0.0000,
0.2910,‎-0.0802,0.4059,1.1158,‎-0.6902,‎-0.3116,0.1758,981.9169,29.8264,‎-21.2234,‎-23.1613,0.0000,
0.2920,‎-0.0802,0.4059,1.1158,‎-0.6902,‎-0.3116,0.1758,981.9169,29.8264,‎-21.2234,‎-23.1613,0.0000,
0.3190,‎-0.0802,0.4059,1.1158,‎-0.6902,‎-0.3116,0.1758,981.9169,27.4261,‎-18.8232,‎-28.2608,0.0000,
0.3300,‎-0.0802,0.4059,1.1158,‎-0.6902,‎-0.3116,0.1758,981.9169,27.4261,‎-18.8232,‎-28.2608,0.0000,
0.4840,0.0928,0.3262,0.7302,‎-0.6902,‎-0.3116,0.1758,981.9169,27.4261,‎-18.8232,‎-28.2608,0.0000,
0.4930,0.0928,0.3262,0.7302,‎-0.0055,0.0142,‎-0.2845,981.9169,27.4261,‎-18.8232,‎-28.2608,0.0000,
0.4960,0.0928,0.3262,0.7302,‎-0.0055,0.0142,‎-0.2845,981.9169,27.4261,‎-18.8232,‎-28.2608,0.0000,
0.5220,0.0928,0.3262,0.7302,‎-0.0055,0.0142,‎-0.2845,981.9169,27.2766,‎-20.9229,‎-27.6611,0.0000,
0.5320,0.0928,0.3262,0.7302,‎-0.0055,0.0142,‎-0.2845,981.8906,27.2766,‎-20.9229,‎-27.6611,0.0000,
0.6840,0.1679,0.4853,1.2477,‎-0.0055,0.0142,‎-0.2845,981.8906,27.2766,‎-20.9229,‎-27.6611,0.0000,
0.6940,0.1679,0.4853,1.2477,0.8714,1.7125,0.0979,981.8906,27.2766,‎-20.9229,‎-27.6611,0.0000,
0.7010,0.1679,0.4853,1.2477,0.8714,1.7125,0.0979,981.8906,27.2766,‎-20.9229,‎-27.6611,0.0000,
0.7250,0.1679,0.4853,1.2477,0.8714,1.7125,0.0979,981.8906,31.9260,‎-27.2232,‎-17.9108,0.0000,
0.7360,0.1679,0.4853,1.2477,0.8714,1.7125,0.0979,981.9169,31.9260,‎-27.2232,‎-17.9108,0.0000,
0.8790,‎-0.1345,0.4304,0.7510,0.8714,1.7125,0.0979,981.9169,31.9260,‎-27.2232,‎-17.9108,0.0000,
0.8900,‎-0.1345,0.4304,0.7510,1.7046,2.3480,1.4779,981.9169,31.9260,‎-27.2232,‎-17.9108,0.0000,
0.8910,‎-0.1345,0.4304,0.7510,1.7046,2.3480,1.4779,981.9169,31.9260,‎-27.2232,‎-17.9108,0.0000,
0.9260,‎-0.1345,0.4304,0.7510,1.7046,2.3480,1.4779,981.9169,28.4760,‎-36.5234,9.5383,0.0000,
0.9360,‎-0.1345,0.4304,0.7510,1.7046,2.3480,1.4779,981.8644,28.4760,‎-36.5234,9.5383,0.0000,
1.0800,‎-0.2472,0.9789,0.4412,1.7046,2.3480,1.4779,981.8644,28.4760,‎-36.5234,9.5383,0.0000,
1.0900,‎-0.2472,0.9789,0.4412,0.1163,2.1963,2.2854,981.8644,28.4760,‎-36.5234,9.5383,0.0000,
1.0910,‎-0.2472,0.9789,0.4412,0.1163,2.1963,2.2854,981.8644,28.4760,‎-36.5234,9.5383,0.0000,
1.1250,‎-0.2472,0.9789,0.4412,0.1163,2.1963,2.2854,981.8644,4.7760,‎-41.4734,20.7886,0.0000,
1.1360,‎-0.2472,0.9789,0.4412,0.1163,2.1963,2.2854,981.8906,4.7760,‎-41.4734,20.7886,0.0000,
1.2820,0.0153,0.7903,0.3334,0.1163,2.1963,2.2854,981.8906,4.7760,‎-41.4734,20.7886,0.0000,
1.2900,0.0153,0.7903,0.3334,1.7505,0.2876,2.2298,981.8906,4.7760,‎-41.4734,20.7886,0.0000,
1.2910,0.0153,0.7903,0.3334,1.7505,0.2876,2.2298,981.8906,4.7760,‎-41.4734,20.7886,0.0000,
1.3270,0.0153,0.7903,0.3334,1.7505,0.2876,2.2298,981.8906,‎-13.8245,‎-31.4240,29.9393,0.0000,
1.3470,0.0153,0.7903,0.3334,1.7505,0.2876,2.2298,981.8512,‎-13.8245,‎-31.4240,29.9393,0.0000,
1.4860,0.6345,0.5502,‎-0.0979,1.7505,0.2876,2.2298,981.8512,‎-13.8245,‎-31.4240,29.9393,0.0000,
1.4930,0.6345,0.5502,‎-0.0979,0.2167,‎-0.1514,1.0495,981.8512,‎-13.8245,‎-31.4240,29.9393,0.0000,
1.4960,0.6345,0.5502,‎-0.0979,0.2167,‎-0.1514,1.0495,981.8512,‎-13.8245,‎-31.4240,29.9393,0.0000,
1.5310,0.6345,0.5502,‎-0.0979,0.2167,‎-0.1514,1.0495,981.8512,‎-21.7743,‎-22.1237,31.4392,0.0000,
1.5450,0.6345,0.5502,‎-0.0979,0.2167,‎-0.1514,1.0495,981.8249,‎-21.7743,‎-22.1237,31.4392,0.0000,
1.6860,0.8131,1.0128,0.0197,0.2167,‎-0.1514,1.0495,981.8249,‎-21.7743,‎-22.1237,31.4392,0.0000,
1.6940,0.8131,1.0128,0.0197,‎-0.6816,‎-0.6555,‎-0.4373,981.8249,‎-21.7743,‎-22.1237,31.4392,0.0000,
1.7070,0.8131,1.0128,0.0197,‎-0.6816,‎-0.6555,‎-0.4373,981.8249,‎-21.7743,‎-22.1237,31.4392,0.0000,
1.7290,0.8131,1.0128,0.0197,‎-0.6816,‎-0.6555,‎-0.4373,981.8249,‎-16.3742,‎-27.3727,32.3380,0.0000,
1.7390,0.8131,1.0128,0.0197,‎-0.6816,‎-0.6555,‎-0.4373,981.8512,‎-16.3742,‎-27.3727,32.3380,0.0000,
1.8780,0.3986,0.5343,0.0527,‎-0.6816,‎-0.6555,‎-0.4373,981.8512,‎-16.3742,‎-27.3727,32.3380,0.0000,
1.8940,0.3986,0.5343,0.0527,0.2242,‎-0.1717,0.1363,981.8512,‎-16.3742,‎-27.3727,32.3380,0.0000,
1.8960,0.3986,0.5343,0.0527,0.2242,‎-0.1717,0.1363,981.8512,‎-16.3742,‎-27.3727,32.3380,0.0000,
1.9320,0.3986,0.5343,0.0527,0.2242,‎-0.1717,0.1363,981.8512,‎-17.1234,‎-24.2233,34.4391,0.0000,
1.9430,0.3986,0.5343,0.0527,0.2242,‎-0.1717,0.1363,981.8643,‎-17.1234,‎-24.2233,34.4391,0.0000,
2.0790,0.7307,1.0450,‎-0.1398,0.2242,‎-0.1717,0.1363,981.8643,‎-17.1234,‎-24.2233,34.4391,0.0000,
2.0880,0.7307,1.0450,‎-0.1398,0.2242,‎-0.1717,0.1363,981.8643,‎-17.1234,‎-24.2233,34.4391,0.0000,
2.0900,0.7307,1.0450,‎-0.1398,‎-0.2971,0.7907,0.3200,981.8643,‎-17.1234,‎-24.2233,34.4391,0.0000,
2.1340,0.7307,1.0450,‎-0.1398,‎-0.2971,0.7907,0.3200,981.8643,‎-22.0734,‎-23.1735,30.8380,0.0000,
2.1430,0.7307,1.0450,‎-0.1398,‎-0.2971,0.7907,0.3200,981.8643,‎-22.0734,‎-23.1735,30.8380,0.0000,
2.2830,0.4833,0.6287,‎-0.0444,‎-0.2971,0.7907,0.3200,981.8643,‎-22.0734,‎-23.1735,30.8380,0.0000,
2.2930,0.4833,0.6287,‎-0.0444,0.2017,‎-0.0969,‎-0.1564,981.8643,‎-22.0734,‎-23.1735,30.8380,0.0000,
2.3010,0.4833,0.6287,‎-0.0444,0.2017,‎-0.0969,‎-0.1564,981.8643,‎-22.0734,‎-23.1735,30.8380,0.0000,
2.3360,0.4833,0.6287,‎-0.0444,0.2017,‎-0.0969,‎-0.1564,981.8643,‎-21.1731,‎-23.7732,31.7383,0.0000,
2.3460,0.4833,0.6287,‎-0.0444,0.2017,‎-0.0969,‎-0.1564,981.8511,‎-21.1731,‎-23.7732,31.7383,0.0000,
