
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,Latitude,Longitude,Speed (m/s),
0.1050,‎-0.0934,0.2575,0.9381,0.0062,‎-0.0049,‎-0.0104,981.7692,‎-24.9237,‎-4.4235,‎-32.6111,0.0000,0.000000,0.000000,0.000000,
0.1070,‎-0.0934,0.2575,0.9381,0.0062,‎-0.0049,‎-0.0104,981.7692,‎-24.9237,‎-4.2740,‎-32.9117,0.0000,0.000000,0.000000,0.000000,
0.1080,‎-0.0934,0.2575,0.9381,‎-0.0490,0.0183,0.0082,981.7692,‎-24.9237,‎-4.2740,‎-32.9117,0.0000,0.000000,0.000000,0.000000,
0.1080,‎-0.0934,0.2575,0.9381,‎-0.0490,0.0183,0.0082,981.7432,‎-24.9237,‎-4.2740,‎-32.9117,0.0000,0.000000,0.000000,0.000000,
0.1490,‎-0.0934,0.2575,0.9381,‎-0.0490,0.0183,0.0082,981.7432,‎-24.9237,‎-4.2740,‎-32.9117,0.0000,0.000000,0.000000,0.000000,
0.1520,‎-0.0930,0.2661,0.9632,‎-0.0490,0.0183,0.0082,981.7432,‎-24.9237,‎-4.2740,‎-32.9117,0.0000,0.000000,0.000000,0.000000,
0.2460,‎-0.0930,0.2661,0.9632,‎-0.0490,0.0183,0.0082,981.7432,‎-25.6744,‎-3.5233,‎-32.4615,0.0000,0.000000,0.000000,0.000000,
0.2480,‎-0.0930,0.2661,0.9632,‎-0.0079,‎-0.0022,0.0654,981.7432,‎-25.6744,‎-3.5233,‎-32.4615,0.0000,0.000000,0.000000,0.000000,
0.2560,‎-0.0930,0.2661,0.9632,‎-0.0079,‎-0.0022,0.0654,981.6911,‎-25.6744,‎-3.5233,‎-32.4615,0.0000,0.000000,0.000000,0.000000,
0.3470,‎-0.0930,0.2661,0.9632,‎-0.0079,‎-0.0022,0.0654,981.6911,‎-25.6744,‎-3.5233,‎-32.4615,0.0000,0.000000,0.000000,0.000000,
0.3520,‎-0.0738,0.2471,0.9640,‎-0.0079,‎-0.0022,0.0654,981.6911,‎-25.6744,‎-3.5233,‎-32.4615,0.0000,0.000000,0.000000,0.000000,
0.4490,‎-0.0738,0.2471,0.9640,‎-0.0079,‎-0.0022,0.0654,981.6911,‎-25.9735,‎-3.9734,‎-32.6096,0.0000,0.000000,0.000000,0.000000,
0.4600,‎-0.0738,0.2471,0.9640,‎-0.0079,‎-0.0022,0.0654,981.7831,‎-25.9735,‎-3.9734,‎-32.6096,0.0000,0.000000,0.000000,0.000000,
0.6190,‎-0.0738,0.2471,0.9640,0.0479,‎-0.0521,0.0231,981.7831,‎-25.9735,‎-3.9734,‎-32.6096,0.0000,0.000000,0.000000,0.000000,
0.6240,‎-0.0738,0.2471,0.9640,0.0479,‎-0.0521,0.0231,981.7831,‎-25.9735,‎-3.9734,‎-32.6096,0.0000,0.000000,0.000000,0.000000,
0.6550,‎-0.0738,0.2471,0.9640,0.0479,‎-0.0521,0.0231,981.7831,‎-26.8494,‎-3.9871,‎-31.8619,0.0000,0.000000,0.000000,0.000000,
0.6650,‎-0.0738,0.2471,0.9640,0.0479,‎-0.0521,0.0231,981.7703,‎-26.8494,‎-3.9871,‎-31.8619,0.0000,0.000000,0.000000,0.000000,
0.8130,‎-0.0573,0.2565,0.9420,0.0479,‎-0.0521,0.0231,981.7703,‎-26.8494,‎-3.9871,‎-31.8619,0.0000,0.000000,0.000000,0.000000,
0.8200,‎-0.0573,0.2565,0.9420,0.0351,‎-0.0264,0.0007,981.7703,‎-26.8494,‎-3.9871,‎-31.8619,0.0000,0.000000,0.000000,0.000000,
0.8250,‎-0.0573,0.2565,0.9420,0.0351,‎-0.0264,0.0007,981.7703,‎-26.8494,‎-3.9871,‎-31.8619,0.0000,0.000000,0.000000,0.000000,
0.8560,‎-0.0573,0.2565,0.9420,0.0351,‎-0.0264,0.0007,981.7703,‎-26.5793,‎-4.1199,‎-31.7123,0.0000,0.000000,0.000000,0.000000,
0.8650,‎-0.0573,0.2565,0.9420,0.0351,‎-0.0264,0.0007,981.7705,‎-26.5793,‎-4.1199,‎-31.7123,0.0000,0.000000,0.000000,0.000000,
1.0210,‎-0.0608,0.2684,0.9391,0.0351,‎-0.0264,0.0007,981.7705,‎-26.5793,‎-4.1199,‎-31.7123,0.0000,0.000000,0.000000,0.000000,
1.0260,‎-0.0608,0.2684,0.9391,‎-0.0450,‎-0.0136,‎-0.0015,981.7705,‎-26.5793,‎-4.1199,‎-31.7123,0.0000,0.000000,0.000000,0.000000,
1.0280,‎-0.0608,0.2684,0.9391,‎-0.0450,‎-0.0136,‎-0.0015,981.7705,‎-26.5793,‎-4.1199,‎-31.7123,0.0000,0.000000,0.000000,0.000000,
1.0530,‎-0.0608,0.2684,0.9391,‎-0.0450,‎-0.0136,‎-0.0015,981.7705,‎-26.5717,‎-3.9703,‎-31.4178,0.0000,0.000000,0.000000,0.000000,
1.0650,‎-0.0608,0.2684,0.9391,‎-0.0450,‎-0.0136,‎-0.0015,981.7838,‎-26.5717,‎-3.9703,‎-31.4178,0.0000,0.000000,0.000000,0.000000,
