
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0200,‎-0.0148,0.3461,0.9069,0.1421,0.0603,0.1090,978.4330,‎-8.1848,‎-38.2660,‎-21.8094,
0.0250,‎-0.0148,0.3461,0.9069,0.1421,0.0603,0.1090,978.4330,‎-8.1085,‎-37.5809,‎-22.7829,
0.0320,‎-0.0383,0.3321,1.0122,0.1421,0.0603,0.1090,978.4330,‎-8.1085,‎-37.5809,‎-22.7829,
0.0670,‎-0.0383,0.3321,1.0122,0.1421,0.0603,0.1090,978.4330,‎-8.8348,‎-37.9395,‎-21.8979,
0.0760,‎-0.0383,0.3321,1.0122,0.1421,0.0603,0.1090,978.4193,‎-8.8348,‎-37.9395,‎-21.8979,
0.1100,‎-0.0074,0.3477,0.8704,0.1421,0.0603,0.1090,978.4193,‎-8.8348,‎-37.9395,‎-21.8979,
0.1150,‎-0.0074,0.3477,0.8704,0.0855,‎-0.0155,0.0556,978.4193,‎-8.8348,‎-37.9395,‎-21.8979,
0.1160,‎-0.0074,0.3477,0.8704,0.0855,‎-0.0155,0.0556,978.4193,‎-8.8348,‎-37.9395,‎-21.8979,
0.1470,‎-0.0074,0.3477,0.8704,0.0855,‎-0.0155,0.0556,978.4193,‎-9.1873,‎-37.8632,‎-21.3715,
0.1690,‎-0.0013,0.3385,0.9399,0.0855,‎-0.0155,0.0556,978.4193,‎-9.1873,‎-37.8632,‎-21.3715,
0.2080,‎-0.0013,0.3385,0.9399,0.0855,‎-0.0155,0.0556,978.4193,‎-9.5459,‎-37.7655,‎-21.9620,
0.2330,0.0092,0.3334,0.9515,0.0855,‎-0.0155,0.0556,978.4193,‎-9.5459,‎-37.7655,‎-21.9620,
0.2680,0.0092,0.3334,0.9515,0.0855,‎-0.0155,0.0556,978.4193,‎-9.4696,‎-38.3514,‎-21.7514,
0.2780,0.0092,0.3334,0.9515,0.0855,‎-0.0155,0.0556,978.4584,‎-9.4696,‎-38.3514,‎-21.7514,
0.3100,0.0139,0.3377,0.9306,0.0855,‎-0.0155,0.0556,978.4584,‎-9.4696,‎-38.3514,‎-21.7514,
0.3150,0.0139,0.3377,0.9306,0.0983,‎-0.0145,0.0000,978.4584,‎-9.4696,‎-38.3514,‎-21.7514,
0.3160,0.0139,0.3377,0.9306,0.0983,‎-0.0145,0.0000,978.4584,‎-9.4696,‎-38.3514,‎-21.7514,
0.3480,0.0139,0.3377,0.9306,0.0983,‎-0.0145,0.0000,978.4584,‎-8.6578,‎-38.2889,‎-21.3470,
0.3690,0.0052,0.3479,0.9276,0.0983,‎-0.0145,0.0000,978.4584,‎-8.6578,‎-38.2889,‎-21.3470,
0.4090,0.0052,0.3479,0.9276,0.0983,‎-0.0145,0.0000,978.4584,‎-8.4961,‎-38.1012,‎-21.0709,
0.4300,0.0004,0.3577,0.9147,0.0983,‎-0.0145,0.0000,978.4584,‎-8.4961,‎-38.1012,‎-21.0709,
0.4720,0.0004,0.3577,0.9147,0.0983,‎-0.0145,0.0000,978.4584,‎-8.6685,‎-39.1205,‎-20.9442,
0.4820,0.0004,0.3577,0.9147,0.0983,‎-0.0145,0.0000,978.4187,‎-8.6685,‎-39.1205,‎-20.9442,
0.5090,0.0066,0.3516,0.9182,0.0983,‎-0.0145,0.0000,978.4187,‎-8.6685,‎-39.1205,‎-20.9442,
0.5140,0.0066,0.3516,0.9182,0.0246,‎-0.0145,‎-0.0192,978.4187,‎-8.6685,‎-39.1205,‎-20.9442,
0.5150,0.0066,0.3516,0.9182,0.0246,‎-0.0145,‎-0.0192,978.4187,‎-8.6685,‎-39.1205,‎-20.9442,
