
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0270,‎-0.0864,0.3271,0.6740,0.2405,0.1510,‎-0.2039,979.4902,15.6677,9.1431,‎-33.6349,0.0000,
0.1520,‎-0.0864,0.3271,0.6740,‎-0.9419,0.1467,0.0641,979.4902,15.6677,9.1431,‎-33.6349,0.0000,
0.1540,‎-0.0864,0.3271,0.6740,‎-0.9419,0.1467,0.0641,979.4902,15.6677,9.1431,‎-33.6349,0.0000,
0.1640,‎-0.0864,0.3271,0.6740,‎-0.9419,0.1467,0.0641,979.4902,17.1677,13.6429,‎-31.8359,0.0000,
0.1740,‎-0.0864,0.3271,0.6740,‎-0.9419,0.1467,0.0641,979.4376,17.1677,13.6429,‎-31.8359,0.0000,
0.2240,‎-0.1116,0.2748,1.1423,‎-0.9419,0.1467,0.0641,979.4376,17.1677,13.6429,‎-31.8359,0.0000,
0.3500,‎-0.1116,0.2748,1.1423,0.0311,‎-0.1673,0.3824,979.4376,17.1677,13.6429,‎-31.8359,0.0000,
0.3520,‎-0.1116,0.2748,1.1423,0.0311,‎-0.1673,0.3824,979.4376,17.1677,13.6429,‎-31.8359,0.0000,
0.3650,‎-0.1116,0.2748,1.1423,0.0311,‎-0.1673,0.3824,979.4376,16.4185,14.3936,‎-31.2347,0.0000,
0.3750,‎-0.1116,0.2748,1.1423,0.0311,‎-0.1673,0.3824,979.4376,16.4185,14.3936,‎-31.2347,0.0000,
0.4250,‎-0.0656,0.1084,0.9238,0.0311,‎-0.1673,0.3824,979.4376,16.4185,14.3936,‎-31.2347,0.0000,
0.5500,‎-0.0656,0.1084,0.9238,‎-0.0543,‎-0.1918,‎-0.1377,979.4376,16.4185,14.3936,‎-31.2347,0.0000,
0.5510,‎-0.0656,0.1084,0.9238,‎-0.0543,‎-0.1918,‎-0.1377,979.4376,16.4185,14.3936,‎-31.2347,0.0000,
0.5660,‎-0.0656,0.1084,0.9238,‎-0.0543,‎-0.1918,‎-0.1377,979.4376,16.2674,13.6429,‎-32.5851,0.0000,
