
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0130,‎-0.0242,0.0380,0.9857,0.0012,‎-0.0039,0.0022,979.6340,‎-6.2180,‎-26.9028,‎-26.9897,29.0000,
0.0270,‎-0.0242,0.0380,0.9857,0.0012,‎-0.0039,0.0022,979.6340,‎-6.2180,‎-26.9028,‎-26.9897,29.0000,
0.0380,‎-0.0242,0.0380,0.9857,0.0012,‎-0.0039,0.0022,979.6340,‎-6.0822,‎-26.5564,‎-26.8860,29.0000,
0.0470,‎-0.0242,0.0380,0.9857,0.0012,‎-0.0039,0.0022,979.6333,‎-6.0822,‎-26.5564,‎-26.8860,29.0000,
0.1260,‎-0.0242,0.0380,0.9857,‎-0.0082,0.0156,0.0017,979.6333,‎-6.0822,‎-26.5564,‎-26.8860,29.0000,
0.2320,‎-0.0229,0.0378,0.9848,‎-0.0082,0.0156,0.0017,979.6333,‎-6.0822,‎-26.5564,‎-26.8860,29.0000,
0.2340,‎-0.0229,0.0378,0.9848,‎-0.0082,0.0156,0.0017,979.6333,‎-6.0822,‎-26.5564,‎-26.8860,28.0000,
0.2350,‎-0.0229,0.0378,0.9848,‎-0.0082,0.0156,0.0017,979.6333,‎-6.0822,‎-26.5564,‎-26.8860,28.0000,
0.2360,‎-0.0229,0.0378,0.9848,‎-0.0082,0.0156,0.0017,979.6333,‎-5.9326,‎-27.1576,‎-26.8860,28.0000,
0.2470,‎-0.0229,0.0378,0.9848,‎-0.0082,0.0156,0.0017,979.6853,‎-5.9326,‎-27.1576,‎-26.8860,28.0000,
0.3260,‎-0.0229,0.0378,0.9848,0.0012,‎-0.0039,0.0013,979.6853,‎-5.9326,‎-27.1576,‎-26.8860,28.0000,
0.3960,‎-0.0229,0.0378,0.9848,0.0012,‎-0.0039,0.0013,979.6853,‎-5.9326,‎-27.1576,‎-26.8860,21.0000,
0.4250,‎-0.0224,0.0387,0.9840,0.0012,‎-0.0039,0.0013,979.6853,‎-5.9326,‎-27.1576,‎-26.8860,21.0000,
0.4280,‎-0.0224,0.0387,0.9840,0.0012,‎-0.0039,0.0013,979.6853,‎-5.9326,‎-27.1576,‎-26.8860,21.0000,
0.4360,‎-0.0224,0.0387,0.9840,0.0012,‎-0.0039,0.0013,979.6853,‎-5.9326,‎-26.8570,‎-26.8860,21.0000,
0.4460,‎-0.0224,0.0387,0.9840,0.0012,‎-0.0039,0.0013,979.6322,‎-5.9326,‎-26.8570,‎-26.8860,21.0000,
0.5240,‎-0.0224,0.0387,0.9840,0.0007,‎-0.0034,0.0011,979.6322,‎-5.9326,‎-26.8570,‎-26.8860,21.0000,
0.6240,‎-0.0230,0.0386,0.9860,0.0007,‎-0.0034,0.0011,979.6322,‎-5.9326,‎-26.8570,‎-26.8860,21.0000,
0.6250,‎-0.0230,0.0386,0.9860,0.0007,‎-0.0034,0.0011,979.6322,‎-5.9326,‎-26.8570,‎-26.8860,21.0000,
0.6370,‎-0.0230,0.0386,0.9860,0.0007,‎-0.0034,0.0011,979.6322,‎-5.7816,‎-27.1576,‎-26.5854,21.0000,
0.6470,‎-0.0230,0.0386,0.9860,0.0007,‎-0.0034,0.0011,979.6842,‎-5.7816,‎-27.1576,‎-26.5854,21.0000,
