
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0110,-0.0648,0.3349,0.8230,-0.1414,0.1832,-0.2007,11.0000,0.000000,0.000000,0.000000,
0.0130,-0.0648,0.3349,0.8230,-0.1414,0.1832,-0.2007,11.0000,0.000000,0.000000,0.000000,
0.0220,0.0207,0.3567,0.8640,-0.1414,0.1832,-0.2007,11.0000,0.000000,0.000000,0.000000,
0.0260,0.0207,0.3567,0.8640,-0.1414,0.1832,-0.2007,15.0000,0.000000,0.000000,0.000000,
0.0800,-0.0413,0.3349,0.8300,-0.1414,0.1832,-0.2007,15.0000,0.000000,0.000000,0.000000,
0.1150,-0.0413,0.3349,0.8300,-0.1414,0.1832,-0.2007,21.0000,0.000000,0.000000,0.000000,
0.1400,0.0330,0.3611,0.8634,-0.1414,0.1832,-0.2007,21.0000,0.000000,0.000000,0.000000,
0.1810,0.0330,0.3611,0.8634,-0.1414,0.1832,-0.2007,21.0000,0.000000,0.000000,0.000000,
0.1820,0.0330,0.3611,0.8634,-0.1381,-0.5955,-0.2726,21.0000,0.000000,0.000000,0.000000,
0.2050,0.0330,0.3611,0.8634,-0.1381,-0.5955,-0.2726,32.0000,0.000000,0.000000,0.000000,
0.2070,0.0338,0.3478,0.8150,-0.1381,-0.5955,-0.2726,32.0000,0.000000,0.000000,0.000000,
0.2080,0.0338,0.3478,0.8150,-0.1381,-0.5955,-0.2726,32.0000,0.000000,0.000000,0.000000,
0.2920,0.0338,0.3478,0.8150,-0.1381,-0.5955,-0.2726,46.0000,0.000000,0.000000,0.000000,
0.3220,0.0354,0.3273,0.8598,-0.1381,-0.5955,-0.2726,46.0000,0.000000,0.000000,0.000000,
0.3840,0.0354,0.3273,0.8598,-0.1381,-0.5955,-0.2726,62.0000,0.000000,0.000000,0.000000,
0.3860,0.0354,0.3273,0.8598,-0.1381,-0.5955,-0.2726,62.0000,0.000000,0.000000,0.000000,
0.3880,0.0354,0.3273,0.8598,-0.3705,-0.2589,-0.2720,62.0000,0.000000,0.000000,0.000000,
0.3900,0.1070,0.3328,0.9391,-0.3705,-0.2589,-0.2720,62.0000,0.000000,0.000000,0.000000,
0.3920,0.1070,0.3328,0.9391,-0.3705,-0.2589,-0.2720,62.0000,0.000000,0.000000,0.000000,
0.4450,0.2285,0.2737,1.0790,-0.3705,-0.2589,-0.2720,62.0000,0.000000,0.000000,0.000000,
0.4700,0.2285,0.2737,1.0790,-0.3705,-0.2589,-0.2720,68.0000,0.000000,0.000000,0.000000,
0.5080,0.2475,0.2136,1.1750,-0.3705,-0.2589,-0.2720,68.0000,0.000000,0.000000,0.000000,
