
time,gfx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,Latitude,Longitude,Speed (m/s),
0.0110,-0.0235,0.3283,0.9577,0.1697,-0.1172,0.0390,0.0012,0.2114,-0.0330,21.4200,-30.5400,-28.1400,10240.0000,0.0,0.0,0.0,
0.0120,-0.0274,0.3244,0.9499,0.1697,-0.1172,0.0390,0.0012,0.2114,-0.0330,21.4200,-30.5400,-28.1400,10240.0000,0.0,0.0,0.0,
0.0130,-0.0391,0.3362,0.9420,0.1697,-0.1172,0.0390,0.0012,0.2114,-0.0330,21.4200,-30.5400,-28.1400,10240.0000,0.0,0.0,0.0,
0.0300,-0.0391,0.3362,0.9420,0.1697,-0.1172,0.0390,0.0012,0.2114,-0.0330,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0320,-0.0391,0.3283,0.9460,0.1697,-0.1172,0.0390,0.0012,0.2114,-0.0330,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0330,-0.0391,0.3283,0.9460,0.1697,-0.1172,0.0390,-0.0012,-0.0208,-0.0208,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0350,-0.0391,0.3283,0.9460,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0530,-0.0352,0.3283,0.9499,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0750,-0.0313,0.3283,0.9499,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0910,-0.0352,0.3283,0.9460,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,22.1400,-30.9000,-27.6600,10240.0000,0.0,0.0,0.0,
0.0920,-0.0352,0.3283,0.9460,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.1000,-31.3200,-26.9400,10240.0000,0.0,0.0,0.0,
0.1080,-0.0352,0.3244,0.9499,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.1000,-31.3200,-26.9400,10240.0000,0.0,0.0,0.0,
0.1490,-0.0391,0.3244,0.9538,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.1000,-31.3200,-26.9400,10240.0000,0.0,0.0,0.0,
0.1730,-0.0352,0.3205,0.9538,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.1000,-31.3200,-26.9400,10240.0000,0.0,0.0,0.0,
0.1900,-0.0352,0.3205,0.9577,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.1000,-31.3200,-26.9400,10240.0000,0.0,0.0,0.0,
0.2070,-0.0352,0.3244,0.9577,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.1000,-31.3200,-26.9400,10240.0000,0.0,0.0,0.0,
0.2240,-0.0352,0.3244,0.9577,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2400,-0.0313,0.3283,0.9460,0.1061,0.0228,-0.0074,-0.0012,-0.0208,-0.0208,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2410,-0.0313,0.3283,0.9460,0.1061,0.0228,-0.0074,0.0049,-0.0330,0.0024,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2430,-0.0313,0.3283,0.9460,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2560,-0.0235,0.3283,0.9381,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2730,-0.0195,0.3283,0.9420,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2890,-0.0195,0.3323,0.9381,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,23.8800,-31.7400,-26.0400,10240.0000,0.0,0.0,0.0,
0.2910,-0.0195,0.3323,0.9381,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.3100,-0.0117,0.3283,0.9381,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.3290,-0.0156,0.3205,0.9538,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.3460,-0.0235,0.3166,0.9577,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.3660,-0.0195,0.3127,0.9577,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.3960,-0.0156,0.3166,0.9538,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.4190,-0.0156,0.3088,0.9538,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,24.7800,-32.1000,-25.4400,10240.0000,0.0,0.0,0.0,
0.4220,-0.0156,0.3088,0.9538,0.0416,-0.0105,0.0025,0.0049,-0.0330,0.0024,25.0800,-32.4600,-25.0800,10240.0000,0.0,0.0,0.0,
0.4250,-0.0156,0.3088,0.9538,0.0416,-0.0105,0.0025,-0.0489,-0.0513,0.0086,25.0800,-32.4600,-25.0800,10240.0000,0.0,0.0,0.0,
0.4260,-0.0156,0.3088,0.9538,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.0800,-32.4600,-25.0800,10240.0000,0.0,0.0,0.0,
0.4360,-0.0117,0.3127,0.9538,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.0800,-32.4600,-25.0800,10240.0000,0.0,0.0,0.0,
0.4560,-0.0078,0.3049,0.9499,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.0800,-32.4600,-25.0800,10240.0000,0.0,0.0,0.0,
0.4760,-0.0078,0.3010,0.9538,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.0800,-32.4600,-25.0800,10240.0000,0.0,0.0,0.0,
0.4890,-0.0078,0.3010,0.9538,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.4960,-0.0117,0.3010,0.9616,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.5170,-0.0117,0.3049,0.9616,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.5420,-0.0117,0.3088,0.9538,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.6420,-0.0156,0.3088,0.9538,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.6430,-0.0195,0.3127,0.9499,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.6600,-0.0156,0.3127,0.9460,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.6760,-0.0195,0.3127,0.9460,0.0318,-0.1476,0.0464,-0.0489,-0.0513,0.0086,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
0.6780,-0.0195,0.3127,0.9460,0.0318,-0.1476,0.0464,-0.0745,-0.0513,-0.0281,25.5000,-32.5800,-24.4200,10240.0000,0.0,0.0,0.0,
