
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0310,-0.1605,0.3460,0.7972,0.1697,-0.1578,0.3595,983.5681,24.8123,-27.1713,-24.7299,0.0000,
0.0340,-0.1605,0.3460,0.7972,0.1697,-0.1578,0.3595,983.5946,24.8123,-27.1713,-24.7299,0.0000,
0.1520,0.0158,0.3916,0.8844,0.1697,-0.1578,0.3595,983.5946,24.8123,-27.1713,-24.7299,0.0000,
0.1550,0.0158,0.3916,0.8844,0.4965,-0.5445,-0.0122,983.5946,24.8123,-27.1713,-24.7299,0.0000,
0.1570,0.0158,0.3916,0.8844,0.4965,-0.5445,-0.0122,983.5946,24.8123,-27.1713,-24.7299,0.0000,
0.2200,0.0158,0.3916,0.8844,0.4965,-0.5445,-0.0122,983.5946,23.6115,-31.3705,-23.3795,0.0000,
0.2310,0.0158,0.3916,0.8844,0.4965,-0.5445,-0.0122,983.5685,23.6115,-31.3705,-23.3795,0.0000,
0.3510,0.0627,0.4847,1.2292,0.4965,-0.5445,-0.0122,983.5685,23.6115,-31.3705,-23.3795,0.0000,
0.3550,0.0627,0.4847,1.2292,0.2156,0.0110,-0.1574,983.5685,23.6115,-31.3705,-23.3795,0.0000,
0.3570,0.0627,0.4847,1.2292,0.2156,0.0110,-0.1574,983.5685,23.6115,-31.3705,-23.3795,0.0000,
0.4210,0.0627,0.4847,1.2292,0.2156,0.0110,-0.1574,983.5685,25.8621,-32.4203,-20.8298,0.0000,
0.4310,0.0627,0.4847,1.2292,0.2156,0.0110,-0.1574,983.5424,25.8621,-32.4203,-20.8298,0.0000,
0.5540,-0.0986,0.3960,0.6846,0.2156,0.0110,-0.1574,983.5424,25.8621,-32.4203,-20.8298,0.0000,
0.5630,-0.0986,0.3960,0.6846,3.0215,1.6569,0.8349,983.5424,25.8621,-32.4203,-20.8298,0.0000,
0.5770,-0.0986,0.3960,0.6846,3.0215,1.6569,0.8349,983.5424,25.8621,-32.4203,-20.8298,0.0000,
0.6230,-0.0986,0.3960,0.6846,3.0215,1.6569,0.8349,983.5424,21.8124,-42.4713,8.7204,0.0000,
0.6320,-0.0986,0.3960,0.6846,3.0215,1.6569,0.8349,983.5688,21.8124,-42.4713,8.7204,0.0000,
0.7490,-0.2020,1.0072,0.5639,3.0215,1.6569,0.8349,983.5688,21.8124,-42.4713,8.7204,0.0000,
0.7540,-0.2020,1.0072,0.5639,0.7091,1.8823,1.9243,983.5688,21.8124,-42.4713,8.7204,0.0000,
0.7560,-0.2020,1.0072,0.5639,0.7091,1.8823,1.9243,983.5688,21.8124,-42.4713,8.7204,0.0000,
0.8280,-0.2020,1.0072,0.5639,0.7091,1.8823,1.9243,983.5688,-0.0885,-42.1707,25.6699,0.0000,
0.8420,-0.2020,1.0072,0.5639,0.7091,1.8823,1.9243,983.5428,-0.0885,-42.1707,25.6699,0.0000,
0.9610,-0.2020,1.0072,0.5639,1.7783,1.3557,2.9166,983.5428,-0.0885,-42.1707,25.6699,0.0000,
