
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0040,-0.2674,0.2988,1.0152,-0.6154,-0.0093,0.1737,981.9230,34.9258,-9.6741,-24.5117,0.0000,
0.0060,-0.2674,0.2988,1.0152,-0.6154,-0.0093,0.1737,981.9230,34.9258,-9.6741,-24.5117,0.0000,
0.0100,-0.1614,0.2696,0.9905,-0.6154,-0.0093,0.1737,981.9230,34.9258,-9.6741,-24.5117,0.0000,
0.0270,-0.1614,0.2696,0.9905,-0.6154,-0.0093,0.1737,981.9230,34.1766,-8.0231,-24.9619,0.0000,
0.0880,-0.0944,0.2451,0.5517,-0.6154,-0.0093,0.1737,981.9230,34.1766,-8.0231,-24.9619,0.0000,
0.0890,-0.0944,0.2451,0.5517,-0.6154,-0.0093,0.1737,981.9230,32.3761,-8.6227,-25.8606,0.0000,
0.1480,-0.0174,0.3010,0.6251,-0.6154,-0.0093,0.1737,981.9230,32.3761,-8.6227,-25.8606,0.0000,
0.1570,-0.0174,0.3010,0.6251,-0.6154,-0.0093,0.1737,981.9230,32.8262,-9.3735,-26.4618,0.0000,
0.1670,-0.0174,0.3010,0.6251,-0.6154,-0.0093,0.1737,981.8834,32.8262,-9.3735,-26.4618,0.0000,
0.1930,-0.0174,0.3010,0.6251,-0.1016,-0.3693,0.0242,981.8834,32.8262,-9.3735,-26.4618,0.0000,
0.1980,-0.0174,0.3010,0.6251,-0.1016,-0.3693,0.0242,981.8834,32.8262,-9.3735,-26.4618,0.0000,
0.2060,-0.0221,0.3008,0.9316,-0.1016,-0.3693,0.0242,981.8834,32.8262,-9.3735,-26.4618,0.0000,
0.2230,-0.0221,0.3008,0.9316,-0.1016,-0.3693,0.0242,981.8834,32.2266,-8.6227,-27.3605,0.0000,
0.2940,-0.1083,0.2531,1.1799,-0.1016,-0.3693,0.0242,981.8834,32.2266,-8.6227,-27.3605,0.0000,
0.2960,-0.1083,0.2531,1.1799,-0.1016,-0.3693,0.0242,981.8834,31.6269,-8.7738,-27.5116,0.0000,
0.3470,0.0600,0.2354,1.2447,-0.1016,-0.3693,0.0242,981.8834,31.6269,-8.7738,-27.5116,0.0000,
0.3590,0.0600,0.2354,1.2447,-0.1016,-0.3693,0.0242,981.8834,31.7764,-6.2241,-28.1113,0.0000,
0.3720,0.0600,0.2354,1.2447,-0.1016,-0.3693,0.0242,981.9489,31.7764,-6.2241,-28.1113,0.0000,
0.3940,0.0600,0.2354,1.2447,-0.6079,0.3207,-0.4415,981.9489,31.7764,-6.2241,-28.1113,0.0000,
0.3960,0.0600,0.2354,1.2447,-0.6079,0.3207,-0.4415,981.9489,31.7764,-6.2241,-28.1113,0.0000,
0.4070,-0.1264,0.0952,1.3879,-0.6079,0.3207,-0.4415,981.9489,31.7764,-6.2241,-28.1113,0.0000,
0.4260,-0.1264,0.0952,1.3879,-0.6079,0.3207,-0.4415,981.9489,33.5770,-5.7739,-27.2110,0.0000,
0.4860,0.0335,0.2427,0.6722,-0.6079,0.3207,-0.4415,981.9489,33.5770,-5.7739,-27.2110,0.0000,
0.4930,0.0335,0.2427,0.6722,-0.6079,0.3207,-0.4415,981.9489,31.1768,-5.9235,-28.8620,0.0000,
0.5460,0.0274,0.2689,0.7253,-0.6079,0.3207,-0.4415,981.9489,31.1768,-5.9235,-28.8620,0.0000,
0.5610,0.0274,0.2689,0.7253,-0.6079,0.3207,-0.4415,981.9489,31.6269,-5.1727,-27.5116,0.0000,
0.5700,0.0274,0.2689,0.7253,-0.6079,0.3207,-0.4415,981.9489,31.6269,-5.1727,-27.5116,0.0000,
0.5930,0.0274,0.2689,0.7253,-0.6079,0.3207,-0.4415,981.9489,31.6269,-5.1727,-27.5116,0.0000,
