
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0630,0.0048,0.3564,0.9167,0.1523,-0.0707,-0.0047,983.4271,-3.2135,14.5889,-40.4480,84.0000,
0.0830,0.0048,0.3564,0.9167,-0.0432,0.0180,0.0359,983.4271,-3.2135,14.5889,-40.4480,84.0000,
0.0850,0.0048,0.3564,0.9167,-0.0432,0.0180,0.0359,983.4271,-3.2135,14.5889,-40.4480,84.0000,
0.1070,-0.0060,0.3544,0.9351,-0.0432,0.0180,0.0359,983.4271,-3.2135,14.5889,-40.4480,84.0000,
0.1640,-0.0060,0.3544,0.9351,-0.0432,0.0180,0.0359,983.4271,-3.2135,15.3381,-41.3483,84.0000,
0.1750,-0.0060,0.3544,0.9351,-0.0432,0.0180,0.0359,983.4008,-3.2135,15.3381,-41.3483,84.0000,
0.2830,-0.0060,0.3544,0.9351,-0.0464,0.0714,0.0551,983.4008,-3.2135,15.3381,-41.3483,84.0000,
0.2840,-0.0060,0.3544,0.9351,-0.0464,0.0714,0.0551,983.4008,-3.2135,15.3381,-41.3483,84.0000,
0.3020,0.0062,0.3585,0.9210,-0.0464,0.0714,0.0551,983.4008,-3.2135,15.3381,-41.3483,84.0000,
0.3440,0.0062,0.3585,0.9210,-0.0464,0.0714,0.0551,983.4008,-3.2135,15.3381,-41.3483,83.0000,
0.3660,0.0062,0.3585,0.9210,-0.0464,0.0714,0.0551,983.4008,-2.7634,14.7385,-40.7486,83.0000,
0.3770,0.0062,0.3585,0.9210,-0.0464,0.0714,0.0551,983.4269,-2.7634,14.7385,-40.7486,83.0000,
0.4690,0.0062,0.3585,0.9210,-0.0464,0.0714,0.0551,983.4269,-2.7634,14.7385,-40.7486,82.0000,
0.4830,0.0062,0.3585,0.9210,-0.3177,0.3021,-0.4832,983.4269,-2.7634,14.7385,-40.7486,82.0000,
0.4860,0.0062,0.3585,0.9210,-0.3177,0.3021,-0.4832,983.4269,-2.7634,14.7385,-40.7486,82.0000,
0.5240,0.0018,0.3477,0.9547,-0.3177,0.3021,-0.4832,983.4269,-2.7634,14.7385,-40.7486,82.0000,
0.5750,0.0018,0.3477,0.9547,-0.3177,0.3021,-0.4832,983.4269,-2.4628,16.2384,-39.8483,82.0000,
0.5840,0.0018,0.3477,0.9547,-0.3177,0.3021,-0.4832,983.4269,-2.4628,16.2384,-39.8483,82.0000,
0.6340,0.0018,0.3477,0.9547,-0.3177,0.3021,-0.4832,983.4269,-2.4628,16.2384,-39.8483,87.0000,
0.6870,0.0018,0.3477,0.9547,1.0762,2.1424,1.3817,983.4269,-2.4628,16.2384,-39.8483,87.0000,
0.6920,0.0018,0.3477,0.9547,1.0762,2.1424,1.3817,983.4269,-2.4628,16.2384,-39.8483,87.0000,
0.7190,0.0018,0.3477,0.9547,1.0762,2.1424,1.3817,983.4269,-2.4628,16.2384,-39.8483,78.0000,
0.7240,-0.1920,0.2753,0.8479,1.0762,2.1424,1.3817,983.4269,-2.4628,16.2384,-39.8483,78.0000,
0.7840,-0.1920,0.2753,0.8479,1.0762,2.1424,1.3817,983.4269,7.7362,14.8880,-40.5975,78.0000,
0.7880,-0.1920,0.2753,0.8479,1.0762,2.1424,1.3817,983.4006,7.7362,14.8880,-40.5975,78.0000,
0.8750,-0.1920,0.2753,0.8479,1.0762,2.1424,1.3817,983.4006,7.7362,14.8880,-40.5975,85.0000,
0.8820,-0.1920,0.2753,0.8479,-0.8358,2.9820,-0.1906,983.4006,7.7362,14.8880,-40.5975,85.0000,
0.8840,-0.1920,0.2753,0.8479,-0.8358,2.9820,-0.1906,983.4006,7.7362,14.8880,-40.5975,85.0000,
0.9230,-0.2769,0.0345,0.5527,-0.8358,2.9820,-0.1906,983.4006,7.7362,14.8880,-40.5975,85.0000,
0.9650,-0.2769,0.0345,0.5527,-0.8358,2.9820,-0.1906,983.4006,7.7362,14.8880,-40.5975,104.0000,
0.9810,-0.2769,0.0345,0.5527,-0.8358,2.9820,-0.1906,983.4006,22.8867,24.0387,-28.5980,104.0000,
0.9830,-0.2769,0.0345,0.5527,-0.8358,2.9820,-0.1906,983.4662,22.8867,24.0387,-28.5980,104.0000,
1.0420,-0.2769,0.0345,0.5527,-0.8358,2.9820,-0.1906,983.4662,22.8867,24.0387,-28.5980,121.0000,
1.0810,-0.2769,0.0345,0.5527,-2.7477,-2.1364,-1.0333,983.4662,22.8867,24.0387,-28.5980,121.0000,
1.0830,-0.2769,0.0345,0.5527,-2.7477,-2.1364,-1.0333,983.4662,22.8867,24.0387,-28.5980,121.0000,
1.1200,-0.8738,-0.2039,1.1978,-2.7477,-2.1364,-1.0333,983.4662,22.8867,24.0387,-28.5980,121.0000,
1.1240,-0.8738,-0.2039,1.1978,-2.7477,-2.1364,-1.0333,983.4662,22.8867,24.0387,-28.5980,113.0000,
1.1720,-0.8738,-0.2039,1.1978,-2.7477,-2.1364,-1.0333,983.4662,18.9865,36.0382,-16.1484,113.0000,
1.1840,-0.8738,-0.2039,1.1978,-2.7477,-2.1364,-1.0333,983.4400,18.9865,36.0382,-16.1484,113.0000,
1.2110,-0.8738,-0.2039,1.1978,-2.7477,-2.1364,-1.0333,983.4400,18.9865,36.0382,-16.1484,109.0000,
1.2860,-0.8738,-0.2039,1.1978,-2.7477,-2.1364,-1.0333,983.4400,18.9865,36.0382,-16.1484,109.0000,
1.2910,-0.8738,-0.2039,1.1978,1.6337,-1.8128,0.2046,983.4400,18.9865,36.0382,-16.1484,109.0000,
1.2960,-0.8738,-0.2039,1.1978,1.6337,-1.8128,0.2046,983.4400,18.9865,36.0382,-16.1484,102.0000,
1.3190,-0.3394,-0.0938,1.3601,1.6337,-1.8128,0.2046,983.4400,18.9865,36.0382,-16.1484,102.0000,
1.3730,-0.3394,-0.0938,1.3601,1.6337,-1.8128,0.2046,983.4400,18.9865,36.0382,-16.1484,95.0000,
1.3750,-0.3394,-0.0938,1.3601,1.6337,-1.8128,0.2046,983.4400,12.8372,28.9886,-30.2475,95.0000,
1.3840,-0.3394,-0.0938,1.3601,1.6337,-1.8128,0.2046,983.4398,12.8372,28.9886,-30.2475,95.0000,
1.4560,-0.3394,-0.0938,1.3601,1.6337,-1.8128,0.2046,983.4398,12.8372,28.9886,-30.2475,89.0000,
1.4800,-0.3394,-0.0938,1.3601,0.7237,-0.0600,-0.1083,983.4398,12.8372,28.9886,-30.2475,89.0000,
1.4810,-0.3394,-0.0938,1.3601,0.7237,-0.0600,-0.1083,983.4398,12.8372,28.9886,-30.2475,89.0000,
1.5190,-0.2224,-0.0988,0.6915,0.7237,-0.0600,-0.1083,983.4398,12.8372,28.9886,-30.2475,89.0000,
1.5430,-0.2224,-0.0988,0.6915,0.7237,-0.0600,-0.1083,983.4398,12.8372,28.9886,-30.2475,86.0000,
1.5790,-0.2224,-0.0988,0.6915,0.7237,-0.0600,-0.1083,983.4398,9.9869,24.7879,-35.0479,86.0000,
1.5890,-0.2224,-0.0988,0.6915,0.7237,-0.0600,-0.1083,983.4661,9.9869,24.7879,-35.0479,86.0000,
1.6880,-0.2224,-0.0988,0.6915,-0.0325,0.2615,-0.0079,983.4661,9.9869,24.7879,-35.0479,86.0000,
1.6900,-0.2224,-0.0988,0.6915,-0.0325,0.2615,-0.0079,983.4661,9.9869,24.7879,-35.0479,86.0000,
1.7190,-0.1595,0.0659,0.8220,-0.0325,0.2615,-0.0079,983.4661,9.9869,24.7879,-35.0479,86.0000,
1.7760,-0.1595,0.0659,0.8220,-0.0325,0.2615,-0.0079,983.4661,12.2360,25.8377,-32.9483,86.0000,
1.7890,-0.1595,0.0659,0.8220,-0.0325,0.2615,-0.0079,983.4659,12.2360,25.8377,-32.9483,86.0000,
1.8800,-0.1595,0.0659,0.8220,-0.0325,0.2615,-0.0079,983.4659,12.2360,25.8377,-32.9483,86.0000,
