
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0140,-0.1113,0.2280,0.9559,0.0311,-0.0594,-0.0063,979.7406,17.7673,-24.6078,-21.7850,15.0000,
0.0220,-0.1113,0.2280,0.9559,0.0311,-0.0594,-0.0063,979.7143,17.7673,-24.6078,-21.7850,15.0000,
0.0340,-0.1182,0.2275,0.9557,0.0311,-0.0594,-0.0063,979.7143,17.7673,-24.6078,-21.7850,15.0000,
0.1420,-0.1182,0.2275,0.9557,0.0311,-0.0594,-0.0063,979.7143,17.7673,-24.6078,-21.7850,16.0000,
0.1480,-0.1182,0.2275,0.9557,-0.1633,-0.0220,0.0577,979.7143,17.7673,-24.6078,-21.7850,16.0000,
0.1500,-0.1182,0.2275,0.9557,-0.1633,-0.0220,0.0577,979.7143,17.7673,-24.6078,-21.7850,16.0000,
0.2140,-0.1182,0.2275,0.9557,-0.1633,-0.0220,0.0577,979.7143,17.7673,-24.6078,-21.7850,15.0000,
0.2220,-0.1182,0.2275,0.9557,-0.1633,-0.0220,0.0577,979.7143,17.6178,-24.6078,-21.9360,15.0000,
0.2240,-0.1182,0.2275,0.9557,-0.1633,-0.0220,0.0577,979.7143,17.6178,-24.6078,-21.9360,15.0000,
0.2320,-0.1144,0.2231,0.9590,-0.1633,-0.0220,0.0577,979.7143,17.6178,-24.6078,-21.9360,15.0000,
0.3000,-0.1144,0.2231,0.9590,-0.1633,-0.0220,0.0577,979.7143,17.6178,-24.6078,-21.9360,16.0000,
0.3290,-0.1144,0.2231,0.9590,-0.0287,0.0485,0.0075,979.7143,17.6178,-24.6078,-21.9360,16.0000,
0.3300,-0.1144,0.2231,0.9590,-0.0287,0.0485,0.0075,979.7143,17.6178,-24.6078,-21.9360,16.0000,
0.4150,-0.1144,0.2231,0.9590,-0.0287,0.0485,0.0075,979.7143,17.4683,-24.1577,-21.3348,16.0000,
0.4250,-0.1144,0.2231,0.9590,-0.0287,0.0485,0.0075,979.7797,17.4683,-24.1577,-21.3348,16.0000,
0.4280,-0.1268,0.2209,0.9604,-0.0287,0.0485,0.0075,979.7797,17.4683,-24.1577,-21.3348,16.0000,
0.4600,-0.1268,0.2209,0.9604,-0.0287,0.0485,0.0075,979.7797,17.4683,-24.1577,-21.3348,15.0000,
0.5340,-0.1268,0.2209,0.9604,0.0461,0.0186,0.0695,979.7797,17.4683,-24.1577,-21.3348,15.0000,
0.5380,-0.1268,0.2209,0.9604,0.0461,0.0186,0.0695,979.7797,17.4683,-24.1577,-21.3348,15.0000,
0.5450,-0.1268,0.2209,0.9604,0.0461,0.0186,0.0695,979.7797,17.4683,-24.1577,-21.3348,16.0000,
0.6170,-0.1268,0.2209,0.9604,0.0461,0.0186,0.0695,979.7797,17.9184,-24.9069,-21.4859,16.0000,
0.6240,-0.1268,0.2209,0.9604,0.0461,0.0186,0.0695,979.7797,17.9184,-24.9069,-21.4859,15.0000,
0.6270,-0.1268,0.2209,0.9604,0.0461,0.0186,0.0695,979.7534,17.9184,-24.9069,-21.4859,15.0000,
0.6280,-0.1410,0.1948,0.9440,0.0461,0.0186,0.0695,979.7534,17.9184,-24.9069,-21.4859,15.0000,
0.7320,-0.1410,0.1948,0.9440,-0.0490,0.8667,-0.1975,979.7534,17.9184,-24.9069,-21.4859,15.0000,
0.7370,-0.1410,0.1948,0.9440,-0.0490,0.8667,-0.1975,979.7534,17.9184,-24.9069,-21.4859,15.0000,
0.7950,-0.1410,0.1948,0.9440,-0.0490,0.8667,-0.1975,979.7534,17.9184,-24.9069,-21.4859,14.0000,
0.8180,-0.1410,0.1948,0.9440,-0.0490,0.8667,-0.1975,979.7534,22.4182,-22.9568,-18.7851,14.0000,
0.8290,-0.2477,0.1850,0.7613,-0.0490,0.8667,-0.1975,979.7534,22.4182,-22.9568,-18.7851,14.0000,
0.8300,-0.2477,0.1850,0.7613,-0.0490,0.8667,-0.1975,979.7533,22.4182,-22.9568,-18.7851,14.0000,
0.8730,-0.2477,0.1850,0.7613,-0.0490,0.8667,-0.1975,979.7533,22.4182,-22.9568,-18.7851,16.0000,
0.9290,-0.2477,0.1850,0.7613,-0.1088,0.6327,-0.2979,979.7533,22.4182,-22.9568,-18.7851,16.0000,
0.9320,-0.2477,0.1850,0.7613,-0.1088,0.6327,-0.2979,979.7533,22.4182,-22.9568,-18.7851,16.0000,
0.9580,-0.2477,0.1850,0.7613,-0.1088,0.6327,-0.2979,979.7533,22.4182,-22.9568,-18.7851,17.0000,
1.0220,-0.2477,0.1850,0.7613,-0.1088,0.6327,-0.2979,979.7533,27.0676,-20.5566,-13.3850,17.0000,
1.0300,-0.2405,0.0215,0.9551,-0.1088,0.6327,-0.2979,979.7533,27.0676,-20.5566,-13.3850,17.0000,
1.0330,-0.2405,0.0215,0.9551,-0.1088,0.6327,-0.2979,979.7137,27.0676,-20.5566,-13.3850,17.0000,
1.0410,-0.2405,0.0215,0.9551,-0.1088,0.6327,-0.2979,979.7137,27.0676,-20.5566,-13.3850,11.0000,
1.1250,-0.2405,0.0215,0.9551,-0.1088,0.6327,-0.2979,979.7137,27.0676,-20.5566,-13.3850,8.0000,
1.1290,-0.2405,0.0215,0.9551,0.9786,3.6192,-2.2045,979.7137,27.0676,-20.5566,-13.3850,8.0000,
1.1320,-0.2405,0.0215,0.9551,0.9786,3.6192,-2.2045,979.7137,27.0676,-20.5566,-13.3850,8.0000,
1.2090,-0.2405,0.0215,0.9551,0.9786,3.6192,-2.2045,979.7137,27.0676,-20.5566,-13.3850,6.0000,
1.2230,-0.2405,0.0215,0.9551,0.9786,3.6192,-2.2045,979.7137,33.9676,-4.0573,15.5640,6.0000,
1.2310,-0.5768,-0.2577,0.5543,0.9786,3.6192,-2.2045,979.7137,33.9676,-4.0573,15.5640,6.0000,
1.2350,-0.5768,-0.2577,0.5543,0.9786,3.6192,-2.2045,979.7794,33.9676,-4.0573,15.5640,6.0000,
1.3260,-0.5768,-0.2577,0.5543,4.1039,1.6357,-3.2523,979.7794,33.9676,-4.0573,15.5640,6.0000,
1.3280,-0.5768,-0.2577,0.5543,4.1039,1.6357,-3.2523,979.7794,33.9676,-4.0573,15.5640,6.0000,
1.3720,-0.5768,-0.2577,0.5543,4.1039,1.6357,-3.2523,979.7794,33.9676,-4.0573,15.5640,2.0000,
1.4300,-0.5768,-0.2577,0.5543,4.1039,1.6357,-3.2523,979.7794,17.3172,29.8431,20.0638,2.0000,
1.4350,-1.4064,-0.3590,0.0562,4.1039,1.6357,-3.2523,979.7794,17.3172,29.8431,20.0638,2.0000,
1.4390,-1.4064,-0.3590,0.0562,4.1039,1.6357,-3.2523,979.8316,17.3172,29.8431,20.0638,2.0000,
1.4590,-1.4064,-0.3590,0.0562,4.1039,1.6357,-3.2523,979.8316,17.3172,29.8431,20.0638,3.0000,
1.5300,-1.4064,-0.3590,0.0562,-0.8233,-0.7782,1.5734,979.8316,17.3172,29.8431,20.0638,3.0000,
1.5350,-1.4064,-0.3590,0.0562,-0.8233,-0.7782,1.5734,979.8316,17.3172,29.8431,20.0638,3.0000,
1.6290,-1.4064,-0.3590,0.0562,-0.8233,-0.7782,1.5734,979.8316,17.3172,29.8431,20.0638,2.0000,
1.6340,-1.4064,-0.3590,0.0562,-0.8233,-0.7782,1.5734,979.8316,25.2686,21.2921,21.1151,2.0000,
1.6380,-1.1897,-0.1475,0.0113,-0.8233,-0.7782,1.5734,979.8316,25.2686,21.2921,21.1151,2.0000,
1.6400,-1.1897,-0.1475,0.0113,-0.8233,-0.7782,1.5734,979.7528,25.2686,21.2921,21.1151,2.0000,
1.7090,-1.1897,-0.1475,0.0113,-0.8233,-0.7782,1.5734,979.7528,25.2686,21.2921,21.1151,0.0000,
1.7290,-1.1897,-0.1475,0.0113,-0.2978,0.4704,1.0319,979.7528,25.2686,21.2921,21.1151,0.0000,
1.7330,-1.1897,-0.1475,0.0113,-0.2978,0.4704,1.0319,979.7528,25.2686,21.2921,21.1151,0.0000,
1.8410,-0.8495,-0.2084,0.1475,-0.2978,0.4704,1.0319,979.7528,25.2686,21.2921,21.1151,0.0000,
1.8500,-0.8495,-0.2084,0.1475,-0.2978,0.4704,1.0319,979.7528,26.4679,11.2427,26.6647,0.0000,
1.8520,-0.8495,-0.2084,0.1475,-0.2978,0.4704,1.0319,979.7790,26.4679,11.2427,26.6647,0.0000,
1.9250,-0.8495,-0.2084,0.1475,0.0952,1.1209,-0.7348,979.7790,26.4679,11.2427,26.6647,0.0000,
1.9270,-0.8495,-0.2084,0.1475,0.0952,1.1209,-0.7348,979.7790,26.4679,11.2427,26.6647,0.0000,
2.0280,-0.8495,-0.2084,0.1475,0.0952,1.1209,-0.7348,979.7790,20.0180,14.8422,33.2642,0.0000,
2.0360,-0.8495,-0.2084,0.1475,0.0952,1.1209,-0.7348,979.8313,20.0180,14.8422,33.2642,0.0000,
2.0440,-1.0372,-0.2318,0.0166,0.0952,1.1209,-0.7348,979.8313,20.0180,14.8422,33.2642,0.0000,
2.1260,-1.0372,-0.2318,0.0166,-1.3125,-0.2837,-1.4686,979.8313,20.0180,14.8422,33.2642,0.0000,
2.1320,-1.0372,-0.2318,0.0166,-1.3125,-0.2837,-1.4686,979.8313,20.0180,14.8422,33.2642,0.0000,
2.2300,-1.0372,-0.2318,0.0166,-1.3125,-0.2837,-1.4686,979.8313,13.4186,14.5432,37.6144,0.0000,
2.2400,-1.0372,-0.2318,0.0166,-1.3125,-0.2837,-1.4686,979.7394,13.4186,14.5432,37.6144,0.0000,
2.2450,-0.8902,-0.2577,-0.0547,-1.3125,-0.2837,-1.4686,979.7394,13.4186,14.5432,37.6144,0.0000,
