
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0160,-0.0376,0.3663,0.9300,-0.1496,-0.1867,-0.4467,1011.3668,21.3623,-12.1704,-23.9792,233.0000,
0.0250,-0.0376,0.3663,0.9300,-0.4765,-0.3683,-0.2127,1011.3668,21.3623,-12.1704,-23.9792,233.0000,
0.0270,-0.0376,0.3663,0.9300,-0.4765,-0.3683,-0.2127,1011.3668,20.9122,-11.1206,-25.6302,233.0000,
0.0280,-0.0376,0.3663,0.9300,-0.4765,-0.3683,-0.2127,1011.3668,20.9122,-11.1206,-25.6302,272.0000,
0.0300,-0.0287,0.3653,0.9270,-0.4765,-0.3683,-0.2127,1011.3668,20.9122,-11.1206,-25.6302,272.0000,
0.0310,-0.0287,0.3653,0.9270,-0.4765,-0.3683,-0.2127,1011.4194,20.9122,-11.1206,-25.6302,272.0000,
0.0880,-0.0287,0.3653,0.9270,-0.4765,-0.3683,-0.2127,1011.4194,20.9122,-11.1206,-25.6302,262.0000,
0.1720,-0.0287,0.3653,0.9270,-0.4765,-0.3683,-0.2127,1011.4194,20.9122,-11.1206,-25.6302,264.0000,
0.1800,-0.0287,0.3653,0.9270,0.0149,0.0461,0.0329,1011.4194,20.9122,-11.1206,-25.6302,264.0000,
0.1810,-0.0287,0.3653,0.9270,0.0149,0.0461,0.0329,1011.4194,20.9122,-11.1206,-25.6302,264.0000,
0.2010,-0.0287,0.3653,0.9270,0.0149,0.0461,0.0329,1011.4194,21.5118,-11.1206,-25.4807,264.0000,
0.2030,0.0104,0.3830,0.9026,0.0149,0.0461,0.0329,1011.4194,21.5118,-11.1206,-25.4807,264.0000,
0.2120,0.0104,0.3830,0.9026,0.0149,0.0461,0.0329,1011.4196,21.5118,-11.1206,-25.4807,264.0000,
0.3790,0.0104,0.3830,0.9026,0.0149,0.0461,0.0329,1011.4196,21.5118,-11.1206,-25.4807,264.0000,
0.3800,0.0104,0.3830,0.9026,0.0373,0.0888,-0.0098,1011.4196,21.5118,-11.1206,-25.4807,264.0000,
0.4030,0.0104,0.3830,0.9026,0.0373,0.0888,-0.0098,1011.4196,21.3623,-10.8215,-24.7299,264.0000,
0.4040,0.0385,0.3754,0.9081,0.0373,0.0888,-0.0098,1011.4196,21.3623,-10.8215,-24.7299,264.0000,
0.4130,0.0385,0.3754,0.9081,0.0373,0.0888,-0.0098,1011.3936,21.3623,-10.8215,-24.7299,264.0000,
0.4530,0.0385,0.3754,0.9081,0.0373,0.0888,-0.0098,1011.3936,21.3623,-10.8215,-24.7299,257.0000,
0.5770,0.0385,0.3754,0.9081,0.0373,0.0888,-0.0098,1011.3936,21.3623,-10.8215,-24.7299,257.0000,
0.5780,0.0385,0.3754,0.9081,0.0736,-0.0020,0.0287,1011.3936,21.3623,-10.8215,-24.7299,257.0000,
0.6020,0.0351,0.3982,0.9270,0.0736,-0.0020,0.0287,1011.3936,21.3623,-10.8215,-24.7299,257.0000,
0.6040,0.0351,0.3982,0.9270,0.0736,-0.0020,0.0287,1011.3936,22.2626,-11.7203,-24.4293,257.0000,
0.6130,0.0351,0.3982,0.9270,0.0736,-0.0020,0.0287,1011.4461,22.2626,-11.7203,-24.4293,257.0000,
0.7770,0.0351,0.3982,0.9270,0.0736,-0.0020,0.0287,1011.4461,22.2626,-11.7203,-24.4293,242.0000,
0.7790,0.0351,0.3982,0.9270,0.2114,0.0119,0.0212,1011.4461,22.2626,-11.7203,-24.4293,242.0000,
0.7820,0.0351,0.3982,0.9270,0.2114,0.0119,0.0212,1011.4461,22.2626,-11.7203,-24.4293,242.0000,
0.8010,0.0266,0.4140,0.9167,0.2114,0.0119,0.0212,1011.4461,22.2626,-11.7203,-24.4293,242.0000,
0.8060,0.0266,0.4140,0.9167,0.2114,0.0119,0.0212,1011.4461,21.5118,-12.4710,-23.8297,242.0000,
0.8150,0.0266,0.4140,0.9167,0.2114,0.0119,0.0212,1011.3939,21.5118,-12.4710,-23.8297,242.0000,
0.8630,0.0266,0.4140,0.9167,0.2114,0.0119,0.0212,1011.3939,21.5118,-12.4710,-23.8297,249.0000,
0.9460,0.0266,0.4140,0.9167,0.2114,0.0119,0.0212,1011.3939,21.5118,-12.4710,-23.8297,335.0000,
0.9790,0.0266,0.4140,0.9167,0.1751,-0.4815,0.5681,1011.3939,21.5118,-12.4710,-23.8297,335.0000,
0.9850,0.0266,0.4140,0.9167,0.1751,-0.4815,0.5681,1011.3939,21.5118,-12.4710,-23.8297,335.0000,
1.0040,0.0415,0.4321,0.8790,0.1751,-0.4815,0.5681,1011.3939,21.5118,-12.4710,-23.8297,335.0000,
1.0110,0.0415,0.4321,0.8790,0.1751,-0.4815,0.5681,1011.3939,17.3126,-15.1703,-25.9293,335.0000,
1.0230,0.0415,0.4321,0.8790,0.1751,-0.4815,0.5681,1011.4202,17.3126,-15.1703,-25.9293,335.0000,
1.0270,0.0415,0.4321,0.8790,0.1751,-0.4815,0.5681,1011.4202,17.3126,-15.1703,-25.9293,354.0000,
