
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0940,-0.0693,0.3714,0.9739,-1.0811,0.2676,0.6546,987.8281,21.9910,7.8049,-45.5093,0.0000,
0.1080,-0.0693,0.3714,0.9739,1.2581,-0.3519,-0.3376,987.8281,21.9910,7.8049,-45.5093,0.0000,
0.1090,-0.0693,0.3714,0.9739,1.2581,-0.3519,-0.3376,987.8281,21.9910,7.8049,-45.5093,0.0000,
0.1660,-0.0693,0.3714,0.9739,1.2581,-0.3519,-0.3376,987.8281,19.4412,2.8549,-46.2585,0.0000,
0.1770,-0.0693,0.3714,0.9739,1.2581,-0.3519,-0.3376,987.8019,19.4412,2.8549,-46.2585,0.0000,
0.2940,0.0203,0.3963,0.6980,1.2581,-0.3519,-0.3376,987.8019,19.4412,2.8549,-46.2585,0.0000,
0.3090,0.0203,0.3963,0.6980,1.2581,-0.3519,-0.3376,987.8019,19.4412,2.8549,-46.2585,0.0000,
0.3100,0.0203,0.3963,0.6980,0.4132,1.5184,-0.0354,987.8019,19.4412,2.8549,-46.2585,0.0000,
0.3680,0.0203,0.3963,0.6980,0.4132,1.5184,-0.0354,987.8019,28.8910,4.5059,-39.2090,0.0000,
0.3790,0.0203,0.3963,0.6980,0.4132,1.5184,-0.0354,987.8020,28.8910,4.5059,-39.2090,0.0000,
0.4940,-0.1845,0.3996,1.1345,0.4132,1.5184,-0.0354,987.8020,28.8910,4.5059,-39.2090,0.0000,
0.5080,-0.1845,0.3996,1.1345,0.5916,0.3445,-0.4370,987.8020,28.8910,4.5059,-39.2090,0.0000,
0.5090,-0.1845,0.3996,1.1345,0.5916,0.3445,-0.4370,987.8020,28.8910,4.5059,-39.2090,0.0000,
0.5690,-0.1845,0.3996,1.1345,0.5916,0.3445,-0.4370,987.8020,28.4424,5.7053,-39.9597,0.0000,
0.5780,-0.1845,0.3996,1.1345,0.5916,0.3445,-0.4370,987.7627,28.4424,5.7053,-39.9597,0.0000,
0.6940,-0.1002,0.1908,0.3988,0.5916,0.3445,-0.4370,987.7627,28.4424,5.7053,-39.9597,0.0000,
0.7080,-0.1002,0.1908,0.3988,0.8533,2.3643,-1.5959,987.7627,28.4424,5.7053,-39.9597,0.0000,
0.7100,-0.1002,0.1908,0.3988,0.8533,2.3643,-1.5959,987.7627,28.4424,5.7053,-39.9597,0.0000,
0.7710,-0.1002,0.1908,0.3988,0.8533,2.3643,-1.5959,987.7627,39.6912,10.9558,-19.1086,0.0000,
0.7810,-0.1002,0.1908,0.3988,0.8533,2.3643,-1.5959,987.7628,39.6912,10.9558,-19.1086,0.0000,
0.9150,-0.1002,0.1908,0.3988,1.6010,3.2412,-4.7714,987.7628,39.6912,10.9558,-19.1086,0.0000,
0.9180,-0.1002,0.1908,0.3988,1.6010,3.2412,-4.7714,987.7628,39.6912,10.9558,-19.1086,0.0000,
0.9190,-0.9207,-0.4240,0.3611,1.6010,3.2412,-4.7714,987.7628,39.6912,10.9558,-19.1086,0.0000,
0.9710,-0.9207,-0.4240,0.3611,1.6010,3.2412,-4.7714,987.7628,18.0923,42.3050,-5.0095,0.0000,
0.9810,-0.9207,-0.4240,0.3611,1.6010,3.2412,-4.7714,987.8282,18.0923,42.3050,-5.0095,0.0000,
1.1110,-0.9207,-0.4240,0.3611,1.6010,3.2412,-4.7714,987.8282,18.0923,42.3050,-5.0095,0.0000,
1.1360,-0.9207,-0.4240,0.3611,-0.3889,-1.8473,0.4944,987.8282,18.0923,42.3050,-5.0095,0.0000,
1.1370,-1.9045,-0.1533,-0.2232,-0.3889,-1.8473,0.4944,987.8282,18.0923,42.3050,-5.0095,0.0000,
1.1750,-1.9045,-0.1533,-0.2232,-0.3889,-1.8473,0.4944,987.8282,14.1922,43.6554,-9.0591,0.0000,
1.1880,-1.9045,-0.1533,-0.2232,-0.3889,-1.8473,0.4944,987.7626,14.1922,43.6554,-9.0591,0.0000,
1.3130,-1.9045,-0.1533,-0.2232,-0.2672,0.3221,1.3981,987.7626,14.1922,43.6554,-9.0591,0.0000,
1.3150,-1.9045,-0.1533,-0.2232,-0.2672,0.3221,1.3981,987.7626,14.1922,43.6554,-9.0591,0.0000,
1.3170,-0.9922,-0.2127,-0.1877,-0.2672,0.3221,1.3981,987.7626,14.1922,43.6554,-9.0591,0.0000,
1.3790,-0.9922,-0.2127,-0.1877,-0.2672,0.3221,1.3981,987.7626,22.7417,39.4547,-5.7587,0.0000,
1.3920,-0.9922,-0.2127,-0.1877,-0.2672,0.3221,1.3981,987.8021,22.7417,39.4547,-5.7587,0.0000,
1.5150,-0.9922,-0.2127,-0.1877,-0.2672,0.3221,1.3981,987.8021,22.7417,39.4547,-5.7587,0.0000,
1.5180,-0.9922,-0.2127,-0.1877,0.5019,-0.0048,-0.8824,987.8021,22.7417,39.4547,-5.7587,0.0000,
