
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0050,0.0519,0.5343,0.8020,-0.0750,-0.1249,-0.5164,987.2299,22.4411,-24.8947,-30.9586,0.0000,
0.0060,0.0749,0.4726,1.1218,-0.0750,-0.1249,-0.5164,987.2299,22.4411,-24.8947,-30.9586,0.0000,
0.1570,0.0749,0.4726,1.1218,0.0574,0.4669,-0.1746,987.2299,22.4411,-24.8947,-30.9586,0.0000,
0.1580,0.0749,0.4726,1.1218,0.0574,0.4669,-0.1746,987.2299,22.4411,-24.8947,-30.9586,0.0000,
0.1750,0.0749,0.4726,1.1218,0.0574,0.4669,-0.1746,987.2299,25.8911,-22.6440,-28.5599,0.0000,
0.1830,0.0749,0.4726,1.1218,0.0574,0.4669,-0.1746,987.2299,25.8911,-22.6440,-28.5599,0.0000,
0.2000,-0.1272,0.3974,0.6648,0.0574,0.4669,-0.1746,987.2299,25.8911,-22.6440,-28.5599,0.0000,
0.3550,-0.1272,0.3974,0.6648,-0.8184,-0.4036,0.3252,987.2299,25.8911,-22.6440,-28.5599,0.0000,
0.3570,-0.1272,0.3974,0.6648,-0.8184,-0.4036,0.3252,987.2299,25.8911,-22.6440,-28.5599,0.0000,
0.3760,-0.1272,0.3974,0.6648,-0.8184,-0.4036,0.3252,987.2299,24.6918,-22.7951,-30.6595,0.0000,
0.3840,-0.1272,0.3974,0.6648,-0.8184,-0.4036,0.3252,987.2299,24.6918,-22.7951,-30.6595,0.0000,
0.4000,-0.1542,0.4504,1.0392,-0.8184,-0.4036,0.3252,987.2299,24.6918,-22.7951,-30.6595,0.0000,
0.5550,-0.1542,0.4504,1.0392,1.0828,2.6373,2.6174,987.2299,24.6918,-22.7951,-30.6595,0.0000,
0.5570,-0.1542,0.4504,1.0392,1.0828,2.6373,2.6174,987.2299,24.6918,-22.7951,-30.6595,0.0000,
0.5760,-0.1542,0.4504,1.0392,1.0828,2.6373,2.6174,987.2299,21.3913,-31.0440,-24.5087,0.0000,
0.5870,-0.1542,0.4504,1.0392,1.0828,2.6373,2.6174,987.1772,21.3913,-31.0440,-24.5087,0.0000,
0.6020,-0.1936,0.3202,0.8912,1.0828,2.6373,2.6174,987.1772,21.3913,-31.0440,-24.5087,0.0000,
0.7550,-0.1936,0.3202,0.8912,-1.6922,2.2602,-2.3023,987.1772,21.3913,-31.0440,-24.5087,0.0000,
0.7560,-0.1936,0.3202,0.8912,-1.6922,2.2602,-2.3023,987.1772,21.3913,-31.0440,-24.5087,0.0000,
0.7780,-0.1936,0.3202,0.8912,-1.6922,2.2602,-2.3023,987.1772,29.6417,-26.9943,-15.5090,0.0000,
0.7870,-0.1936,0.3202,0.8912,-1.6922,2.2602,-2.3023,987.2034,29.6417,-26.9943,-15.5090,0.0000,
0.8000,-0.1354,0.1476,0.3526,-1.6922,2.2602,-2.3023,987.2034,29.6417,-26.9943,-15.5090,0.0000,
0.9550,-0.1354,0.1476,0.3526,0.8361,3.1147,-4.0263,987.2034,29.6417,-26.9943,-15.5090,0.0000,
0.9560,-0.1354,0.1476,0.3526,0.8361,3.1147,-4.0263,987.2034,29.6417,-26.9943,-15.5090,0.0000,
0.9790,-0.1354,0.1476,0.3526,0.8361,3.1147,-4.0263,987.2034,34.8923,-3.5950,18.0908,0.0000,
0.9970,-0.1354,0.1476,0.3526,0.8361,3.1147,-4.0263,987.2297,34.8923,-3.5950,18.0908,0.0000,
1.0010,-1.1274,-0.4448,0.2759,0.8361,3.1147,-4.0263,987.2297,34.8923,-3.5950,18.0908,0.0000,
1.1580,-1.1274,-0.4448,0.2759,0.8361,3.1147,-4.0263,987.2297,34.8923,-3.5950,18.0908,0.0000,
1.1610,-1.1274,-0.4448,0.2759,3.0246,-0.2648,-1.5717,987.2297,34.8923,-3.5950,18.0908,0.0000,
1.1840,-1.1274,-0.4448,0.2759,3.0246,-0.2648,-1.5717,987.2297,24.3912,25.8057,19.5908,0.0000,
1.1940,-1.1274,-0.4448,0.2759,3.0246,-0.2648,-1.5717,987.1770,24.3912,25.8057,19.5908,0.0000,
1.2270,-1.5352,-0.3228,0.1711,3.0246,-0.2648,-1.5717,987.1770,24.3912,25.8057,19.5908,0.0000,
1.3560,-1.5352,-0.3228,0.1711,3.0246,-0.2648,-1.5717,987.1770,24.3912,25.8057,19.5908,0.0000,
1.3580,-1.5352,-0.3228,0.1711,0.3971,-0.9505,-0.9821,987.1770,24.3912,25.8057,19.5908,0.0000,
1.3820,-1.5352,-0.3228,0.1711,0.3971,-0.9505,-0.9821,987.1770,26.3412,31.9550,8.1909,0.0000,
1.3930,-1.5352,-0.3228,0.1711,0.3971,-0.9505,-0.9821,987.2032,26.3412,31.9550,8.1909,0.0000,
1.4200,-0.8647,-0.6812,0.3239,0.3971,-0.9505,-0.9821,987.2032,26.3412,31.9550,8.1909,0.0000,
1.5550,-0.8647,-0.6812,0.3239,-0.1316,-1.4408,0.9992,987.2032,26.3412,31.9550,8.1909,0.0000,
