
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0130,0.0065,0.2223,0.9474,-0.2344,0.0607,0.0401,982.8001,14.1861,16.3879,-38.7985,145.0000,
0.0140,0.0065,0.2223,0.9474,-0.2344,0.0607,0.0401,982.8001,14.1861,16.3879,-38.7985,145.0000,
0.0560,0.0309,0.2283,0.9437,-0.2344,0.0607,0.0401,982.8001,14.1861,16.3879,-38.7985,145.0000,
0.1420,0.0309,0.2283,0.9437,-0.2344,0.0607,0.0401,982.8001,14.1861,16.3879,-38.7985,143.0000,
0.1460,0.0309,0.2283,0.9437,-0.2344,0.0607,0.0401,982.8001,15.5365,16.8381,-38.3484,143.0000,
0.1540,0.0309,0.2283,0.9437,-0.2344,0.0607,0.0401,982.8000,15.5365,16.8381,-38.3484,143.0000,
0.2000,0.0309,0.2283,0.9437,-0.0090,0.2209,-0.0827,982.8000,15.5365,16.8381,-38.3484,143.0000,
0.2020,0.0309,0.2283,0.9437,-0.0090,0.2209,-0.0827,982.8000,15.5365,16.8381,-38.3484,143.0000,
0.2390,-0.0212,0.2211,0.9727,-0.0090,0.2209,-0.0827,982.8000,15.5365,16.8381,-38.3484,143.0000,
0.3050,-0.0212,0.2211,0.9727,-0.0090,0.2209,-0.0827,982.8000,15.5365,16.8381,-38.3484,141.0000,
0.3430,-0.0212,0.2211,0.9727,-0.0090,0.2209,-0.0827,982.8000,17.1860,16.9876,-38.0478,141.0000,
0.3520,-0.0212,0.2211,0.9727,-0.0090,0.2209,-0.0827,982.7867,17.1860,16.9876,-38.0478,141.0000,
0.3990,-0.0212,0.2211,0.9727,0.3851,0.0991,0.0070,982.7867,17.1860,16.9876,-38.0478,141.0000,
0.4020,-0.0212,0.2211,0.9727,0.3851,0.0991,0.0070,982.7867,17.1860,16.9876,-38.0478,141.0000,
0.4300,-0.0212,0.2211,0.9727,0.3851,0.0991,0.0070,982.7867,17.1860,16.9876,-38.0478,137.0000,
0.4580,-0.0839,0.2699,0.9507,0.3851,0.0991,0.0070,982.7867,17.1860,16.9876,-38.0478,137.0000,
0.5490,-0.0839,0.2699,0.9507,0.3851,0.0991,0.0070,982.7867,20.1859,14.2883,-37.4481,137.0000,
0.5580,-0.0839,0.2699,0.9507,0.3851,0.0991,0.0070,982.7866,20.1859,14.2883,-37.4481,137.0000,
0.5940,-0.0839,0.2699,0.9507,0.3851,0.0991,0.0070,982.7866,20.1859,14.2883,-37.4481,136.0000,
0.6020,-0.0839,0.2699,0.9507,0.4118,0.4441,-0.0955,982.7866,20.1859,14.2883,-37.4481,136.0000,
0.6070,-0.0839,0.2699,0.9507,0.4118,0.4441,-0.0955,982.7866,20.1859,14.2883,-37.4481,136.0000,
0.6620,-0.1150,0.3086,0.9570,0.4118,0.4441,-0.0955,982.7866,20.1859,14.2883,-37.4481,136.0000,
0.7540,-0.1150,0.3086,0.9570,0.4118,0.4441,-0.0955,982.7866,20.1859,12.9379,-37.7487,136.0000,
0.7590,-0.1150,0.3086,0.9570,0.4118,0.4441,-0.0955,982.7866,20.1859,12.9379,-37.7487,133.0000,
0.7640,-0.1150,0.3086,0.9570,0.4118,0.4441,-0.0955,982.7995,20.1859,12.9379,-37.7487,133.0000,
0.8020,-0.1150,0.3086,0.9570,0.4118,0.4441,-0.0955,982.7995,20.1859,12.9379,-37.7487,133.0000,
0.8090,-0.1150,0.3086,0.9570,-0.2707,-0.4178,0.0466,982.7995,20.1859,12.9379,-37.7487,133.0000,
0.8700,-0.2079,0.2685,0.8910,-0.2707,-0.4178,0.0466,982.7995,20.1859,12.9379,-37.7487,133.0000,
0.8790,-0.2079,0.2685,0.8910,-0.2707,-0.4178,0.0466,982.7995,20.1859,12.9379,-37.7487,127.0000,
0.9510,-0.2079,0.2685,0.8910,-0.2707,-0.4178,0.0466,982.7995,19.5862,8.8882,-40.2985,127.0000,
0.9640,-0.2079,0.2685,0.8910,-0.2707,-0.4178,0.0466,982.7995,19.5862,8.8882,-40.2985,116.0000,
0.9700,-0.2079,0.2685,0.8910,-0.2707,-0.4178,0.0466,982.7994,19.5862,8.8882,-40.2985,116.0000,
1.0040,-0.2079,0.2685,0.8910,-0.9671,0.0618,0.2548,982.7994,19.5862,8.8882,-40.2985,116.0000,
1.0100,-0.2079,0.2685,0.8910,-0.9671,0.0618,0.2548,982.7994,19.5862,8.8882,-40.2985,116.0000,
1.0470,-0.2079,0.2685,0.8910,-0.9671,0.0618,0.2548,982.7994,19.5862,8.8882,-40.2985,124.0000,
1.0620,-0.0883,0.4733,0.8633,-0.9671,0.0618,0.2548,982.7994,19.5862,8.8882,-40.2985,124.0000,
1.1530,-0.0883,0.4733,0.8633,-0.9671,0.0618,0.2548,982.7994,26.6357,14.1388,-33.6975,124.0000,
1.1730,-0.0883,0.4733,0.8633,-0.9671,0.0618,0.2548,982.7995,26.6357,14.1388,-33.6975,124.0000,
1.1770,-0.0883,0.4733,0.8633,-0.9671,0.0618,0.2548,982.7995,26.6357,14.1388,-33.6975,141.0000,
1.1970,-0.0883,0.4733,0.8633,-0.0859,2.5740,-0.2749,982.7995,26.6357,14.1388,-33.6975,141.0000,
1.1980,-0.0883,0.4733,0.8633,-0.0859,2.5740,-0.2749,982.7995,26.6357,14.1388,-33.6975,141.0000,
1.2570,-0.4737,0.0188,0.3983,-0.0859,2.5740,-0.2749,982.7995,26.6357,14.1388,-33.6975,141.0000,
1.3330,-0.4737,0.0188,0.3983,-0.0859,2.5740,-0.2749,982.7995,26.6357,14.1388,-33.6975,177.0000,
1.3540,-0.4737,0.0188,0.3983,-0.0859,2.5740,-0.2749,982.7995,38.1866,23.1384,-1.8982,177.0000,
1.3640,-0.4737,0.0188,0.3983,-0.0859,2.5740,-0.2749,982.8387,38.1866,23.1384,-1.8982,177.0000,
1.3960,-0.4737,0.0188,0.3983,-2.9100,4.4079,-1.7991,982.8387,38.1866,23.1384,-1.8982,177.0000,
1.3980,-0.4737,0.0188,0.3983,-2.9100,4.4079,-1.7991,982.8387,38.1866,23.1384,-1.8982,177.0000,
1.4510,-0.4737,0.0188,0.3983,-2.9100,4.4079,-1.7991,982.8387,38.1866,23.1384,-1.8982,116.0000,
1.4550,-1.0355,-0.6305,0.6817,-2.9100,4.4079,-1.7991,982.8387,38.1866,23.1384,-1.8982,116.0000,
1.5500,-1.0355,-0.6305,0.6817,-2.9100,4.4079,-1.7991,982.8387,20.7870,36.7889,11.9019,116.0000,
1.6850,-1.0355,-0.6305,0.6817,-2.9100,4.4079,-1.7991,982.8124,20.7870,36.7889,11.9019,116.0000,
1.6870,-1.0355,-0.6305,0.6817,-0.0859,-1.6312,-1.4937,982.8124,20.7870,36.7889,11.9019,116.0000,
1.6880,-1.0355,-0.6305,0.6817,-0.0859,-1.6312,-1.4937,982.8124,20.7870,36.7889,11.9019,116.0000,
1.6900,-1.0355,-0.6305,0.6817,-0.0859,-1.6312,-1.4937,982.8124,20.7870,36.7889,11.9019,19.0000,
1.6910,-1.3778,-0.4191,0.6164,-0.0859,-1.6312,-1.4937,982.8124,20.7870,36.7889,11.9019,19.0000,
1.6990,-1.3778,-0.4191,0.6164,-0.0859,-1.6312,-1.4937,982.8124,20.7870,36.7889,11.9019,12.0000,
1.7520,-1.3778,-0.4191,0.6164,-0.0859,-1.6312,-1.4937,982.8124,15.5365,41.1377,5.7526,12.0000,
1.7620,-1.3778,-0.4191,0.6164,-0.0859,-1.6312,-1.4937,982.8779,15.5365,41.1377,5.7526,12.0000,
1.7820,-1.3778,-0.4191,0.6164,-0.0859,-1.6312,-1.4937,982.8779,15.5365,41.1377,5.7526,7.0000,
1.7980,-1.3778,-0.4191,0.6164,0.6019,-0.9241,-0.8966,982.8779,15.5365,41.1377,5.7526,7.0000,
1.8000,-1.3778,-0.4191,0.6164,0.6019,-0.9241,-0.8966,982.8779,15.5365,41.1377,5.7526,7.0000,
1.8550,-0.5527,-0.3574,0.4676,0.6019,-0.9241,-0.8966,982.8779,15.5365,41.1377,5.7526,7.0000,
1.8710,-0.5527,-0.3574,0.4676,0.6019,-0.9241,-0.8966,982.8779,15.5365,41.1377,5.7526,5.0000,
1.9500,-0.5527,-0.3574,0.4676,0.6019,-0.9241,-0.8966,982.8779,15.5365,41.1377,5.7526,6.0000,
1.9570,-0.5527,-0.3574,0.4676,0.6019,-0.9241,-0.8966,982.8779,14.3372,40.9882,10.7025,6.0000,
1.9680,-0.5527,-0.3574,0.4676,0.6019,-0.9241,-0.8966,982.8776,14.3372,40.9882,10.7025,6.0000,
1.9970,-0.5527,-0.3574,0.4676,-0.8582,1.0658,0.2196,982.8776,14.3372,40.9882,10.7025,6.0000,
1.9980,-0.5527,-0.3574,0.4676,-0.8582,1.0658,0.2196,982.8776,14.3372,40.9882,10.7025,6.0000,
