
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0440,0.0281,0.4346,0.8539,-0.0211,-0.2573,0.5487,968.8793,-23.7228,-18.0466,-15.8676,43.0000,
0.1120,0.0281,0.4346,0.8539,-0.0211,-0.2573,0.5487,968.8793,-23.7228,-18.0466,-15.8676,32.0000,
0.1160,0.0281,0.4346,0.8539,-0.0211,-0.2573,0.5487,968.8793,-23.7228,-18.0466,-15.8676,32.0000,
0.1170,0.0281,0.4346,0.8539,0.2010,0.4787,-0.0494,968.8793,-23.7228,-18.0466,-15.8676,32.0000,
0.1420,0.0281,0.4346,0.8539,0.2010,0.4787,-0.0494,968.8793,-25.0732,-19.5465,-17.6682,32.0000,
0.1530,0.0281,0.4346,0.8539,0.2010,0.4787,-0.0494,968.8792,-25.0732,-19.5465,-17.6682,32.0000,
0.1750,0.0326,0.4356,1.0066,0.2010,0.4787,-0.0494,968.8792,-25.0732,-19.5465,-17.6682,32.0000,
0.2750,0.0326,0.4356,1.0066,0.2010,0.4787,-0.0494,968.8792,-25.0732,-19.5465,-17.6682,28.0000,
0.3150,0.0326,0.4356,1.0066,-0.1280,0.6677,0.3618,968.8792,-25.0732,-19.5465,-17.6682,28.0000,
0.3170,0.0326,0.4356,1.0066,-0.1280,0.6677,0.3618,968.8792,-25.0732,-19.5465,-17.6682,28.0000,
0.3430,0.0326,0.4356,1.0066,-0.1280,0.6677,0.3618,968.8792,-26.7227,-17.5964,-20.3674,28.0000,
0.3540,0.0326,0.4356,1.0066,-0.1280,0.6677,0.3618,968.9054,-26.7227,-17.5964,-20.3674,28.0000,
0.3730,0.0389,0.3402,0.8891,-0.1280,0.6677,0.3618,968.9054,-26.7227,-17.5964,-20.3674,28.0000,
0.3990,0.0389,0.3402,0.8891,-0.1280,0.6677,0.3618,968.9054,-26.7227,-17.5964,-20.3674,26.0000,
0.5210,0.0389,0.3402,0.8891,-0.1280,0.6677,0.3618,968.9054,-26.7227,-17.5964,-20.3674,26.0000,
0.5250,0.0389,0.3402,0.8891,0.8633,-0.9110,1.6072,968.9054,-26.7227,-17.5964,-20.3674,26.0000,
0.5300,0.0389,0.3402,0.8891,0.8633,-0.9110,1.6072,968.9054,-26.7227,-17.5964,-20.3674,24.0000,
0.5450,0.0389,0.3402,0.8891,0.8633,-0.9110,1.6072,968.9054,-32.1228,-13.9969,-16.3177,24.0000,
0.5550,0.0389,0.3402,0.8891,0.8633,-0.9110,1.6072,968.9446,-32.1228,-13.9969,-16.3177,24.0000,
