
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0330,-0.0188,0.2776,0.7888,-0.0596,0.1614,0.2934,970.1005,-21.1731,-29.8965,-1.1673,8.0000,
0.0650,-0.0188,0.2776,0.7888,-0.0596,0.1614,0.2934,970.1005,-21.1731,-29.8965,-1.1673,8.0000,
0.0660,-0.0188,0.2776,0.7888,-0.0158,0.1091,0.6107,970.1005,-21.1731,-29.8965,-1.1673,8.0000,
0.1040,0.0551,0.3320,0.9469,-0.0158,0.1091,0.6107,970.1005,-21.1731,-29.8965,-1.1673,8.0000,
0.1140,0.0551,0.3320,0.9469,-0.0158,0.1091,0.6107,970.1005,-21.1731,-29.8965,-1.1673,7.0000,
0.1450,0.0551,0.3320,0.9469,-0.0158,0.1091,0.6107,970.1005,-24.4736,-27.7969,-1.7685,7.0000,
0.1560,0.0551,0.3320,0.9469,-0.0158,0.1091,0.6107,970.0477,-24.4736,-27.7969,-1.7685,7.0000,
0.2640,0.0551,0.3320,0.9469,-0.0158,0.1091,0.6107,970.0477,-24.4736,-27.7969,-1.7685,7.0000,
0.2650,0.0551,0.3320,0.9469,0.2801,0.3676,0.7858,970.0477,-24.4736,-27.7969,-1.7685,7.0000,
0.2800,0.0551,0.3320,0.9469,0.2801,0.3676,0.7858,970.0477,-24.4736,-27.7969,-1.7685,6.0000,
0.3030,0.0176,0.2867,1.0801,0.2801,0.3676,0.7858,970.0477,-24.4736,-27.7969,-1.7685,6.0000,
0.3460,0.0176,0.2867,1.0801,0.2801,0.3676,0.7858,970.0477,-26.4236,-24.4965,-2.6688,6.0000,
0.3560,0.0176,0.2867,1.0801,0.2801,0.3676,0.7858,970.0735,-26.4236,-24.4965,-2.6688,6.0000,
0.4630,0.0176,0.2867,1.0801,0.2715,0.1443,0.2753,970.0735,-26.4236,-24.4965,-2.6688,6.0000,
0.4640,0.0176,0.2867,1.0801,0.2715,0.1443,0.2753,970.0735,-26.4236,-24.4965,-2.6688,6.0000,
0.5040,0.0193,0.2691,0.9034,0.2715,0.1443,0.2753,970.0735,-26.4236,-24.4965,-2.6688,6.0000,
0.5470,0.0193,0.2691,0.9034,0.2715,0.1443,0.2753,970.0735,-27.1729,-23.2971,-2.2186,6.0000,
0.5570,0.0193,0.2691,0.9034,0.2715,0.1443,0.2753,970.0340,-27.1729,-23.2971,-2.2186,6.0000,
0.6550,0.0193,0.2691,0.9034,0.2715,0.1443,0.2753,970.0340,-27.1729,-23.2971,-2.2186,5.0000,
0.6610,0.0193,0.2691,0.9034,-0.2850,0.2917,0.0819,970.0340,-27.1729,-23.2971,-2.2186,5.0000,
0.6630,0.0193,0.2691,0.9034,-0.2850,0.2917,0.0819,970.0340,-27.1729,-23.2971,-2.2186,5.0000,
0.7010,-0.1148,0.2868,0.8449,-0.2850,0.2917,0.0819,970.0340,-27.1729,-23.2971,-2.2186,5.0000,
0.7490,-0.1148,0.2868,0.8449,-0.2850,0.2917,0.0819,970.0340,-26.2741,-25.3967,-3.7186,5.0000,
0.7590,-0.1148,0.2868,0.8449,-0.2850,0.2917,0.0819,970.0337,-26.2741,-25.3967,-3.7186,5.0000,
