
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0030,-0.0597,0.3241,0.7345,0.1067,-0.8219,0.5105,987.8522,20.7916,-24.8947,-33.9584,0.0000,
0.0050,-0.0597,0.3241,0.7345,0.1067,-0.8219,0.5105,987.8521,20.7916,-24.8947,-33.9584,0.0000,
0.0450,-0.0597,0.3241,0.7345,0.3085,1.0174,0.2253,987.8521,20.7916,-24.8947,-33.9584,0.0000,
0.0460,-0.0597,0.3241,0.7345,0.3085,1.0174,0.2253,987.8521,20.7916,-24.8947,-33.9584,0.0000,
0.1140,0.0652,0.3765,1.1614,0.3085,1.0174,0.2253,987.8521,20.7916,-24.8947,-33.9584,0.0000,
0.1880,0.0652,0.3765,1.1614,0.3085,1.0174,0.2253,987.8521,24.9924,-27.7451,-28.5599,0.0000,
0.1990,0.0652,0.3765,1.1614,0.3085,1.0174,0.2253,987.8522,24.9924,-27.7451,-28.5599,0.0000,
0.2450,0.0652,0.3765,1.1614,-0.0076,-0.0048,-0.5748,987.8522,24.9924,-27.7451,-28.5599,0.0000,
0.2470,0.0652,0.3765,1.1614,-0.0076,-0.0048,-0.5748,987.8522,24.9924,-27.7451,-28.5599,0.0000,
0.3140,-0.0385,0.3002,0.7350,-0.0076,-0.0048,-0.5748,987.8522,24.9924,-27.7451,-28.5599,0.0000,
0.3890,-0.0385,0.3002,0.7350,-0.0076,-0.0048,-0.5748,987.8522,25.8911,-27.5940,-26.0086,0.0000,
0.4060,-0.0385,0.3002,0.7350,-0.0076,-0.0048,-0.5748,987.8785,25.8911,-27.5940,-26.0086,0.0000,
0.4440,-0.0385,0.3002,0.7350,0.5424,0.1266,0.2050,987.8785,25.8911,-27.5940,-26.0086,0.0000,
0.4450,-0.0385,0.3002,0.7350,0.5424,0.1266,0.2050,987.8785,25.8911,-27.5940,-26.0086,0.0000,
0.5170,-0.2124,0.4512,0.9762,0.5424,0.1266,0.2050,987.8785,25.8911,-27.5940,-26.0086,0.0000,
0.5950,-0.2124,0.4512,0.9762,0.5424,0.1266,0.2050,987.8785,23.9410,-28.9444,-26.6098,0.0000,
