
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0020,-0.1590,0.3071,0.9674,0.1020,-0.1168,-0.4146,987.0457,24.6918,-29.2450,-24.0585,0.0000,
0.0230,-0.1590,0.3071,0.9674,0.1810,0.2271,0.0148,987.0457,24.6918,-29.2450,-24.0585,0.0000,
0.0260,-0.1590,0.3071,0.9674,0.1810,0.2271,0.0148,987.0457,24.6918,-29.2450,-24.0585,0.0000,
0.0520,-0.1677,0.3350,0.7402,0.1810,0.2271,0.0148,987.0457,24.6918,-29.2450,-24.0585,0.0000,
0.1870,-0.1677,0.3350,0.7402,0.1810,0.2271,0.0148,987.0457,26.0422,-28.9444,-25.4089,0.0000,
0.1980,-0.1677,0.3350,0.7402,0.1810,0.2271,0.0148,987.0458,26.0422,-28.9444,-25.4089,0.0000,
0.2140,-0.1677,0.3350,0.7402,-0.8764,0.1609,-0.0205,987.0458,26.0422,-28.9444,-25.4089,0.0000,
0.2160,-0.1677,0.3350,0.7402,-0.8764,0.1609,-0.0205,987.0458,26.0422,-28.9444,-25.4089,0.0000,
0.2420,-0.2650,0.3723,1.0780,-0.8764,0.1609,-0.0205,987.0458,26.0422,-28.9444,-25.4089,0.0000,
0.3890,-0.2650,0.3723,1.0780,-0.8764,0.1609,-0.0205,987.0458,25.1419,-27.8946,-25.7095,0.0000,
0.4010,-0.2650,0.3723,1.0780,-0.8764,0.1609,-0.0205,987.0983,25.1419,-27.8946,-25.7095,0.0000,
0.4130,-0.2650,0.3723,1.0780,-0.8764,0.1609,-0.0205,987.0983,25.1419,-27.8946,-25.7095,0.0000,
0.4150,-0.2650,0.3723,1.0780,0.3199,-0.1467,0.1729,987.0983,25.1419,-27.8946,-25.7095,0.0000,
0.4440,-0.2813,0.3034,0.7278,0.3199,-0.1467,0.1729,987.0983,25.1419,-27.8946,-25.7095,0.0000,
0.5930,-0.2813,0.3034,0.7278,0.3199,-0.1467,0.1729,987.0983,22.7417,-30.2948,-26.0086,0.0000,
0.6190,-0.2813,0.3034,0.7278,0.3199,-0.1467,0.1729,987.0721,22.7417,-30.2948,-26.0086,0.0000,
0.6220,-0.2813,0.3034,0.7278,0.3199,-0.1467,0.1729,987.0721,22.7417,-30.2948,-26.0086,0.0000,
0.6230,-0.2813,0.3034,0.7278,-0.4075,0.2560,0.2957,987.0721,22.7417,-30.2948,-26.0086,0.0000,
0.6420,-0.1724,0.5080,0.8159,-0.4075,0.2560,0.2957,987.0721,22.7417,-30.2948,-26.0086,0.0000,
0.7970,-0.1724,0.5080,0.8159,-0.4075,0.2560,0.2957,987.0721,22.7417,-30.7449,-25.5585,0.0000,
0.8070,-0.1724,0.5080,0.8159,-0.4075,0.2560,0.2957,987.0460,22.7417,-30.7449,-25.5585,0.0000,
0.8170,-0.1724,0.5080,0.8159,0.5613,-0.2429,-0.3046,987.0460,22.7417,-30.7449,-25.5585,0.0000,
0.8220,-0.1724,0.5080,0.8159,0.5613,-0.2429,-0.3046,987.0460,22.7417,-30.7449,-25.5585,0.0000,
0.8460,-0.0587,0.4305,1.3609,0.5613,-0.2429,-0.3046,987.0460,22.7417,-30.7449,-25.5585,0.0000,
0.9930,-0.0587,0.4305,1.3609,0.5613,-0.2429,-0.3046,987.0460,26.4923,-32.5455,-16.2598,0.0000,
1.0030,-0.0587,0.4305,1.3609,0.5613,-0.2429,-0.3046,987.0067,26.4923,-32.5455,-16.2598,0.0000,
1.0110,-0.0587,0.4305,1.3609,0.5656,0.6736,-0.2565,987.0067,26.4923,-32.5455,-16.2598,0.0000,
1.0130,-0.0587,0.4305,1.3609,0.5656,0.6736,-0.2565,987.0067,26.4923,-32.5455,-16.2598,0.0000,
1.0420,-0.3036,0.1833,0.5210,0.5656,0.6736,-0.2565,987.0067,26.4923,-32.5455,-16.2598,0.0000,
1.1250,-0.3036,0.1833,0.5210,0.5656,0.6736,-0.2565,987.0067,26.4923,-32.5455,-16.2598,1.0000,
1.1940,-0.3036,0.1833,0.5210,0.5656,0.6736,-0.2565,987.0067,27.5421,-31.7947,-14.0091,1.0000,
1.2050,-0.3036,0.1833,0.5210,0.5656,0.6736,-0.2565,987.0461,27.5421,-31.7947,-14.0091,1.0000,
1.2080,-0.3036,0.1833,0.5210,0.5656,0.6736,-0.2565,987.0461,27.5421,-31.7947,-14.0091,0.0000,
1.2100,-0.3036,0.1833,0.5210,-2.0065,1.1457,-0.3324,987.0461,27.5421,-31.7947,-14.0091,0.0000,
1.2120,-0.3036,0.1833,0.5210,-2.0065,1.1457,-0.3324,987.0461,27.5421,-31.7947,-14.0091,0.0000,
1.2410,-0.8317,0.3162,0.7919,-2.0065,1.1457,-0.3324,987.0461,27.5421,-31.7947,-14.0091,0.0000,
1.3980,-0.8317,0.3162,0.7919,-2.0065,1.1457,-0.3324,987.0461,26.4923,-32.3944,-15.8096,0.0000,
1.4100,-0.8317,0.3162,0.7919,-2.0065,1.1457,-0.3324,987.0724,26.4923,-32.3944,-15.8096,0.0000,
1.4140,-0.8317,0.3162,0.7919,0.8006,0.4258,0.6257,987.0724,26.4923,-32.3944,-15.8096,0.0000,
1.4170,-0.8317,0.3162,0.7919,0.8006,0.4258,0.6257,987.0724,26.4923,-32.3944,-15.8096,0.0000,
1.4400,0.0700,0.7229,0.9956,0.8006,0.4258,0.6257,987.0724,26.4923,-32.3944,-15.8096,0.0000,
