
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0060,-0.0150,0.0335,0.9802,-0.0002,0.0002,-0.0003,1010.8966,26.2558,-19.4000,-39.4012,18.0000,
0.0300,-0.0150,0.0335,0.9802,-0.0002,0.0002,-0.0003,1010.8966,26.2558,-19.4000,-39.4012,18.0000,
0.0310,-0.0150,0.0335,0.9802,-0.0087,0.0044,0.0008,1010.8966,26.2558,-19.4000,-39.4012,18.0000,
0.1000,-0.0150,0.0333,0.9839,-0.0087,0.0044,0.0008,1010.8966,26.2558,-19.4000,-39.4012,18.0000,
0.1120,-0.0150,0.0333,0.9839,-0.0087,0.0044,0.0008,1010.8836,26.2558,-19.4000,-39.4012,18.0000,
0.2030,-0.0150,0.0333,0.9839,-0.0087,0.0044,0.0008,1010.8836,25.6454,-19.2017,-39.8804,18.0000,
0.2240,-0.0150,0.0333,0.9839,-0.0087,0.0044,0.0008,1010.8836,25.6454,-19.2017,-39.8804,18.0000,
0.2250,-0.0150,0.0333,0.9839,0.0051,-0.0009,-0.0013,1010.8836,25.6454,-19.2017,-39.8804,18.0000,
0.2980,-0.0153,0.0329,0.9809,0.0051,-0.0009,-0.0013,1010.8836,25.6454,-19.2017,-39.8804,18.0000,
0.3150,-0.0153,0.0329,0.9809,0.0051,-0.0009,-0.0013,1010.8837,25.6454,-19.2017,-39.8804,18.0000,
0.4050,-0.0153,0.0329,0.9809,0.0051,-0.0009,-0.0013,1010.8837,25.9262,-19.4366,-39.9078,18.0000,
0.4250,-0.0153,0.0329,0.9809,0.0169,-0.0062,-0.0003,1010.8837,25.9262,-19.4366,-39.9078,18.0000,
0.4280,-0.0153,0.0329,0.9809,0.0169,-0.0062,-0.0003,1010.8837,25.9262,-19.4366,-39.9078,18.0000,
0.4980,-0.0156,0.0335,0.9826,0.0169,-0.0062,-0.0003,1010.8837,25.9262,-19.4366,-39.9078,18.0000,
0.5160,-0.0156,0.0335,0.9826,0.0169,-0.0062,-0.0003,1010.8969,25.9262,-19.4366,-39.9078,18.0000,
0.6080,-0.0156,0.0335,0.9826,0.0169,-0.0062,-0.0003,1010.8969,26.4618,-19.4000,-39.8804,18.0000,
0.6220,-0.0156,0.0335,0.9826,0.0169,-0.0062,-0.0003,1010.8969,26.4618,-19.4000,-39.8804,18.0000,
0.6230,-0.0156,0.0335,0.9826,-0.0002,0.0002,-0.0003,1010.8969,26.4618,-19.4000,-39.8804,18.0000,
0.7170,-0.0156,0.0335,0.9826,-0.0002,0.0002,-0.0003,1010.8969,26.0117,-19.3710,-39.5798,18.0000,
0.7260,-0.0156,0.0335,0.9826,-0.0002,0.0002,-0.0003,1010.9495,26.0117,-19.3710,-39.5798,18.0000,
0.8780,-0.0156,0.0335,0.9826,-0.0002,0.0002,-0.0003,1010.9495,26.0117,-19.3710,-39.5798,18.0000,
0.9130,-0.0156,0.0335,0.9826,-0.0002,0.0002,-0.0003,1010.9495,26.3123,-19.3710,-39.5798,18.0000,
0.9220,-0.0156,0.0335,0.9826,-0.0002,0.0002,-0.0003,1010.9233,26.3123,-19.3710,-39.5798,18.0000,
0.9750,-0.0156,0.0335,0.9826,0.0002,0.0007,-0.0003,1010.9233,26.3123,-19.3710,-39.5798,18.0000,
1.0730,-0.0156,0.0335,0.9826,0.0002,0.0007,-0.0003,1010.9233,26.3123,-19.3710,-39.5798,18.0000,
1.0770,-0.0154,0.0333,0.9819,0.0002,0.0007,-0.0003,1010.9233,26.3123,-19.3710,-39.5798,18.0000,
1.1110,-0.0154,0.0333,0.9819,0.0002,0.0007,-0.0003,1010.9233,26.4618,-19.5206,-39.5798,18.0000,
1.1190,-0.0154,0.0333,0.9819,0.0002,0.0007,-0.0003,1010.9235,26.4618,-19.5206,-39.5798,18.0000,
1.1740,-0.0154,0.0333,0.9819,0.0003,0.0011,0.0003,1010.9235,26.4618,-19.5206,-39.5798,18.0000,
1.2740,-0.0154,0.0333,0.9819,0.0003,0.0011,0.0003,1010.9235,26.4618,-19.5206,-39.5798,18.0000,
1.2810,-0.0155,0.0343,0.9809,0.0003,0.0011,0.0003,1010.9235,26.4618,-19.5206,-39.5798,18.0000,
1.3130,-0.0155,0.0343,0.9809,0.0003,0.0011,0.0003,1010.9235,26.3123,-19.3710,-39.5798,18.0000,
1.3230,-0.0155,0.0343,0.9809,0.0003,0.0011,0.0003,1010.9235,26.3123,-19.3710,-39.5798,18.0000,
1.3730,-0.0155,0.0343,0.9809,-0.0004,0.0011,-0.0003,1010.9235,26.3123,-19.3710,-39.5798,18.0000,
1.4800,-0.0155,0.0343,0.9809,-0.0004,0.0011,-0.0003,1010.9235,26.3123,-19.3710,-39.5798,18.0000,
1.4850,-0.0158,0.0341,0.9813,-0.0004,0.0011,-0.0003,1010.9235,26.3123,-19.3710,-39.5798,18.0000,
1.5250,-0.0158,0.0341,0.9813,-0.0004,0.0011,-0.0003,1010.9235,27.0615,-19.3710,-39.5798,18.0000,
1.5280,-0.0158,0.0341,0.9813,-0.0004,0.0011,-0.0003,1010.9498,27.0615,-19.3710,-39.5798,18.0000,
1.5750,-0.0158,0.0341,0.9813,-0.0005,0.0016,0.0003,1010.9498,27.0615,-19.3710,-39.5798,18.0000,
1.6760,-0.0158,0.0341,0.9813,-0.0005,0.0016,0.0003,1010.9498,27.0615,-19.3710,-39.5798,18.0000,
1.6810,-0.0153,0.0341,0.9812,-0.0005,0.0016,0.0003,1010.9498,27.0615,-19.3710,-39.5798,18.0000,
1.7190,-0.0153,0.0341,0.9812,-0.0005,0.0016,0.0003,1010.9498,26.9119,-18.9209,-39.4302,18.0000,
1.7290,-0.0153,0.0341,0.9812,-0.0005,0.0016,0.0003,1010.9500,26.9119,-18.9209,-39.4302,18.0000,
1.7760,-0.0153,0.0341,0.9812,-0.0007,0.0009,-0.0003,1010.9500,26.9119,-18.9209,-39.4302,18.0000,
1.8740,-0.0153,0.0341,0.9812,-0.0007,0.0009,-0.0003,1010.9500,26.9119,-18.9209,-39.4302,18.0000,
1.8860,-0.0152,0.0345,0.9805,-0.0007,0.0009,-0.0003,1010.9500,26.9119,-18.9209,-39.4302,18.0000,
1.9180,-0.0152,0.0345,0.9805,-0.0007,0.0009,-0.0003,1010.9500,26.3123,-19.0704,-39.2792,18.0000,
1.9260,-0.0152,0.0345,0.9805,-0.0007,0.0009,-0.0003,1010.9762,26.3123,-19.0704,-39.2792,18.0000,
1.9730,-0.0152,0.0345,0.9805,-0.0002,0.0018,-0.0003,1010.9762,26.3123,-19.0704,-39.2792,18.0000,
2.0750,-0.0152,0.0345,0.9805,-0.0002,0.0018,-0.0003,1010.9762,26.3123,-19.0704,-39.2792,18.0000,
2.1750,-0.0148,0.0342,0.9805,-0.0002,0.0018,-0.0003,1010.9762,26.3123,-19.0704,-39.2792,18.0000,
2.1780,-0.0148,0.0342,0.9805,-0.0002,0.0018,-0.0003,1010.9762,27.0615,-19.3710,-39.1296,18.0000,
2.1790,-0.0148,0.0342,0.9805,-0.0002,0.0018,-0.0003,1010.9238,27.0615,-19.3710,-39.1296,18.0000,
2.1810,-0.0148,0.0342,0.9805,-0.0002,0.0015,0.0003,1010.9238,27.0615,-19.3710,-39.1296,18.0000,
2.2730,-0.0148,0.0342,0.9805,-0.0002,0.0015,0.0003,1010.9238,27.0615,-19.3710,-39.1296,18.0000,
2.2790,-0.0146,0.0340,0.9812,-0.0002,0.0015,0.0003,1010.9238,27.0615,-19.3710,-39.1296,18.0000,
2.3210,-0.0146,0.0340,0.9812,-0.0002,0.0015,0.0003,1010.9238,26.6113,-18.7714,-38.9801,18.0000,
2.3310,-0.0146,0.0340,0.9812,-0.0002,0.0015,0.0003,1010.8976,26.6113,-18.7714,-38.9801,18.0000,
2.3740,-0.0146,0.0340,0.9812,-0.0002,0.0010,-0.0003,1010.8976,26.6113,-18.7714,-38.9801,18.0000,
2.4740,-0.0146,0.0340,0.9812,-0.0002,0.0010,-0.0003,1010.8976,26.6113,-18.7714,-38.9801,18.0000,
