
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0160,-0.0108,-0.0070,0.9885,0.0720,-0.0695,-0.0043,1010.8972,35.7620,-3.3203,-42.7292,10.0000,
0.0430,-0.0108,-0.0070,0.9885,0.0720,-0.0695,-0.0043,1010.8970,35.7620,-3.3203,-42.7292,10.0000,
0.0650,-0.0108,-0.0070,0.9885,0.0389,-0.0193,-0.0011,1010.8970,35.7620,-3.3203,-42.7292,10.0000,
0.0660,-0.0108,-0.0070,0.9885,0.0389,-0.0193,-0.0011,1010.8970,35.7620,-3.3203,-42.7292,10.0000,
0.1630,-0.0102,-0.0075,0.9795,0.0389,-0.0193,-0.0011,1010.8970,35.7620,-3.3203,-42.7292,10.0000,
0.2190,-0.0102,-0.0075,0.9795,0.0389,-0.0193,-0.0011,1010.8970,35.6125,-3.3203,-43.1793,10.0000,
0.2290,-0.0102,-0.0075,0.9795,0.0389,-0.0193,-0.0011,1010.8838,35.6125,-3.3203,-43.1793,10.0000,
0.2670,-0.0102,-0.0075,0.9795,-0.0017,0.0020,-0.0011,1010.8838,35.6125,-3.3203,-43.1793,10.0000,
0.2680,-0.0102,-0.0075,0.9795,-0.0017,0.0020,-0.0011,1010.8838,35.6125,-3.3203,-43.1793,10.0000,
0.3620,-0.0115,-0.0077,0.9820,-0.0017,0.0020,-0.0011,1010.8838,35.6125,-3.3203,-43.1793,10.0000,
0.4200,-0.0115,-0.0077,0.9820,-0.0017,0.0020,-0.0011,1010.8838,35.0128,-3.1708,-20.2301,10.0000,
0.4300,-0.0115,-0.0077,0.9820,-0.0017,0.0020,-0.0011,1010.8835,35.0128,-3.1708,-20.2301,10.0000,
0.4700,-0.0115,-0.0077,0.9820,0.0005,-0.0033,-0.0011,1010.8835,35.0128,-3.1708,-20.2301,10.0000,
0.4730,-0.0115,-0.0077,0.9820,0.0005,-0.0033,-0.0011,1010.8835,35.0128,-3.1708,-20.2301,10.0000,
0.5670,-0.0112,-0.0071,0.9838,0.0005,-0.0033,-0.0011,1010.8835,35.0128,-3.1708,-20.2301,10.0000,
0.6260,-0.0112,-0.0071,0.9838,0.0005,-0.0033,-0.0011,1010.8835,35.6125,-3.9215,-42.8802,10.0000,
0.6360,-0.0112,-0.0071,0.9838,0.0005,-0.0033,-0.0011,1010.8834,35.6125,-3.9215,-42.8802,10.0000,
0.6700,-0.0112,-0.0071,0.9838,0.0015,0.0010,-0.0000,1010.8834,35.6125,-3.9215,-42.8802,10.0000,
0.6740,-0.0112,-0.0071,0.9838,0.0015,0.0010,-0.0000,1010.8834,35.6125,-3.9215,-42.8802,10.0000,
0.7640,-0.0104,-0.0082,0.9824,0.0015,0.0010,-0.0000,1010.8834,35.6125,-3.9215,-42.8802,10.0000,
0.8230,-0.0104,-0.0082,0.9824,0.0015,0.0010,-0.0000,1010.8834,35.0128,-3.7704,-43.3304,10.0000,
0.8340,-0.0104,-0.0082,0.9824,0.0015,0.0010,-0.0000,1010.8963,35.0128,-3.7704,-43.3304,10.0000,
0.8690,-0.0104,-0.0082,0.9824,0.0005,-0.0001,-0.0011,1010.8963,35.0128,-3.7704,-43.3304,10.0000,
0.8710,-0.0104,-0.0082,0.9824,0.0005,-0.0001,-0.0011,1010.8963,35.0128,-3.7704,-43.3304,10.0000,
0.9660,-0.0108,-0.0071,0.9817,0.0005,-0.0001,-0.0011,1010.8963,35.0128,-3.7704,-43.3304,10.0000,
1.0270,-0.0108,-0.0071,0.9817,0.0005,-0.0001,-0.0011,1010.8963,35.9116,-2.5711,-43.1793,10.0000,
1.0370,-0.0108,-0.0071,0.9817,0.0005,-0.0001,-0.0011,1010.8961,35.9116,-2.5711,-43.1793,10.0000,
1.0720,-0.0108,-0.0071,0.9817,0.0005,-0.0022,-0.0011,1010.8961,35.9116,-2.5711,-43.1793,10.0000,
1.0750,-0.0108,-0.0071,0.9817,0.0005,-0.0022,-0.0011,1010.8961,35.9116,-2.5711,-43.1793,10.0000,
1.1650,-0.0117,-0.0080,0.9834,0.0005,-0.0022,-0.0011,1010.8961,35.9116,-2.5711,-43.1793,10.0000,
1.2260,-0.0117,-0.0080,0.9834,0.0005,-0.0022,-0.0011,1010.8961,36.2122,-3.1708,-42.7292,10.0000,
1.2380,-0.0117,-0.0080,0.9834,0.0005,-0.0022,-0.0011,1010.8828,36.2122,-3.1708,-42.7292,10.0000,
