
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0150,0.0346,0.2990,0.9537,-0.0120,-0.1442,0.0376,1007.8506,17.0700,-34.2712,-21.8124,46.0000,
0.0510,0.0346,0.2990,0.9537,0.0083,0.0737,-0.0061,1007.8506,17.0700,-34.2712,-21.8124,46.0000,
0.0600,0.0346,0.2990,0.9537,0.0083,0.0737,-0.0061,1007.8506,17.0700,-34.2712,-21.8124,46.0000,
0.1450,0.0265,0.2940,0.9453,0.0083,0.0737,-0.0061,1007.8506,17.0700,-34.2712,-21.8124,46.0000,
0.1580,0.0265,0.2940,0.9453,0.0083,0.0737,-0.0061,1007.8506,17.5293,-33.9737,-22.2214,46.0000,
0.1680,0.0265,0.2940,0.9453,0.0083,0.0737,-0.0061,1007.7982,17.5293,-33.9737,-22.2214,46.0000,
0.2510,0.0265,0.2940,0.9453,0.0318,0.0342,-0.0040,1007.7982,17.5293,-33.9737,-22.2214,46.0000,
0.2520,0.0265,0.2940,0.9453,0.0318,0.0342,-0.0040,1007.7982,17.5293,-33.9737,-22.2214,46.0000,
0.3460,0.0241,0.2988,0.9461,0.0318,0.0342,-0.0040,1007.7982,17.5293,-33.9737,-22.2214,46.0000,
0.3590,0.0241,0.2988,0.9461,0.0318,0.0342,-0.0040,1007.7982,17.8284,-34.1217,-18.4006,46.0000,
0.3690,0.0241,0.2988,0.9461,0.0318,0.0342,-0.0040,1007.7851,17.8284,-34.1217,-18.4006,46.0000,
0.4370,0.0241,0.2988,0.9461,0.0318,0.0342,-0.0040,1007.7851,17.8284,-34.1217,-18.4006,47.0000,
0.4500,0.0241,0.2988,0.9461,-0.0526,-0.0940,0.0173,1007.7851,17.8284,-34.1217,-18.4006,47.0000,
0.4520,0.0241,0.2988,0.9461,-0.0526,-0.0940,0.0173,1007.7851,17.8284,-34.1217,-18.4006,47.0000,
0.5200,0.0241,0.2988,0.9461,-0.0526,-0.0940,0.0173,1007.7851,17.8284,-34.1217,-18.4006,46.0000,
0.5450,0.0276,0.2960,0.9470,-0.0526,-0.0940,0.0173,1007.7851,17.8284,-34.1217,-18.4006,46.0000,
0.5600,0.0276,0.2960,0.9470,-0.0526,-0.0940,0.0173,1007.7851,16.6336,-13.8123,-22.5571,46.0000,
0.5720,0.0276,0.2960,0.9470,-0.0526,-0.0940,0.0173,1007.7982,16.6336,-13.8123,-22.5571,46.0000,
0.6030,0.0276,0.2960,0.9470,-0.0526,-0.0940,0.0173,1007.7982,16.6336,-13.8123,-22.5571,47.0000,
0.6490,0.0276,0.2960,0.9470,-0.0034,-0.0117,0.0045,1007.7982,16.6336,-13.8123,-22.5571,47.0000,
0.6500,0.0276,0.2960,0.9470,-0.0034,-0.0117,0.0045,1007.7982,16.6336,-13.8123,-22.5571,47.0000,
0.7440,0.0297,0.2943,0.9449,-0.0034,-0.0117,0.0045,1007.7982,16.6336,-13.8123,-22.5571,47.0000,
0.7610,0.0297,0.2943,0.9449,-0.0034,-0.0117,0.0045,1007.7982,17.0715,-34.2697,-22.5311,47.0000,
0.7720,0.0297,0.2943,0.9449,-0.0034,-0.0117,0.0045,1007.7982,17.0715,-34.2697,-22.5311,47.0000,
0.8510,0.0297,0.2943,0.9449,-0.0034,-0.0117,0.0045,1007.7982,17.0715,-34.2697,-22.5311,46.0000,
0.8520,0.0297,0.2943,0.9449,-0.0173,-0.0139,0.0077,1007.7982,17.0715,-34.2697,-22.5311,46.0000,
0.8530,0.0297,0.2943,0.9449,-0.0173,-0.0139,0.0077,1007.7982,17.0715,-34.2697,-22.5311,46.0000,
0.9350,0.0297,0.2943,0.9449,-0.0173,-0.0139,0.0077,1007.7982,17.0715,-34.2697,-22.5311,44.0000,
0.9450,0.0329,0.2919,0.9490,-0.0173,-0.0139,0.0077,1007.7982,17.0715,-34.2697,-22.5311,44.0000,
0.9630,0.0329,0.2919,0.9490,-0.0173,-0.0139,0.0077,1007.7982,16.6321,-14.3204,-22.4396,44.0000,
0.9730,0.0329,0.2919,0.9490,-0.0173,-0.0139,0.0077,1007.7851,16.6321,-14.3204,-22.4396,44.0000,
1.0170,0.0329,0.2919,0.9490,-0.0173,-0.0139,0.0077,1007.7851,16.6321,-14.3204,-22.4396,41.0000,
1.0490,0.0329,0.2919,0.9490,-0.0173,-0.0139,0.0077,1007.7851,16.6321,-14.3204,-22.4396,41.0000,
1.0510,0.0329,0.2919,0.9490,-0.0109,-0.0096,0.0013,1007.7851,16.6321,-14.3204,-22.4396,41.0000,
1.1000,0.0329,0.2919,0.9490,-0.0109,-0.0096,0.0013,1007.7851,16.6321,-14.3204,-22.4396,39.0000,
1.1640,0.0360,0.2913,0.9469,-0.0109,-0.0096,0.0013,1007.7851,16.6321,-14.3204,-22.4396,39.0000,
1.1660,0.0360,0.2913,0.9469,-0.0109,-0.0096,0.0013,1007.7851,14.5584,-22.6654,-21.9650,39.0000,
1.1750,0.0360,0.2913,0.9469,-0.0109,-0.0096,0.0013,1007.8901,14.5584,-22.6654,-21.9650,39.0000,
1.1820,0.0360,0.2913,0.9469,-0.0109,-0.0096,0.0013,1007.8901,14.5584,-22.6654,-21.9650,38.0000,
1.2490,0.0360,0.2913,0.9469,-0.0152,-0.0395,0.0003,1007.8901,14.5584,-22.6654,-21.9650,38.0000,
1.2510,0.0360,0.2913,0.9469,-0.0152,-0.0395,0.0003,1007.8901,14.5584,-22.6654,-21.9650,38.0000,
1.2680,0.0360,0.2913,0.9469,-0.0152,-0.0395,0.0003,1007.8901,14.5584,-22.6654,-21.9650,40.0000,
1.3490,0.0360,0.2913,0.9469,-0.0152,-0.0395,0.0003,1007.8901,14.5584,-22.6654,-21.9650,43.0000,
1.3620,0.0425,0.2894,0.9496,-0.0152,-0.0395,0.0003,1007.8901,14.5584,-22.6654,-21.9650,43.0000,
1.3650,0.0425,0.2894,0.9496,-0.0152,-0.0395,0.0003,1007.8901,15.2863,-14.9796,-22.7066,43.0000,
1.3760,0.0425,0.2894,0.9496,-0.0152,-0.0395,0.0003,1007.8506,15.2863,-14.9796,-22.7066,43.0000,
1.4320,0.0425,0.2894,0.9496,-0.0152,-0.0395,0.0003,1007.8506,15.2863,-14.9796,-22.7066,45.0000,
1.4470,0.0425,0.2894,0.9496,-0.0323,-0.0075,-0.0061,1007.8506,15.2863,-14.9796,-22.7066,45.0000,
1.4480,0.0425,0.2894,0.9496,-0.0323,-0.0075,-0.0061,1007.8506,15.2863,-14.9796,-22.7066,45.0000,
1.5150,0.0425,0.2894,0.9496,-0.0323,-0.0075,-0.0061,1007.8506,15.2863,-14.9796,-22.7066,47.0000,
1.5750,0.0356,0.2845,0.9513,-0.0323,-0.0075,-0.0061,1007.8506,15.2863,-14.9796,-22.7066,47.0000,
1.5760,0.0356,0.2845,0.9513,-0.0323,-0.0075,-0.0061,1007.8506,17.6666,-34.1217,-23.0057,47.0000,
1.5780,0.0356,0.2845,0.9513,-0.0323,-0.0075,-0.0061,1007.7851,17.6666,-34.1217,-23.0057,47.0000,
1.6370,0.0356,0.2845,0.9513,-0.0323,-0.0075,-0.0061,1007.7851,17.6666,-34.1217,-23.0057,48.0000,
1.6460,0.0356,0.2845,0.9513,-0.0130,0.0299,0.0088,1007.7851,17.6666,-34.1217,-23.0057,48.0000,
1.6480,0.0356,0.2845,0.9513,-0.0130,0.0299,0.0088,1007.7851,17.6666,-34.1217,-23.0057,48.0000,
1.7200,0.0356,0.2845,0.9513,-0.0130,0.0299,0.0088,1007.7851,17.6666,-34.1217,-23.0057,47.0000,
1.7640,0.0386,0.2796,0.9486,-0.0130,0.0299,0.0088,1007.7851,17.6666,-34.1217,-23.0057,47.0000,
1.7690,0.0386,0.2796,0.9486,-0.0130,0.0299,0.0088,1007.7851,16.9342,-33.8181,-22.7112,47.0000,
1.7790,0.0386,0.2796,0.9486,-0.0130,0.0299,0.0088,1007.8507,16.9342,-33.8181,-22.7112,47.0000,
1.8040,0.0386,0.2796,0.9486,-0.0130,0.0299,0.0088,1007.8507,16.9342,-33.8181,-22.7112,48.0000,
1.8470,0.0386,0.2796,0.9486,-0.0184,-0.0117,0.0035,1007.8507,16.9342,-33.8181,-22.7112,48.0000,
1.8490,0.0386,0.2796,0.9486,-0.0184,-0.0117,0.0035,1007.8507,16.9342,-33.8181,-22.7112,48.0000,
1.8870,0.0386,0.2796,0.9486,-0.0184,-0.0117,0.0035,1007.8507,16.9342,-33.8181,-22.7112,50.0000,
1.9610,0.0323,0.2781,0.9534,-0.0184,-0.0117,0.0035,1007.8507,16.9342,-33.8181,-22.7112,50.0000,
1.9700,0.0323,0.2781,0.9534,-0.0184,-0.0117,0.0035,1007.8507,16.9342,-33.8181,-22.7112,49.0000,
1.9720,0.0323,0.2781,0.9534,-0.0184,-0.0117,0.0035,1007.8507,17.6422,-12.5870,-22.5769,49.0000,
1.9810,0.0323,0.2781,0.9534,-0.0184,-0.0117,0.0035,1007.8506,17.6422,-12.5870,-22.5769,49.0000,
2.0450,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8506,17.6422,-12.5870,-22.5769,49.0000,
2.0470,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8506,17.6422,-12.5870,-22.5769,49.0000,
2.0930,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8506,17.6422,-12.5870,-22.5769,48.0000,
2.1720,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8506,16.6260,-34.5734,-20.0119,48.0000,
2.1770,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8506,16.6260,-34.5734,-20.0119,49.0000,
2.1980,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8243,16.6260,-34.5734,-20.0119,49.0000,
2.3570,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8243,16.6260,-34.5734,-20.0119,49.0000,
2.3760,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8243,14.8270,-19.1238,-22.5616,49.0000,
2.3830,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.8243,14.8270,-19.1238,-22.5616,48.0000,
2.3880,0.0323,0.2781,0.9534,-0.0045,-0.0107,0.0024,1007.7980,14.8270,-19.1238,-22.5616,48.0000,
2.4540,0.0323,0.2781,0.9534,0.0044,-0.0089,0.0014,1007.7980,14.8270,-19.1238,-22.5616,48.0000,
2.4620,0.0323,0.2781,0.9534,0.0044,-0.0089,0.0014,1007.7980,14.8270,-19.1238,-22.5616,47.0000,
2.5610,0.0323,0.2781,0.9534,0.0044,-0.0089,0.0014,1007.7980,14.8270,-19.1238,-22.5616,47.0000,
2.5650,0.0381,0.2762,0.9532,0.0044,-0.0089,0.0014,1007.7980,14.8270,-19.1238,-22.5616,47.0000,
2.5780,0.0381,0.2762,0.9532,0.0044,-0.0089,0.0014,1007.7980,16.7755,-33.5236,-23.0118,47.0000,
2.5880,0.0381,0.2762,0.9532,0.0044,-0.0089,0.0014,1007.8505,16.7755,-33.5236,-23.0118,47.0000,
2.6280,0.0381,0.2762,0.9532,0.0044,-0.0089,0.0014,1007.8505,16.7755,-33.5236,-23.0118,48.0000,
2.6610,0.0381,0.2762,0.9532,-0.0011,-0.0049,0.0009,1007.8505,16.7755,-33.5236,-23.0118,48.0000,
2.7110,0.0381,0.2762,0.9532,-0.0011,-0.0049,0.0009,1007.8505,16.7755,-33.5236,-23.0118,52.0000,
2.7560,0.0381,0.2762,0.9532,-0.0011,-0.0049,0.0009,1007.8505,16.7755,-33.5236,-23.0118,52.0000,
2.7620,0.0402,0.2784,0.9508,-0.0011,-0.0049,0.0009,1007.8505,16.7755,-33.5236,-23.0118,52.0000,
2.7800,0.0402,0.2784,0.9508,-0.0011,-0.0049,0.0009,1007.8505,16.0263,-33.9737,-22.8607,52.0000,
2.7880,0.0402,0.2784,0.9508,-0.0011,-0.0049,0.0009,1007.7980,16.0263,-33.9737,-22.8607,52.0000,
2.8540,0.0402,0.2784,0.9508,-0.0004,0.0155,-0.0001,1007.7980,16.0263,-33.9737,-22.8607,52.0000,
2.9530,0.0402,0.2784,0.9508,-0.0004,0.0155,-0.0001,1007.7980,16.0263,-33.9737,-22.8607,52.0000,
2.9580,0.0294,0.2761,0.9511,-0.0004,0.0155,-0.0001,1007.7980,16.0263,-33.9737,-22.8607,52.0000,
2.9780,0.0294,0.2761,0.9511,-0.0004,0.0155,-0.0001,1007.7980,16.6260,-33.6731,-22.7112,52.0000,
2.9880,0.0294,0.2761,0.9511,-0.0004,0.0155,-0.0001,1007.8504,16.6260,-33.6731,-22.7112,52.0000,
3.0530,0.0294,0.2761,0.9511,0.0057,-0.0017,0.0052,1007.8504,16.6260,-33.6731,-22.7112,52.0000,
3.1530,0.0294,0.2761,0.9511,0.0057,-0.0017,0.0052,1007.8504,16.6260,-33.6731,-22.7112,53.0000,
3.1560,0.0294,0.2761,0.9511,0.0057,-0.0017,0.0052,1007.8504,16.6260,-33.6731,-22.7112,53.0000,
3.1570,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8504,16.6260,-33.6731,-22.7112,53.0000,
3.2710,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8504,17.0761,-34.5734,-20.4620,53.0000,
3.2730,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8242,17.0761,-34.5734,-20.4620,53.0000,
3.3180,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8242,17.0761,-34.5734,-20.4620,54.0000,
3.3820,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8242,15.2954,-33.9844,-12.4512,54.0000,
3.3930,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8505,15.2954,-33.9844,-12.4512,54.0000,
3.3980,0.0330,0.2782,0.9517,0.0057,-0.0017,0.0052,1007.8505,15.2954,-33.9844,-12.4512,54.0000,
3.4020,0.0330,0.2782,0.9517,-0.0024,-0.0032,-0.0008,1007.8505,15.2954,-33.9844,-12.4512,54.0000,
3.4050,0.0330,0.2782,0.9517,-0.0024,-0.0032,-0.0008,1007.8505,15.2954,-33.9844,-12.4512,53.0000,
3.5810,0.0330,0.2782,0.9517,-0.0024,-0.0032,-0.0008,1007.8505,17.0715,-33.8287,-22.3022,53.0000,
3.5900,0.0273,0.2781,0.9514,-0.0024,-0.0032,-0.0008,1007.8505,17.0715,-33.8287,-22.3022,53.0000,
3.5940,0.0273,0.2781,0.9514,-0.0024,-0.0032,-0.0008,1007.7978,17.0715,-33.8287,-22.3022,53.0000,
3.5970,0.0273,0.2781,0.9514,-0.0024,-0.0032,-0.0008,1007.7978,17.0715,-33.8287,-22.3022,53.0000,
3.6000,0.0273,0.2781,0.9514,0.0030,-0.0299,0.0099,1007.7978,17.0715,-33.8287,-22.3022,53.0000,
3.7840,0.0273,0.2781,0.9514,0.0030,-0.0299,0.0099,1007.7978,17.6682,-33.8303,-22.4106,53.0000,
3.7900,0.0307,0.2806,0.9525,0.0030,-0.0299,0.0099,1007.7978,17.6682,-33.8303,-22.4106,53.0000,
3.7940,0.0307,0.2806,0.9525,0.0030,-0.0299,0.0099,1007.8502,17.6682,-33.8303,-22.4106,53.0000,
3.8000,0.0307,0.2806,0.9525,-0.0002,-0.0064,0.0067,1007.8502,17.6682,-33.8303,-22.4106,53.0000,
3.8020,0.0307,0.2806,0.9525,-0.0002,-0.0064,0.0067,1007.8502,17.6682,-33.8303,-22.4106,53.0000,
3.8090,0.0307,0.2806,0.9525,-0.0002,-0.0064,0.0067,1007.8502,17.6682,-33.8303,-22.4106,54.0000,
3.8920,0.0307,0.2806,0.9525,-0.0002,-0.0064,0.0067,1007.8502,17.6682,-33.8303,-22.4106,53.0000,
3.9840,0.0307,0.2806,0.9525,-0.0002,-0.0064,0.0067,1007.8502,16.7831,-34.1187,-22.5632,53.0000,
3.9880,0.0345,0.2792,0.9505,-0.0002,-0.0064,0.0067,1007.8502,16.7831,-34.1187,-22.5632,53.0000,
3.9970,0.0345,0.2792,0.9505,-0.0013,0.0064,-0.0008,1007.8502,16.7831,-34.1187,-22.5632,53.0000,
3.9980,0.0345,0.2792,0.9505,-0.0013,0.0064,-0.0008,1007.8240,16.7831,-34.1187,-22.5632,53.0000,
4.0000,0.0345,0.2792,0.9505,-0.0013,0.0064,-0.0008,1007.8240,16.7831,-34.1187,-22.5632,53.0000,
4.0570,0.0345,0.2792,0.9505,-0.0013,0.0064,-0.0008,1007.8240,16.7831,-34.1187,-22.5632,54.0000,
4.1860,0.0345,0.2792,0.9505,-0.0013,0.0064,-0.0008,1007.8240,17.5262,-34.1232,-22.7097,54.0000,
4.1880,0.0325,0.2781,0.9495,-0.0013,0.0064,-0.0008,1007.8240,17.5262,-34.1232,-22.7097,54.0000,
4.1960,0.0325,0.2781,0.9495,-0.0045,-0.0160,0.0067,1007.8240,17.5262,-34.1232,-22.7097,54.0000,
4.1980,0.0325,0.2781,0.9495,-0.0045,-0.0160,0.0067,1007.8240,17.5262,-34.1232,-22.7097,54.0000,
