
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0460,-0.0127,0.6705,0.7476,0.0246,0.0223,0.0311,1010.9160,-10.4385,-51.1703,-11.9797,10.0000,
0.0480,-0.0127,0.6705,0.7476,0.0246,0.0223,0.0311,1010.9160,-10.4385,-51.1703,-11.9797,10.0000,
0.0850,-0.0120,0.6678,0.7446,0.0246,0.0223,0.0311,1010.9160,-10.4385,-51.1703,-11.9797,10.0000,
0.1150,-0.0120,0.6678,0.7446,0.0246,0.0223,0.0311,1010.9160,-11.1877,-51.4709,-12.2803,10.0000,
0.1250,-0.0120,0.6678,0.7446,0.0246,0.0223,0.0311,1010.8503,-11.1877,-51.4709,-12.2803,10.0000,
0.2460,-0.0120,0.6678,0.7446,0.0001,0.0244,0.0012,1010.8503,-11.1877,-51.4709,-12.2803,10.0000,
0.2470,-0.0120,0.6678,0.7446,0.0001,0.0244,0.0012,1010.8503,-11.1877,-51.4709,-12.2803,10.0000,
0.2810,-0.0148,0.6692,0.7537,0.0001,0.0244,0.0012,1010.8503,-11.1877,-51.4709,-12.2803,10.0000,
0.3160,-0.0148,0.6692,0.7537,0.0001,0.0244,0.0012,1010.8503,-10.2875,-51.3214,-12.1292,10.0000,
0.3250,-0.0148,0.6692,0.7537,0.0001,0.0244,0.0012,1010.8895,-10.2875,-51.3214,-12.1292,10.0000,
0.4450,-0.0148,0.6692,0.7537,-0.0202,0.0137,-0.0031,1010.8895,-10.2875,-51.3214,-12.1292,10.0000,
0.4470,-0.0148,0.6692,0.7537,-0.0202,0.0137,-0.0031,1010.8895,-10.2875,-51.3214,-12.1292,10.0000,
0.4810,-0.0178,0.6694,0.7458,-0.0202,0.0137,-0.0031,1010.8895,-10.2875,-51.3214,-12.1292,10.0000,
0.5160,-0.0178,0.6694,0.7458,-0.0202,0.0137,-0.0031,1010.8895,-10.2875,-51.3214,-12.2803,10.0000,
0.5260,-0.0178,0.6694,0.7458,-0.0202,0.0137,-0.0031,1010.8762,-10.2875,-51.3214,-12.2803,10.0000,
0.6460,-0.0178,0.6694,0.7458,-0.0117,-0.0044,0.0087,1010.8762,-10.2875,-51.3214,-12.2803,10.0000,
0.6480,-0.0178,0.6694,0.7458,-0.0117,-0.0044,0.0087,1010.8762,-10.2875,-51.3214,-12.2803,10.0000,
0.6880,-0.0191,0.6692,0.7494,-0.0117,-0.0044,0.0087,1010.8762,-10.2875,-51.3214,-12.2803,10.0000,
0.7220,-0.0191,0.6692,0.7494,-0.0117,-0.0044,0.0087,1010.8762,-10.7376,-51.1703,-11.9797,10.0000,
