
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0030,-0.2633,0.4970,1.0231,0.1907,0.2561,-0.0207,984.4954,28.4424,-16.7953,-24.5087,0.0000,
0.0630,-0.2633,0.4970,1.0231,0.1907,0.2561,-0.0207,984.4954,28.4424,-16.7953,-24.5087,0.0000,
0.0640,-0.2633,0.4970,1.0231,0.2580,0.3662,0.3894,984.4954,28.4424,-16.7953,-24.5087,0.0000,
0.0840,-0.2633,0.4970,1.0231,0.2580,0.3662,0.3894,984.4954,29.0421,-17.3950,-22.7097,0.0000,
0.0930,-0.2633,0.4970,1.0231,0.2580,0.3662,0.3894,984.5609,29.0421,-17.3950,-22.7097,0.0000,
0.2030,-0.1650,0.4005,0.8841,0.2580,0.3662,0.3894,984.5609,29.0421,-17.3950,-22.7097,0.0000,
0.2630,-0.1650,0.4005,0.8841,0.2580,0.3662,0.3894,984.5609,29.0421,-17.3950,-22.7097,0.0000,
0.2650,-0.1650,0.4005,0.8841,0.0764,-0.3249,0.3755,984.5609,29.0421,-17.3950,-22.7097,0.0000,
0.2860,-0.1650,0.4005,0.8841,0.0764,-0.3249,0.3755,984.5609,26.4923,-20.3949,-21.6599,0.0000,
0.2960,-0.1650,0.4005,0.8841,0.0764,-0.3249,0.3755,984.5609,26.4923,-20.3949,-21.6599,0.0000,
0.4120,0.0226,0.4491,0.7889,0.0764,-0.3249,0.3755,984.5609,26.4923,-20.3949,-21.6599,0.0000,
0.4630,0.0226,0.4491,0.7889,-0.5420,0.5456,-0.5345,984.5609,26.4923,-20.3949,-21.6599,0.0000,
0.4640,0.0226,0.4491,0.7889,-0.5420,0.5456,-0.5345,984.5609,26.4923,-20.3949,-21.6599,0.0000,
0.4860,0.0226,0.4491,0.7889,-0.5420,0.5456,-0.5345,984.5609,25.8911,-19.1940,-20.7596,0.0000,
0.4960,0.0226,0.4491,0.7889,-0.5420,0.5456,-0.5345,984.5346,25.8911,-19.1940,-20.7596,0.0000,
0.6230,-0.0155,0.4769,1.1020,-0.5420,0.5456,-0.5345,984.5346,25.8911,-19.1940,-20.7596,0.0000,
0.6650,-0.0155,0.4769,1.1020,0.6543,0.0062,-0.5965,984.5346,25.8911,-19.1940,-20.7596,0.0000,
0.6690,-0.0155,0.4769,1.1020,0.6543,0.0062,-0.5965,984.5346,25.8911,-19.1940,-20.7596,0.0000,
0.6880,-0.0155,0.4769,1.1020,0.6543,0.0062,-0.5965,984.5346,26.9409,-17.3950,-21.0587,0.0000,
0.6980,-0.0155,0.4769,1.1020,0.6543,0.0062,-0.5965,984.5609,26.9409,-17.3950,-21.0587,0.0000,
0.8380,-0.0438,0.3544,0.6551,0.6543,0.0062,-0.5965,984.5609,26.9409,-17.3950,-21.0587,0.0000,
0.8670,-0.0438,0.3544,0.6551,-0.0400,0.0981,0.0038,984.5609,26.9409,-17.3950,-21.0587,0.0000,
0.8710,-0.0438,0.3544,0.6551,-0.0400,0.0981,0.0038,984.5609,26.9409,-17.3950,-21.0587,0.0000,
0.8890,-0.0438,0.3544,0.6551,-0.0400,0.0981,0.0038,984.5609,28.7415,-16.4948,-20.6085,0.0000,
0.8990,-0.0438,0.3544,0.6551,-0.0400,0.0981,0.0038,984.5347,28.7415,-16.4948,-20.6085,0.0000,
1.0230,-0.2256,0.5308,1.0493,-0.0400,0.0981,0.0038,984.5347,28.7415,-16.4948,-20.6085,0.0000,
1.0630,-0.2256,0.5308,1.0493,-0.0400,0.0981,0.0038,984.5347,28.7415,-16.4948,-20.6085,0.0000,
1.0640,-0.2256,0.5308,1.0493,1.0399,1.1811,0.4364,984.5347,28.7415,-16.4948,-20.6085,0.0000,
1.0910,-0.2256,0.5308,1.0493,1.0399,1.1811,0.4364,984.5347,30.8411,-19.4946,-16.5588,0.0000,
1.1010,-0.2256,0.5308,1.0493,1.0399,1.1811,0.4364,984.5348,30.8411,-19.4946,-16.5588,0.0000,
1.2260,-0.2627,0.1985,0.3674,1.0399,1.1811,0.4364,984.5348,30.8411,-19.4946,-16.5588,0.0000,
1.2650,-0.2627,0.1985,0.3674,-1.0259,4.7305,-1.0130,984.5348,30.8411,-19.4946,-16.5588,0.0000,
1.2830,-0.2627,0.1985,0.3674,-1.0259,4.7305,-1.0130,984.5348,30.8411,-19.4946,-16.5588,0.0000,
1.2850,-0.2627,0.1985,0.3674,-1.0259,4.7305,-1.0130,984.5348,30.8411,-19.4946,-16.5588,5.0000,
1.2970,-0.2627,0.1985,0.3674,-1.0259,4.7305,-1.0130,984.5348,34.1415,-18.8950,9.5413,5.0000,
1.3010,-0.2627,0.1985,0.3674,-1.0259,4.7305,-1.0130,984.5348,34.1415,-18.8950,9.5413,5.0000,
1.3500,-0.2627,0.1985,0.3674,-1.0259,4.7305,-1.0130,984.5348,34.1415,-18.8950,9.5413,8.0000,
1.4250,-0.5910,-0.4420,0.0043,-1.0259,4.7305,-1.0130,984.5348,34.1415,-18.8950,9.5413,8.0000,
1.4320,-0.5910,-0.4420,0.0043,-1.0259,4.7305,-1.0130,984.5348,34.1415,-18.8950,9.5413,2.0000,
1.4630,-0.5910,-0.4420,0.0043,-1.0259,4.7305,-1.0130,984.5348,34.1415,-18.8950,9.5413,2.0000,
1.4640,-0.5910,-0.4420,0.0043,-1.3559,2.0036,-6.7200,984.5348,34.1415,-18.8950,9.5413,2.0000,
1.4930,-0.5910,-0.4420,0.0043,-1.3559,2.0036,-6.7200,984.5348,28.2913,2.2552,32.7911,2.0000,
1.5030,-0.5910,-0.4420,0.0043,-1.3559,2.0036,-6.7200,984.5873,28.2913,2.2552,32.7911,2.0000,
1.5160,-0.5910,-0.4420,0.0043,-1.3559,2.0036,-6.7200,984.5873,28.2913,2.2552,32.7911,0.0000,
1.6270,-2.4483,-1.1158,0.2783,-1.3559,2.0036,-6.7200,984.5873,28.2913,2.2552,32.7911,0.0000,
1.6670,-2.4483,-1.1158,0.2783,0.8871,-3.9843,1.7278,984.5873,28.2913,2.2552,32.7911,0.0000,
1.6700,-2.4483,-1.1158,0.2783,0.8871,-3.9843,1.7278,984.5873,28.2913,2.2552,32.7911,0.0000,
1.6940,-2.4483,-1.1158,0.2783,0.8871,-3.9843,1.7278,984.5873,25.2914,7.3547,36.9904,0.0000,
1.7040,-2.4483,-1.1158,0.2783,0.8871,-3.9843,1.7278,984.5348,25.2914,7.3547,36.9904,0.0000,
1.8640,-1.0816,-0.2343,0.0825,0.8871,-3.9843,1.7278,984.5348,25.2914,7.3547,36.9904,0.0000,
1.8680,-1.0816,-0.2343,0.0825,0.0946,-0.3174,2.5054,984.5348,25.2914,7.3547,36.9904,0.0000,
1.8740,-1.0816,-0.2343,0.0825,0.0946,-0.3174,2.5054,984.5348,25.2914,7.3547,36.9904,0.0000,
1.9070,-1.0816,-0.2343,0.0825,0.0946,-0.3174,2.5054,984.5348,27.6917,7.6553,36.2411,0.0000,
1.9110,-1.0816,-0.2343,0.0825,0.0946,-0.3174,2.5054,984.5348,27.6917,7.6553,36.2411,0.0000,
