
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0280,-0.0782,0.4162,0.6325,0.1942,0.2762,-0.3761,987.9518,-20.4590,3.9047,-46.4096,0.0000,
0.1040,-0.0782,0.4162,0.6325,0.0394,-0.2397,-0.1112,987.9518,-20.4590,3.9047,-46.4096,0.0000,
0.1050,-0.0782,0.4162,0.6325,0.0394,-0.2397,-0.1112,987.9518,-20.4590,3.9047,-46.4096,0.0000,
0.1120,-0.0782,0.4162,0.6325,0.0394,-0.2397,-0.1112,987.9518,-21.2082,1.5045,-46.1090,0.0000,
0.1230,-0.0782,0.4162,0.6325,0.0394,-0.2397,-0.1112,987.9910,-21.2082,1.5045,-46.1090,0.0000,
0.2190,-0.1852,0.5392,1.0892,0.0394,-0.2397,-0.1112,987.9910,-21.2082,1.5045,-46.1090,0.0000,
0.3040,-0.1852,0.5392,1.0892,-0.5727,-0.8507,0.3780,987.9910,-21.2082,1.5045,-46.1090,0.0000,
0.3060,-0.1852,0.5392,1.0892,-0.5727,-0.8507,0.3780,987.9910,-21.2082,1.5045,-46.1090,0.0000,
0.3150,-0.1852,0.5392,1.0892,-0.5727,-0.8507,0.3780,987.9910,-25.5585,6.6055,-43.1091,0.0000,
0.3240,-0.1852,0.5392,1.0892,-0.5727,-0.8507,0.3780,987.9255,-25.5585,6.6055,-43.1091,0.0000,
0.4390,0.0043,0.4052,0.8418,-0.5727,-0.8507,0.3780,987.9255,-25.5585,6.6055,-43.1091,0.0000,
0.5050,0.0043,0.4052,0.8418,0.6268,-0.0154,0.5072,987.9255,-25.5585,6.6055,-43.1091,0.0000,
0.5090,0.0043,0.4052,0.8418,0.6268,-0.0154,0.5072,987.9255,-25.5585,6.6055,-43.1091,0.0000,
0.5190,0.0043,0.4052,0.8418,0.6268,-0.0154,0.5072,987.9255,-24.9588,6.6055,-43.8599,0.0000,
0.5290,0.0043,0.4052,0.8418,0.6268,-0.0154,0.5072,987.9516,-24.9588,6.6055,-43.8599,0.0000,
0.6390,0.2285,0.4874,0.7548,0.6268,-0.0154,0.5072,987.9516,-24.9588,6.6055,-43.8599,0.0000,
0.7020,0.2285,0.4874,0.7548,0.7838,1.1648,-0.8226,987.9516,-24.9588,6.6055,-43.8599,0.0000,
0.7040,0.2285,0.4874,0.7548,0.7838,1.1648,-0.8226,987.9516,-24.9588,6.6055,-43.8599,0.0000,
0.7170,0.2285,0.4874,0.7548,0.7838,1.1648,-0.8226,987.9516,-19.8578,-1.4954,-46.5591,0.0000,
0.7260,0.2285,0.4874,0.7548,0.7838,1.1648,-0.8226,987.9778,-19.8578,-1.4954,-46.5591,0.0000,
0.8410,-0.0462,0.5519,0.9013,0.7838,1.1648,-0.8226,987.9778,-19.8578,-1.4954,-46.5591,0.0000,
0.9050,-0.0462,0.5519,0.9013,-0.5064,0.0070,-1.1718,987.9778,-19.8578,-1.4954,-46.5591,0.0000,
0.9290,-0.0462,0.5519,0.9013,-0.5064,0.0070,-1.1718,987.9778,-19.8578,-1.4954,-46.5591,0.0000,
