
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,Latitude,Longitude,Speed (m/s),
0.0710,0.0504,0.2911,0.8096,-0.4039,-0.0777,-0.1553,981.6715,-28.5233,-5.9235,-27.9617,0.0000,0.000000,0.000000,0.000000,
0.0740,0.0504,0.2911,0.8096,-0.4039,-0.0777,-0.1553,981.6718,-28.5233,-5.9235,-27.9617,0.0000,0.000000,0.000000,0.000000,
0.0750,0.0504,0.2911,0.8096,0.5766,0.6379,-0.0709,981.6718,-28.5233,-5.9235,-27.9617,0.0000,0.000000,0.000000,0.000000,
0.0760,0.0504,0.2911,0.8096,0.5766,0.6379,-0.0709,981.6718,-28.5233,-5.9235,-27.9617,0.0000,0.000000,0.000000,0.000000,
0.1570,0.0088,0.3797,0.9036,0.5766,0.6379,-0.0709,981.6718,-28.5233,-5.9235,-27.9617,0.0000,0.000000,0.000000,0.000000,
0.2550,0.0088,0.3797,0.9036,0.5766,0.6379,-0.0709,981.6718,-27.3239,-0.5234,-29.7607,0.0000,0.000000,0.000000,0.000000,
0.2620,0.0088,0.3797,0.9036,-0.2522,-0.4441,0.0947,981.6718,-27.3239,-0.5234,-29.7607,0.0000,0.000000,0.000000,0.000000,
0.2630,0.0088,0.3797,0.9036,-0.2522,-0.4441,0.0947,981.6718,-27.3239,-0.5234,-29.7607,0.0000,0.000000,0.000000,0.000000,
0.2640,0.0088,0.3797,0.9036,-0.2522,-0.4441,0.0947,981.6718,-27.3239,-0.5234,-29.7607,0.0000,0.000000,0.000000,0.000000,
0.3570,0.0088,0.3797,0.9036,-0.2522,-0.4441,0.0947,981.6718,-27.3239,-0.5234,-29.7607,1.0000,0.000000,0.000000,0.000000,
0.3580,-0.0794,0.2660,1.1185,-0.2522,-0.4441,0.0947,981.6718,-27.3239,-0.5234,-29.7607,1.0000,0.000000,0.000000,0.000000,
0.4360,-0.0794,0.2660,1.1185,-0.2522,-0.4441,0.0947,981.6718,-27.3239,-0.5234,-29.7607,0.0000,0.000000,0.000000,0.000000,
0.4530,-0.0794,0.2660,1.1185,-0.2522,-0.4441,0.0947,981.6718,-28.0731,-0.6729,-29.1611,0.0000,0.000000,0.000000,0.000000,
0.4600,-0.0794,0.2660,1.1185,0.0735,-0.4366,0.0733,981.6718,-28.0731,-0.6729,-29.1611,0.0000,0.000000,0.000000,0.000000,
0.4620,-0.0794,0.2660,1.1185,0.0735,-0.4366,0.0733,981.6718,-28.0731,-0.6729,-29.1611,0.0000,0.000000,0.000000,0.000000,
0.4630,-0.0794,0.2660,1.1185,0.0735,-0.4366,0.0733,981.6718,-28.0731,-0.6729,-29.1611,0.0000,0.000000,0.000000,0.000000,
0.5200,-0.0794,0.2660,1.1185,0.0735,-0.4366,0.0733,981.6718,-28.0731,-0.6729,-29.1611,1.0000,0.000000,0.000000,0.000000,
0.5580,0.0487,0.3667,0.7720,0.0735,-0.4366,0.0733,981.6718,-28.0731,-0.6729,-29.1611,1.0000,0.000000,0.000000,0.000000,
0.6110,0.0487,0.3667,0.7720,0.0735,-0.4366,0.0733,981.6718,-28.0731,-0.6729,-29.1611,2.0000,0.000000,0.000000,0.000000,
0.6560,0.0487,0.3667,0.7720,0.0735,-0.4366,0.0733,981.6718,-27.9236,-6.0730,-27.6611,2.0000,0.000000,0.000000,0.000000,
0.6590,0.0487,0.3667,0.7720,0.6065,0.0857,-0.5227,981.6718,-27.9236,-6.0730,-27.6611,2.0000,0.000000,0.000000,0.000000,
0.6610,0.0487,0.3667,0.7720,0.6065,0.0857,-0.5227,981.6718,-27.9236,-6.0730,-27.6611,2.0000,0.000000,0.000000,0.000000,
0.6640,0.0487,0.3667,0.7720,0.6065,0.0857,-0.5227,981.6719,-27.9236,-6.0730,-27.6611,2.0000,0.000000,0.000000,0.000000,
0.7680,0.0487,0.3667,0.7720,0.6065,0.0857,-0.5227,981.6719,-27.9236,-6.0730,-27.6611,3.0000,0.000000,0.000000,0.000000,
0.7740,0.1026,0.4868,1.1064,0.6065,0.0857,-0.5227,981.6719,-27.9236,-6.0730,-27.6611,3.0000,0.000000,0.000000,0.000000,
0.8550,0.1026,0.4868,1.1064,0.6065,0.0857,-0.5227,981.6719,-27.9236,-6.0730,-27.6611,1.0000,0.000000,0.000000,0.000000,
0.8610,0.1026,0.4868,1.1064,0.6065,0.0857,-0.5227,981.6719,-27.0233,-12.3734,-26.1612,1.0000,0.000000,0.000000,0.000000,
0.8640,0.1026,0.4868,1.1064,0.6065,0.0857,-0.5227,981.6719,-27.0233,-12.3734,-26.1612,1.0000,0.000000,0.000000,0.000000,
0.8670,0.1026,0.4868,1.1064,0.0682,-1.1010,-1.0343,981.6719,-27.0233,-12.3734,-26.1612,1.0000,0.000000,0.000000,0.000000,
0.8700,0.1026,0.4868,1.1064,0.0682,-1.1010,-1.0343,981.6716,-27.0233,-12.3734,-26.1612,1.0000,0.000000,0.000000,0.000000,
0.9390,0.1026,0.4868,1.1064,0.0682,-1.1010,-1.0343,981.6716,-27.0233,-12.3734,-26.1612,3.0000,0.000000,0.000000,0.000000,
0.9750,0.0100,0.3888,0.5575,0.0682,-1.1010,-1.0343,981.6716,-27.0233,-12.3734,-26.1612,3.0000,0.000000,0.000000,0.000000,
1.0180,0.0100,0.3888,0.5575,0.0682,-1.1010,-1.0343,981.6716,-27.0233,-12.3734,-26.1612,0.0000,0.000000,0.000000,0.000000,
1.0600,0.0100,0.3888,0.5575,0.0682,-1.1010,-1.0343,981.6716,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.0630,0.0100,0.3888,0.5575,0.3758,1.7637,0.3072,981.6716,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.0660,0.0100,0.3888,0.5575,0.3758,1.7637,0.3072,981.6716,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.0690,0.0100,0.3888,0.5575,0.3758,1.7637,0.3072,981.6849,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.1730,-0.2815,0.3609,0.7820,0.3758,1.7637,0.3072,981.6849,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.2620,-0.2815,0.3609,0.7820,-0.5118,0.8932,0.2666,981.6849,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.2670,-0.2815,0.3609,0.7820,-0.5118,0.8932,0.2666,981.6849,-22.9736,-17.1738,-28.4119,0.0000,0.000000,0.000000,0.000000,
1.2710,-0.2815,0.3609,0.7820,-0.5118,0.8932,0.2666,981.6849,-14.4241,-6.3736,-37.1109,0.0000,0.000000,0.000000,0.000000,
1.2760,-0.2815,0.3609,0.7820,-0.5118,0.8932,0.2666,981.6456,-14.4241,-6.3736,-37.1109,0.0000,0.000000,0.000000,0.000000,
1.3760,-0.4469,0.3745,1.1479,-0.5118,0.8932,0.2666,981.6456,-14.4241,-6.3736,-37.1109,0.0000,0.000000,0.000000,0.000000,
1.4610,-0.4469,0.3745,1.1479,0.2274,1.0225,-1.1401,981.6456,-14.4241,-6.3736,-37.1109,0.0000,0.000000,0.000000,0.000000,
1.4660,-0.4469,0.3745,1.1479,0.2274,1.0225,-1.1401,981.6456,-14.4241,-6.3736,-37.1109,0.0000,0.000000,0.000000,0.000000,
1.4710,-0.4469,0.3745,1.1479,0.2274,1.0225,-1.1401,981.6456,-2.1240,-9.0729,-39.8117,0.0000,0.000000,0.000000,0.000000,
1.4760,-0.4469,0.3745,1.1479,0.2274,1.0225,-1.1401,981.7111,-2.1240,-9.0729,-39.8117,0.0000,0.000000,0.000000,0.000000,
1.5750,-0.2408,0.0996,0.0415,0.2274,1.0225,-1.1401,981.7111,-2.1240,-9.0729,-39.8117,0.0000,0.000000,0.000000,0.000000,
1.6560,-0.2408,0.0996,0.0415,-0.1668,6.3075,-3.0947,981.7111,-2.1240,-9.0729,-39.8117,0.0000,0.000000,0.000000,0.000000,
1.6580,-0.2408,0.0996,0.0415,-0.1668,6.3075,-3.0947,981.7111,-2.1240,-9.0729,-39.8117,0.0000,0.000000,0.000000,0.000000,
1.7640,-0.2408,0.0996,0.0415,-0.1668,6.3075,-3.0947,981.7111,31.4758,-2.4734,-27.3605,0.0000,0.000000,0.000000,0.000000,
1.7650,-0.2408,0.0996,0.0415,-0.1668,6.3075,-3.0947,981.7112,31.4758,-2.4734,-27.3605,0.0000,0.000000,0.000000,0.000000,
1.7690,-1.4506,-1.3200,-0.2670,-0.1668,6.3075,-3.0947,981.7112,31.4758,-2.4734,-27.3605,0.0000,0.000000,0.000000,0.000000,
1.8560,-1.4506,-1.3200,-0.2670,1.4546,2.4452,-2.5180,981.7112,31.4758,-2.4734,-27.3605,0.0000,0.000000,0.000000,0.000000,
1.8570,-1.4506,-1.3200,-0.2670,1.4546,2.4452,-2.5180,981.7112,31.4758,-2.4734,-27.3605,0.0000,0.000000,0.000000,0.000000,
1.8630,-1.4506,-1.3200,-0.2670,1.4546,2.4452,-2.5180,981.7112,18.1259,37.7258,-15.6616,0.0000,0.000000,0.000000,0.000000,
1.8720,-1.4506,-1.3200,-0.2670,1.4546,2.4452,-2.5180,981.7373,18.1259,37.7258,-15.6616,0.0000,0.000000,0.000000,0.000000,
1.9700,-1.5937,-0.3864,0.1659,1.4546,2.4452,-2.5180,981.7373,18.1259,37.7258,-15.6616,0.0000,0.000000,0.000000,0.000000,
2.0540,-1.5937,-0.3864,0.1659,1.4546,2.4452,-2.5180,981.7373,18.1259,37.7258,-15.6616,0.0000,0.000000,0.000000,0.000000,
