
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0050,-0.0125,0.3246,0.7957,-0.0251,-0.5684,0.2463,983.0305,20.1859,7.6889,-38.3484,10.0000,
0.0060,-0.0125,0.3246,0.7957,-0.4416,-0.3185,-0.1404,983.0305,20.1859,7.6889,-38.3484,10.0000,
0.0090,-0.0125,0.3246,0.7957,-0.4416,-0.3185,-0.1404,983.0305,18.9865,6.4880,-39.0976,10.0000,
0.0120,-0.0125,0.3246,0.7957,-0.4416,-0.3185,-0.1404,983.0698,18.9865,6.4880,-39.0976,10.0000,
0.0340,0.0700,0.4308,0.9032,-0.4416,-0.3185,-0.1404,983.0698,18.9865,6.4880,-39.0976,10.0000,
0.1680,0.0700,0.4308,0.9032,1.9745,-1.7252,0.0647,983.0698,18.9865,6.4880,-39.0976,10.0000,
0.1690,0.0700,0.4308,0.9032,1.9745,-1.7252,0.0647,983.0698,18.9865,6.4880,-39.0976,10.0000,
0.1820,0.0700,0.4308,0.9032,1.9745,-1.7252,0.0647,983.0698,18.9865,6.4880,-39.0976,8.0000,
0.1980,0.0700,0.4308,0.9032,1.9745,-1.7252,0.0647,983.0698,15.6860,-3.7109,-41.6473,8.0000,
0.2070,0.0700,0.4308,0.9032,1.9745,-1.7252,0.0647,983.0960,15.6860,-3.7109,-41.6473,8.0000,
0.2280,0.1708,0.4565,1.0143,1.9745,-1.7252,0.0647,983.0960,15.6860,-3.7109,-41.6473,8.0000,
0.3440,0.1708,0.4565,1.0143,1.9745,-1.7252,0.0647,983.0960,15.6860,-3.7109,-41.6473,9.0000,
0.3680,0.1708,0.4565,1.0143,1.9745,-1.7252,0.0647,983.0960,15.6860,-3.7109,-41.6473,9.0000,
0.3690,0.1708,0.4565,1.0143,-2.1367,-0.2651,-2.8950,983.0960,15.6860,-3.7109,-41.6473,9.0000,
0.3960,0.1708,0.4565,1.0143,-2.1367,-0.2651,-2.8950,983.0960,10.8871,7.9880,-41.9479,9.0000,
0.4070,0.1708,0.4565,1.0143,-2.1367,-0.2651,-2.8950,983.0565,10.8871,7.9880,-41.9479,9.0000,
0.4280,0.3883,0.3245,0.6829,-2.1367,-0.2651,-2.8950,983.0565,10.8871,7.9880,-41.9479,9.0000,
0.5120,0.3883,0.3245,0.6829,-2.1367,-0.2651,-2.8950,983.0565,10.8871,7.9880,-41.9479,10.0000,
0.5730,0.3883,0.3245,0.6829,-0.1265,1.6500,0.6052,983.0565,10.8871,7.9880,-41.9479,10.0000,
0.5780,0.3883,0.3245,0.6829,-0.1265,1.6500,0.6052,983.0565,10.8871,7.9880,-41.9479,10.0000,
0.5990,0.3883,0.3245,0.6829,-0.1265,1.6500,0.6052,983.0565,10.8871,7.9880,-41.9479,11.0000,
0.6040,0.3883,0.3245,0.6829,-0.1265,1.6500,0.6052,983.0565,21.8369,8.7387,-38.4979,11.0000,
0.6120,0.3883,0.3245,0.6829,-0.1265,1.6500,0.6052,983.0958,21.8369,8.7387,-38.4979,11.0000,
0.6320,-0.2034,0.4302,0.8874,-0.1265,1.6500,0.6052,983.0958,21.8369,8.7387,-38.4979,11.0000,
0.6810,-0.2034,0.4302,0.8874,-0.1265,1.6500,0.6052,983.0958,21.8369,8.7387,-38.4979,13.0000,
0.7670,-0.2034,0.4302,0.8874,-0.1265,1.6500,0.6052,983.0958,21.8369,8.7387,-38.4979,13.0000,
0.7690,-0.2034,0.4302,0.8874,-0.3167,0.3416,0.5614,983.0958,21.8369,8.7387,-38.4979,13.0000,
0.8030,-0.2034,0.4302,0.8874,-0.3167,0.3416,0.5614,983.0958,29.3365,7.8384,-34.7473,13.0000,
0.8120,-0.2034,0.4302,0.8874,-0.3167,0.3416,0.5614,983.0696,29.3365,7.8384,-34.7473,13.0000,
0.8270,-0.3328,0.3610,1.0124,-0.3167,0.3416,0.5614,983.0696,29.3365,7.8384,-34.7473,13.0000,
0.9750,-0.3328,0.3610,1.0124,0.4214,-0.0504,0.4172,983.0696,29.3365,7.8384,-34.7473,13.0000,
0.9800,-0.3328,0.3610,1.0124,0.4214,-0.0504,0.4172,983.0696,29.3365,7.8384,-34.7473,13.0000,
