
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0260,-0.0810,0.2708,0.9568,-0.5527,0.5114,0.4727,984.4252,-23.9090,10.9558,-36.6592,0.0000,
0.0270,-0.0810,0.2708,0.9568,-0.5527,0.5114,0.4727,984.4252,-23.9090,10.9558,-36.6592,0.0000,
0.1000,-0.0379,0.2532,1.0532,-0.5527,0.5114,0.4727,984.4252,-23.9090,10.9558,-36.6592,0.0000,
0.1640,-0.0379,0.2532,1.0532,-0.5527,0.5114,0.4727,984.4252,-22.8577,12.3047,-37.7090,0.0000,
0.1730,-0.0379,0.2532,1.0532,-0.5527,0.5114,0.4727,984.4119,-22.8577,12.3047,-37.7090,0.0000,
0.2190,-0.0379,0.2532,1.0532,-0.5527,0.5114,0.4727,984.4119,-22.8577,12.3047,-37.7090,0.0000,
0.2210,-0.0379,0.2532,1.0532,0.2377,0.0650,0.0316,984.4119,-22.8577,12.3047,-37.7090,0.0000,
0.2990,0.0079,0.3523,0.7774,0.2377,0.0650,0.0316,984.4119,-22.8577,12.3047,-37.7090,0.0000,
0.3640,0.0079,0.3523,0.7774,0.2377,0.0650,0.0316,984.4119,-24.0585,7.6553,-37.2589,0.0000,
0.3750,0.0079,0.3523,0.7774,0.2377,0.0650,0.0316,984.4117,-24.0585,7.6553,-37.2589,0.0000,
0.4190,0.0079,0.3523,0.7774,0.2377,0.0650,0.0316,984.4117,-24.0585,7.6553,-37.2589,0.0000,
0.4200,0.0079,0.3523,0.7774,0.3285,0.5253,0.2153,984.4117,-24.0585,7.6553,-37.2589,0.0000,
0.4980,0.0674,0.4331,1.1388,0.3285,0.5253,0.2153,984.4117,-24.0585,7.6553,-37.2589,0.0000,
0.5670,0.0674,0.4331,1.1388,0.3285,0.5253,0.2153,984.4117,-24.5087,5.8548,-37.1094,0.0000,
0.5770,0.0674,0.4331,1.1388,0.3285,0.5253,0.2153,984.4508,-24.5087,5.8548,-37.1094,0.0000,
0.6200,0.0674,0.4331,1.1388,0.8967,-0.0141,-0.5334,984.4508,-24.5087,5.8548,-37.1094,0.0000,
0.6230,0.0674,0.4331,1.1388,0.8967,-0.0141,-0.5334,984.4508,-24.5087,5.8548,-37.1094,0.0000,
0.6980,0.0969,0.3735,0.7520,0.8967,-0.0141,-0.5334,984.4508,-24.5087,5.8548,-37.1094,0.0000,
0.7680,0.0969,0.3735,0.7520,0.8967,-0.0141,-0.5334,984.4508,-20.9076,-2.9953,-39.5096,0.0000,
0.7790,0.0969,0.3735,0.7520,0.8967,-0.0141,-0.5334,984.4506,-20.9076,-2.9953,-39.5096,0.0000,
0.8190,0.0969,0.3735,0.7520,0.8967,-0.0141,-0.5334,984.4506,-20.9076,-2.9953,-39.5096,0.0000,
0.8210,0.0969,0.3735,0.7520,1.6273,1.5924,0.7323,984.4506,-20.9076,-2.9953,-39.5096,0.0000,
0.8990,-0.1859,0.6784,1.0151,1.6273,1.5924,0.7323,984.4506,-20.9076,-2.9953,-39.5096,0.0000,
0.9690,-0.1859,0.6784,1.0151,1.6273,1.5924,0.7323,984.4506,-6.9580,-17.2455,-40.5594,0.0000,
0.9790,-0.1859,0.6784,1.0151,1.6273,1.5924,0.7323,984.4108,-6.9580,-17.2455,-40.5594,0.0000,
1.0180,-0.1859,0.6784,1.0151,1.4778,2.5206,2.2725,984.4108,-6.9580,-17.2455,-40.5594,0.0000,
1.0200,-0.1859,0.6784,1.0151,1.4778,2.5206,2.2725,984.4108,-6.9580,-17.2455,-40.5594,0.0000,
1.0980,-0.4008,0.8480,0.5358,1.4778,2.5206,2.2725,984.4108,-6.9580,-17.2455,-40.5594,0.0000,
1.1700,-0.4008,0.8480,0.5358,1.4778,2.5206,2.2725,984.4108,-4.1077,-28.3447,-34.5596,0.0000,
1.1800,-0.4008,0.8480,0.5358,1.4778,2.5206,2.2725,984.4106,-4.1077,-28.3447,-34.5596,0.0000,
1.2180,-0.4008,0.8480,0.5358,1.4778,2.5206,2.2725,984.4106,-4.1077,-28.3447,-34.5596,0.0000,
1.2200,-0.4008,0.8480,0.5358,1.4853,1.0252,2.5235,984.4106,-4.1077,-28.3447,-34.5596,0.0000,
1.2980,0.2060,0.6137,0.0881,1.4853,1.0252,2.5235,984.4106,-4.1077,-28.3447,-34.5596,0.0000,
1.3720,0.2060,0.6137,0.0881,1.4853,1.0252,2.5235,984.4106,-12.6587,-30.2948,-30.2094,0.0000,
1.3810,0.2060,0.6137,0.0881,1.4853,1.0252,2.5235,984.4235,-12.6587,-30.2948,-30.2094,0.0000,
1.4180,0.2060,0.6137,0.0881,1.4853,1.0252,2.5235,984.4235,-12.6587,-30.2948,-30.2094,0.0000,
1.4190,0.2060,0.6137,0.0881,0.0241,0.4676,1.0677,984.4235,-12.6587,-30.2948,-30.2094,0.0000,
1.4980,0.8663,0.8933,0.0079,0.0241,0.4676,1.0677,984.4235,-12.6587,-30.2948,-30.2094,0.0000,
1.5750,0.8663,0.8933,0.0079,0.0241,0.4676,1.0677,984.4235,-15.5090,-26.6953,-31.7093,0.0000,
1.5850,0.8663,0.8933,0.0079,0.0241,0.4676,1.0677,984.3312,-15.5090,-26.6953,-31.7093,0.0000,
1.6180,0.8663,0.8933,0.0079,0.0241,0.4676,1.0677,984.3312,-15.5090,-26.6953,-31.7093,0.0000,
1.6190,0.8663,0.8933,0.0079,0.8711,0.3907,0.9587,984.3312,-15.5090,-26.6953,-31.7093,0.0000,
1.6980,0.4542,0.4737,0.1378,0.8711,0.3907,0.9587,984.3312,-15.5090,-26.6953,-31.7093,0.0000,
1.7760,0.4542,0.4737,0.1378,0.8711,0.3907,0.9587,984.3312,-15.0589,-27.1454,-31.4087,0.0000,
1.7900,0.4542,0.4737,0.1378,0.8711,0.3907,0.9587,984.3835,-15.0589,-27.1454,-31.4087,0.0000,
1.8240,0.4542,0.4737,0.1378,0.8711,0.3907,0.9587,984.3835,-15.0589,-27.1454,-31.4087,0.0000,
1.8260,0.4542,0.4737,0.1378,0.6596,-0.1401,0.3403,984.3835,-15.0589,-27.1454,-31.4087,0.0000,
1.9040,0.8341,0.8143,0.0404,0.6596,-0.1401,0.3403,984.3835,-15.0589,-27.1454,-31.4087,0.0000,
1.9770,0.8341,0.8143,0.0404,0.6596,-0.1401,0.3403,984.3835,-15.9576,-28.3447,-29.9088,0.0000,
1.9850,0.8341,0.8143,0.0404,0.6596,-0.1401,0.3403,984.4094,-15.9576,-28.3447,-29.9088,0.0000,
2.0160,0.8341,0.8143,0.0404,0.3381,0.1162,0.0807,984.4094,-15.9576,-28.3447,-29.9088,0.0000,
2.0170,0.8341,0.8143,0.0404,0.3381,0.1162,0.0807,984.4094,-15.9576,-28.3447,-29.9088,0.0000,
2.0960,0.7124,0.6291,-0.0055,0.3381,0.1162,0.0807,984.4094,-15.9576,-28.3447,-29.9088,0.0000,
2.1630,0.7124,0.6291,-0.0055,0.3381,0.1162,0.0807,984.4094,-15.9576,-28.3447,-29.9088,1.0000,
2.1770,0.7124,0.6291,-0.0055,0.3381,0.1162,0.0807,984.4094,-17.1585,-28.3447,-28.5599,1.0000,
2.1870,0.7124,0.6291,-0.0055,0.3381,0.1162,0.0807,984.3567,-17.1585,-28.3447,-28.5599,1.0000,
