
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0230,0.0979,0.2551,0.9578,0.2159,0.1121,1.0318,1012.4913,11.1618,7.4783,-30.2795,93.0000,
0.0250,0.0979,0.2551,0.9578,0.2159,0.1121,1.0318,1012.4913,11.1618,7.4783,-30.2795,101.0000,
0.0600,0.0979,0.2551,0.9578,-0.0565,0.3556,0.8492,1012.4913,11.1618,7.4783,-30.2795,101.0000,
0.0610,0.0979,0.2551,0.9578,-0.0565,0.3556,0.8492,1012.4913,11.1618,7.4783,-30.2795,101.0000,
0.0820,0.0979,0.2551,0.9578,-0.0565,0.3556,0.8492,1012.4913,11.1618,7.4783,-30.2795,99.0000,
0.1130,0.0979,0.2551,0.9578,-0.0565,0.3556,0.8492,1012.4913,13.8626,6.1295,-30.1300,99.0000,
0.1230,0.0979,0.2551,0.9578,-0.0565,0.3556,0.8492,1012.5045,13.8626,6.1295,-30.1300,99.0000,
0.1640,0.0979,0.2551,0.9578,-0.0565,0.3556,0.8492,1012.5045,13.8626,6.1295,-30.1300,97.0000,
0.1710,0.1179,0.2875,0.9555,-0.0565,0.3556,0.8492,1012.5045,13.8626,6.1295,-30.1300,97.0000,
0.2470,0.1179,0.2875,0.9555,-0.0565,0.3556,0.8492,1012.5045,13.8626,6.1295,-30.1300,93.0000,
0.2530,0.1179,0.2875,0.9555,0.1528,0.3311,0.8171,1012.5045,13.8626,6.1295,-30.1300,93.0000,
0.2550,0.1179,0.2875,0.9555,0.1528,0.3311,0.8171,1012.5045,13.8626,6.1295,-30.1300,93.0000,
0.3170,0.1179,0.2875,0.9555,0.1528,0.3311,0.8171,1012.5045,16.8625,2.3788,-29.0802,93.0000,
0.3230,0.1179,0.2875,0.9555,0.1528,0.3311,0.8171,1012.4913,16.8625,2.3788,-29.0802,93.0000,
0.3350,0.1179,0.2875,0.9555,0.1528,0.3311,0.8171,1012.4913,16.8625,2.3788,-29.0802,85.0000,
0.3720,0.1137,0.3017,0.9525,0.1528,0.3311,0.8171,1012.4913,16.8625,2.3788,-29.0802,85.0000,
0.4160,0.1137,0.3017,0.9525,0.1528,0.3311,0.8171,1012.4913,16.8625,2.3788,-29.0802,79.0000,
0.4520,0.1137,0.3017,0.9525,0.1528,0.3311,0.8171,1012.4913,16.8625,2.3788,-29.0802,79.0000,
0.4530,0.1137,0.3017,0.9525,0.1059,0.3118,0.8737,1012.4913,16.8625,2.3788,-29.0802,79.0000,
0.4970,0.1137,0.3017,0.9525,0.1059,0.3118,0.8737,1012.4913,16.8625,2.3788,-29.0802,69.0000,
0.5160,0.1137,0.3017,0.9525,0.1059,0.3118,0.8737,1012.4913,18.8126,-0.7706,-28.7796,69.0000,
0.5270,0.1137,0.3017,0.9525,0.1059,0.3118,0.8737,1012.5306,18.8126,-0.7706,-28.7796,69.0000,
0.5800,0.1137,0.3017,0.9525,0.1059,0.3118,0.8737,1012.5306,18.8126,-0.7706,-28.7796,62.0000,
0.5920,0.0749,0.3060,0.9404,0.1059,0.3118,0.8737,1012.5306,18.8126,-0.7706,-28.7796,62.0000,
0.6530,0.0749,0.3060,0.9404,0.0386,0.2584,0.4305,1012.5306,18.8126,-0.7706,-28.7796,62.0000,
