
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0060,-0.0252,0.3608,1.1343,0.3491,0.3944,-0.2386,981.8779,-26.2741,-0.0732,-28.1113,0.0000,
0.0150,-0.0252,0.3608,1.1343,0.3491,0.3944,-0.2386,981.8779,-25.6744,0.0763,-27.3605,0.0000,
0.0660,-0.1857,0.4546,1.1400,0.3491,0.3944,-0.2386,981.8779,-25.6744,0.0763,-27.3605,0.0000,
0.1210,-0.1857,0.4546,1.1400,0.3491,0.3944,-0.2386,981.8779,-26.4236,1.2772,-29.0115,0.0000,
0.1270,-0.1857,0.4546,1.1400,0.3491,0.3944,-0.2386,981.9042,-26.4236,1.2772,-29.0115,0.0000,
0.1280,-0.1857,0.4546,1.1400,0.3491,0.3944,-0.2386,981.9042,-26.4236,1.2772,-29.0115,0.0000,
0.1300,-0.0445,0.2985,1.1548,0.3491,0.3944,-0.2386,981.9042,-26.4236,1.2772,-29.0115,0.0000,
0.1310,-0.0445,0.2985,1.1548,-0.2907,-0.4985,0.4813,981.9042,-26.4236,1.2772,-29.0115,0.0000,
0.1490,-0.0445,0.2985,1.1548,-0.2907,-0.4985,0.4813,981.9042,-26.7242,2.9266,-27.5116,0.0000,
0.2030,-0.0592,0.3154,0.8443,-0.2907,-0.4985,0.4813,981.9042,-26.7242,2.9266,-27.5116,0.0000,
0.2160,-0.0592,0.3154,0.8443,-0.2907,-0.4985,0.4813,981.9042,-26.4236,4.5761,-27.6611,0.0000,
0.2620,-0.0516,0.2869,0.7506,-0.2907,-0.4985,0.4813,981.9042,-26.4236,4.5761,-27.6611,0.0000,
0.2840,-0.0516,0.2869,0.7506,-0.2907,-0.4985,0.4813,981.9042,-27.9236,3.9764,-27.0615,0.0000,
0.2940,-0.0516,0.2869,0.7506,-0.2907,-0.4985,0.4813,981.8519,-27.9236,3.9764,-27.0615,0.0000,
0.3240,0.0010,0.4065,0.4618,-0.2907,-0.4985,0.4813,981.8519,-27.9236,3.9764,-27.0615,0.0000,
0.3250,0.0010,0.4065,0.4618,0.1088,-0.3138,0.1983,981.8519,-27.9236,3.9764,-27.0615,0.0000,
0.3260,0.0010,0.4065,0.4618,0.1088,-0.3138,0.1983,981.8519,-27.9236,3.9764,-27.0615,0.0000,
0.3510,0.0010,0.4065,0.4618,0.1088,-0.3138,0.1983,981.8519,-27.0233,3.2272,-27.3605,0.0000,
0.4030,0.0821,0.3907,0.9486,0.1088,-0.3138,0.1983,981.8519,-27.0233,3.2272,-27.3605,0.0000,
0.4180,0.0821,0.3907,0.9486,0.1088,-0.3138,0.1983,981.8519,-25.6744,3.5263,-27.5116,0.0000,
0.4620,0.1111,0.4350,1.1282,0.1088,-0.3138,0.1983,981.8519,-25.6744,3.5263,-27.5116,0.0000,
0.4850,0.1111,0.4350,1.1282,0.1088,-0.3138,0.1983,981.8519,-28.2242,3.0762,-26.4618,0.0000,
0.4950,0.1111,0.4350,1.1282,0.1088,-0.3138,0.1983,981.8521,-28.2242,3.0762,-26.4618,0.0000,
0.5230,0.0630,0.5256,1.0423,0.1088,-0.3138,0.1983,981.8521,-28.2242,3.0762,-26.4618,0.0000,
0.5240,0.0630,0.5256,1.0423,0.1088,-0.3138,0.1983,981.8521,-28.2242,3.0762,-26.4618,0.0000,
0.5260,0.0630,0.5256,1.0423,-0.4135,-0.2700,-0.3091,981.8521,-28.2242,3.0762,-26.4618,0.0000,
0.5520,0.0630,0.5256,1.0423,-0.4135,-0.2700,-0.3091,981.8521,-27.7740,3.8269,-26.1612,0.0000,
0.6070,0.1415,0.3096,1.3478,-0.4135,-0.2700,-0.3091,981.8521,-27.7740,3.8269,-26.1612,0.0000,
0.6200,0.1415,0.3096,1.3478,-0.4135,-0.2700,-0.3091,981.8521,-27.6245,2.6260,-25.7111,0.0000,
0.6620,0.1097,0.3344,0.7270,-0.4135,-0.2700,-0.3091,981.8521,-27.6245,2.6260,-25.7111,0.0000,
0.6870,0.1097,0.3344,0.7270,-0.4135,-0.2700,-0.3091,981.8521,-26.1230,2.7771,-27.0615,0.0000,
0.6970,0.1097,0.3344,0.7270,-0.4135,-0.2700,-0.3091,981.8784,-26.1230,2.7771,-27.0615,0.0000,
0.7220,0.0269,0.2419,0.6981,-0.4135,-0.2700,-0.3091,981.8784,-26.1230,2.7771,-27.0615,0.0000,
0.7230,0.0269,0.2419,0.6981,0.0511,0.6379,-0.3294,981.8784,-26.1230,2.7771,-27.0615,0.0000,
0.7240,0.0269,0.2419,0.6981,0.0511,0.6379,-0.3294,981.8784,-26.1230,2.7771,-27.0615,0.0000,
0.7540,0.0269,0.2419,0.6981,0.0511,0.6379,-0.3294,981.8784,-26.2741,1.5762,-27.8107,0.0000,
0.8010,0.0353,0.2619,0.6089,0.0511,0.6379,-0.3294,981.8784,-26.2741,1.5762,-27.8107,0.0000,
0.8210,0.0353,0.2619,0.6089,0.0511,0.6379,-0.3294,981.8784,-27.3239,0.8270,-26.7609,0.0000,
0.8610,0.0534,0.3348,0.8854,0.0511,0.6379,-0.3294,981.8784,-27.3239,0.8270,-26.7609,0.0000,
0.8920,0.0534,0.3348,0.8854,0.0511,0.6379,-0.3294,981.8784,-25.5234,0.0763,-28.2608,0.0000,
0.9040,0.0534,0.3348,0.8854,0.0511,0.6379,-0.3294,981.9046,-25.5234,0.0763,-28.2608,0.0000,
0.9250,0.0534,0.3348,0.8854,0.0511,0.6379,-0.3294,981.9046,-25.5234,0.0763,-28.2608,0.0000,
0.9290,-0.0456,0.2881,1.1286,0.0511,0.6379,-0.3294,981.9046,-25.5234,0.0763,-28.2608,0.0000,
0.9340,-0.0456,0.2881,1.1286,0.2434,0.3666,-0.1030,981.9046,-25.5234,0.0763,-28.2608,0.0000,
0.9560,-0.0456,0.2881,1.1286,0.2434,0.3666,-0.1030,981.9046,-25.8240,-0.6729,-27.8107,0.0000,
