
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0060,-0.0876,0.4311,0.9133,-0.0387,0.0952,-0.0422,987.1391,-30.8090,-2.3941,-34.5596,0.0000,
0.0090,-0.0876,0.4311,0.9133,-0.0387,0.0952,-0.0422,987.1391,-30.8090,-2.3941,-34.5596,0.0000,
0.0310,-0.0876,0.4311,0.9133,-0.0387,0.0952,-0.0422,987.1391,-30.6580,-2.3941,-34.4086,0.0000,
0.0440,-0.0876,0.4311,0.9133,-0.0387,0.0952,-0.0422,987.1128,-30.6580,-2.3941,-34.4086,0.0000,
0.0540,-0.1029,0.4120,0.8873,-0.0387,0.0952,-0.0422,987.1128,-30.6580,-2.3941,-34.4086,0.0000,
0.1950,-0.1029,0.4120,0.8873,-0.0601,-0.0394,-0.0059,987.1128,-30.6580,-2.3941,-34.4086,0.0000,
0.1980,-0.1029,0.4120,0.8873,-0.0601,-0.0394,-0.0059,987.1128,-30.6580,-2.3941,-34.4086,0.0000,
0.2270,-0.1029,0.4120,0.8873,-0.0601,-0.0394,-0.0059,987.1128,-30.3589,-1.7944,-34.7092,0.0000,
0.2340,-0.1029,0.4120,0.8873,-0.0601,-0.0394,-0.0059,987.1392,-30.3589,-1.7944,-34.7092,0.0000,
0.2550,-0.0876,0.4631,0.8906,-0.0601,-0.0394,-0.0059,987.1392,-30.3589,-1.7944,-34.7092,0.0000,
0.3940,-0.0876,0.4631,0.8906,-0.0120,-0.1815,-0.1394,987.1392,-30.3589,-1.7944,-34.7092,0.0000,
0.4010,-0.0876,0.4631,0.8906,-0.0120,-0.1815,-0.1394,987.1392,-30.3589,-1.7944,-34.7092,0.0000,
0.4250,-0.0876,0.4631,0.8906,-0.0120,-0.1815,-0.1394,987.1392,-30.2078,-2.2446,-34.4086,0.0000,
0.4350,-0.0876,0.4631,0.8906,-0.0120,-0.1815,-0.1394,987.0999,-30.2078,-2.2446,-34.4086,0.0000,
0.4520,-0.0254,0.4721,0.8498,-0.0120,-0.1815,-0.1394,987.0999,-30.2078,-2.2446,-34.4086,0.0000,
0.5970,-0.0254,0.4721,0.8498,-0.1306,-0.2199,-0.1725,987.0999,-30.2078,-2.2446,-34.4086,0.0000,
0.6010,-0.0254,0.4721,0.8498,-0.1306,-0.2199,-0.1725,987.0999,-30.2078,-2.2446,-34.4086,0.0000,
