
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,Latitude,Longitude,Speed (m/s),
0.1000,0.0170,0.5045,0.8730,0.5713,0.2662,-0.1190,981.8768,28.6255,-21.2234,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.1440,0.0170,0.5045,0.8730,-0.4872,0.8334,0.2068,981.8768,28.6255,-21.2234,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.1460,0.0170,0.5045,0.8730,-0.4872,0.8334,0.2068,981.8768,28.6255,-21.2234,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.1560,0.0170,0.5045,0.8730,-0.4872,0.8334,0.2068,981.8768,30.7266,-18.0740,-26.0117,0.0000,32.879733,35.271069,1.732888,
0.1660,0.0170,0.5045,0.8730,-0.4872,0.8334,0.2068,981.8639,30.7266,-18.0740,-26.0117,0.0000,32.879733,35.271069,1.732888,
0.2990,0.0125,0.3308,1.0614,-0.4872,0.8334,0.2068,981.8639,30.7266,-18.0740,-26.0117,0.0000,32.879733,35.271069,1.732888,
0.3440,0.0125,0.3308,1.0614,-0.4872,0.8334,0.2068,981.8639,30.7266,-18.0740,-26.0117,0.0000,32.879733,35.271069,1.732888,
0.3460,0.0125,0.3308,1.0614,0.1643,-0.0061,-0.5676,981.8639,30.7266,-18.0740,-26.0117,0.0000,32.879733,35.271069,1.732888,
0.3580,0.0125,0.3308,1.0614,0.1643,-0.0061,-0.5676,981.8639,32.3761,-14.1739,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.3680,0.0125,0.3308,1.0614,0.1643,-0.0061,-0.5676,981.8639,32.3761,-14.1739,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.5250,-0.0681,0.3347,0.7855,0.1643,-0.0061,-0.5676,981.8639,32.3761,-14.1739,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.5430,-0.0681,0.3347,0.7855,0.1643,-0.0061,-0.5676,981.8639,32.3761,-14.1739,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.5460,-0.0681,0.3347,0.7855,0.5147,0.1082,0.2506,981.8639,32.3761,-14.1739,-26.4618,0.0000,32.879733,35.271069,1.732888,
0.5590,-0.0681,0.3347,0.7855,0.5147,0.1082,0.2506,981.8639,32.0755,-16.4230,-24.8108,0.0000,32.879733,35.271069,1.732888,
0.5680,-0.0681,0.3347,0.7855,0.5147,0.1082,0.2506,981.8771,32.0755,-16.4230,-24.8108,0.0000,32.879733,35.271069,1.732888,
0.7170,-0.0778,0.3100,1.0911,0.5147,0.1082,0.2506,981.8771,32.0755,-16.4230,-24.8108,0.0000,32.879733,35.271069,1.732888,
0.7430,-0.0778,0.3100,1.0911,-0.7425,-0.4889,-0.0079,981.8771,32.0755,-16.4230,-24.8108,0.0000,32.879733,35.271069,1.732888,
0.7470,-0.0778,0.3100,1.0911,-0.7425,-0.4889,-0.0079,981.8771,32.0755,-16.4230,-24.8108,0.0000,32.879733,35.271069,1.732888,
0.7600,-0.0778,0.3100,1.0911,-0.7425,-0.4889,-0.0079,981.8771,28.0258,-11.4731,-29.0115,0.0000,32.879733,35.271069,1.732888,
0.7700,-0.0778,0.3100,1.0911,-0.7425,-0.4889,-0.0079,981.8771,28.0258,-11.4731,-29.0115,0.0000,32.879733,35.271069,1.732888,
0.9160,-0.0418,0.2930,0.7483,-0.7425,-0.4889,-0.0079,981.8771,28.0258,-11.4731,-29.0115,0.0000,32.879733,35.271069,1.732888,
0.9410,-0.0418,0.2930,0.7483,-0.7425,-0.4889,-0.0079,981.8771,28.0258,-11.4731,-29.0115,0.0000,32.879733,35.271069,1.732888,
0.9420,-0.0418,0.2930,0.7483,0.3032,-0.5028,-0.3646,981.8771,28.0258,-11.4731,-29.0115,0.0000,32.879733,35.271069,1.732888,
0.9630,-0.0418,0.2930,0.7483,0.3032,-0.5028,-0.3646,981.8771,29.3762,-15.6738,-28.2608,0.0000,32.879733,35.271069,1.732888,
0.9740,-0.0418,0.2930,0.7483,0.3032,-0.5028,-0.3646,981.9296,29.3762,-15.6738,-28.2608,0.0000,32.879733,35.271069,1.732888,
1.1190,0.0261,0.4341,1.1408,0.3032,-0.5028,-0.3646,981.9296,29.3762,-15.6738,-28.2608,0.0000,32.879733,35.271069,1.732888,
1.1420,0.0261,0.4341,1.1408,-0.4787,-0.4035,0.0647,981.9296,29.3762,-15.6738,-28.2608,0.0000,32.879733,35.271069,1.732888,
1.1450,0.0261,0.4341,1.1408,-0.4787,-0.4035,0.0647,981.9296,29.3762,-15.6738,-28.2608,0.0000,32.879733,35.271069,1.732888,
1.1650,0.0261,0.4341,1.1408,-0.4787,-0.4035,0.0647,981.9296,27.2766,-14.4730,-30.6610,0.0000,32.879733,35.271069,1.732888,
1.1770,0.0261,0.4341,1.1408,-0.4787,-0.4035,0.0647,981.9034,27.2766,-14.4730,-30.6610,0.0000,32.879733,35.271069,1.732888,
1.3200,0.1289,0.2023,0.8429,-0.4787,-0.4035,0.0647,981.9034,27.2766,-14.4730,-30.6610,0.0000,32.879733,35.271069,1.732888,
1.3430,0.1289,0.2023,0.8429,-0.3313,0.2246,-0.2130,981.9034,27.2766,-14.4730,-30.6610,0.0000,32.879733,35.271069,1.732888,
1.3480,0.1289,0.2023,0.8429,-0.3313,0.2246,-0.2130,981.9034,27.2766,-14.4730,-30.6610,0.0000,32.879733,35.271069,1.732888,
1.3690,0.1289,0.2023,0.8429,-0.3313,0.2246,-0.2130,981.9034,26.5259,-10.1242,-32.4615,0.0000,32.879733,35.271069,1.732888,
1.3800,0.1289,0.2023,0.8429,-0.3313,0.2246,-0.2130,981.9033,26.5259,-10.1242,-32.4615,0.0000,32.879733,35.271069,1.732888,
1.5200,0.0992,0.2599,0.9358,-0.3313,0.2246,-0.2130,981.9033,26.5259,-10.1242,-32.4615,0.0000,32.879733,35.271069,1.732888,
1.6030,0.0992,0.2599,0.9358,0.4805,0.8259,0.2346,981.9033,26.5259,-10.1242,-32.4615,0.0000,32.879733,35.271069,1.732888,
1.6050,0.0992,0.2599,0.9358,0.4805,0.8259,0.2346,981.9033,26.5259,-10.1242,-32.4615,0.0000,32.879733,35.271069,1.732888,
