
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0100,0.1480,0.2167,1.0390,-0.5853,0.2323,-0.4240,978.2920,25.0656,-27.8229,-27.9160,
0.0460,0.1480,0.2167,1.0390,0.1015,0.1682,-0.3792,978.2920,25.0656,-27.8229,-27.9160,
0.0530,0.1480,0.2167,1.0390,0.1015,0.1682,-0.3792,978.2920,25.0656,-27.8229,-27.9160,
0.0550,0.1480,0.2167,1.0390,0.1015,0.1682,-0.3792,978.2920,25.5310,-27.0462,-27.3941,
0.0660,0.1480,0.2167,1.0390,0.1015,0.1682,-0.3792,978.3049,25.5310,-27.0462,-27.3941,
0.0670,0.0462,0.2277,0.7914,0.1015,0.1682,-0.3792,978.3049,25.5310,-27.0462,-27.3941,
0.1240,-0.0045,0.2993,0.5538,0.1015,0.1682,-0.3792,978.3049,25.5310,-27.0462,-27.3941,
0.1340,-0.0045,0.2993,0.5538,0.1015,0.1682,-0.3792,978.3049,26.8280,-26.6205,-26.6434,
0.1950,-0.0045,0.2993,0.5538,0.1015,0.1682,-0.3792,978.3049,27.2980,-26.7197,-26.0178,
0.2040,-0.0651,0.3480,0.7112,0.1015,0.1682,-0.3792,978.3049,27.2980,-26.7197,-26.0178,
0.2440,-0.0651,0.3480,0.7112,0.1015,0.1682,-0.3792,978.3049,27.2980,-26.7197,-26.0178,
0.2450,-0.0651,0.3480,0.7112,0.0396,0.2429,-0.0117,978.3049,27.2980,-26.7197,-26.0178,
0.2560,-0.0651,0.3480,0.7112,0.0396,0.2429,-0.0117,978.3049,28.6041,-27.5330,-25.8545,
0.2650,-0.0928,0.3212,1.0343,0.0396,0.2429,-0.0117,978.3049,28.6041,-27.5330,-25.8545,
0.2660,-0.0928,0.3212,1.0343,0.0396,0.2429,-0.0117,978.3049,28.6041,-27.5330,-25.8545,
0.3240,-0.0862,0.4203,0.9832,0.0396,0.2429,-0.0117,978.3049,28.6041,-27.5330,-25.8545,
0.3360,-0.0862,0.4203,0.9832,0.0396,0.2429,-0.0117,978.3049,27.7405,-27.6581,-25.0290,
0.4000,-0.0862,0.4203,0.9832,0.0396,0.2429,-0.0117,978.3049,26.2573,-27.7710,-25.9903,
0.4100,-0.0717,0.2124,1.4955,0.0396,0.2429,-0.0117,978.3049,26.2573,-27.7710,-25.9903,
0.4440,-0.0717,0.2124,1.4955,0.3621,-0.0027,0.6964,978.3049,26.2573,-27.7710,-25.9903,
0.4450,-0.0717,0.2124,1.4955,0.3621,-0.0027,0.6964,978.3049,26.2573,-27.7710,-25.9903,
0.4630,-0.0717,0.2124,1.4955,0.3621,-0.0027,0.6964,978.3049,25.6042,-29.6341,-25.4044,
0.4640,-0.0925,0.2943,0.9948,0.3621,-0.0027,0.6964,978.3049,25.6042,-29.6341,-25.4044,
0.4680,-0.0925,0.2943,0.9948,0.3621,-0.0027,0.6964,978.3047,25.6042,-29.6341,-25.4044,
0.5250,-0.0556,0.2370,0.9951,0.3621,-0.0027,0.6964,978.3047,25.6042,-29.6341,-25.4044,
0.5400,-0.0556,0.2370,0.9951,0.3621,-0.0027,0.6964,978.3047,23.6893,-30.0949,-26.1932,
0.6030,-0.0556,0.2370,0.9951,0.3621,-0.0027,0.6964,978.3047,24.0417,-30.7434,-25.8057,
0.6060,-0.0434,0.2371,0.7755,0.3621,-0.0027,0.6964,978.3047,24.0417,-30.7434,-25.8057,
0.6450,-0.0434,0.2371,0.7755,-0.0064,-0.0957,0.1688,978.3047,24.0417,-30.7434,-25.8057,
0.6480,-0.0434,0.2371,0.7755,-0.0064,-0.0957,0.1688,978.3047,24.0417,-30.7434,-25.8057,
0.6590,-0.0434,0.2371,0.7755,-0.0064,-0.0957,0.1688,978.3047,23.1293,-30.7953,-25.5157,
0.6640,-0.0314,0.2357,0.7129,-0.0064,-0.0957,0.1688,978.3047,23.1293,-30.7953,-25.5157,
0.6690,-0.0314,0.2357,0.7129,-0.0064,-0.0957,0.1688,978.2654,23.1293,-30.7953,-25.5157,
0.7250,0.0021,0.2639,0.7141,-0.0064,-0.0957,0.1688,978.2654,23.1293,-30.7953,-25.5157,
0.7470,0.0021,0.2639,0.7141,-0.0064,-0.0957,0.1688,978.2654,22.9279,-31.1081,-25.4791,
0.8040,0.0021,0.2639,0.7141,-0.0064,-0.0957,0.1688,978.2654,23.0072,-30.8578,-25.3296,
0.8420,0.0352,0.2729,0.8633,-0.0064,-0.0957,0.1688,978.2654,23.0072,-30.8578,-25.3296,
0.8440,0.0352,0.2729,0.8633,0.4252,-0.2666,-0.3268,978.2654,23.0072,-30.8578,-25.3296,
0.8450,0.0352,0.2729,0.8633,0.4252,-0.2666,-0.3268,978.2654,23.0072,-30.8578,-25.3296,
0.8590,0.0352,0.2729,0.8633,0.4252,-0.2666,-0.3268,978.2654,22.9797,-31.3965,-25.0671,
0.8620,0.0881,0.3605,0.9558,0.4252,-0.2666,-0.3268,978.2654,22.9797,-31.3965,-25.0671,
0.8700,0.0881,0.3605,0.9558,0.4252,-0.2666,-0.3268,978.3047,22.9797,-31.3965,-25.0671,
0.9220,0.1701,0.1699,1.4264,0.4252,-0.2666,-0.3268,978.3047,22.9797,-31.3965,-25.0671,
0.9400,0.1701,0.1699,1.4264,0.4252,-0.2666,-0.3268,978.3047,24.2661,-28.6728,-27.4170,
1.0030,0.1701,0.1699,1.4264,0.4252,-0.2666,-0.3268,978.3047,25.6409,-28.1845,-26.9791,
1.0040,0.0418,0.1324,1.3535,0.4252,-0.2666,-0.3268,978.3047,25.6409,-28.1845,-26.9791,
1.0430,0.0418,0.1324,1.3535,-0.1762,0.0186,-0.1581,978.3047,25.6409,-28.1845,-26.9791,
1.0440,0.0418,0.1324,1.3535,-0.1762,0.0186,-0.1581,978.3047,25.6409,-28.1845,-26.9791,
1.0610,0.0418,0.1324,1.3535,-0.1762,0.0186,-0.1581,978.3047,24.8962,-27.7191,-27.1683,
