
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0420,-0.0026,0.0534,0.9815,0.0007,-0.0001,0.0002,969.5080,-13.5818,-19.6579,0.7141,365.0000,
0.0470,-0.0026,0.0534,0.9815,-0.0007,-0.0006,0.0002,969.5080,-13.5818,-19.6579,0.7141,365.0000,
0.0510,-0.0026,0.0534,0.9815,-0.0007,-0.0006,0.0002,969.5080,-13.5818,-19.6579,0.7141,365.0000,
0.1000,-0.0026,0.0534,0.9815,-0.0007,-0.0006,0.0002,969.5080,-13.1317,-21.3074,1.0147,365.0000,
0.1100,-0.0026,0.0534,0.9815,-0.0007,-0.0006,0.0002,969.5074,-13.1317,-21.3074,1.0147,365.0000,
0.2410,-0.0031,0.0537,0.9822,-0.0007,-0.0006,0.0002,969.5074,-13.1317,-21.3074,1.0147,365.0000,
0.2460,-0.0031,0.0537,0.9822,-0.0007,-0.0006,0.0002,969.5074,-13.1317,-21.3074,1.0147,365.0000,
0.2470,-0.0031,0.0537,0.9822,0.0005,-0.0001,0.0002,969.5074,-13.1317,-21.3074,1.0147,365.0000,
0.3020,-0.0031,0.0537,0.9822,0.0005,-0.0001,0.0002,969.5074,-12.6816,-17.8574,-0.4852,365.0000,
0.3120,-0.0031,0.0537,0.9822,0.0005,-0.0001,0.0002,969.4805,-12.6816,-17.8574,-0.4852,365.0000,
0.4390,-0.0026,0.0535,0.9797,0.0005,-0.0001,0.0002,969.4805,-12.6816,-17.8574,-0.4852,365.0000,
0.4440,-0.0026,0.0535,0.9797,0.0003,-0.0010,-0.0003,969.4805,-12.6816,-17.8574,-0.4852,365.0000,
0.4460,-0.0026,0.0535,0.9797,0.0003,-0.0010,-0.0003,969.4805,-12.6816,-17.8574,-0.4852,365.0000,
0.5040,-0.0026,0.0535,0.9797,0.0003,-0.0010,-0.0003,969.4805,-13.5818,-20.8572,-0.6348,365.0000,
0.5150,-0.0026,0.0535,0.9797,0.0003,-0.0010,-0.0003,969.5063,-13.5818,-20.8572,-0.6348,365.0000,
0.6440,-0.0029,0.0543,0.9809,0.0003,-0.0010,-0.0003,969.5063,-13.5818,-20.8572,-0.6348,365.0000,
0.6480,-0.0029,0.0543,0.9809,0.0003,-0.0010,-0.0003,969.5063,-13.5818,-20.8572,-0.6348,365.0000,
0.6540,-0.0029,0.0543,0.9809,0.0005,-0.0002,0.0002,969.5063,-13.5818,-20.8572,-0.6348,365.0000,
0.7080,-0.0029,0.0543,0.9809,0.0005,-0.0002,0.0002,969.5063,-12.9822,-17.7078,1.6144,365.0000,
0.7200,-0.0029,0.0543,0.9809,0.0005,-0.0002,0.0002,969.5057,-12.9822,-17.7078,1.6144,365.0000,
0.8430,-0.0036,0.0542,0.9801,0.0005,-0.0002,0.0002,969.5057,-12.9822,-17.7078,1.6144,365.0000,
0.8480,-0.0036,0.0542,0.9801,0.0002,-0.0001,0.0002,969.5057,-12.9822,-17.7078,1.6144,365.0000,
0.8530,-0.0036,0.0542,0.9801,0.0002,-0.0001,0.0002,969.5057,-12.9822,-17.7078,1.6144,365.0000,
0.9110,-0.0036,0.0542,0.9801,0.0002,-0.0001,0.0002,969.5057,-13.7314,-20.1065,1.7639,365.0000,
0.9200,-0.0036,0.0542,0.9801,0.0002,-0.0001,0.0002,969.5182,-13.7314,-20.1065,1.7639,365.0000,
1.0430,-0.0033,0.0541,0.9791,0.0002,-0.0001,0.0002,969.5182,-13.7314,-20.1065,1.7639,365.0000,
1.0470,-0.0033,0.0541,0.9791,0.0007,-0.0001,0.0002,969.5182,-13.7314,-20.1065,1.7639,365.0000,
1.0540,-0.0033,0.0541,0.9791,0.0007,-0.0001,0.0002,969.5182,-13.7314,-20.1065,1.7639,365.0000,
1.1150,-0.0033,0.0541,0.9791,0.0007,-0.0001,0.0002,969.5182,-14.6317,-19.6579,1.6144,365.0000,
1.1200,-0.0033,0.0541,0.9791,0.0007,-0.0001,0.0002,969.5048,-14.6317,-19.6579,1.6144,365.0000,
1.2400,-0.0029,0.0537,0.9803,0.0007,-0.0001,0.0002,969.5048,-14.6317,-19.6579,1.6144,365.0000,
1.2440,-0.0029,0.0537,0.9803,0.0003,-0.0005,0.0002,969.5048,-14.6317,-19.6579,1.6144,365.0000,
1.2490,-0.0029,0.0537,0.9803,0.0003,-0.0005,0.0002,969.5048,-14.6317,-19.6579,1.6144,365.0000,
1.2530,-0.0029,0.0537,0.9803,0.0003,-0.0005,0.0002,969.5048,-14.6317,-19.6579,1.6144,362.0000,
1.3150,-0.0029,0.0537,0.9803,0.0003,-0.0005,0.0002,969.5048,-13.4323,-17.2577,-0.7858,362.0000,
1.3230,-0.0029,0.0537,0.9803,0.0003,-0.0005,0.0002,969.5435,-13.4323,-17.2577,-0.7858,362.0000,
1.4340,-0.0028,0.0543,0.9809,0.0003,-0.0005,0.0002,969.5435,-13.4323,-17.2577,-0.7858,362.0000,
1.4390,-0.0028,0.0543,0.9809,0.0006,-0.0002,0.0003,969.5435,-13.4323,-17.2577,-0.7858,362.0000,
1.4400,-0.0028,0.0543,0.9809,0.0006,-0.0002,0.0003,969.5435,-13.4323,-17.2577,-0.7858,362.0000,
1.5140,-0.0028,0.0543,0.9809,0.0006,-0.0002,0.0003,969.5435,-13.4323,-21.4569,-0.6348,362.0000,
1.5240,-0.0028,0.0543,0.9809,0.0006,-0.0002,0.0003,969.5167,-13.4323,-21.4569,-0.6348,362.0000,
1.6380,-0.0022,0.0542,0.9810,0.0006,-0.0002,0.0003,969.5167,-13.4323,-21.4569,-0.6348,362.0000,
1.6440,-0.0022,0.0542,0.9810,0.0006,-0.0002,0.0003,969.5167,-13.4323,-21.4569,-0.6348,362.0000,
1.6480,-0.0022,0.0542,0.9810,0.0002,-0.0001,0.0001,969.5167,-13.4323,-21.4569,-0.6348,362.0000,
1.7160,-0.0022,0.0542,0.9810,0.0002,-0.0001,0.0001,969.5167,-13.2828,-21.3074,1.6144,362.0000,
1.7250,-0.0022,0.0542,0.9810,0.0002,-0.0001,0.0001,969.5426,-13.2828,-21.3074,1.6144,362.0000,
1.8190,-0.0022,0.0542,0.9810,0.0002,-0.0001,0.0001,969.5426,-13.2828,-21.3074,1.6144,357.0000,
1.8370,-0.0026,0.0536,0.9823,0.0002,-0.0001,0.0001,969.5426,-13.2828,-21.3074,1.6144,357.0000,
1.8410,-0.0026,0.0536,0.9823,-0.0014,-0.0005,0.0002,969.5426,-13.2828,-21.3074,1.6144,357.0000,
1.8420,-0.0026,0.0536,0.9823,-0.0014,-0.0005,0.0002,969.5426,-13.2828,-21.3074,1.6144,357.0000,
1.9160,-0.0026,0.0536,0.9823,-0.0014,-0.0005,0.0002,969.5426,-13.2828,-21.3074,1.6144,352.0000,
1.9170,-0.0026,0.0536,0.9823,-0.0014,-0.0005,0.0002,969.5426,-13.4323,-17.8574,1.7639,352.0000,
1.9230,-0.0026,0.0536,0.9823,-0.0014,-0.0005,0.0002,969.5157,-13.4323,-17.8574,1.7639,352.0000,
2.0150,-0.0026,0.0536,0.9823,-0.0014,-0.0005,0.0002,969.5157,-13.4323,-17.8574,1.7639,344.0000,
2.0310,-0.0031,0.0539,0.9811,-0.0014,-0.0005,0.0002,969.5157,-13.4323,-17.8574,1.7639,344.0000,
2.0350,-0.0031,0.0539,0.9811,0.0001,-0.0007,-0.0003,969.5157,-13.4323,-17.8574,1.7639,344.0000,
2.0370,-0.0031,0.0539,0.9811,0.0001,-0.0007,-0.0003,969.5157,-13.4323,-17.8574,1.7639,344.0000,
2.1190,-0.0031,0.0539,0.9811,0.0001,-0.0007,-0.0003,969.5157,-13.1317,-16.2079,1.6144,344.0000,
2.1280,-0.0031,0.0539,0.9811,0.0001,-0.0007,-0.0003,969.4760,-13.1317,-16.2079,1.6144,344.0000,
2.1410,-0.0031,0.0539,0.9811,0.0001,-0.0007,-0.0003,969.4760,-13.1317,-16.2079,1.6144,338.0000,
2.2260,-0.0031,0.0539,0.9811,0.0001,-0.0007,-0.0003,969.4760,-13.1317,-16.2079,1.6144,331.0000,
2.2360,-0.0029,0.0535,0.9813,0.0001,-0.0007,-0.0003,969.4760,-13.1317,-16.2079,1.6144,331.0000,
2.2370,-0.0029,0.0535,0.9813,0.0002,-0.0011,0.0002,969.4760,-13.1317,-16.2079,1.6144,331.0000,
2.2380,-0.0029,0.0535,0.9813,0.0002,-0.0011,0.0002,969.4760,-13.1317,-16.2079,1.6144,331.0000,
2.3230,-0.0029,0.0535,0.9813,0.0002,-0.0011,0.0002,969.4760,-13.1317,-19.3573,-0.1862,331.0000,
2.3290,-0.0029,0.0535,0.9813,0.0002,-0.0011,0.0002,969.5149,-13.1317,-19.3573,-0.1862,331.0000,
2.3460,-0.0029,0.0535,0.9813,0.0002,-0.0011,0.0002,969.5149,-13.1317,-19.3573,-0.1862,325.0000,
