
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0100,0.0665,0.8639,0.4730,-0.1735,-0.1100,-0.0843,160.0000,0.0,0.0,0.0,
0.0110,0.0665,0.8639,0.4730,-0.1173,-0.2944,-0.3030,160.0000,0.0,0.0,0.0,
0.0120,0.0665,0.8639,0.4730,-0.1173,-0.2944,-0.3030,160.0000,0.0,0.0,0.0,
0.0480,0.0665,0.8639,0.4730,-0.1173,-0.2944,-0.3030,160.0000,0.0,0.0,0.0,
0.0880,-0.0586,0.8091,0.6020,-0.1173,-0.2944,-0.3030,160.0000,0.0,0.0,0.0,
0.1860,-0.0586,0.8091,0.6020,-0.1173,-0.2944,-0.3030,160.0000,0.0,0.0,0.0,
0.1870,-0.0586,0.8091,0.6020,0.2749,0.5705,0.4191,160.0000,0.0,0.0,0.0,
0.1880,-0.0586,0.8091,0.6020,0.2749,0.5705,0.4191,160.0000,0.0,0.0,0.0,
0.2520,-0.0586,0.8091,0.6020,0.2749,0.5705,0.4191,160.0000,0.0,0.0,0.0,
0.2850,-0.0860,0.6215,0.9655,0.2749,0.5705,0.4191,160.0000,0.0,0.0,0.0,
0.3790,-0.0860,0.6215,0.9655,0.2749,0.5705,0.4191,160.0000,0.0,0.0,0.0,
0.3830,-0.0860,0.6215,0.9655,-0.2456,0.2346,0.3042,160.0000,0.0,0.0,0.0,
0.3840,-0.0860,0.6215,0.9655,-0.2456,0.2346,0.3042,160.0000,0.0,0.0,0.0,
0.4450,-0.0860,0.6215,0.9655,-0.2456,0.2346,0.3042,160.0000,0.0,0.0,0.0,
0.4840,-0.0391,0.6372,0.6528,-0.2456,0.2346,0.3042,160.0000,0.0,0.0,0.0,
0.5770,-0.0391,0.6372,0.6528,-0.2456,0.2346,0.3042,160.0000,0.0,0.0,0.0,
0.5830,-0.0391,0.6372,0.6528,0.0599,0.2370,0.1393,160.0000,0.0,0.0,0.0,
0.5830,-0.0391,0.6372,0.6528,0.0599,0.2370,0.1393,160.0000,0.0,0.0,0.0,
0.6570,-0.0391,0.6372,0.6528,0.0599,0.2370,0.1393,160.0000,0.0,0.0,0.0,
0.6830,-0.0313,0.7114,0.6997,0.0599,0.2370,0.1393,160.0000,0.0,0.0,0.0,
0.7790,-0.0313,0.7114,0.6997,0.0599,0.2370,0.1393,160.0000,0.0,0.0,0.0,
0.7870,-0.0313,0.7114,0.6997,-0.4948,0.1063,0.4484,160.0000,0.0,0.0,0.0,
0.7900,-0.0313,0.7114,0.6997,-0.4948,0.1063,0.4484,160.0000,0.0,0.0,0.0,
0.8450,-0.0313,0.7114,0.6997,-0.4948,0.1063,0.4484,160.0000,0.0,0.0,0.0,
0.8860,0.0860,0.7192,0.7583,-0.4948,0.1063,0.4484,160.0000,0.0,0.0,0.0,
0.9760,0.0860,0.7192,0.7583,-0.4948,0.1063,0.4484,160.0000,0.0,0.0,0.0,
0.9850,0.0860,0.7192,0.7583,-0.0831,-0.0977,0.4019,160.0000,0.0,0.0,0.0,
0.9900,0.0860,0.7192,0.7583,-0.0831,-0.0977,0.4019,160.0000,0.0,0.0,0.0,
1.0860,0.2267,0.6919,0.8131,-0.0831,-0.0977,0.4019,160.0000,0.0,0.0,0.0,
1.1070,0.2267,0.6919,0.8131,-0.0831,-0.0977,0.4019,160.0000,0.0,0.0,0.0,
1.1740,0.2267,0.6919,0.8131,-0.0831,-0.0977,0.4019,160.0000,0.0,0.0,0.0,
1.1860,0.2267,0.6919,0.8131,-0.6561,0.1173,0.1197,160.0000,0.0,0.0,0.0,
1.1980,0.2267,0.6919,0.8131,-0.6561,0.1173,0.1197,160.0000,0.0,0.0,0.0,
1.2860,0.1915,0.4143,0.8639,-0.6561,0.1173,0.1197,160.0000,0.0,0.0,0.0,
1.3060,0.1915,0.4143,0.8639,-0.6561,0.1173,0.1197,160.0000,0.0,0.0,0.0,
1.3750,0.1915,0.4143,0.8639,-0.6561,0.1173,0.1197,160.0000,0.0,0.0,0.0,
1.3860,0.1915,0.4143,0.8639,-0.4203,-0.5498,-0.5522,160.0000,0.0,0.0,0.0,
1.3900,0.1915,0.4143,0.8639,-0.4203,-0.5498,-0.5522,160.0000,0.0,0.0,0.0,
1.4860,0.1290,0.5316,0.8131,-0.4203,-0.5498,-0.5522,160.0000,0.0,0.0,0.0,
1.5050,0.1290,0.5316,0.8131,-0.4203,-0.5498,-0.5522,160.0000,0.0,0.0,0.0,
1.6570,0.1290,0.5316,0.8131,-0.4203,-0.5498,-0.5522,160.0000,0.0,0.0,0.0,
1.6580,0.1290,0.5316,0.8131,-0.0452,0.4740,-0.1258,160.0000,0.0,0.0,0.0,
1.6590,0.1290,0.5316,0.8131,-0.0452,0.4740,-0.1258,160.0000,0.0,0.0,0.0,
1.6830,0.0313,0.5746,0.8326,-0.0452,0.4740,-0.1258,160.0000,0.0,0.0,0.0,
1.7010,0.0313,0.5746,0.8326,-0.0452,0.4740,-0.1258,160.0000,0.0,0.0,0.0,
1.7670,0.0313,0.5746,0.8326,-0.0452,0.4740,-0.1258,160.0000,0.0,0.0,0.0,
1.7830,0.0313,0.5746,0.8326,-0.5180,0.3726,1.1411,160.0000,0.0,0.0,0.0,
1.7840,0.0313,0.5746,0.8326,-0.5180,0.3726,1.1411,160.0000,0.0,0.0,0.0,
1.8870,-0.1094,0.4143,1.0984,-0.5180,0.3726,1.1411,160.0000,0.0,0.0,0.0,
1.9040,-0.1094,0.4143,1.0984,-0.5180,0.3726,1.1411,160.0000,0.0,0.0,0.0,
1.9700,-0.1094,0.4143,1.0984,-0.5180,0.3726,1.1411,160.0000,0.0,0.0,0.0,
1.9870,-0.1094,0.4143,1.0984,2.3555,1.4148,-0.2150,160.0000,0.0,0.0,0.0,
1.9900,-0.1094,0.4143,1.0984,2.3555,1.4148,-0.2150,160.0000,0.0,0.0,0.0,
2.0850,-0.0195,0.4886,0.7701,2.3555,1.4148,-0.2150,160.0000,0.0,0.0,0.0,
2.0970,-0.0195,0.4886,0.7701,2.3555,1.4148,-0.2150,160.0000,0.0,0.0,0.0,
2.1640,-0.0195,0.4886,0.7701,2.3555,1.4148,-0.2150,160.0000,0.0,0.0,0.0,
