
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0240,0.0391,0.2658,0.9577,0.3225,0.0281,-0.1283,10240.0000,32.85561112,35.28120554,0.0,
0.0410,0.0391,0.2658,0.9577,-0.0367,0.3531,-0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.0420,0.0391,0.2658,0.9577,-0.0367,0.3531,-0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.1080,0.0391,0.2658,0.9577,-0.0367,0.3531,-0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.1470,0.0352,0.2932,0.9460,-0.0367,0.3531,-0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.2270,0.0352,0.2932,0.9460,-0.0367,0.3531,-0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.2310,0.0352,0.2932,0.9460,0.0318,0.0391,-0.0367,10240.0000,32.85561112,35.28120554,0.0,
0.2320,0.0352,0.2932,0.9460,0.0318,0.0391,-0.0367,10240.0000,32.85561112,35.28120554,0.0,
0.2980,0.0352,0.2932,0.9460,0.0318,0.0391,-0.0367,10240.0000,32.85561112,35.28120554,0.0,
0.3430,0.0469,0.3049,0.9460,0.0318,0.0391,-0.0367,10240.0000,32.85561112,35.28120554,0.0,
0.4200,0.0469,0.3049,0.9460,0.0318,0.0391,-0.0367,10240.0000,32.85561112,35.28120554,0.0,
0.4320,0.0469,0.3049,0.9460,-0.0367,0.0538,0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.4330,0.0469,0.3049,0.9460,-0.0367,0.0538,0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.4860,0.0469,0.3049,0.9460,-0.0367,0.0538,0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.5420,0.0469,0.3166,0.9420,-0.0367,0.0538,0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.6190,0.0469,0.3166,0.9420,-0.0367,0.0538,0.0147,10240.0000,32.85561112,35.28120554,0.0,
0.6330,0.0469,0.3166,0.9420,0.0623,0.0183,-0.0122,10240.0000,32.85561112,35.28120554,0.0,
0.6360,0.0469,0.3166,0.9420,0.0623,0.0183,-0.0122,10240.0000,32.85561112,35.28120554,0.0,
0.6870,0.0469,0.3166,0.9420,0.0623,0.0183,-0.0122,10240.0000,32.85561112,35.28120554,0.0,
0.7460,-0.0078,0.3479,0.9030,0.0623,0.0183,-0.0122,10240.0000,32.85561112,35.28120554,0.0,
0.8180,-0.0078,0.3479,0.9030,0.0623,0.0183,-0.0122,10240.0000,32.85561112,35.28120554,0.0,
0.8340,-0.0078,0.3479,0.9030,0.2065,0.0098,-0.1967,10240.0000,32.85561112,35.28120554,0.0,
0.8380,-0.0078,0.3479,0.9030,0.2065,0.0098,-0.1967,10240.0000,32.85561112,35.28120554,0.0,
0.8840,-0.0078,0.3479,0.9030,0.2065,0.0098,-0.1967,10240.0000,32.85561112,35.28120554,0.0,
0.9490,0.0782,0.3323,0.9225,0.2065,0.0098,-0.1967,10240.0000,32.85561112,35.28120554,0.0,
1.0180,0.0782,0.3323,0.9225,0.2065,0.0098,-0.1967,10240.0000,32.85561112,35.28120554,0.0,
1.0340,0.0782,0.3323,0.9225,0.0757,-0.3567,-0.2065,10240.0000,32.85561112,35.28120554,0.0,
1.0460,0.0782,0.3323,0.9225,0.0757,-0.3567,-0.2065,10240.0000,32.85561112,35.28120554,0.0,
1.0830,0.0782,0.3323,0.9225,0.0757,-0.3567,-0.2065,10240.0000,32.85561112,35.28120554,0.0,
1.1440,-0.0156,0.3948,0.9420,0.0757,-0.3567,-0.2065,10240.0000,32.85561112,35.28120554,0.0,
1.3060,-0.0156,0.3948,0.9420,0.0757,-0.3567,-0.2065,10240.0000,32.85561112,35.28120554,0.0,
1.3070,-0.0156,0.3948,0.9420,-0.4203,0.2993,-0.2236,10240.0000,32.85561112,35.28120554,0.0,
1.3080,-0.0156,0.3948,0.9420,-0.4203,0.2993,-0.2236,10240.0000,32.85561112,35.28120554,0.0,
1.3090,-0.0156,0.3948,0.9420,-0.4203,0.2993,-0.2236,10240.0000,32.85561112,35.28120554,0.0,
1.3410,-0.0039,0.3557,0.9303,-0.4203,0.2993,-0.2236,10240.0000,32.85561112,35.28120554,0.0,
1.4110,-0.0039,0.3557,0.9303,-0.4203,0.2993,-0.2236,10240.0000,32.85561112,35.28120554,0.0,
1.4310,-0.0039,0.3557,0.9303,-0.1735,0.2395,-0.0745,10240.0000,32.85561112,35.28120554,0.0,
1.4320,-0.0039,0.3557,0.9303,-0.1735,0.2395,-0.0745,10240.0000,32.85561112,35.28120554,0.0,
1.4770,-0.0039,0.3557,0.9303,-0.1735,0.2395,-0.0745,10240.0000,32.85561112,35.28120554,0.0,
1.5440,-0.1055,0.4104,0.8834,-0.1735,0.2395,-0.0745,10240.0000,32.85561112,35.28120554,0.0,
1.6120,-0.1055,0.4104,0.8834,-0.1735,0.2395,-0.0745,10240.0000,32.85561112,35.28120554,0.0,
1.6340,-0.1055,0.4104,0.8834,0.2834,-0.0354,-0.1173,10240.0000,32.85561112,35.28120554,0.0,
1.6380,-0.1055,0.4104,0.8834,0.2834,-0.0354,-0.1173,10240.0000,32.85561112,35.28120554,0.0,
1.6870,-0.1055,0.4104,0.8834,0.2834,-0.0354,-0.1173,10240.0000,32.85561112,35.28120554,0.0,
1.7440,0.0665,0.2658,0.9890,0.2834,-0.0354,-0.1173,10240.0000,32.85561112,35.28120554,0.0,
1.8200,0.0665,0.2658,0.9890,0.2834,-0.0354,-0.1173,10240.0000,32.85561112,35.28120554,0.0,
1.8600,0.0665,0.2658,0.9890,0.0550,-0.1503,0.0428,10240.0000,32.85561112,35.28120554,0.0,
1.8620,0.0665,0.2658,0.9890,0.0550,-0.1503,0.0428,10240.0000,32.85561112,35.28120554,0.0,
1.8780,0.0665,0.2658,0.9890,0.0550,-0.1503,0.0428,10240.0000,32.85561112,35.28120554,0.0,
1.9550,0.0274,0.3557,0.9538,0.0550,-0.1503,0.0428,10240.0000,32.85561112,35.28120554,0.0,
2.0220,0.0274,0.3557,0.9538,0.0550,-0.1503,0.0428,10240.0000,32.85561112,35.28120554,0.0,
2.0330,0.0274,0.3557,0.9538,0.7831,-0.0024,-0.2089,10240.0000,32.85561112,35.28120554,0.0,
2.0360,0.0274,0.3557,0.9538,0.7831,-0.0024,-0.2089,10240.0000,32.85561112,35.28120554,0.0,
2.0830,0.0274,0.3557,0.9538,0.7831,-0.0024,-0.2089,10240.0000,32.85561112,35.28120554,0.0,
2.1430,-0.0235,0.5942,0.9616,0.7831,-0.0024,-0.2089,10240.0000,32.85561112,35.28120554,0.0,
2.2060,-0.0235,0.5942,0.9616,0.7831,-0.0024,-0.2089,10240.0000,32.85561112,35.28120554,0.0,
2.2330,-0.0235,0.5942,0.9616,1.2620,-0.6109,-0.5168,10240.0000,32.85561112,35.28120554,0.0,
2.2350,-0.0235,0.5942,0.9616,1.2620,-0.6109,-0.5168,10240.0000,32.85561112,35.28120554,0.0,
2.2730,-0.0235,0.5942,0.9616,1.2620,-0.6109,-0.5168,10240.0000,32.85561112,35.28120554,0.0,
2.3450,-0.0195,0.5629,0.7349,1.2620,-0.6109,-0.5168,10240.0000,32.85561112,35.28120554,0.0,
2.4060,-0.0195,0.5629,0.7349,1.2620,-0.6109,-0.5168,10240.0000,32.85561112,35.28120554,0.0,
2.4370,-0.0195,0.5629,0.7349,-0.2395,-0.7587,-1.6383,10240.0000,32.85561112,35.28120554,0.0,
2.4400,-0.0195,0.5629,0.7349,-0.2395,-0.7587,-1.6383,10240.0000,32.85561112,35.28120554,0.0,
2.4730,-0.0195,0.5629,0.7349,-0.2395,-0.7587,-1.6383,10240.0000,32.85561112,35.28120554,0.0,
2.5440,0.1446,0.5512,0.6880,-0.2395,-0.7587,-1.6383,10240.0000,32.85561112,35.28120554,0.0,
2.6050,0.1446,0.5512,0.6880,-0.2395,-0.7587,-1.6383,10240.0000,32.85561112,35.28120554,0.0,
2.6370,0.1446,0.5512,0.6880,-0.9285,-0.9688,-1.0580,10240.0000,32.85561112,35.28120554,0.0,
2.6400,0.1446,0.5512,0.6880,-0.9285,-0.9688,-1.0580,10240.0000,32.85561112,35.28120554,0.0,
2.6680,0.1446,0.5512,0.6880,-0.9285,-0.9688,-1.0580,10240.0000,32.85561112,35.28120554,0.0,
2.7410,-0.1134,0.6020,0.8013,-0.9285,-0.9688,-1.0580,10240.0000,32.85561112,35.28120554,0.0,
2.8020,-0.1134,0.6020,0.8013,-0.9285,-0.9688,-1.0580,10240.0000,32.85561112,35.28120554,0.0,
2.8320,-0.1134,0.6020,0.8013,-0.6610,-0.3103,-0.8247,10240.0000,32.85561112,35.28120554,0.0,
2.8340,-0.1134,0.6020,0.8013,-0.6610,-0.3103,-0.8247,10240.0000,32.85561112,35.28120554,0.0,
2.8670,-0.1134,0.6020,0.8013,-0.6610,-0.3103,-0.8247,10240.0000,32.85561112,35.28120554,0.0,
2.9430,-0.0274,0.2971,0.9499,-0.6610,-0.3103,-0.8247,10240.0000,32.85561112,35.28120554,0.0,
2.9990,-0.0274,0.2971,0.9499,-0.6610,-0.3103,-0.8247,10240.0000,32.85561112,35.28120554,0.0,
3.0320,-0.0274,0.2971,0.9499,0.2346,-0.0037,-0.3470,10240.0000,32.85561112,35.28120554,0.0,
3.0340,-0.0274,0.2971,0.9499,0.2346,-0.0037,-0.3470,10240.0000,32.85561112,35.28120554,0.0,
3.0670,-0.0274,0.2971,0.9499,0.2346,-0.0037,-0.3470,10240.0000,32.85561112,35.28120554,0.0,
3.1450,-0.0391,0.3635,0.8209,0.2346,-0.0037,-0.3470,10240.0000,32.85561112,35.28120554,0.0,
3.3540,-0.0391,0.3635,0.8209,0.2346,-0.0037,-0.3470,10240.0000,32.85561112,35.28120554,0.0,
3.3550,-0.0391,0.3635,0.8209,0.2370,-0.4948,-0.5339,10240.0000,32.85561112,35.28120554,0.0,
3.3560,-0.0391,0.3635,0.8209,0.2370,-0.4948,-0.5339,10240.0000,32.85561112,35.28120554,0.0,
3.3570,-0.0391,0.3635,0.8209,0.2370,-0.4948,-0.5339,10240.0000,32.85561112,35.28120554,0.0,
3.3580,0.1094,0.5277,0.8482,0.2370,-0.4948,-0.5339,10240.0000,32.85561112,35.28120554,0.0,
3.3960,0.1094,0.5277,0.8482,0.2370,-0.4948,-0.5339,10240.0000,32.85561112,35.28120554,0.0,
3.4310,0.1094,0.5277,0.8482,-0.7220,-1.6469,-0.4826,10240.0000,32.85561112,35.28120554,0.0,
3.4320,0.1094,0.5277,0.8482,-0.7220,-1.6469,-0.4826,10240.0000,32.85561112,35.28120554,0.0,
3.4620,0.1094,0.5277,0.8482,-0.7220,-1.6469,-0.4826,10240.0000,32.85561112,35.28120554,0.0,
3.5420,0.1994,0.5355,0.6489,-0.7220,-1.6469,-0.4826,10240.0000,32.85561112,35.28120554,0.0,
3.5940,0.1994,0.5355,0.6489,-0.7220,-1.6469,-0.4826,10240.0000,32.85561112,35.28120554,0.0,
3.6320,0.1994,0.5355,0.6489,0.1808,-2.1783,-0.7220,10240.0000,32.85561112,35.28120554,0.0,
3.6330,0.1994,0.5355,0.6489,0.1808,-2.1783,-0.7220,10240.0000,32.85561112,35.28120554,0.0,
3.6610,0.1994,0.5355,0.6489,0.1808,-2.1783,-0.7220,10240.0000,32.85561112,35.28120554,0.0,
3.7430,0.6020,0.0860,0.1642,0.1808,-2.1783,-0.7220,10240.0000,32.85561112,35.28120554,0.0,
3.7920,0.6020,0.0860,0.1642,0.1808,-2.1783,-0.7220,10240.0000,32.85561112,35.28120554,0.0,
3.8320,0.6020,0.0860,0.1642,-0.3115,-3.4917,3.2608,10240.0000,32.85561112,35.28120554,0.0,
3.8330,0.6020,0.0860,0.1642,-0.3115,-3.4917,3.2608,10240.0000,32.85561112,35.28120554,0.0,
3.8660,0.6020,0.0860,0.1642,-0.3115,-3.4917,3.2608,10240.0000,32.85561112,35.28120554,0.0,
3.9450,1.8294,-0.7544,0.2502,-0.3115,-3.4917,3.2608,10240.0000,32.85561112,35.28120554,0.0,
3.9930,1.8294,-0.7544,0.2502,-0.3115,-3.4917,3.2608,10240.0000,32.85561112,35.28120554,0.0,
4.0330,1.8294,-0.7544,0.2502,1.0739,-2.9041,3.8191,10240.0000,32.85561112,35.28120554,0.0,
4.0470,1.8294,-0.7544,0.2502,1.0739,-2.9041,3.8191,10240.0000,32.85561112,35.28120554,0.0,
4.0590,1.8294,-0.7544,0.2502,1.0739,-2.9041,3.8191,10240.0000,32.85561112,35.28120554,0.0,
4.1490,1.2430,-0.0625,-0.0430,1.0739,-2.9041,3.8191,10240.0000,32.85561112,35.28120554,0.0,
4.1920,1.2430,-0.0625,-0.0430,1.0739,-2.9041,3.8191,10240.0000,32.85561112,35.28120554,0.0,
4.2340,1.2430,-0.0625,-0.0430,1.5882,-0.9371,0.2419,10240.0000,32.85561112,35.28120554,0.0,
4.2390,1.2430,-0.0625,-0.0430,1.5882,-0.9371,0.2419,10240.0000,32.85561112,35.28120554,0.0,
4.2580,1.2430,-0.0625,-0.0430,1.5882,-0.9371,0.2419,10240.0000,32.85561112,35.28120554,0.0,
4.3470,1.3955,-0.2033,0.0078,1.5882,-0.9371,0.2419,10240.0000,32.85561112,35.28120554,0.0,
4.3900,1.3955,-0.2033,0.0078,1.5882,-0.9371,0.2419,10240.0000,32.85561112,35.28120554,0.0,
4.4330,1.3955,-0.2033,0.0078,0.1930,-0.2773,-3.4746,10240.0000,32.85561112,35.28120554,0.0,
4.4380,1.3955,-0.2033,0.0078,0.1930,-0.2773,-3.4746,10240.0000,32.85561112,35.28120554,0.0,
4.4570,1.3955,-0.2033,0.0078,0.1930,-0.2773,-3.4746,10240.0000,32.85561112,35.28120554,0.0,
4.5450,1.4619,-0.3713,0.3010,0.1930,-0.2773,-3.4746,10240.0000,32.85561112,35.28120554,0.0,
4.5880,1.4619,-0.3713,0.3010,0.1930,-0.2773,-3.4746,10240.0000,32.85561112,35.28120554,0.0,
4.6340,1.4619,-0.3713,0.3010,0.8112,-0.7110,-3.9816,10240.0000,32.85561112,35.28120554,0.0,
4.6430,1.4619,-0.3713,0.3010,0.8112,-0.7110,-3.9816,10240.0000,32.85561112,35.28120554,0.0,
4.6570,1.4619,-0.3713,0.3010,0.8112,-0.7110,-3.9816,10240.0000,32.85561112,35.28120554,0.0,
4.7470,0.5668,-0.1837,0.0195,0.8112,-0.7110,-3.9816,10240.0000,32.85561112,35.28120554,0.0,
4.7850,0.5668,-0.1837,0.0195,0.8112,-0.7110,-3.9816,10240.0000,32.85561112,35.28120554,0.0,
4.8310,0.5668,-0.1837,0.0195,0.3067,-0.0171,-0.2297,10240.0000,32.85561112,35.28120554,0.0,
4.8320,0.5668,-0.1837,0.0195,0.3067,-0.0171,-0.2297,10240.0000,32.85561112,35.28120554,0.0,
