
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0180,0.1638,0.3131,0.9050,0.0701,-0.1120,-0.0148,108.0000,0.000000,0.000000,0.000000,
0.0190,0.1461,0.2609,0.8959,0.0701,-0.1120,-0.0148,108.0000,0.000000,0.000000,0.000000,
0.0380,0.1589,0.3284,0.8796,0.0701,-0.1120,-0.0148,108.0000,0.000000,0.000000,0.000000,
0.0400,0.1589,0.3284,0.8796,0.0701,-0.1120,-0.0148,105.0000,0.000000,0.000000,0.000000,
0.0650,0.1495,0.3280,0.8040,0.0701,-0.1120,-0.0148,105.0000,0.000000,0.000000,0.000000,
0.0760,0.1273,0.3057,0.8187,0.0701,-0.1120,-0.0148,105.0000,0.000000,0.000000,0.000000,
0.0930,0.1227,0.3104,0.9122,0.0701,-0.1120,-0.0148,105.0000,0.000000,0.000000,0.000000,
0.1120,0.1164,0.3056,0.9897,0.0701,-0.1120,-0.0148,105.0000,0.000000,0.000000,0.000000,
0.1270,0.1164,0.3056,0.9897,0.0701,-0.1120,-0.0148,95.0000,0.000000,0.000000,0.000000,
0.1310,0.1164,0.3056,0.9897,0.0701,-0.1120,-0.0148,95.0000,0.000000,0.000000,0.000000,
0.1320,0.1164,0.3056,0.9897,-0.1116,0.2753,0.0195,95.0000,0.000000,0.000000,0.000000,
0.1330,0.1164,0.3056,0.9897,-0.1116,0.2753,0.0195,95.0000,0.000000,0.000000,0.000000,
0.1330,0.1528,0.3089,1.0107,-0.1116,0.2753,0.0195,95.0000,0.000000,0.000000,0.000000,
0.1530,0.1665,0.3297,0.9462,-0.1116,0.2753,0.0195,95.0000,0.000000,0.000000,0.000000,
0.1730,0.1660,0.3263,0.8810,-0.1116,0.2753,0.0195,95.0000,0.000000,0.000000,0.000000,
0.1940,0.1463,0.3228,0.8683,-0.1116,0.2753,0.0195,95.0000,0.000000,0.000000,0.000000,
0.2170,0.1463,0.3228,0.8683,-0.1116,0.2753,0.0195,91.0000,0.000000,0.000000,0.000000,
0.2180,0.1198,0.3301,0.8684,-0.1116,0.2753,0.0195,91.0000,0.000000,0.000000,0.000000,
0.2330,0.1091,0.3245,0.8866,-0.1116,0.2753,0.0195,91.0000,0.000000,0.000000,0.000000,
0.2540,0.0964,0.3175,0.9171,-0.1116,0.2753,0.0195,91.0000,0.000000,0.000000,0.000000,
0.2740,0.0990,0.3174,0.9454,-0.1116,0.2753,0.0195,91.0000,0.000000,0.000000,0.000000,
0.2950,0.0992,0.3300,0.9630,-0.1116,0.2753,0.0195,91.0000,0.000000,0.000000,0.000000,
0.3050,0.0992,0.3300,0.9630,-0.1116,0.2753,0.0195,84.0000,0.000000,0.000000,0.000000,
0.3150,0.0953,0.3355,0.9432,-0.1116,0.2753,0.0195,84.0000,0.000000,0.000000,0.000000,
0.3320,0.0953,0.3355,0.9432,0.0492,0.1983,-0.0626,84.0000,0.000000,0.000000,0.000000,
0.3320,0.0953,0.3355,0.9432,0.0492,0.1983,-0.0626,84.0000,0.000000,0.000000,0.000000,
0.3330,0.0953,0.3355,0.9432,0.0492,0.1983,-0.0626,84.0000,0.000000,0.000000,0.000000,
0.3350,0.0940,0.3378,0.8906,0.0492,0.1983,-0.0626,84.0000,0.000000,0.000000,0.000000,
0.3550,0.0850,0.3421,0.8797,0.0492,0.1983,-0.0626,84.0000,0.000000,0.000000,0.000000,
0.3760,0.0453,0.3432,0.8855,0.0492,0.1983,-0.0626,84.0000,0.000000,0.000000,0.000000,
0.3960,0.0453,0.3432,0.8855,0.0492,0.1983,-0.0626,69.0000,0.000000,0.000000,0.000000,
0.3970,0.0212,0.3305,0.8974,0.0492,0.1983,-0.0626,69.0000,0.000000,0.000000,0.000000,
0.4170,-0.0002,0.3129,0.8850,0.0492,0.1983,-0.0626,69.0000,0.000000,0.000000,0.000000,
0.4370,0.0136,0.3228,0.8900,0.0492,0.1983,-0.0626,69.0000,0.000000,0.000000,0.000000,
0.4580,0.0348,0.3312,0.9160,0.0492,0.1983,-0.0626,69.0000,0.000000,0.000000,0.000000,
0.4780,0.0339,0.3310,0.8984,0.0492,0.1983,-0.0626,69.0000,0.000000,0.000000,0.000000,
0.4840,0.0339,0.3310,0.8984,0.0492,0.1983,-0.0626,60.0000,0.000000,0.000000,0.000000,
0.4980,0.0233,0.3308,0.8928,0.0492,0.1983,-0.0626,60.0000,0.000000,0.000000,0.000000,
0.5200,-0.0042,0.3272,0.8983,0.0492,0.1983,-0.0626,60.0000,0.000000,0.000000,0.000000,
0.5340,-0.0042,0.3272,0.8983,0.1237,0.2730,-0.0840,60.0000,0.000000,0.000000,0.000000,
0.5360,-0.0042,0.3272,0.8983,0.1237,0.2730,-0.0840,60.0000,0.000000,0.000000,0.000000,
0.5390,-0.0042,0.3272,0.8983,0.1237,0.2730,-0.0840,60.0000,0.000000,0.000000,0.000000,
0.5420,-0.0053,0.3360,0.9055,0.1237,0.2730,-0.0840,60.0000,0.000000,0.000000,0.000000,
0.5610,0.0186,0.3567,0.8919,0.1237,0.2730,-0.0840,60.0000,0.000000,0.000000,0.000000,
0.5730,0.0186,0.3567,0.8919,0.1237,0.2730,-0.0840,53.0000,0.000000,0.000000,0.000000,
0.5790,0.0366,0.3605,0.8662,0.1237,0.2730,-0.0840,53.0000,0.000000,0.000000,0.000000,
0.6000,0.0385,0.3667,0.8683,0.1237,0.2730,-0.0840,53.0000,0.000000,0.000000,0.000000,
0.6230,0.0222,0.3725,0.8752,0.1237,0.2730,-0.0840,53.0000,0.000000,0.000000,0.000000,
0.6410,0.0120,0.3626,0.8778,0.1237,0.2730,-0.0840,53.0000,0.000000,0.000000,0.000000,
0.6690,0.0120,0.3626,0.8778,0.1237,0.2730,-0.0840,47.0000,0.000000,0.000000,0.000000,
