
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0350,-0.0746,0.4151,0.9170,0.0624,0.0552,0.0625,6.0000,0.000000,0.000000,0.000000,
0.0360,-0.1214,0.3499,0.8317,0.0624,0.0552,0.0625,6.0000,0.000000,0.000000,0.000000,
0.0500,-0.1214,0.3499,0.8317,0.0624,0.0552,0.0625,6.0000,0.000000,0.000000,0.000000,
0.0640,-0.0457,0.4036,0.9311,0.0624,0.0552,0.0625,6.0000,0.000000,0.000000,0.000000,
0.0970,-0.0457,0.4036,0.9311,0.0063,-0.2224,0.0159,6.0000,0.000000,0.000000,0.000000,
0.0990,-0.0457,0.4036,0.9311,0.0063,-0.2224,0.0159,6.0000,0.000000,0.000000,0.000000,
0.1240,-0.0361,0.3772,0.8691,0.0063,-0.2224,0.0159,6.0000,0.000000,0.000000,0.000000,
0.1820,-0.0669,0.3410,0.9763,0.0063,-0.2224,0.0159,6.0000,0.000000,0.000000,0.000000,
0.2430,-0.0646,0.3361,0.8806,0.0063,-0.2224,0.0159,6.0000,0.000000,0.000000,0.000000,
0.2450,-0.0646,0.3361,0.8806,0.0063,-0.2224,0.0159,6.0000,0.000000,0.000000,0.000000,
0.2690,-0.0646,0.3361,0.8806,-0.1380,0.0223,-0.0229,6.0000,0.000000,0.000000,0.000000,
0.2710,-0.0646,0.3361,0.8806,-0.1380,0.0223,-0.0229,6.0000,0.000000,0.000000,0.000000,
0.3030,-0.0499,0.3571,0.9196,-0.1380,0.0223,-0.0229,6.0000,0.000000,0.000000,0.000000,
0.3640,0.0039,0.3655,0.9004,-0.1380,0.0223,-0.0229,6.0000,0.000000,0.000000,0.000000,
0.4260,-0.0183,0.3629,0.8883,-0.1380,0.0223,-0.0229,6.0000,0.000000,0.000000,0.000000,
0.4510,-0.0183,0.3629,0.8883,-0.1380,0.0223,-0.0229,6.0000,0.000000,0.000000,0.000000,
0.4680,-0.0183,0.3629,0.8883,0.0916,-0.0204,0.0274,6.0000,0.000000,0.000000,0.000000,
0.4690,-0.0183,0.3629,0.8883,0.0916,-0.0204,0.0274,6.0000,0.000000,0.000000,0.000000,
0.4860,-0.0437,0.3708,0.8592,0.0916,-0.0204,0.0274,6.0000,0.000000,0.000000,0.000000,
0.6150,-0.0340,0.3667,0.9189,0.0916,-0.0204,0.0274,6.0000,0.000000,0.000000,0.000000,
0.6500,-0.0340,0.3667,0.9189,0.0916,-0.0204,0.0274,6.0000,0.000000,0.000000,0.000000,
0.6690,-0.0340,0.3667,0.9189,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.6710,-0.0340,0.3667,0.9189,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.6740,0.0077,0.3671,0.9217,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.7360,-0.0090,0.3681,0.8885,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.7960,-0.0087,0.3635,0.9174,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.8610,-0.0087,0.3635,0.9174,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.8650,-0.0100,0.3589,0.8830,-0.0449,-0.1152,0.0329,6.0000,0.000000,0.000000,0.000000,
0.8800,-0.0100,0.3589,0.8830,0.0037,-0.0125,-0.0213,6.0000,0.000000,0.000000,0.000000,
0.8840,-0.0100,0.3589,0.8830,0.0037,-0.0125,-0.0213,6.0000,0.000000,0.000000,0.000000,
0.9240,0.0051,0.3656,0.8911,0.0037,-0.0125,-0.0213,6.0000,0.000000,0.000000,0.000000,
0.9790,0.0082,0.3848,0.8940,0.0037,-0.0125,-0.0213,6.0000,0.000000,0.000000,0.000000,
1.0440,-0.0334,0.3739,0.8632,0.0037,-0.0125,-0.0213,6.0000,0.000000,0.000000,0.000000,
1.0610,-0.0334,0.3739,0.8632,0.0037,-0.0125,-0.0213,6.0000,0.000000,0.000000,0.000000,
1.0780,-0.0334,0.3739,0.8632,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.0820,-0.0334,0.3739,0.8632,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.1040,-0.0248,0.3794,0.9260,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.1640,-0.0102,0.3845,0.8862,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.2240,0.0125,0.3842,0.9026,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.2680,0.0125,0.3842,0.9026,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.2790,0.0125,0.3842,0.9026,0.0624,0.0066,-0.0434,6.0000,0.000000,0.000000,0.000000,
1.2830,0.0125,0.3842,0.9026,-0.0061,-0.0279,0.0037,6.0000,0.000000,0.000000,0.000000,
1.3460,-0.0009,0.3821,0.8656,-0.0061,-0.0279,0.0037,6.0000,0.000000,0.000000,0.000000,
1.4060,0.0061,0.3900,0.8717,-0.0061,-0.0279,0.0037,6.0000,0.000000,0.000000,0.000000,
1.4580,0.0061,0.3900,0.8717,-0.0061,-0.0279,0.0037,6.0000,0.000000,0.000000,0.000000,
1.4790,-0.0161,0.3804,0.9052,-0.0061,-0.0279,0.0037,6.0000,0.000000,0.000000,0.000000,
1.4830,-0.0161,0.3804,0.9052,-0.0222,0.0174,-0.0291,6.0000,0.000000,0.000000,0.000000,
