
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0210,-0.0665,0.0899,0.9850,-0.1772,-0.4484,-1.4905,640.0000,0.0,0.0,0.0,
0.0220,-0.0665,0.0899,0.9850,-0.1772,-0.4484,-1.4905,640.0000,0.0,0.0,0.0,
0.0490,-0.0665,0.0899,0.9850,-0.1772,-0.4484,-1.4905,640.0000,0.0,0.0,0.0,
0.1130,-0.0938,0.1759,0.9420,-0.1772,-0.4484,-1.4905,640.0000,0.0,0.0,0.0,
0.1810,-0.0938,0.1759,0.9420,-0.1772,-0.4484,-1.4905,640.0000,0.0,0.0,0.0,
0.2280,-0.0938,0.1759,0.9420,0.1332,0.0428,-0.8332,640.0000,0.0,0.0,0.0,
0.2290,-0.0938,0.1759,0.9420,0.1332,0.0428,-0.8332,640.0000,0.0,0.0,0.0,
0.2450,-0.0938,0.1759,0.9420,0.1332,0.0428,-0.8332,640.0000,0.0,0.0,0.0,
0.3100,-0.0508,0.2072,0.9264,0.1332,0.0428,-0.8332,640.0000,0.0,0.0,0.0,
0.3660,-0.0508,0.2072,0.9264,0.1332,0.0428,-0.8332,640.0000,0.0,0.0,0.0,
0.3880,-0.0508,0.2072,0.9264,0.1332,0.0428,-0.8332,320.0000,0.0,0.0,0.0,
0.4150,-0.0508,0.2072,0.9264,0.6353,-0.1014,-0.2798,320.0000,0.0,0.0,0.0,
0.4180,-0.0508,0.2072,0.9264,0.6353,-0.1014,-0.2798,320.0000,0.0,0.0,0.0,
0.4320,-0.0508,0.2072,0.9264,0.6353,-0.1014,-0.2798,320.0000,0.0,0.0,0.0,
0.5080,0.0977,0.1759,0.9538,0.6353,-0.1014,-0.2798,320.0000,0.0,0.0,0.0,
0.5660,0.0977,0.1759,0.9538,0.6353,-0.1014,-0.2798,320.0000,0.0,0.0,0.0,
0.6170,0.0977,0.1759,0.9538,-0.7672,0.2248,0.5486,320.0000,0.0,0.0,0.0,
0.6210,0.0977,0.1759,0.9538,-0.7672,0.2248,0.5486,320.0000,0.0,0.0,0.0,
0.6420,0.0977,0.1759,0.9538,-0.7672,0.2248,0.5486,320.0000,0.0,0.0,0.0,
0.7090,0.0039,-0.0821,1.2352,-0.7672,0.2248,0.5486,320.0000,0.0,0.0,0.0,
0.7660,0.0039,-0.0821,1.2352,-0.7672,0.2248,0.5486,320.0000,0.0,0.0,0.0,
0.8180,0.0039,-0.0821,1.2352,-0.2920,-1.9120,-1.3916,320.0000,0.0,0.0,0.0,
0.8210,0.0039,-0.0821,1.2352,-0.2920,-1.9120,-1.3916,320.0000,0.0,0.0,0.0,
0.8330,0.0039,-0.0821,1.2352,-0.2920,-1.9120,-1.3916,320.0000,0.0,0.0,0.0,
0.9080,-0.0469,-0.4730,0.3362,-0.2920,-1.9120,-1.3916,320.0000,0.0,0.0,0.0,
0.9620,-0.0469,-0.4730,0.3362,-0.2920,-1.9120,-1.3916,320.0000,0.0,0.0,0.0,
1.0170,-0.0469,-0.4730,0.3362,-2.1478,-0.0782,-3.7251,320.0000,0.0,0.0,0.0,
1.0210,-0.0469,-0.4730,0.3362,-2.1478,-0.0782,-3.7251,320.0000,0.0,0.0,0.0,
1.0280,-0.0469,-0.4730,0.3362,-2.1478,-0.0782,-3.7251,320.0000,0.0,0.0,0.0,
1.0830,-0.0469,-0.4730,0.3362,-2.1478,-0.0782,-3.7251,225.0000,0.0,0.0,0.0,
1.1080,-1.5987,-0.7974,-0.0625,-2.1478,-0.0782,-3.7251,225.0000,0.0,0.0,0.0,
1.1860,-1.5987,-0.7974,-0.0625,-2.1478,-0.0782,-3.7251,225.0000,0.0,0.0,0.0,
1.2180,-1.5987,-0.7974,-0.0625,0.0171,6.3799,0.9994,225.0000,0.0,0.0,0.0,
