
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0080,0.0274,0.2424,0.8482,0.3005,-0.3335,-0.2272,640.0000,0.0,0.0,0.0,
0.0090,0.0352,0.2267,0.9342,0.3005,-0.3335,-0.2272,640.0000,0.0,0.0,0.0,
0.0500,0.0352,0.2267,0.9342,0.3005,-0.3335,-0.2272,1280.0000,0.0,0.0,0.0,
0.0520,0.0352,0.2267,0.9342,0.3005,-0.3335,-0.2272,1280.0000,0.0,0.0,0.0,
0.0990,0.0352,0.2267,0.9342,0.1613,0.0745,0.5877,1280.0000,0.0,0.0,0.0,
0.1000,0.0352,0.2267,0.9342,0.1613,0.0745,0.5877,1280.0000,0.0,0.0,0.0,
0.1860,0.0352,0.2267,0.9342,0.1613,0.0745,0.5877,1280.0000,0.0,0.0,0.0,
0.1980,-0.0039,0.2463,1.1766,0.1613,0.0745,0.5877,1280.0000,0.0,0.0,0.0,
0.2530,-0.0039,0.2463,1.1766,0.1613,0.0745,0.5877,1280.0000,0.0,0.0,0.0,
0.2950,-0.0039,0.2463,1.1766,0.4691,0.5828,0.2224,1280.0000,0.0,0.0,0.0,
0.2960,-0.0039,0.2463,1.1766,0.4691,0.5828,0.2224,1280.0000,0.0,0.0,0.0,
0.3780,-0.0039,0.2463,1.1766,0.4691,0.5828,0.2224,1280.0000,0.0,0.0,0.0,
0.3860,0.0469,0.2384,0.9069,0.4691,0.5828,0.2224,1280.0000,0.0,0.0,0.0,
0.4440,0.0469,0.2384,0.9069,0.4691,0.5828,0.2224,1280.0000,0.0,0.0,0.0,
0.4870,0.0469,0.2384,0.9069,-0.2737,-0.6292,1.0763,1280.0000,0.0,0.0,0.0,
0.4890,0.0469,0.2384,0.9069,-0.2737,-0.6292,1.0763,1280.0000,0.0,0.0,0.0,
0.5780,0.0469,0.2384,0.9069,-0.2737,-0.6292,1.0763,1280.0000,0.0,0.0,0.0,
0.6120,-0.0235,0.2502,0.7701,-0.2737,-0.6292,1.0763,1280.0000,0.0,0.0,0.0,
0.6760,-0.0235,0.2502,0.7701,-0.2737,-0.6292,1.0763,1280.0000,0.0,0.0,0.0,
0.6870,-0.0235,0.2502,0.7701,-0.4484,-1.4221,-0.0061,1280.0000,0.0,0.0,0.0,
0.6880,-0.0235,0.2502,0.7701,-0.4484,-1.4221,-0.0061,1280.0000,0.0,0.0,0.0,
0.7790,-0.0235,0.2502,0.7701,-0.4484,-1.4221,-0.0061,1280.0000,0.0,0.0,0.0,
0.7910,0.0977,-0.1212,1.2469,-0.4484,-1.4221,-0.0061,1280.0000,0.0,0.0,0.0,
0.8490,0.0977,-0.1212,1.2469,-0.4484,-1.4221,-0.0061,1280.0000,0.0,0.0,0.0,
