
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0170,-0.0860,0.1642,1.0437,-0.1857,0.0574,0.6842,320.0000,0.0,0.0,0.0,
0.0620,-0.0860,0.1642,1.0437,-0.7575,0.6817,0.6524,320.0000,0.0,0.0,0.0,
0.0640,-0.0860,0.1642,1.0437,-0.7575,0.6817,0.6524,320.0000,0.0,0.0,0.0,
0.1140,-0.0860,0.1642,1.0437,-0.7575,0.6817,0.6524,320.0000,0.0,0.0,0.0,
0.1300,-0.1094,-0.0391,1.0671,-0.7575,0.6817,0.6524,320.0000,0.0,0.0,0.0,
0.1800,-0.1094,-0.0391,1.0671,-0.7575,0.6817,0.6524,320.0000,0.0,0.0,0.0,
0.2620,-0.1094,-0.0391,1.0671,0.0623,0.1808,0.8259,320.0000,0.0,0.0,0.0,
0.2630,-0.1094,-0.0391,1.0671,0.0623,0.1808,0.8259,320.0000,0.0,0.0,0.0,
0.3140,-0.1094,-0.0391,1.0671,0.0623,0.1808,0.8259,320.0000,0.0,0.0,0.0,
0.3290,-0.1681,0.0860,0.9655,0.0623,0.1808,0.8259,320.0000,0.0,0.0,0.0,
0.3670,-0.1681,0.0860,0.9655,0.0623,0.1808,0.8259,320.0000,0.0,0.0,0.0,
0.4580,-0.1681,0.0860,0.9655,0.1014,-0.3225,0.6500,320.0000,0.0,0.0,0.0,
0.4590,-0.1681,0.0860,0.9655,0.1014,-0.3225,0.6500,320.0000,0.0,0.0,0.0,
0.4990,-0.1681,0.0860,0.9655,0.1014,-0.3225,0.6500,320.0000,0.0,0.0,0.0,
0.5290,-0.1603,0.1094,0.9381,0.1014,-0.3225,0.6500,320.0000,0.0,0.0,0.0,
0.5650,-0.1603,0.1094,0.9381,0.1014,-0.3225,0.6500,320.0000,0.0,0.0,0.0,
0.6580,-0.1603,0.1094,0.9381,-0.4166,-0.2272,0.4630,320.0000,0.0,0.0,0.0,
0.6590,-0.1603,0.1094,0.9381,-0.4166,-0.2272,0.4630,320.0000,0.0,0.0,0.0,
0.6970,-0.1603,0.1094,0.9381,-0.4166,-0.2272,0.4630,320.0000,0.0,0.0,0.0,
0.7330,-0.0469,0.1603,1.0202,-0.4166,-0.2272,0.4630,320.0000,0.0,0.0,0.0,
0.7640,-0.0469,0.1603,1.0202,-0.4166,-0.2272,0.4630,320.0000,0.0,0.0,0.0,
0.8660,-0.0469,0.1603,1.0202,-0.5070,-0.1881,-0.3604,320.0000,0.0,0.0,0.0,
0.8680,-0.0469,0.1603,1.0202,-0.5070,-0.1881,-0.3604,320.0000,0.0,0.0,0.0,
0.8980,-0.0469,0.1603,1.0202,-0.5070,-0.1881,-0.3604,320.0000,0.0,0.0,0.0,
0.9320,-0.0469,-0.0352,0.9538,-0.5070,-0.1881,-0.3604,320.0000,0.0,0.0,0.0,
0.9640,-0.0469,-0.0352,0.9538,-0.5070,-0.1881,-0.3604,320.0000,0.0,0.0,0.0,
1.0610,-0.0469,-0.0352,0.9538,-0.2077,-0.5290,0.5180,320.0000,0.0,0.0,0.0,
1.0660,-0.0469,-0.0352,0.9538,-0.2077,-0.5290,0.5180,320.0000,0.0,0.0,0.0,
1.0970,-0.0469,-0.0352,0.9538,-0.2077,-0.5290,0.5180,320.0000,0.0,0.0,0.0,
1.1320,0.0352,0.0547,0.8717,-0.2077,-0.5290,0.5180,320.0000,0.0,0.0,0.0,
1.1620,0.0352,0.0547,0.8717,-0.2077,-0.5290,0.5180,320.0000,0.0,0.0,0.0,
1.2620,0.0352,0.0547,0.8717,0.2040,-0.8454,0.9725,320.0000,0.0,0.0,0.0,
1.2680,0.0352,0.0547,0.8717,0.2040,-0.8454,0.9725,320.0000,0.0,0.0,0.0,
1.2950,0.0352,0.0547,0.8717,0.2040,-0.8454,0.9725,320.0000,0.0,0.0,0.0,
1.3320,0.0625,0.1251,1.0124,0.2040,-0.8454,0.9725,320.0000,0.0,0.0,0.0,
1.3610,0.0625,0.1251,1.0124,0.2040,-0.8454,0.9725,320.0000,0.0,0.0,0.0,
1.4610,0.0625,0.1251,1.0124,-0.0476,0.0269,0.5791,320.0000,0.0,0.0,0.0,
1.4640,0.0625,0.1251,1.0124,-0.0476,0.0269,0.5791,320.0000,0.0,0.0,0.0,
1.4930,0.0625,0.1251,1.0124,-0.0476,0.0269,0.5791,320.0000,0.0,0.0,0.0,
1.5340,-0.0117,0.1368,0.9772,-0.0476,0.0269,0.5791,320.0000,0.0,0.0,0.0,
1.5600,-0.0117,0.1368,0.9772,-0.0476,0.0269,0.5791,320.0000,0.0,0.0,0.0,
1.6600,-0.0117,0.1368,0.9772,-0.3824,0.4252,0.7868,320.0000,0.0,0.0,0.0,
1.6640,-0.0117,0.1368,0.9772,-0.3824,0.4252,0.7868,320.0000,0.0,0.0,0.0,
1.6920,-0.0117,0.1368,0.9772,-0.3824,0.4252,0.7868,320.0000,0.0,0.0,0.0,
1.7380,-0.0469,-0.0156,1.0984,-0.3824,0.4252,0.7868,320.0000,0.0,0.0,0.0,
1.7580,-0.0469,-0.0156,1.0984,-0.3824,0.4252,0.7868,320.0000,0.0,0.0,0.0,
1.8740,-0.0469,-0.0156,1.0984,0.8259,-0.2309,0.4997,320.0000,0.0,0.0,0.0,
1.8750,-0.0469,-0.0156,1.0984,0.8259,-0.2309,0.4997,320.0000,0.0,0.0,0.0,
1.8910,-0.0469,-0.0156,1.0984,0.8259,-0.2309,0.4997,320.0000,0.0,0.0,0.0,
1.9130,-0.0469,-0.0156,1.0984,0.8259,-0.2309,0.4997,225.0000,0.0,0.0,0.0,
2.0740,-0.0547,0.2306,0.7896,0.8259,-0.2309,0.4997,225.0000,0.0,0.0,0.0,
2.0750,-0.0547,0.2306,0.7896,0.8259,-0.2309,0.4997,225.0000,0.0,0.0,0.0,
2.0760,-0.0547,0.2306,0.7896,-0.1136,-0.0672,0.0843,225.0000,0.0,0.0,0.0,
2.0770,-0.0547,0.2306,0.7896,-0.1136,-0.0672,0.0843,225.0000,0.0,0.0,0.0,
2.0940,-0.0547,0.2306,0.7896,-0.1136,-0.0672,0.0843,225.0000,0.0,0.0,0.0,
2.1280,0.0274,0.3127,0.9733,-0.1136,-0.0672,0.0843,225.0000,0.0,0.0,0.0,
2.1530,0.0274,0.3127,0.9733,-0.1136,-0.0672,0.0843,225.0000,0.0,0.0,0.0,
2.2600,0.0274,0.3127,0.9733,-0.1588,0.0599,-0.6170,225.0000,0.0,0.0,0.0,
