
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.0330,‎-0.0684,0.2403,1.0050,‎-0.0724,0.0288,‎-0.0820,967.3855,159.0000,0.000000,0.000000,0.000000,
0.0340,‎-0.0684,0.2403,1.0050,‎-0.0724,0.0288,‎-0.0820,967.3855,159.0000,0.000000,0.000000,0.000000,
0.0360,‎-0.0684,0.2403,1.0050,‎-0.5305,0.2461,0.2450,967.3855,159.0000,0.000000,0.000000,0.000000,
0.0370,‎-0.0684,0.2403,1.0050,‎-0.5305,0.2461,0.2450,967.3296,159.0000,0.000000,0.000000,0.000000,
0.0380,‎-0.0684,0.2403,1.0050,‎-0.5305,0.2461,0.2450,967.3296,83.0000,0.000000,0.000000,0.000000,
0.0390,‎-0.0684,0.2403,1.0050,‎-0.5305,0.2461,0.2450,967.3296,83.0000,0.000000,0.000000,0.000000,
0.1880,‎-0.2140,0.3454,1.0035,‎-0.5305,0.2461,0.2450,967.3296,83.0000,0.000000,0.000000,0.000000,
0.1900,‎-0.2140,0.3454,1.0035,‎-0.5305,0.2461,0.2450,967.3296,83.0000,0.000000,0.000000,0.000000,
0.1910,‎-0.2140,0.3454,1.0035,0.2237,0.0884,‎-0.3856,967.3296,83.0000,0.000000,0.000000,0.000000,
0.1930,‎-0.2140,0.3454,1.0035,0.2237,0.0884,‎-0.3856,967.5642,83.0000,0.000000,0.000000,0.000000,
0.1950,‎-0.2140,0.3454,1.0035,0.2237,0.0884,‎-0.3856,967.5642,31.0000,0.000000,0.000000,0.000000,
0.2090,‎-0.2140,0.3454,1.0035,0.2237,0.0884,‎-0.3856,967.5642,31.0000,0.000000,0.000000,0.000000,
0.3680,‎-0.1803,0.0141,1.0768,0.2237,0.0884,‎-0.3856,967.5642,31.0000,0.000000,0.000000,0.000000,
0.3700,‎-0.1803,0.0141,1.0768,0.2237,0.0884,‎-0.3856,967.5642,31.0000,0.000000,0.000000,0.000000,
0.3710,‎-0.1803,0.0141,1.0768,‎-0.2120,0.0224,0.1023,967.5642,31.0000,0.000000,0.000000,0.000000,
0.3730,‎-0.1803,0.0141,1.0768,‎-0.2120,0.0224,0.1023,967.3450,31.0000,0.000000,0.000000,0.000000,
0.3750,‎-0.1803,0.0141,1.0768,‎-0.2120,0.0224,0.1023,967.3450,22.0000,0.000000,0.000000,0.000000,
0.3870,‎-0.1803,0.0141,1.0768,‎-0.2120,0.0224,0.1023,967.3450,22.0000,0.000000,0.000000,0.000000,
0.5500,0.0767,‎-0.0240,0.9161,‎-0.2120,0.0224,0.1023,967.3450,22.0000,0.000000,0.000000,0.000000,
0.5530,0.0767,‎-0.0240,0.9161,‎-0.2120,0.0224,0.1023,967.3450,22.0000,0.000000,0.000000,0.000000,
0.5570,0.0767,‎-0.0240,0.9161,‎-1.1537,‎-0.8245,‎-0.2418,967.3450,22.0000,0.000000,0.000000,0.000000,
0.5610,0.0767,‎-0.0240,0.9161,‎-1.1537,‎-0.8245,‎-0.2418,967.4736,22.0000,0.000000,0.000000,0.000000,
0.5630,0.0767,‎-0.0240,0.9161,‎-1.1537,‎-0.8245,‎-0.2418,967.4736,14.0000,0.000000,0.000000,0.000000,
0.5660,0.0767,‎-0.0240,0.9161,‎-1.1537,‎-0.8245,‎-0.2418,967.4736,14.0000,0.000000,0.000000,0.000000,
0.7280,0.0166,0.2237,0.9039,‎-1.1537,‎-0.8245,‎-0.2418,967.4736,14.0000,0.000000,0.000000,0.000000,
0.7300,0.0166,0.2237,0.9039,‎-1.1537,‎-0.8245,‎-0.2418,967.4736,14.0000,0.000000,0.000000,0.000000,
0.7320,0.0166,0.2237,0.9039,‎-0.0554,‎-0.8096,‎-0.3814,967.4736,14.0000,0.000000,0.000000,0.000000,
0.7350,0.0166,0.2237,0.9039,‎-0.0554,‎-0.8096,‎-0.3814,967.4778,14.0000,0.000000,0.000000,0.000000,
0.7380,0.0166,0.2237,0.9039,‎-0.0554,‎-0.8096,‎-0.3814,967.4778,14.0000,0.000000,0.000000,0.000000,
0.7490,0.0166,0.2237,0.9039,‎-0.0554,‎-0.8096,‎-0.3814,967.4778,14.0000,0.000000,0.000000,0.000000,
