
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.0050,0.0267,0.3906,0.9281,0.1081,0.1963,-0.0162,973.3934,3314.0000,0.000000,0.000000,0.000000,
0.0130,0.0683,0.3741,0.8810,0.1081,0.1963,-0.0162,973.3934,3314.0000,0.000000,0.000000,0.000000,
0.0320,0.0540,0.3823,0.8999,0.1081,0.1963,-0.0162,973.3934,3314.0000,0.000000,0.000000,0.000000,
0.0570,0.0455,0.3891,0.9316,0.1081,0.1963,-0.0162,973.3934,3314.0000,0.000000,0.000000,0.000000,
0.0710,0.0466,0.3867,0.9535,0.1081,0.1963,-0.0162,973.3934,3314.0000,0.000000,0.000000,0.000000,
0.0720,0.0466,0.3867,0.9535,0.1081,0.1963,-0.0162,973.3934,3314.0000,0.000000,0.000000,0.000000,
0.0750,0.0466,0.3867,0.9535,0.1081,0.1963,-0.0162,973.3934,3433.0000,0.000000,0.000000,0.000000,
0.0910,0.0554,0.3795,0.9542,0.1081,0.1963,-0.0162,973.3934,3433.0000,0.000000,0.000000,0.000000,
0.1110,0.0512,0.3911,0.9341,0.1081,0.1963,-0.0162,973.3934,3433.0000,0.000000,0.000000,0.000000,
0.1120,0.0512,0.3911,0.9341,-0.0564,-0.1583,0.0126,973.3934,3433.0000,0.000000,0.000000,0.000000,
0.1130,0.0512,0.3911,0.9341,-0.0564,-0.1583,0.0126,973.3934,3433.0000,0.000000,0.000000,0.000000,
0.1300,0.0417,0.3948,0.9183,-0.0564,-0.1583,0.0126,973.3934,3433.0000,0.000000,0.000000,0.000000,
0.1420,0.0417,0.3948,0.9183,-0.0564,-0.1583,0.0126,973.3936,3433.0000,0.000000,0.000000,0.000000,
0.1500,0.0562,0.3829,0.9202,-0.0564,-0.1583,0.0126,973.3936,3433.0000,0.000000,0.000000,0.000000,
0.1630,0.0562,0.3829,0.9202,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.1700,0.0501,0.3816,0.9047,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.1890,0.0350,0.3838,0.8913,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.2110,0.0253,0.3864,0.8934,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.2300,0.0189,0.3889,0.9092,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.2700,-0.0054,0.4031,0.9135,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.2720,0.0400,0.3818,0.9134,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.2760,0.0400,0.3818,0.9134,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.2920,0.0953,0.3546,0.9200,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.3090,0.1035,0.3500,0.9343,-0.0564,-0.1583,0.0126,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.3100,0.1035,0.3500,0.9343,-0.0190,0.0532,0.1248,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.3120,0.1035,0.3500,0.9343,-0.0190,0.0532,0.1248,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.3280,0.1216,0.3594,0.9342,-0.0190,0.0532,0.1248,973.3936,3474.0000,0.000000,0.000000,0.000000,
0.3440,0.1216,0.3594,0.9342,-0.0190,0.0532,0.1248,973.3672,3474.0000,0.000000,0.000000,0.000000,
0.3470,0.0720,0.3551,0.9294,-0.0190,0.0532,0.1248,973.3672,3474.0000,0.000000,0.000000,0.000000,
0.3670,0.0569,0.3819,0.9200,-0.0190,0.0532,0.1248,973.3672,3474.0000,0.000000,0.000000,0.000000,
0.3790,0.0569,0.3819,0.9200,-0.0190,0.0532,0.1248,973.3672,3593.0000,0.000000,0.000000,0.000000,
0.3870,0.0580,0.3877,0.9086,-0.0190,0.0532,0.1248,973.3672,3593.0000,0.000000,0.000000,0.000000,
