
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.0210,-0.0290,0.3460,0.9863,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.0230,-0.0213,0.3427,1.0049,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.0240,0.0019,0.3428,0.9839,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.0470,0.0150,0.3353,0.9420,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.0500,0.0150,0.3353,0.9420,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.0660,0.0190,0.3374,0.9116,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.0820,-0.0033,0.3370,0.9121,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.1030,-0.0137,0.3339,0.9226,-0.1418,0.0062,-0.0290,973.4238,12.0000,0.000000,0.000000,0.000000,
0.1130,-0.0137,0.3339,0.9226,-0.1418,0.0062,-0.0290,973.3452,12.0000,0.000000,0.000000,0.000000,
0.1150,-0.0137,0.3339,0.9226,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.1170,-0.0137,0.3339,0.9226,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.1210,-0.0173,0.3379,0.9420,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.1410,-0.0025,0.3279,0.9488,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.1600,0.0145,0.3229,0.9354,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.1790,0.0150,0.3229,0.9213,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.2050,0.0038,0.3203,0.9472,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.2190,-0.0070,0.3154,0.9670,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.2390,-0.0191,0.3181,0.9666,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.2430,-0.0191,0.3181,0.9666,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.2580,-0.0206,0.3283,0.9681,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.2790,-0.0202,0.3244,0.9730,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.3010,-0.0213,0.3167,0.9852,-0.0083,0.0361,-0.0718,973.3452,12.0000,0.000000,0.000000,0.000000,
0.3140,-0.0213,0.3167,0.9852,-0.0233,0.0574,-0.0547,973.3452,12.0000,0.000000,0.000000,0.000000,
0.3180,-0.0213,0.3167,0.9852,-0.0233,0.0574,-0.0547,973.3452,12.0000,0.000000,0.000000,0.000000,
0.3190,-0.0213,0.3167,0.9852,-0.0233,0.0574,-0.0547,973.3452,12.0000,0.000000,0.000000,0.000000,
0.3210,-0.0067,0.3160,0.9700,-0.0233,0.0574,-0.0547,973.3452,12.0000,0.000000,0.000000,0.000000,
0.3390,-0.0264,0.3215,0.9454,-0.0233,0.0574,-0.0547,973.3452,12.0000,0.000000,0.000000,0.000000,
