
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0070,-0.0917,0.2214,0.9645,0.0610,0.1927,0.2523,971.1390,-8.7753,-26.8768,-15.4312,225.0000,
0.0090,-0.1037,0.1977,0.9674,0.0610,0.1927,0.2523,971.1390,-8.7753,-26.8768,-15.4312,225.0000,
0.0110,-0.1037,0.1977,0.9674,0.0610,0.1927,0.2523,971.1390,-9.8114,-26.8265,-15.4236,225.0000,
0.0120,-0.1037,0.1977,0.9674,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,225.0000,
0.0210,-0.0535,0.2271,0.9558,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,225.0000,
0.0410,0.0230,0.2907,0.9105,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,225.0000,
0.0490,0.0230,0.2907,0.9105,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,229.0000,
0.0610,0.0554,0.3337,0.8821,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,229.0000,
0.0810,0.0272,0.3167,0.8899,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,229.0000,
0.1010,-0.0358,0.2695,0.8774,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,229.0000,
0.1210,-0.0718,0.2627,0.8865,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,229.0000,
0.1340,-0.0718,0.2627,0.8865,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.1360,-0.0718,0.2627,0.8865,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.1410,-0.0886,0.2739,0.8724,0.0610,0.1927,0.2523,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.1420,-0.0886,0.2739,0.8724,-0.0435,-0.1710,-0.0394,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.1620,-0.0764,0.2979,0.8244,-0.0435,-0.1710,-0.0394,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.1810,-0.0323,0.3409,0.7809,-0.0435,-0.1710,-0.0394,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.2000,0.0028,0.3616,0.7899,-0.0435,-0.1710,-0.0394,971.1241,-9.8114,-26.8265,-15.4236,245.0000,
0.2030,0.0028,0.3616,0.7899,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,245.0000,
0.2150,0.0028,0.3616,0.7899,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,256.0000,
0.2170,0.0028,0.3616,0.7899,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,256.0000,
0.2200,-0.0157,0.3536,0.8617,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,256.0000,
0.2410,-0.0277,0.3427,0.9606,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,256.0000,
0.2620,-0.0243,0.3389,1.0011,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,256.0000,
0.2860,-0.0002,0.3762,0.9721,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,256.0000,
0.2990,-0.0002,0.3762,0.9721,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3060,0.0465,0.4127,0.9262,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3320,0.0865,0.4354,0.9041,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3430,0.0865,0.4354,0.9041,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3470,0.0860,0.4399,0.9194,-0.0435,-0.1710,-0.0394,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3480,0.0860,0.4399,0.9194,-0.0369,-0.0961,-0.0079,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3680,0.0599,0.4196,0.9719,-0.0369,-0.0961,-0.0079,971.1241,-10.5911,-27.0172,-14.9979,248.0000,
0.3830,0.0599,0.4196,0.9719,-0.0369,-0.0961,-0.0079,971.1241,-10.5911,-27.0172,-14.9979,232.0000,
0.3860,0.0530,0.3952,1.0210,-0.0369,-0.0961,-0.0079,971.1241,-10.5911,-27.0172,-14.9979,232.0000,
0.4050,0.0530,0.3952,1.0210,-0.0369,-0.0961,-0.0079,971.1241,-10.4523,-27.8503,-14.3799,232.0000,
0.4070,0.0887,0.3987,1.0177,-0.0369,-0.0961,-0.0079,971.1241,-10.4523,-27.8503,-14.3799,232.0000,
0.4160,0.0887,0.3987,1.0177,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,232.0000,
0.4250,0.1116,0.4267,0.9437,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,232.0000,
0.4460,0.0847,0.4239,0.8941,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,232.0000,
0.4640,0.0847,0.4239,0.8941,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,210.0000,
0.4660,0.0382,0.3485,1.0031,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,210.0000,
0.4860,0.0372,0.2765,1.1508,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,210.0000,
0.5060,0.0682,0.2590,1.1930,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,210.0000,
0.5250,0.1034,0.2487,1.1274,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,210.0000,
0.5410,0.1034,0.2487,1.1274,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,210.0000,
0.5470,0.1034,0.2487,1.1274,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,137.0000,
0.5480,0.1274,0.2264,1.0594,-0.0369,-0.0961,-0.0079,971.1354,-10.4523,-27.8503,-14.3799,137.0000,
0.5500,0.1274,0.2264,1.0594,0.1815,-0.3037,-0.1970,971.1354,-10.4523,-27.8503,-14.3799,137.0000,
0.5660,0.1439,0.2413,1.0309,0.1815,-0.3037,-0.1970,971.1354,-10.4523,-27.8503,-14.3799,137.0000,
0.5860,0.1296,0.2530,1.0302,0.1815,-0.3037,-0.1970,971.1354,-10.4523,-27.8503,-14.3799,137.0000,
0.6890,0.1030,0.2207,1.0488,0.1815,-0.3037,-0.1970,971.1354,-10.4523,-27.8503,-14.3799,137.0000,
0.6900,0.1030,0.2207,1.0488,0.1815,-0.3037,-0.1970,971.1354,-9.8587,-28.0182,-12.5717,137.0000,
0.7010,0.1030,0.2207,1.0488,0.1815,-0.3037,-0.1970,971.1392,-9.8587,-28.0182,-12.5717,137.0000,
0.7020,0.0495,0.1581,1.0438,0.1815,-0.3037,-0.1970,971.1392,-9.8587,-28.0182,-12.5717,137.0000,
0.7080,0.0495,0.1581,1.0438,0.1815,-0.3037,-0.1970,971.1392,-9.8587,-28.0182,-12.5717,93.0000,
0.7100,0.0166,0.1160,1.0132,0.1815,-0.3037,-0.1970,971.1392,-9.8587,-28.0182,-12.5717,93.0000,
0.7120,0.0305,0.1202,0.9643,0.1815,-0.3037,-0.1970,971.1392,-9.8587,-28.0182,-12.5717,93.0000,
