
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0120,0.2619,0.6254,0.7896,0.1515,-0.6316,0.1026,225.0000,0.0,0.0,0.0,
0.1050,0.2619,0.6254,0.7896,0.1515,-0.6316,0.1026,225.0000,0.0,0.0,0.0,
0.1620,0.2619,0.6254,0.7896,0.1515,-0.6316,0.1026,320.0000,0.0,0.0,0.0,
0.1640,0.2619,0.6254,0.7896,-0.1649,0.2871,-0.1222,320.0000,0.0,0.0,0.0,
0.1890,0.2619,0.6254,0.7896,-0.1649,0.2871,-0.1222,320.0000,0.0,0.0,0.0,
0.1900,0.2619,0.6254,0.7896,-0.1649,0.2871,-0.1222,320.0000,0.0,0.0,0.0,
0.2110,0.2345,0.5042,0.7779,-0.1649,0.2871,-0.1222,320.0000,0.0,0.0,0.0,
0.3020,0.2345,0.5042,0.7779,-0.1649,0.2871,-0.1222,320.0000,0.0,0.0,0.0,
0.3550,0.2345,0.5042,0.7779,-0.1246,0.1772,-0.1613,320.0000,0.0,0.0,0.0,
0.3550,0.2345,0.5042,0.7779,-0.1246,0.1772,-0.1613,320.0000,0.0,0.0,0.0,
0.3650,0.2345,0.5042,0.7779,-0.1246,0.1772,-0.1613,320.0000,0.0,0.0,0.0,
0.4050,0.0938,0.5394,0.8600,-0.1246,0.1772,-0.1613,320.0000,0.0,0.0,0.0,
0.4970,0.0938,0.5394,0.8600,-0.1246,0.1772,-0.1613,320.0000,0.0,0.0,0.0,
0.5550,0.0938,0.5394,0.8600,-0.1894,0.3384,-0.5095,320.0000,0.0,0.0,0.0,
0.5560,0.0938,0.5394,0.8600,-0.1894,0.3384,-0.5095,320.0000,0.0,0.0,0.0,
0.5630,0.0938,0.5394,0.8600,-0.1894,0.3384,-0.5095,320.0000,0.0,0.0,0.0,
0.6140,0.0274,0.5316,0.8248,-0.1894,0.3384,-0.5095,320.0000,0.0,0.0,0.0,
0.6980,0.0274,0.5316,0.8248,-0.1894,0.3384,-0.5095,320.0000,0.0,0.0,0.0,
0.7570,0.0274,0.5316,0.8248,-0.2065,-0.0550,-0.2443,320.0000,0.0,0.0,0.0,
0.7600,0.0274,0.5316,0.8248,-0.2065,-0.0550,-0.2443,320.0000,0.0,0.0,0.0,
0.7650,0.0274,0.5316,0.8248,-0.2065,-0.0550,-0.2443,320.0000,0.0,0.0,0.0,
0.8080,0.0274,0.5355,0.8521,-0.2065,-0.0550,-0.2443,320.0000,0.0,0.0,0.0,
0.8980,0.0274,0.5355,0.8521,-0.2065,-0.0550,-0.2443,320.0000,0.0,0.0,0.0,
0.9580,0.0274,0.5355,0.8521,-0.0990,-0.0635,-0.3201,320.0000,0.0,0.0,0.0,
0.9620,0.0274,0.5355,0.8521,-0.0990,-0.0635,-0.3201,320.0000,0.0,0.0,0.0,
0.9660,0.0274,0.5355,0.8521,-0.0990,-0.0635,-0.3201,320.0000,0.0,0.0,0.0,
1.0080,-0.0430,0.5316,0.8170,-0.0990,-0.0635,-0.3201,320.0000,0.0,0.0,0.0,
1.0980,-0.0430,0.5316,0.8170,-0.0990,-0.0635,-0.3201,320.0000,0.0,0.0,0.0,
1.1620,-0.0430,0.5316,0.8170,-0.1588,-0.1002,-0.3641,320.0000,0.0,0.0,0.0,
1.1650,-0.0430,0.5316,0.8170,-0.1588,-0.1002,-0.3641,320.0000,0.0,0.0,0.0,
1.1700,-0.0430,0.5316,0.8170,-0.1588,-0.1002,-0.3641,320.0000,0.0,0.0,0.0,
1.2150,-0.0195,0.5551,0.9030,-0.1588,-0.1002,-0.3641,320.0000,0.0,0.0,0.0,
1.2960,-0.0195,0.5551,0.9030,-0.1588,-0.1002,-0.3641,320.0000,0.0,0.0,0.0,
1.3580,-0.0195,0.5551,0.9030,0.1356,-0.3299,0.0073,320.0000,0.0,0.0,0.0,
1.3710,-0.0195,0.5551,0.9030,0.1356,-0.3299,0.0073,320.0000,0.0,0.0,0.0,
1.3740,-0.0195,0.5551,0.9030,0.1356,-0.3299,0.0073,320.0000,0.0,0.0,0.0,
1.4080,-0.0274,0.4222,0.8678,0.1356,-0.3299,0.0073,320.0000,0.0,0.0,0.0,
1.4930,-0.0274,0.4222,0.8678,0.1356,-0.3299,0.0073,320.0000,0.0,0.0,0.0,
1.5700,-0.0274,0.4222,0.8678,-0.0195,0.0831,0.4068,320.0000,0.0,0.0,0.0,
1.5800,-0.0274,0.4222,0.8678,-0.0195,0.0831,0.4068,320.0000,0.0,0.0,0.0,
1.5900,-0.0274,0.4222,0.8678,-0.0195,0.0831,0.4068,320.0000,0.0,0.0,0.0,
1.6130,0.1094,0.2893,0.6372,-0.0195,0.0831,0.4068,320.0000,0.0,0.0,0.0,
1.6880,0.1094,0.2893,0.6372,-0.0195,0.0831,0.4068,320.0000,0.0,0.0,0.0,
1.7560,0.1094,0.2893,0.6372,-0.0195,0.0831,0.4068,320.0000,0.0,0.0,0.0,
1.7580,0.1094,0.2893,0.6372,-1.8778,-0.2077,1.1289,320.0000,0.0,0.0,0.0,
1.7870,0.1094,0.2893,0.6372,-1.8778,-0.2077,1.1289,320.0000,0.0,0.0,0.0,
1.8080,0.2384,0.1212,1.2978,-1.8778,-0.2077,1.1289,320.0000,0.0,0.0,0.0,
1.8880,0.2384,0.1212,1.2978,-1.8778,-0.2077,1.1289,320.0000,0.0,0.0,0.0,
1.9670,0.2384,0.1212,1.2978,-1.8778,-0.2077,1.1289,320.0000,0.0,0.0,0.0,
1.9690,0.2384,0.1212,1.2978,-0.2896,0.8564,-0.0709,320.0000,0.0,0.0,0.0,
1.9700,0.2384,0.1212,1.2978,-0.2896,0.8564,-0.0709,320.0000,0.0,0.0,0.0,
2.0320,0.2033,0.1798,0.9655,-0.2896,0.8564,-0.0709,320.0000,0.0,0.0,0.0,
2.0890,0.2033,0.1798,0.9655,-0.2896,0.8564,-0.0709,320.0000,0.0,0.0,0.0,
2.1510,0.2033,0.1798,0.9655,-0.2896,0.8564,-0.0709,320.0000,0.0,0.0,0.0,
2.1550,0.2033,0.1798,0.9655,0.1527,-0.7941,-0.3616,320.0000,0.0,0.0,0.0,
2.1570,0.2033,0.1798,0.9655,0.1527,-0.7941,-0.3616,320.0000,0.0,0.0,0.0,
2.3280,0.0625,0.1212,1.0280,0.1527,-0.7941,-0.3616,320.0000,0.0,0.0,0.0,
