
time,gfx,gFy,gFz,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
0.0140,0.1681,0.6411,0.7701,-0.1588,0.4581,0.0819,320.0000,0.0,0.0,0.0,
0.0150,0.1720,0.5902,0.7701,-0.1588,0.4581,0.0819,320.0000,0.0,0.0,0.0,
0.0600,0.1720,0.5902,0.7701,-0.1588,0.4581,0.0819,320.0000,0.0,0.0,0.0,
0.1400,0.1720,0.5902,0.7701,-0.0941,-0.6842,0.2737,320.0000,0.0,0.0,0.0,
0.1410,0.1720,0.5902,0.7701,-0.0941,-0.6842,0.2737,320.0000,0.0,0.0,0.0,
0.2110,0.1720,0.5902,0.7701,-0.0941,-0.6842,0.2737,320.0000,0.0,0.0,0.0,
0.2120,0.0821,0.5824,0.7974,-0.0941,-0.6842,0.2737,320.0000,0.0,0.0,0.0,
0.2710,0.0821,0.5824,0.7974,-0.0941,-0.6842,0.2737,320.0000,0.0,0.0,0.0,
0.3270,0.0821,0.5824,0.7974,-0.0770,0.6891,0.3861,320.0000,0.0,0.0,0.0,
0.3300,0.0821,0.5824,0.7974,-0.0770,0.6891,0.3861,320.0000,0.0,0.0,0.0,
0.3950,0.0821,0.5824,0.7974,-0.0770,0.6891,0.3861,320.0000,0.0,0.0,0.0,
0.4070,0.0469,0.6293,0.8170,-0.0770,0.6891,0.3861,320.0000,0.0,0.0,0.0,
0.4560,0.0469,0.6293,0.8170,-0.0770,0.6891,0.3861,320.0000,0.0,0.0,0.0,
0.5270,0.0469,0.6293,0.8170,-0.0904,0.4410,0.4911,320.0000,0.0,0.0,0.0,
0.5290,0.0469,0.6293,0.8170,-0.0904,0.4410,0.4911,320.0000,0.0,0.0,0.0,
0.5880,0.0469,0.6293,0.8170,-0.0904,0.4410,0.4911,320.0000,0.0,0.0,0.0,
0.6120,0.0274,0.6293,0.7896,-0.0904,0.4410,0.4911,320.0000,0.0,0.0,0.0,
0.6550,0.0274,0.6293,0.7896,-0.0904,0.4410,0.4911,320.0000,0.0,0.0,0.0,
0.7280,0.0274,0.6293,0.7896,0.2663,0.0379,0.4410,320.0000,0.0,0.0,0.0,
0.7290,0.0274,0.6293,0.7896,0.2663,0.0379,0.4410,320.0000,0.0,0.0,0.0,
0.7870,0.0274,0.6293,0.7896,0.2663,0.0379,0.4410,320.0000,0.0,0.0,0.0,
0.8070,0.1173,0.6762,0.8131,0.2663,0.0379,0.4410,320.0000,0.0,0.0,0.0,
0.8540,0.1173,0.6762,0.8131,0.2663,0.0379,0.4410,320.0000,0.0,0.0,0.0,
0.9420,0.1173,0.6762,0.8131,0.1796,0.3250,0.4508,320.0000,0.0,0.0,0.0,
0.9470,0.1173,0.6762,0.8131,0.1796,0.3250,0.4508,320.0000,0.0,0.0,0.0,
0.9890,0.1173,0.6762,0.8131,0.1796,0.3250,0.4508,320.0000,0.0,0.0,0.0,
1.0200,0.0977,0.5824,0.7935,0.1796,0.3250,0.4508,320.0000,0.0,0.0,0.0,
1.0540,0.0977,0.5824,0.7935,0.1796,0.3250,0.4508,320.0000,0.0,0.0,0.0,
1.1300,0.0977,0.5824,0.7935,0.3690,0.3702,0.2700,320.0000,0.0,0.0,0.0,
1.1340,0.0977,0.5824,0.7935,0.3690,0.3702,0.2700,320.0000,0.0,0.0,0.0,
1.2020,0.0977,0.5824,0.7935,0.3690,0.3702,0.2700,320.0000,0.0,0.0,0.0,
1.2160,0.1446,0.5121,0.6176,0.3690,0.3702,0.2700,320.0000,0.0,0.0,0.0,
1.2520,0.1446,0.5121,0.6176,0.3690,0.3702,0.2700,320.0000,0.0,0.0,0.0,
1.3410,0.1446,0.5121,0.6176,-0.6646,0.7648,0.3836,320.0000,0.0,0.0,0.0,
1.3460,0.1446,0.5121,0.6176,-0.6646,0.7648,0.3836,320.0000,0.0,0.0,0.0,
1.3850,0.1446,0.5121,0.6176,-0.6646,0.7648,0.3836,320.0000,0.0,0.0,0.0,
1.4120,0.1994,0.5238,0.8209,-0.6646,0.7648,0.3836,320.0000,0.0,0.0,0.0,
1.4600,0.1994,0.5238,0.8209,-0.6646,0.7648,0.3836,320.0000,0.0,0.0,0.0,
1.5270,0.1994,0.5238,0.8209,-0.5400,0.2248,0.2297,320.0000,0.0,0.0,0.0,
1.5290,0.1994,0.5238,0.8209,-0.5400,0.2248,0.2297,320.0000,0.0,0.0,0.0,
1.5570,0.1994,0.5238,0.8209,-0.5400,0.2248,0.2297,640.0000,0.0,0.0,0.0,
1.5810,0.1994,0.5238,0.8209,-0.5400,0.2248,0.2297,640.0000,0.0,0.0,0.0,
1.6070,0.2345,0.4652,1.0359,-0.5400,0.2248,0.2297,640.0000,0.0,0.0,0.0,
1.6470,0.2345,0.4652,1.0359,-0.5400,0.2248,0.2297,640.0000,0.0,0.0,0.0,
1.7270,0.2345,0.4652,1.0359,-0.0134,0.1148,-0.3433,640.0000,0.0,0.0,0.0,
1.7290,0.2345,0.4652,1.0359,-0.0134,0.1148,-0.3433,640.0000,0.0,0.0,0.0,
1.7300,0.2345,0.4652,1.0359,-0.0134,0.1148,-0.3433,1280.0000,0.0,0.0,0.0,
1.7790,0.2345,0.4652,1.0359,-0.0134,0.1148,-0.3433,1280.0000,0.0,0.0,0.0,
1.8080,0.1524,0.4378,0.8443,-0.0134,0.1148,-0.3433,1280.0000,0.0,0.0,0.0,
1.8460,0.1524,0.4378,0.8443,-0.0134,0.1148,-0.3433,1280.0000,0.0,0.0,0.0,
1.9370,0.1524,0.4378,0.8443,0.4264,-0.5596,-0.6952,1280.0000,0.0,0.0,0.0,
1.9380,0.1524,0.4378,0.8443,0.4264,-0.5596,-0.6952,1280.0000,0.0,0.0,0.0,
1.9880,0.1524,0.4378,0.8443,0.4264,-0.5596,-0.6952,1280.0000,0.0,0.0,0.0,
2.0140,0.2424,0.5082,0.9186,0.4264,-0.5596,-0.6952,1280.0000,0.0,0.0,0.0,
2.0560,0.2424,0.5082,0.9186,0.4264,-0.5596,-0.6952,1280.0000,0.0,0.0,0.0,
2.1270,0.2424,0.5082,0.9186,0.5302,-0.1857,0.0476,1280.0000,0.0,0.0,0.0,
2.1300,0.2424,0.5082,0.9186,0.5302,-0.1857,0.0476,1280.0000,0.0,0.0,0.0,
2.1760,0.2424,0.5082,0.9186,0.5302,-0.1857,0.0476,1280.0000,0.0,0.0,0.0,
2.2070,-0.1173,0.3870,0.7779,0.5302,-0.1857,0.0476,1280.0000,0.0,0.0,0.0,
2.2420,-0.1173,0.3870,0.7779,0.5302,-0.1857,0.0476,1280.0000,0.0,0.0,0.0,
2.3270,-0.1173,0.3870,0.7779,1.8619,-1.2535,0.6585,1280.0000,0.0,0.0,0.0,
2.3280,-0.1173,0.3870,0.7779,1.8619,-1.2535,0.6585,1280.0000,0.0,0.0,0.0,
2.3740,-0.1173,0.3870,0.7779,1.8619,-1.2535,0.6585,1280.0000,0.0,0.0,0.0,
2.4080,0.2384,0.2541,0.6645,1.8619,-1.2535,0.6585,1280.0000,0.0,0.0,0.0,
2.4400,0.2384,0.2541,0.6645,1.8619,-1.2535,0.6585,1280.0000,0.0,0.0,0.0,
2.5270,0.2384,0.2541,0.6645,-1.6567,2.8503,-0.4826,1280.0000,0.0,0.0,0.0,
2.5280,0.2384,0.2541,0.6645,-1.6567,2.8503,-0.4826,1280.0000,0.0,0.0,0.0,
2.5730,0.2384,0.2541,0.6645,-1.6567,2.8503,-0.4826,1280.0000,0.0,0.0,0.0,
2.6080,0.3674,0.5707,1.5245,-1.6567,2.8503,-0.4826,1280.0000,0.0,0.0,0.0,
2.6420,0.3674,0.5707,1.5245,-1.6567,2.8503,-0.4826,1280.0000,0.0,0.0,0.0,
2.7280,0.3674,0.5707,1.5245,-0.0086,-0.2749,-0.3250,1280.0000,0.0,0.0,0.0,
2.7290,0.3674,0.5707,1.5245,-0.0086,-0.2749,-0.3250,1280.0000,0.0,0.0,0.0,
2.7720,0.3674,0.5707,1.5245,-0.0086,-0.2749,-0.3250,2600.0000,0.0,0.0,0.0,
2.7740,0.3674,0.5707,1.5245,-0.0086,-0.2749,-0.3250,2600.0000,0.0,0.0,0.0,
2.8080,-0.0625,0.2580,1.0280,-0.0086,-0.2749,-0.3250,2600.0000,0.0,0.0,0.0,
2.8380,-0.0625,0.2580,1.0280,-0.0086,-0.2749,-0.3250,2600.0000,0.0,0.0,0.0,
2.9280,-0.0625,0.2580,1.0280,0.5486,-1.5223,0.2737,2600.0000,0.0,0.0,0.0,
2.9300,-0.0625,0.2580,1.0280,0.5486,-1.5223,0.2737,2600.0000,0.0,0.0,0.0,
2.9720,-0.0625,0.2580,1.0280,0.5486,-1.5223,0.2737,2600.0000,0.0,0.0,0.0,
3.0120,0.2345,0.2932,0.7466,0.5486,-1.5223,0.2737,2600.0000,0.0,0.0,0.0,
3.0370,0.2345,0.2932,0.7466,0.5486,-1.5223,0.2737,2600.0000,0.0,0.0,0.0,
3.1270,0.2345,0.2932,0.7466,-0.3091,0.2798,0.5021,2600.0000,0.0,0.0,0.0,
3.1340,0.2345,0.2932,0.7466,-0.3091,0.2798,0.5021,2600.0000,0.0,0.0,0.0,
3.1680,0.2345,0.2932,0.7466,-0.3091,0.2798,0.5021,2600.0000,0.0,0.0,0.0,
3.2070,0.3557,0.4417,1.0984,-0.3091,0.2798,0.5021,2600.0000,0.0,0.0,0.0,
3.2340,0.3557,0.4417,1.0984,-0.3091,0.2798,0.5021,2600.0000,0.0,0.0,0.0,
3.3320,0.3557,0.4417,1.0984,-0.4129,0.3030,0.1979,2600.0000,0.0,0.0,0.0,
