
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.0130,0.0188,0.3550,0.8499,-0.0501,-0.4240,-0.0320,970.8105,3637.0000,32.856500,35.281673,0.746451,
0.0130,0.0188,0.3550,0.8499,-0.0501,-0.4240,-0.0320,970.8269,3637.0000,32.856500,35.281673,0.746451,
0.0130,0.0188,0.3550,0.8499,-0.0501,-0.4240,-0.0320,970.8269,3637.0000,32.856500,35.281673,0.746451,
0.0130,-0.0761,0.2758,0.9610,-0.0501,-0.4240,-0.0320,970.8269,3637.0000,32.856500,35.281673,0.746451,
0.0130,-0.0761,0.2758,0.9610,-0.0501,-0.4240,-0.0320,970.8269,3637.0000,32.856500,35.281673,0.746451,
0.0140,-0.0761,0.2758,0.9610,-0.0501,-0.4240,-0.0320,970.8269,3774.0000,32.856500,35.281673,0.746451,
0.1900,-0.0761,0.2758,0.9610,0.0735,-0.2471,0.0320,970.8269,3774.0000,32.856500,35.281673,0.746451,
0.1900,-0.0761,0.2758,0.9610,0.0735,-0.2471,0.0320,970.8257,3774.0000,32.856500,35.281673,0.746451,
0.1910,-0.0761,0.2758,0.9610,0.0735,-0.2471,0.0320,970.8257,3774.0000,32.856500,35.281673,0.746451,
0.1910,0.0912,0.4054,0.9037,0.0735,-0.2471,0.0320,970.8257,3774.0000,32.856500,35.281673,0.746451,
0.1910,0.0912,0.4054,0.9037,0.0735,-0.2471,0.0320,970.8257,3774.0000,32.856500,35.281673,0.746451,
0.1910,0.0912,0.4054,0.9037,0.0735,-0.2471,0.0320,970.8257,3601.0000,32.856500,35.281673,0.746451,
0.3710,0.0912,0.4054,0.9037,0.0735,-0.2471,0.0320,970.8254,3601.0000,32.856500,35.281673,0.746451,
0.3720,0.0912,0.4054,0.9037,0.0735,-0.2471,0.0320,970.8254,3601.0000,32.856500,35.281673,0.746451,
0.3720,0.0912,0.4054,0.9037,0.0820,0.1896,-0.0181,970.8254,3601.0000,32.856500,35.281673,0.746451,
0.3720,0.0121,0.3871,0.9645,0.0820,0.1896,-0.0181,970.8254,3601.0000,32.856500,35.281673,0.746451,
0.3730,0.0121,0.3871,0.9645,0.0820,0.1896,-0.0181,970.8254,3601.0000,32.856500,35.281673,0.746451,
0.3730,0.0121,0.3871,0.9645,0.0820,0.1896,-0.0181,970.8254,3631.0000,32.856500,35.281673,0.746451,
0.5510,0.0121,0.3871,0.9645,-0.0064,0.0362,-0.0330,970.8254,3631.0000,32.856500,35.281673,0.746451,
0.5510,0.0121,0.3871,0.9645,-0.0064,0.0362,-0.0330,970.8247,3631.0000,32.856500,35.281673,0.746451,
0.5510,0.0121,0.3871,0.9645,-0.0064,0.0362,-0.0330,970.8247,3631.0000,32.856500,35.281673,0.746451,
0.5520,-0.0540,0.3595,0.8957,-0.0064,0.0362,-0.0330,970.8247,3631.0000,32.856500,35.281673,0.746451,
0.5520,-0.0540,0.3595,0.8957,-0.0064,0.0362,-0.0330,970.8247,3631.0000,32.856500,35.281673,0.746451,
0.5530,-0.0540,0.3595,0.8957,-0.0064,0.0362,-0.0330,970.8247,3640.0000,32.856500,35.281673,0.746451,
0.7310,-0.0540,0.3595,0.8957,0.3824,0.3111,0.1140,970.8247,3640.0000,32.856500,35.281673,0.746451,
0.7310,-0.0540,0.3595,0.8957,0.3824,0.3111,0.1140,970.8286,3640.0000,32.856500,35.281673,0.746451,
0.7320,-0.0540,0.3595,0.8957,0.3824,0.3111,0.1140,970.8286,3640.0000,32.856500,35.281673,0.746451,
0.7320,-0.0296,0.3748,0.9529,0.3824,0.3111,0.1140,970.8286,3640.0000,32.856500,35.281673,0.746451,
0.7320,-0.0296,0.3748,0.9529,0.3824,0.3111,0.1140,970.8286,3640.0000,32.856500,35.281673,0.746451,
0.7330,-0.0296,0.3748,0.9529,0.3824,0.3111,0.1140,970.8286,3630.0000,32.856500,35.281673,0.746451,
0.9140,-0.0296,0.3748,0.9529,1.6725,1.3263,0.8203,970.8286,3630.0000,32.856500,35.281673,0.746451,
0.9150,-0.0296,0.3748,0.9529,1.6725,1.3263,0.8203,970.8330,3630.0000,32.856500,35.281673,0.746451,
0.9160,-0.0296,0.3748,0.9529,1.6725,1.3263,0.8203,970.8330,3630.0000,32.856500,35.281673,0.746451,
0.9170,0.0774,0.2234,1.2881,1.6725,1.3263,0.8203,970.8330,3630.0000,32.856500,35.281673,0.746451,
0.9180,0.0774,0.2234,1.2881,1.6725,1.3263,0.8203,970.8330,3630.0000,32.856500,35.281673,0.746451,
0.9190,0.0774,0.2234,1.2881,1.6725,1.3263,0.8203,970.8330,3486.0000,32.856500,35.281673,0.746451,
1.0970,0.0774,0.2234,1.2881,-0.9683,-0.5113,-1.0365,970.8330,3486.0000,32.856500,35.281673,0.746451,
1.0990,0.0774,0.2234,1.2881,-0.9683,-0.5113,-1.0365,970.8223,3486.0000,32.856500,35.281673,0.746451,
1.1000,0.0774,0.2234,1.2881,-0.9683,-0.5113,-1.0365,970.8223,3486.0000,32.856500,35.281673,0.746451,
1.1030,-0.1669,0.3359,0.4101,-0.9683,-0.5113,-1.0365,970.8223,3486.0000,32.856500,35.281673,0.746451,
1.1040,-0.1669,0.3359,0.4101,-0.9683,-0.5113,-1.0365,970.8223,3486.0000,32.856500,35.281673,0.746451,
1.1060,-0.1669,0.3359,0.4101,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.2980,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.2990,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.2990,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3000,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3010,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3020,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3040,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3160,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3180,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3190,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3200,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3200,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3210,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3630,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3640,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3640,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.8223,3821.0000,32.856500,35.281673,0.746451,
1.3640,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.7834,3821.0000,32.856500,35.281673,0.746451,
1.3640,0.2336,0.4068,0.8350,-0.9683,-0.5113,-1.0365,970.7834,3821.0000,32.856500,35.281673,0.746451,
1.3650,0.2336,0.4068,0.8350,-1.1153,-2.3606,-0.1310,970.7834,3821.0000,32.856500,35.281673,0.746451,
1.3650,0.0869,0.1231,0.9369,-1.1153,-2.3606,-0.1310,970.7834,3821.0000,32.856500,35.281673,0.746451,
1.3650,0.0869,0.1231,0.9369,-1.1153,-2.3606,-0.1310,970.7834,3821.0000,32.856500,35.281673,0.746451,
